region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA10050,18328,20181,38509,8910,4887,13797,1963,5234,7197,687,751,1438,720,658,1378,12280,11530,23810,5082,7738,12820,5.9,5.7,5.8,67.0,57.1,61.8,63.1,53.9,58.2,394,362,756,250,447,697,1579,2474,4053,1087,1685,2772,5317,3179,8496,18103,19299,37402,3562,4143,7705,11741,12459,24200,8433,9457,17890
LGA10110,9180,10325,19505,3706,2421,6127,1229,2383,3612,294,346,640,451,375,826,5680,5525,11205,2931,4167,7098,7.9,6.8,7.4,61.9,53.5,57.4,57.0,49.9,53.2,716,558,1274,142,312,454,1091,1580,2671,497,838,1335,2006,1347,3353,8568,9196,17764,2185,2566,4751,5367,5806,11173,4740,5332,10072
LGA10150,16850,18149,34999,7685,5668,13353,2380,3738,6118,551,601,1152,714,633,1347,11330,10640,21970,4303,6314,10617,6.3,5.9,6.1,67.2,58.6,62.8,63.0,55.1,58.9,1691,1676,3367,288,499,787,3517,4213,7730,1412,1768,3180,2290,1347,3637,15496,16519,32015,2996,3225,6221,9608,10415,20023,7767,8171,15938
LGA10200,30744,28497,59241,11709,6958,18667,4134,4110,8244,1143,853,1996,1488,1232,2720,18474,13153,31627,9788,13480,23268,8.1,9.4,8.6,60.1,46.2,53.4,55.2,41.8,48.8,1782,1289,3071,253,275,528,4419,4605,9024,2400,2419,4819,3444,2145,5589,28074,27475,55549,5684,5252,10936,16744,16725,33469,14459,13557,28016
LGA10250,15207,17025,32232,5733,3342,9075,2136,4314,6450,517,551,1068,611,505,1116,8997,8712,17709,5493,7577,13070,6.8,5.8,6.3,59.2,51.2,54.9,55.1,48.2,51.5,360,355,715,216,335,551,1677,2270,3947,1015,1701,2716,4348,2478,6826,15160,16526,31686,2711,3026,5737,10098,10926,21024,6742,7650,14392
LGA10300,917,898,1815,456,220,676,85,187,272,45,38,83,25,20,45,611,465,1076,221,373,594,4.1,4.3,4.2,66.5,51.8,59.3,63.8,49.6,56.8,4,5,9,3,12,15,33,58,91,23,50,73,175,112,287,945,894,1839,110,134,244,692,639,1331,291,317,608
LGA10350,69501,73301,142802,28724,16182,44906,7738,12424,20162,2622,2180,4802,3254,2484,5738,42338,33270,75608,22755,35579,58334,7.7,7.5,7.6,60.9,45.4,52.9,56.2,42.0,48.9,1831,1531,3362,432,588,1020,6701,7884,14585,4668,6068,10736,14491,7559,22050,74626,77744,152370,8777,8757,17534,52696,55149,107845,24522,25520,50042
LGA10470,15190,15333,30523,7089,3862,10951,1609,3912,5521,517,540,1057,514,477,991,9729,8791,18520,4664,5781,10445,5.3,5.4,5.4,64.0,57.3,60.7,60.7,54.2,57.4,366,322,688,153,313,466,1211,1920,3131,852,1247,2099,4331,2498,6829,14561,14902,29463,2952,3182,6134,9351,9457,18808,6998,7475,14473
LGA10550,12832,13527,26359,4597,2400,6997,1712,3400,5112,449,484,933,481,345,826,7239,6629,13868,4950,6219,11169,6.6,5.2,6.0,56.4,49.0,52.6,52.7,46.5,49.5,222,205,427,174,344,518,1009,1463,2472,741,1202,1943,3927,2033,5960,12710,13183,25893,2151,2298,4449,8812,8932,17744,5279,5754,11033
LGA10600,4808,5264,10072,1518,889,2407,741,1345,2086,145,137,282,234,183,417,2638,2554,5192,1995,2551,4546,8.9,7.2,8.0,54.9,48.5,51.5,50.0,45.0,47.4,107,130,237,62,150,212,420,707,1127,317,515,832,1453,789,2242,4968,5275,10243,851,952,1803,3452,3586,7038,2014,2310,4324
LGA10650,3302,3367,6669,1421,651,2072,295,773,1068,137,136,273,82,76,158,1935,1636,3571,1174,1512,2686,4.2,4.6,4.4,58.6,48.6,53.5,56.1,46.3,51.2,15,22,37,15,44,59,149,284,433,165,234,399,868,494,1362,3277,3321,6598,514,538,1052,2355,2357,4712,1217,1267,2484
LGA10750,112510,117129,229639,57801,33818,91619,11395,22490,33885,4172,4112,8284,5220,5087,10307,78588,65507,144095,28430,46297,74727,6.6,7.8,7.2,69.8,55.9,62.7,65.2,51.6,58.3,4332,3636,7968,923,1236,2159,12822,16438,29260,8067,9655,17722,24507,14674,39181,122436,125362,247798,17880,18245,36125,81474,83745,165219,47464,49059,96523
LGA10800,2290,2291,4581,1244,519,1763,187,549,736,103,91,194,43,56,99,1577,1215,2792,614,997,1611,2.7,4.6,3.5,68.8,53.0,60.9,67.0,50.6,58.8,13,9,22,14,19,33,97,193,290,77,147,224,598,364,962,2426,2489,4915,360,332,692,1782,1796,3578,791,838,1629
LGA10850,2690,2727,5417,1395,621,2016,216,671,887,107,100,207,83,74,157,1801,1466,3267,734,1142,1876,4.6,5.0,4.8,67.0,53.7,60.3,63.9,51.0,57.4,35,31,66,17,33,50,156,289,445,150,248,398,753,485,1238,2840,2878,5718,418,418,836,2010,1992,4002,1012,1098,2110
LGA10900,29128,32016,61144,13494,7576,21070,3937,8542,12479,941,1115,2056,1022,832,1854,19394,18065,37459,8238,12411,20649,5.3,4.6,4.9,66.6,56.4,61.3,63.1,53.8,58.2,1539,1587,3126,645,1064,1709,4102,5829,9931,2709,3809,6518,7855,4457,12312,30491,32703,63194,4002,4397,8399,21397,22825,44222,11057,12256,23313
LGA10950,1125,1093,2218,570,289,859,82,211,293,52,45,97,42,33,75,746,578,1324,281,440,721,5.6,5.7,5.7,66.4,52.9,59.7,62.6,49.9,56.3,7,5,12,5,12,17,50,95,145,26,67,93,251,136,387,1158,1098,2256,190,207,397,851,781,1632,396,424,820
LGA11000,999,966,1965,499,205,704,88,240,328,36,26,62,25,18,43,648,489,1137,306,435,741,3.9,3.7,3.8,64.8,50.7,57.9,62.3,48.9,55.7,11,5,16,11,13,24,48,87,135,43,69,112,243,150,393,1065,1025,2090,107,129,236,813,759,1572,300,315,615
LGA11050,965,968,1933,436,184,620,107,235,342,48,43,91,19,23,42,610,485,1095,323,451,774,3.1,4.7,3.8,63.2,50.2,56.7,61.2,47.8,54.5,9,6,15,3,14,17,58,89,147,51,77,128,243,126,369,990,991,1981,157,154,311,734,713,1447,346,366,712
LGA11100,15772,16441,32213,7410,4811,12221,1856,3199,5055,547,580,1127,553,467,1020,10366,9057,19423,4342,6364,10706,5.3,5.2,5.3,65.7,55.1,60.3,62.2,52.2,57.1,912,738,1650,140,182,322,2007,2498,4505,1174,1540,2714,3078,1620,4698,15661,16125,31786,2401,2383,4784,10162,10673,20835,6720,6706,13426
LGA11150,1070,1071,2141,518,333,851,66,203,269,38,44,82,43,22,65,665,602,1267,242,324,566,6.5,3.7,5.1,62.1,56.2,59.2,58.1,54.2,56.1,11,14,25,0,14,14,61,138,199,54,67,121,214,138,352,1002,969,1971,206,207,413,685,653,1338,404,437,841
LGA11200,655,663,1318,238,177,415,66,94,160,27,19,46,53,35,88,384,325,709,225,290,515,13.8,10.8,12.4,58.7,48.9,53.8,50.6,43.7,47.1,3,9,12,0,5,5,23,59,82,18,34,52,120,80,200,709,722,1431,99,100,199,530,532,1062,200,219,419
LGA11250,7295,7881,15176,2770,1599,4369,609,1469,2078,278,281,559,372,262,634,4029,3611,7640,2746,3655,6401,9.2,7.3,8.3,55.2,45.8,50.3,50.1,42.5,46.2,49,75,124,50,97,147,267,514,781,284,359,643,1935,1072,3007,7264,7739,15003,1020,1041,2061,5658,5947,11605,2093,2224,4317
LGA11300,13438,14208,27646,5529,3730,9259,2112,2877,4989,421,427,848,555,540,1095,8617,7574,16191,3876,5816,9692,6.4,7.1,6.8,64.1,53.3,58.6,60.0,49.5,54.6,1233,1077,2310,167,247,414,2583,2945,5528,1283,1471,2754,1657,1012,2669,12357,13031,25388,2434,2556,4990,7899,8595,16494,6026,6253,12279
LGA11350,11513,12306,23819,3697,2133,5830,2216,3689,5905,457,429,886,637,531,1168,7007,6782,13789,3721,4833,8554,9.1,7.8,8.5,60.9,55.1,57.9,55.3,50.8,53.0,357,415,772,183,344,527,1558,2219,3777,817,1565,2382,2969,1564,4533,10954,11413,22367,2309,2637,4946,7223,7288,14511,5240,5969,11209
LGA11400,4972,5042,10014,2593,1299,3892,491,1238,1729,215,190,405,116,120,236,3415,2847,6262,1399,2035,3434,3.4,4.2,3.8,68.7,56.5,62.5,66.4,54.1,60.2,98,84,182,39,93,132,323,616,939,309,446,755,1454,848,2302,5439,5455,10894,708,704,1412,3993,3960,7953,1749,1835,3584
LGA11450,20845,22109,42954,12560,6735,19295,1978,5784,7762,768,933,1701,590,621,1211,15896,14073,29969,4117,7248,11365,3.7,4.4,4.0,76.3,63.7,69.8,73.4,60.8,66.9,421,448,869,177,344,521,1678,2594,4272,1571,2272,3843,6772,3343,10115,22670,23512,46182,3799,3997,7796,14772,15311,30083,9681,10325,20006
LGA11500,54993,58958,113951,27812,16157,43969,5426,11559,16985,2112,1989,4101,2659,2522,5181,38009,32227,70236,13932,23392,37324,7.0,7.8,7.4,69.1,54.7,61.6,64.3,50.4,57.1,1364,1190,2554,342,537,879,4116,5564,9680,3357,4645,8002,14281,8397,22678,59001,61611,120612,7816,8271,16087,41457,43026,84483,20494,22187,42681
LGA11520,30295,32722,63017,15754,10653,26407,3318,6808,10126,994,1155,2149,936,805,1741,21002,19421,40423,7147,11353,18500,4.5,4.1,4.3,69.3,59.3,64.1,66.2,56.9,61.4,2622,2437,5059,559,811,1370,6468,7516,13984,2613,3527,6140,5049,2910,7959,28184,30409,58593,5619,5910,11529,17544,19236,36780,14100,14996,29096
LGA11550,54513,55484,109997,21687,12588,34275,7252,9336,16588,2056,1744,3800,2674,2181,4855,33669,25849,59518,16645,25627,42272,7.9,8.4,8.2,61.8,46.6,54.1,56.9,42.7,49.7,2765,2206,4971,446,615,1061,6964,7494,14458,4209,4816,9025,8537,5146,13683,55211,55938,111149,7985,7741,15726,36994,38191,75185,21462,21015,42477
LGA11600,1080,951,2031,643,277,920,73,214,287,54,44,98,33,22,55,803,557,1360,229,358,587,4.1,3.9,4.0,74.4,58.5,66.9,71.3,56.2,64.2,6,5,11,5,13,18,47,91,138,42,69,111,227,152,379,1119,982,2101,197,185,382,823,710,1533,401,397,798
LGA11700,857,722,1579,346,211,557,76,104,180,30,24,54,53,33,86,505,372,877,306,309,615,10.5,8.9,9.8,58.9,51.5,55.5,52.7,47.0,50.1,11,7,18,6,12,18,35,61,96,25,32,57,128,87,215,829,767,1596,113,122,235,627,562,1189,267,268,535
LGA11720,19708,20274,39982,8895,3836,12731,1747,4884,6631,803,720,1523,749,702,1451,12194,10142,22336,6460,9133,15593,6.1,6.9,6.5,61.9,50.0,55.9,58.1,46.6,52.2,157,128,285,92,164,256,782,1331,2113,792,1277,2069,6433,3508,9941,20055,20675,40730,3211,3467,6678,13917,14130,28047,7607,8323,15930
LGA11730,19785,20661,40446,6408,3350,9758,2242,4533,6775,664,568,1232,968,768,1736,10282,9219,19501,8563,10569,19132,9.4,8.3,8.9,52.0,44.6,48.2,47.1,40.9,43.9,223,184,407,160,255,415,1030,1598,2628,937,1403,2340,5871,3461,9332,19760,20340,40100,3240,3602,6842,13423,13784,27207,8190,8852,17042
LGA11750,1914,1743,3657,1102,463,1565,113,382,495,91,72,163,57,45,102,1363,962,2325,382,658,1040,4.2,4.7,4.4,71.2,55.3,63.6,68.2,52.7,60.8,17,12,29,6,15,21,89,137,226,46,87,133,567,260,827,1781,1670,3451,452,402,854,1132,1022,2154,929,872,1801
LGA11800,26510,28795,55305,9765,5679,15444,3594,7095,10689,885,975,1860,1449,1082,2531,15693,14831,30524,9413,12559,21972,9.2,7.3,8.3,59.2,51.5,55.2,53.7,47.7,50.6,486,419,905,230,431,661,2233,3200,5433,1577,2637,4214,7988,4729,12717,25935,27506,53441,5402,5940,11342,16621,17414,34035,12748,13984,26732
LGA11860,633,536,1169,410,164,574,45,149,194,35,29,64,3,8,11,493,350,843,107,171,278,0.6,2.3,1.3,77.8,65.3,72.1,77.3,63.8,71.1,4,4,8,0,18,18,37,80,117,54,54,108,151,101,252,703,608,1311,70,92,162,535,450,985,180,189,369
LGA12000,1554,1626,3180,746,357,1103,129,351,480,59,55,114,31,32,63,965,795,1760,496,743,1239,3.2,4.0,3.6,62.1,48.9,55.3,60.1,46.9,53.3,23,20,43,10,21,31,74,165,239,64,110,174,380,205,585,1661,1749,3410,212,232,444,1264,1285,2549,505,578,1083
LGA12050,3926,3974,7900,1786,1017,2803,443,950,1393,138,151,289,127,93,220,2494,2211,4705,1259,1594,2853,5.1,4.2,4.7,63.5,55.6,59.6,60.3,53.3,56.8,105,86,191,44,86,130,328,448,776,207,312,519,1169,653,1822,3862,3942,7804,654,698,1352,2787,2823,5610,1441,1534,2975
LGA12150,1599,1572,3171,696,379,1075,134,285,419,70,46,116,87,55,142,987,765,1752,500,714,1214,8.8,7.2,8.1,61.7,48.7,55.3,56.3,45.2,50.8,5,16,21,3,20,23,49,121,170,62,98,160,304,185,489,1618,1624,3242,263,258,521,1247,1220,2467,517,550,1067
