region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
LGA10050,2935,359,1141,44,0,4479,10030,552,1426,38,11,12057,448,30,75,0,0,553,502,69,228,4,3,806,10980,651,1729,42,14,13416,494,45,177,5,0,721,14409,1055,3047,91,14,18616
LGA10110,1397,156,290,13,5,1861,4856,270,505,28,6,5665,300,11,33,0,0,344,298,31,80,3,0,412,5454,312,618,31,6,6421,230,23,50,4,0,307,7081,491,958,48,11,8589
LGA10150,1132,261,1206,14,4,2617,4306,1406,5441,64,22,11239,121,54,231,5,0,411,119,60,350,7,0,536,4546,1520,6022,76,22,12186,182,54,249,3,4,492,5860,1835,7477,93,30,15295
LGA10200,2130,440,1291,17,6,3884,7829,1982,6050,28,18,15907,247,60,196,3,0,506,250,75,390,5,3,723,8326,2117,6636,36,21,17136,537,114,407,3,0,1061,10993,2671,8334,56,27,22081
LGA10250,2071,532,744,230,0,3577,8017,1221,977,214,5,10434,372,64,73,12,0,521,305,113,110,11,0,539,8694,1398,1160,237,5,11494,330,68,92,35,0,525,11095,1998,1996,502,5,15596
LGA10300,251,13,11,0,0,275,443,0,9,7,0,459,22,0,0,0,0,22,25,3,3,0,0,31,490,3,12,7,0,512,29,3,3,6,0,41,770,19,26,13,0,828
LGA10350,8932,1981,2304,68,16,13301,26962,6468,4524,134,60,38148,1063,223,208,3,3,1500,974,292,321,19,8,1614,28999,6983,5053,156,71,41262,1691,409,549,19,5,2673,39622,9373,7906,243,92,57236
LGA10470,2411,325,349,20,4,3109,7999,538,405,22,21,8985,437,20,25,3,0,485,476,60,74,4,5,619,8912,618,504,29,26,10089,337,65,47,9,0,458,11660,1008,900,58,30,13656
LGA10550,2283,292,408,94,9,3086,7088,452,517,123,4,8184,479,44,37,10,0,570,321,27,46,9,0,403,7888,523,600,142,4,9157,330,52,38,11,3,434,10501,867,1046,247,16,12677
LGA10600,953,46,120,105,0,1224,3109,45,67,61,4,3286,161,3,7,4,0,175,138,6,9,13,0,166,3408,54,83,78,4,3627,133,6,13,7,0,159,4494,106,216,190,4,5010
