region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA10050,14406,37350,949,1534,107,200,1056,1734,2913,4532,99,144,23,36,14,21,3049,4733,69,102,0,0,22,50,91,152,14,38,18616,44007,2115,0,20731,44007
LGA10110,7081,18044,427,704,64,114,491,818,907,1513,35,68,0,0,16,22,958,1603,33,54,0,0,15,35,48,89,11,28,8589,20582,1037,0,9626,20582
LGA10150,5859,17057,1156,2788,680,1672,1836,4460,2816,5663,3567,7423,1040,2321,55,107,7478,15514,0,0,0,0,92,212,92,212,30,69,15295,37312,1037,0,16332,37312
LGA10200,10995,37329,1064,3132,1607,5075,2671,8207,2416,6564,2592,6848,3299,8501,27,60,8334,21973,0,6,0,0,54,143,54,149,24,70,22078,67728,1183,0,23261,67728
LGA10250,11096,28686,1270,2345,727,1563,1997,3908,1834,3051,78,149,68,117,18,23,1998,3340,467,718,5,12,29,66,501,796,4,16,15596,36746,1654,0,17250,36746
LGA10300,766,1967,17,19,3,5,20,24,24,39,0,0,0,0,0,0,24,39,7,9,3,0,7,14,17,23,0,4,827,2057,152,0,979,2057
LGA10350,39624,125422,3606,9368,5770,17931,9376,27299,2869,5755,3100,7799,1757,4553,180,405,7906,18512,39,62,25,52,178,481,242,595,91,258,57239,172086,2997,0,60236,172086
LGA10470,11662,30976,808,1433,197,408,1005,1841,822,1218,36,48,6,7,35,91,899,1364,30,46,4,9,24,33,58,88,31,59,13655,34328,1512,0,15167,34328
LGA10550,10503,25517,475,750,392,719,867,1469,1010,1672,10,12,0,7,26,42,1046,1733,178,302,27,50,40,84,245,436,15,28,12676,29183,3311,0,15987,29183
LGA10600,4492,11000,65,102,39,62,104,164,170,221,21,35,0,0,26,35,217,291,154,228,21,27,17,46,192,301,5,10,5010,11766,688,0,5698,11766
LGA10650,2853,6657,133,176,13,47,146,223,161,236,0,0,0,0,0,0,161,236,57,90,4,4,21,54,82,148,4,10,3246,7274,649,0,3895,7274
LGA10750,77673,246149,3873,10073,6850,21066,10723,31139,1205,1709,1545,3601,1916,4866,139,264,4805,10440,273,421,12,28,99,256,384,705,71,172,93656,288605,4378,0,98034,288605
LGA10800,2127,5283,17,16,0,0,17,16,82,110,0,0,0,0,4,6,86,116,9,7,3,4,20,55,32,66,0,0,2262,5481,503,0,2765,5481
LGA10850,2416,6213,50,92,3,7,53,99,50,64,0,0,0,0,8,13,58,77,8,10,0,0,11,14,19,24,3,8,2549,6421,365,0,2914,6421
LGA10900,25974,66610,949,1610,469,793,1418,2403,417,595,73,109,5,6,80,134,575,844,13,23,3,6,30,55,46,84,19,36,28032,69977,3878,0,31910,69977
LGA10950,972,2478,24,38,0,0,24,38,31,39,0,0,0,0,0,0,31,39,12,12,0,0,11,18,23,30,0,10,1050,2595,222,0,1272,2595
LGA11000,969,2183,12,13,0,0,12,13,15,21,0,0,0,0,0,0,15,21,3,3,3,0,4,23,10,26,0,0,1006,2243,355,0,1361,2243
LGA11050,918,2151,27,32,3,8,30,40,5,5,0,0,0,0,0,0,5,5,3,6,3,8,8,16,14,30,0,0,967,2226,340,0,1307,2226
LGA11100,5577,16640,1105,2872,960,2736,2065,5608,927,1829,3337,7987,2101,4440,6,7,6371,14263,0,0,0,0,74,208,74,208,33,66,14120,36785,769,0,14889,36785
LGA11150,890,2308,5,5,0,0,5,5,27,41,0,0,0,0,0,0,27,41,12,22,0,0,4,10,16,32,0,3,938,2389,222,0,1160,2389
LGA11200,530,1495,0,0,0,0,0,0,36,85,0,0,0,0,0,0,36,85,3,9,0,0,0,5,3,14,6,8,575,1602,152,0,727,1602
LGA11250,7017,15955,74,104,0,0,74,104,244,393,0,0,66,144,3,6,313,543,17,36,0,0,8,22,25,58,6,14,7435,16674,1515,0,8950,16674
LGA11300,5631,17365,796,1974,402,1119,1198,3093,869,1909,1512,3755,1417,3550,26,61,3824,9275,0,0,0,0,60,148,60,148,14,24,10727,29905,646,0,11373,29905
LGA11350,9194,22913,466,882,558,1169,1024,2051,475,786,63,100,7,13,59,91,604,990,292,434,10,6,49,84,351,524,25,49,11198,26527,2052,0,13250,26527
LGA11400,4504,11731,52,63,15,29,67,92,63,95,0,0,0,0,5,3,68,98,34,46,11,31,19,46,64,123,3,5,4706,12049,750,0,5456,12049
LGA11450,16398,51240,642,1263,377,930,1019,2193,234,305,22,38,0,0,21,46,277,389,140,190,0,0,14,32,154,222,25,70,17873,54114,933,0,18806,54114
LGA11500,38053,117296,3698,8284,3587,9491,7285,17775,1010,1663,435,744,286,502,55,88,1786,2997,4,5,0,10,141,386,145,401,19,48,47288,138517,2198,0,49486,138517
LGA11520,12752,37391,1074,2598,2298,5568,3372,8166,2188,4134,3341,6856,6134,13243,36,72,11699,24305,3,0,0,0,135,307,138,307,54,106,28015,70275,2371,0,30386,70275
LGA11550,24100,74928,1600,4148,3081,8861,4681,13009,10510,25711,4705,11272,1505,3479,26,51,16746,40513,10,25,0,0,238,622,248,647,152,405,45927,129502,2730,0,48657,129502
LGA11600,918,2256,6,12,0,0,6,12,26,36,0,0,0,0,0,3,26,39,26,40,4,4,3,8,33,52,0,0,983,2359,279,0,1262,2359
LGA11700,606,1559,0,0,0,0,0,0,41,69,0,0,0,0,0,0,41,69,18,35,0,0,22,29,40,64,49,155,736,1847,326,0,1062,1847
LGA11720,16708,44529,828,1532,53,98,881,1630,533,820,0,0,0,0,20,45,553,865,44,71,3,17,24,53,71,141,15,32,18228,47197,1904,0,20132,47197
LGA11730,16802,41846,519,820,273,526,792,1346,999,1570,74,126,13,23,18,28,1104,1747,412,639,36,66,81,171,529,876,32,45,19259,45860,3384,0,22643,45860
LGA11750,1533,3901,20,33,0,0,20,33,126,176,0,0,0,0,0,0,126,176,28,44,0,0,9,22,37,66,5,12,1721,4188,481,0,2202,4188
LGA11800,19867,52670,1689,2939,1186,2340,2875,5279,2000,3296,232,411,237,409,72,121,2541,4237,724,1110,12,17,44,93,780,1220,11,22,26074,63428,2993,0,29067,63428
LGA11860,538,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,0,5,10,11,0,8,548,1460,185,0,733,1460
LGA12000,1407,3652,4,8,0,0,4,8,59,80,0,0,0,0,0,0,59,80,7,5,0,3,11,22,18,30,0,0,1488,3770,236,0,1724,3770
LGA12050,3492,8367,169,238,10,30,179,268,110,150,5,7,0,3,5,3,120,163,6,8,15,26,12,31,33,65,4,18,3828,8881,910,0,4738,8881
LGA12150,1451,3562,29,54,0,0,29,54,39,43,0,0,0,0,0,0,39,43,6,6,3,4,7,15,16,25,3,10,1538,3694,400,0,1938,3694
LGA12200,2762,6422,36,45,3,7,39,52,121,150,14,11,0,0,6,20,141,181,7,6,0,0,3,17,10,23,3,3,2955,6681,469,0,3424,6681
LGA12300,3795,9199,131,207,8,17,139,224,385,576,0,0,0,0,3,3,388,579,66,99,3,6,10,24,79,129,9,22,4410,10153,994,0,5404,10153
