region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA10050,46,39,109,117,218,417,486,492,301,2225,0,6,20,35,34,37,34,12,8,186,157,189,334,379,368,396,420,490,343,3076,1778,3430,5969,6145,6432,5689,3728,2473,1066,36710
LGA10110,17,29,25,38,85,145,169,210,103,821,6,0,10,16,7,17,13,7,4,80,111,175,214,234,194,186,208,186,107,1615,1311,2481,2616,2682,3229,2717,1870,1120,472,18498
LGA10150,0,11,34,45,115,314,550,628,308,2005,4,9,28,33,52,59,109,187,66,547,122,279,645,440,419,354,343,428,370,3400,825,3178,7853,6352,5596,4135,2530,2175,1232,33876
LGA10200,27,69,323,587,772,874,728,537,279,4196,21,80,305,363,472,464,338,227,84,2354,387,906,1886,1226,1063,648,440,291,131,6978,2261,6740,15083,10467,9265,6529,3427,2010,851,56633
LGA10250,23,19,47,64,147,328,384,527,370,1909,0,4,4,9,12,9,12,11,6,67,89,87,172,245,294,315,315,411,295,2223,941,1590,3277,4886,5780,5842,4117,2924,1400,30757
LGA10300,0,3,7,9,25,65,61,45,15,230,0,3,9,0,0,0,0,8,3,23,10,13,15,27,41,40,32,22,9,209,64,113,219,297,361,329,196,125,39,1743
LGA10350,44,87,431,849,1557,2308,2353,2152,1091,10872,18,59,194,345,789,815,779,708,214,3921,784,925,1843,1925,1912,1732,1479,1493,1033,13126,6272,12412,24625,24339,24086,19090,12140,8947,3919,135830
LGA10470,19,16,42,82,167,316,342,317,157,1458,3,3,4,16,19,18,12,13,6,94,161,296,495,441,367,363,334,311,140,2908,1487,3195,4481,4925,5054,4473,2929,1774,647,28965
LGA10550,21,16,44,67,167,352,447,407,184,1705,3,3,4,7,10,17,17,12,3,76,85,67,140,177,259,360,343,373,236,2040,822,1091,2324,3495,5030,5516,3885,2135,805,25103
LGA10600,7,3,18,23,55,115,148,165,94,628,0,0,0,9,5,5,4,6,0,29,30,22,40,53,90,91,98,121,56,601,303,410,843,1479,2053,1974,1384,792,316,9554
LGA10650,8,3,13,18,40,151,204,125,92,654,0,0,6,3,3,3,4,6,0,25,35,15,30,50,76,84,129,141,87,647,222,275,658,848,1052,1281,1121,650,255,6362
LGA10750,162,199,596,976,1922,3352,2876,2062,927,13072,17,52,215,293,424,486,492,409,158,2546,1140,1313,2730,2692,2615,2465,2026,1514,608,17103,10646,20471,46506,45061,38760,29644,16030,8249,2767,218134
