region_id,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA10050,9062,6461,5625,5900,6109,5263,3353,2292,986,45051,15,28,16,8,9,8,3,0,7,94,149,358,225,159,159,159,79,62,55,1405,39,231,122,100,130,107,58,41,15,843,4,12,18,14,14,14,9,3,0,88,3,3,3,3,7,6,0,3,0,28,3,3,7,6,7,6,3,0,0,35,4,0,0,4,5,11,6,4,0,34,4,9,5,0,0,0,0,0,0,18,3,15,4,6,9,5,3,0,0,45,0,0,0,0,0,0,0,0,0,0,209,631,384,292,331,308,158,113,70,2496,224,659,400,300,340,316,161,113,77,2590,9286,7120,6025,6200,6449,5579,3514,2405,1063,47641
LGA10110,4461,4411,2427,2557,3039,2465,1664,1038,449,22511,8,33,5,3,5,5,4,0,0,63,129,809,160,131,161,113,74,42,13,1632,3,11,4,6,8,10,12,6,0,60,3,54,10,12,10,36,9,0,0,134,0,4,0,0,6,7,15,0,0,32,4,3,4,0,0,4,0,0,0,15,0,8,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,3,7,0,3,5,0,4,0,3,25,0,0,0,0,0,0,0,0,0,0,145,896,178,152,190,170,114,48,16,1909,153,929,183,155,195,175,118,48,16,1972,4614,5340,2610,2712,3234,2640,1782,1086,465,24483
LGA10150,6091,4943,7600,6170,5446,4004,2460,2109,1174,39997,12,14,13,8,10,10,3,3,4,77,89,141,188,127,127,97,77,41,11,898,3,3,4,12,4,0,7,4,0,37,0,5,4,0,0,8,4,6,3,30,5,0,14,0,0,0,0,0,0,19,0,3,3,4,3,3,0,0,0,16,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,102,152,220,143,134,108,103,51,14,1027,114,166,233,151,144,118,106,54,18,1104,6205,5109,7833,6321,5590,4122,2566,2163,1192,41101
LGA10200,14313,11201,14701,10243,9129,6386,3340,1945,814,72072,34,34,39,32,10,18,6,5,4,182,146,232,311,199,204,139,81,51,31,1394,0,15,31,30,38,25,4,3,0,146,5,9,25,33,22,25,3,3,0,125,0,3,15,13,9,3,3,0,0,46,0,6,13,10,22,13,3,0,0,67,0,0,4,5,7,0,0,0,0,16,0,3,0,0,0,5,0,0,0,8,4,18,7,3,9,3,3,0,0,47,0,0,0,0,0,0,0,0,0,0,155,286,406,293,311,213,97,57,31,1849,189,320,445,325,321,231,103,62,35,2031,14502,11521,15146,10568,9450,6617,3443,2007,849,74103
LGA10250,6869,3710,3056,4683,5484,5410,3817,2792,1333,37154,14,10,3,5,3,10,3,7,3,58,188,155,157,164,170,217,227,114,56,1448,11,16,11,19,22,68,96,62,6,311,31,37,68,50,50,67,33,20,3,359,6,0,0,0,5,3,17,6,3,40,4,3,4,5,3,0,3,0,0,22,3,0,0,0,0,7,13,3,0,26,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,11,4,4,0,31,0,0,0,0,0,0,0,0,0,0,243,215,244,242,250,373,393,209,68,2237,257,225,247,247,253,383,396,216,71,2295,7126,3935,3303,4930,5737,5793,4213,3008,1404,39449
LGA10300,445,226,202,285,344,302,180,112,35,2131,8,0,7,4,0,3,0,0,0,22,3,12,8,4,17,20,21,0,0,85,3,13,12,15,15,25,16,6,0,105,3,0,3,0,0,3,3,0,0,12,0,0,0,3,3,3,12,4,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,9,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,25,23,22,39,57,55,10,0,243,20,25,30,26,39,60,55,10,0,265,465,251,232,311,383,362,235,122,35,2396
LGA10350,39051,24846,23893,23827,23728,18620,11748,8695,3768,178176,49,37,41,39,30,20,19,16,11,262,426,542,665,467,380,313,214,160,100,3267,11,11,7,19,39,16,6,3,4,116,8,23,14,21,15,38,19,3,0,141,0,0,0,4,7,7,0,0,0,18,3,4,7,3,7,3,3,0,0,30,0,3,0,3,3,3,3,3,0,18,0,0,0,0,3,0,0,3,0,6,3,5,10,3,5,3,0,3,0,32,0,0,0,0,0,0,0,0,0,0,451,588,703,520,459,383,245,175,104,3628,500,625,744,559,489,403,264,191,115,3890,39551,25471,24637,24386,24217,19023,12012,8886,3883,182066
LGA10470,7821,5793,4242,4721,4810,4154,2735,1670,628,36574,9,18,12,0,6,8,8,0,0,61,176,827,216,142,181,173,86,68,23,1892,3,5,7,3,4,8,4,0,0,34,7,8,11,8,16,9,3,0,0,62,0,3,4,0,0,3,5,0,0,15,0,3,3,3,4,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,192,853,248,159,205,196,101,68,23,2045,201,871,260,159,211,204,109,68,23,2106,8022,6664,4502,4880,5021,4358,2844,1738,651,38680
LGA10550,5353,2871,2116,3301,4661,4977,3496,1978,763,29516,12,13,17,8,19,15,12,7,8,111,123,159,132,130,195,198,128,61,21,1147,39,20,41,44,83,185,270,243,33,958,0,3,11,6,12,21,14,0,0,67,3,0,0,5,3,7,4,0,0,22,5,0,3,5,4,5,4,0,0,26,0,0,0,4,5,10,8,3,0,30,0,0,0,0,0,0,0,0,0,0,8,22,13,10,24,41,23,5,0,146,0,0,0,0,0,0,0,0,0,0,178,204,200,204,326,467,451,312,54,2396,190,217,217,212,345,482,463,319,62,2507,5543,3088,2333,3513,5006,5459,3959,2297,825,32023
LGA10600,2308,1116,779,1391,1910,1847,1270,759,300,11680,5,3,4,0,4,3,3,3,3,28,49,75,37,39,80,121,90,38,18,547,3,0,3,3,4,22,20,3,0,58,5,3,8,3,13,12,12,3,0,59,3,3,0,3,3,3,6,3,0,24,3,0,3,0,0,3,0,0,0,9,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,66,81,51,51,100,167,134,50,18,718,71,84,55,51,104,170,137,53,21,746,2379,1200,834,1442,2014,2017,1407,812,321,12426
