region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA10050,168,198,123,46,11,3,756,9,106,179,186,163,50,6,0,699,274,1147,976,765,569,223,76,22,4052,193,517,568,624,504,245,103,17,2771,57,90,116,131,117,52,24,10,597,994,1516,1423,1401,1007,513,289,45,7188,208,164,116,108,91,15,6,3,711,1259,1770,1655,1640,1215,580,319,58,8496,40,51,71,105,105,75,26,13,486,522,374,451,499,496,526,571,379,3818,2305,4164,4068,4017,3175,1745,1112,492,21078
LGA10110,253,339,286,174,49,19,1274,11,64,96,124,114,34,7,5,455,210,630,530,531,445,199,81,45,2671,118,156,246,319,245,163,72,16,1335,49,34,62,74,69,45,26,8,367,402,515,460,584,407,190,91,19,2668,115,59,43,47,35,10,7,0,316,566,608,565,705,511,245,124,27,3351,26,16,25,56,49,43,18,15,248,395,236,245,255,227,243,213,119,1933,1331,1859,1960,2329,1877,1101,564,246,11267
LGA10150,856,656,407,106,28,9,3368,21,211,218,189,112,29,6,0,786,698,2794,1886,1266,737,214,98,36,7729,400,789,760,653,365,128,61,25,3181,35,81,99,110,92,31,17,19,484,249,615,579,617,422,213,138,37,2870,46,76,70,44,27,11,6,3,283,330,772,748,771,541,255,161,59,3637,44,119,120,167,132,72,49,29,732,501,646,456,448,359,344,452,404,3610,2062,6569,5044,4150,2653,1148,855,562,23043
LGA10200,778,403,209,53,16,3,3071,21,184,139,84,80,18,3,0,529,965,3929,1955,1121,702,250,82,20,9024,777,1600,1094,711,416,151,52,19,4820,63,126,142,133,80,41,9,12,606,634,1099,835,806,570,293,164,39,4440,125,131,127,103,41,11,5,0,543,822,1356,1104,1042,691,345,178,51,5589,119,276,201,207,148,71,50,19,1091,1540,1954,1318,1105,702,449,310,129,7507,4334,10818,6589,4673,2948,1337,691,241,31631
LGA10250,149,190,209,85,29,4,716,7,54,125,131,160,55,16,4,552,102,641,966,858,805,357,163,56,3948,74,258,537,627,603,388,173,56,2716,43,64,84,126,165,75,38,24,619,405,864,1054,1380,1039,572,318,112,5744,83,87,81,88,76,29,15,6,465,531,1015,1219,1594,1280,676,371,142,6828,16,38,72,117,135,90,73,24,565,309,212,294,371,458,458,541,337,2980,1042,2265,3362,3888,3650,2109,1366,623,18305
LGA10300,3,3,0,0,0,0,6,0,3,0,4,8,0,0,0,15,6,26,28,12,5,6,3,4,90,6,15,15,16,13,4,3,0,72,0,3,7,7,0,3,0,0,20,23,49,54,56,42,14,3,3,244,6,6,6,4,0,0,0,0,22,29,58,67,67,42,17,3,3,286,0,3,0,8,8,3,0,0,22,35,19,25,49,36,29,22,9,224,76,124,138,159,112,59,31,16,715
LGA10350,932,674,356,102,21,6,3362,42,262,241,219,179,51,20,6,1020,1577,4897,3597,2408,1395,483,173,55,14585,1268,2767,2624,2099,1249,443,228,58,10736,190,331,504,524,415,158,89,37,2248,2016,3649,3693,3447,2472,1579,1019,322,18197,283,404,378,322,149,49,12,8,1605,2489,4384,4575,4293,3036,1786,1120,367,22050,246,470,553,617,479,343,223,73,3004,2459,2066,2113,2041,1805,1535,1593,1072,14684,8203,15995,14635,12351,8499,4743,3378,1637,69441
LGA10470,144,185,176,80,27,3,688,3,54,103,136,122,40,7,0,465,209,756,741,607,492,220,86,20,3131,113,266,428,501,410,240,105,35,2098,65,68,122,137,142,62,26,13,635,718,1251,1187,1117,784,390,177,44,5668,144,113,99,86,56,21,3,3,525,927,1432,1408,1340,982,473,206,60,6828,30,32,67,105,95,63,40,15,447,657,541,496,432,432,396,380,170,3504,1945,3148,3387,3306,2709,1512,851,303,17161
LGA10550,74,102,134,73,18,0,427,5,46,79,134,165,68,21,0,518,33,256,460,583,642,352,109,39,2474,48,135,292,442,553,295,137,41,1943,23,53,72,116,122,83,29,8,506,347,674,906,1203,1013,598,237,63,5041,76,62,77,85,71,29,10,3,413,446,789,1055,1404,1206,710,276,74,5960,13,24,43,97,109,77,39,18,420,294,172,235,338,468,424,430,256,2617,839,1448,2238,3100,3277,1999,1030,428,14359
LGA10600,46,66,64,38,7,4,237,0,11,37,58,82,20,6,0,214,17,115,284,283,260,113,43,12,1127,26,58,147,220,193,123,51,14,832,10,18,29,51,42,18,7,3,178,125,214,342,530,380,201,103,32,1927,22,22,27,39,21,5,0,0,136,157,254,398,620,443,224,110,35,2241,6,15,22,36,31,36,20,6,172,101,46,75,127,129,132,123,61,794,307,511,1009,1410,1202,686,360,132,5617
