region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA10050,4317,371,231,34,5,3,34,4995
LGA10110,1996,156,93,17,6,7,13,2288
LGA10150,4277,200,70,47,3,4,13,4614
LGA10200,8818,429,164,172,0,8,37,9628
LGA10250,3411,321,190,34,0,0,22,3978
LGA10300,229,17,5,0,0,5,3,259
LGA10350,22531,1121,628,332,14,28,62,24716
LGA10470,3526,331,203,33,4,8,23,4128
LGA10550,2589,246,154,21,0,5,33,3048
LGA10600,1021,108,82,4,0,0,7,1222
LGA10650,640,50,43,3,0,3,5,744
LGA10750,38281,2282,1590,663,47,50,176,43089
LGA10800,551,43,38,9,0,3,9,653
LGA10850,690,50,45,11,0,0,4,800
LGA10900,8007,705,396,55,3,6,48,9220
LGA10950,269,17,23,8,0,0,0,317
LGA11000,203,17,16,0,0,0,3,239
LGA11050,212,14,16,3,0,0,3,248
LGA11100,4554,251,121,61,4,0,11,5002
LGA11150,223,13,11,8,3,0,3,261
LGA11200,118,6,7,12,0,0,8,151
LGA11250,1343,154,109,13,0,3,17,1639
LGA11300,3576,162,70,48,4,5,7,3872
LGA11350,2472,216,129,12,3,5,17,2854
LGA11400,1342,104,73,9,4,0,14,1546
LGA11450,7364,589,420,69,6,10,35,8493
LGA11500,16351,1281,893,309,21,36,122,19013
LGA11520,8832,455,161,71,3,9,14,9545
LGA11550,17017,836,403,233,8,12,38,18547
LGA11600,248,17,16,4,0,0,3,288
LGA11700,132,10,6,7,0,4,3,162
LGA11720,4712,496,383,78,11,14,60,5754
LGA11730,3871,364,292,58,3,20,46,4654
LGA11750,417,34,40,4,0,0,4,499
LGA11800,5884,586,372,67,3,9,53,6974
LGA11860,180,8,10,6,0,0,0,204
LGA12000,379,28,24,6,0,0,5,442
LGA12050,861,74,53,7,3,3,3,1004
LGA12150,311,12,14,10,0,0,9,356
LGA12200,596,56,27,6,4,0,9,698
LGA12300,912,79,73,5,0,0,11,1080
LGA12350,1031,93,62,8,0,5,6,1205
LGA12500,571,49,31,9,0,5,3,668
LGA12600,3656,301,226,51,4,8,45,4291
LGA12700,849,65,51,12,0,0,7,984
LGA12750,2471,284,167,33,0,11,26,2992
LGA12850,23322,1244,646,495,23,32,94,25856
LGA12900,764,59,42,9,0,3,17,894
LGA12950,371,21,27,7,0,0,12,438
LGA13010,650,61,39,7,0,0,8,765
LGA13050,405,16,23,3,0,0,7,454
LGA13100,16059,1450,896,131,12,17,89,18654
LGA13310,2346,298,174,29,5,4,33,2889
LGA13320,2306,235,131,20,0,8,36,2736
LGA13340,1021,66,54,3,0,0,15,1159
LGA13380,3542,359,263,59,9,8,53,4293
LGA13450,2680,155,103,25,4,4,22,2993
LGA13500,357,35,21,3,0,0,3,419
LGA13550,1126,103,62,9,4,0,15,1319
LGA13650,396,29,27,10,0,0,7,469
LGA13660,459,42,20,6,0,0,6,533
LGA13700,304,22,20,3,0,0,3,352
