region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101011001,29,53,79,93,59,48,18,0,0,379,10,25,46,34,34,30,9,3,5,196,689,889,1735,2046,2214,1460,278,48,5,9364
101011002,24,17,28,46,40,40,10,3,0,208,8,11,12,19,24,21,13,15,0,123,314,293,607,1149,1426,1134,379,122,10,5434
101011003,7,13,24,20,19,18,0,0,0,101,11,8,11,9,11,13,6,0,0,69,226,268,534,739,673,462,101,17,3,3023
101011004,17,7,27,45,40,28,8,0,0,172,10,3,10,30,26,25,12,3,0,119,302,289,703,1448,1471,1020,325,51,4,5613
101011005,22,18,32,37,28,25,9,0,0,171,11,7,11,20,17,19,5,6,4,100,308,356,725,923,948,674,166,34,4,4138
101011006,3,6,16,22,22,17,6,0,0,92,0,13,14,14,17,17,10,9,3,97,146,189,388,651,812,650,209,51,6,3102
101021007,6,6,8,19,13,11,6,3,0,72,3,6,0,6,11,6,0,0,0,32,78,60,183,359,420,318,114,19,0,1551
101021008,20,21,44,42,35,16,3,0,0,181,7,17,20,29,21,18,6,0,0,118,304,423,984,1064,1050,612,106,3,0,4546
101021009,15,37,42,45,35,24,6,3,0,207,4,17,32,19,24,19,7,3,0,125,252,611,1503,1243,1023,686,103,6,0,5427
101021010,6,19,16,18,9,9,3,0,0,80,0,6,9,7,8,7,3,3,0,43,120,323,732,581,559,315,74,9,0,2713
101021011,32,41,38,67,66,44,6,0,0,294,14,5,18,27,36,23,0,0,0,123,502,547,963,1890,2208,1398,282,28,0,7818
101021012,23,34,47,55,55,27,3,0,0,244,15,17,20,36,24,14,0,0,0,126,504,635,1333,2137,1787,768,95,0,0,7259
101031013,3,0,3,12,3,7,0,0,0,28,3,3,6,8,3,3,3,0,0,29,50,63,161,212,284,235,72,17,4,1098
101031014,6,12,19,20,40,21,0,3,0,121,5,3,13,11,7,10,7,0,0,56,202,222,460,625,764,506,132,27,0,2938
101031015,4,6,0,12,4,7,3,0,0,36,4,0,4,4,3,11,5,0,0,31,99,78,144,333,442,310,143,23,0,1572
101031016,9,9,20,16,20,16,3,0,0,93,10,8,8,12,17,13,6,0,0,74,226,292,624,788,824,506,129,37,7,3433
101041017,6,14,23,25,33,23,6,0,0,130,8,6,11,12,11,10,6,0,0,64,180,174,429,546,604,513,97,8,0,2551
