SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED10001,13,30,10,17,20,0,87,18,64,13,20,8,0,121,153,283,45,154,39,6,683,921,160,91,280,39,15,1512,569,47,13,251,29,3,911,1214,90,25,307,55,8,1695,1776,41,8,307,39,6,2175,1267,11,11,173,14,4,1475,283,0,3,38,5,0,334,66,3,0,14,7,0,80,18,0,0,0,0,0,19,4,0,0,0,0,0,6,0,0,0,0,0,0,7,9,0,0,0,0,0,14,114,54,14,109,71,27,388,6423,782,232,1669,325,80,9511
SED10002,12,48,5,4,0,0,76,10,126,34,5,0,0,174,56,489,63,50,23,5,686,65,301,93,89,34,3,584,86,120,20,84,25,3,331,250,149,63,91,46,4,603,919,78,50,172,58,7,1291,3177,98,66,482,126,8,3956,4818,52,25,532,179,16,5621,2434,9,13,239,81,13,2780,784,0,0,93,25,6,901,330,0,0,33,15,0,381,111,0,0,5,3,0,121,93,0,0,21,7,0,128,262,105,26,206,97,63,758,13409,1574,467,2114,713,124,18390
SED10003,7,9,3,11,11,0,42,3,13,3,7,3,0,29,14,257,35,44,39,5,387,25,111,100,80,45,3,360,22,44,29,117,36,0,253,90,55,38,189,55,5,437,345,39,30,351,80,6,846,899,30,27,563,54,6,1583,975,12,13,455,27,6,1493,866,3,5,338,13,12,1239,584,0,3,198,5,0,798,265,0,3,139,9,0,419,173,0,0,58,4,0,234,219,0,0,116,6,0,335,87,47,15,132,40,16,331,4569,622,290,2796,431,68,8780
SED10004,4,64,4,6,0,0,81,0,126,10,0,0,0,143,10,877,64,26,4,3,986,38,264,135,43,8,7,486,76,142,39,57,9,0,325,219,108,46,81,21,0,484,626,94,52,171,36,4,979,1486,91,109,238,40,0,1959,2006,34,26,277,24,0,2362,2028,20,3,238,10,0,2297,1919,15,4,229,10,0,2168,1361,8,0,169,13,3,1549,794,0,0,94,0,5,895,1297,3,0,200,0,5,1506,146,105,20,99,25,21,417,12013,1942,515,1917,195,52,16639
SED10005,9,73,12,9,0,0,101,0,206,13,3,0,0,231,18,913,62,27,12,6,1033,23,480,102,59,13,0,672,36,220,42,76,7,0,385,102,250,56,68,14,4,493,379,155,83,153,36,8,810,2621,144,95,467,118,6,3444,2013,89,20,341,121,10,2598,783,20,15,120,45,7,982,323,0,3,52,16,0,398,119,0,0,27,0,0,152,29,0,0,7,0,0,36,21,0,0,8,3,0,36,136,164,17,149,47,43,567,6618,2709,531,1557,438,90,11943
SED10006,14,107,21,57,269,0,471,13,59,32,46,94,9,250,106,157,96,277,141,17,792,439,294,243,426,165,20,1584,370,144,83,357,85,12,1057,552,147,73,371,75,8,1224,431,41,28,254,46,5,801,279,26,4,115,51,4,473,44,6,0,18,9,0,72,5,0,0,7,3,0,17,3,0,0,0,4,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,11,3,0,18,44,51,32,171,201,30,533,2309,1040,626,2112,1129,105,7324
SED10007,10,39,12,16,12,0,88,4,63,13,13,3,0,103,85,333,63,90,23,6,600,259,169,32,139,29,0,632,294,100,17,190,14,3,624,775,81,22,239,17,0,1141,1648,101,27,369,30,4,2175,1553,26,9,214,12,7,1817,467,0,0,59,7,0,537,47,0,0,15,0,0,68,7,0,0,4,0,0,18,6,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,8,0,0,8,79,57,10,92,58,23,311,5242,985,202,1446,216,49,8141
SED10008,3,0,0,0,0,0,8,0,0,0,0,0,0,0,7,19,4,16,0,0,37,9,17,21,13,3,0,66,13,7,6,23,0,0,52,18,7,4,39,11,3,78,51,4,10,49,10,0,115,488,11,11,124,19,0,649,1111,4,3,124,10,0,1260,1375,4,0,95,6,0,1480,830,0,0,67,7,0,901,344,0,0,26,5,0,377,168,0,0,17,4,0,189,168,0,0,26,0,0,195,67,8,6,57,12,12,161,4652,85,69,675,79,16,5571
SED10009,3,15,0,23,16,0,61,4,12,8,11,5,0,39,26,209,34,90,36,7,407,83,110,58,181,32,3,470,164,59,34,184,30,4,463,405,70,61,261,38,3,843,881,59,25,391,45,11,1407,1332,38,18,460,58,9,1913,494,4,0,142,9,0,657,110,0,0,43,6,0,162,15,0,0,10,0,0,27,4,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,10,0,0,11,45,45,26,115,34,25,278,3578,611,260,1932,307,67,6749
SED10010,7,60,7,4,0,0,91,3,137,5,4,3,0,154,16,759,25,31,8,5,848,41,323,38,75,10,3,485,57,153,18,59,7,0,295,141,172,35,74,7,0,423,805,153,29,194,19,3,1201,4061,221,50,619,119,19,5089,1927,52,12,258,58,10,2310,495,4,7,54,17,3,577,103,3,0,12,3,0,118,17,0,0,4,0,0,28,10,0,0,0,0,0,6,9,0,0,4,0,0,14,135,105,11,90,20,29,395,7831,2135,231,1485,265,82,12033
