SED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10019,1053,1214,2513,2788,3393,3183,804,91,6,15045,691,372,928,780,1063,2410,4589,2946,1302,15084,161,137,312,346,320,346,364,314,218,2531,1908,1731,3751,3913,4773,5944,5765,3352,1529,32658,489,1287,2798,3110,3877,3206,725,96,6,15604,1281,863,1643,1774,2025,2475,939,146,15,11162,113,82,302,222,265,337,118,19,3,1457,57,71,131,111,108,103,47,30,9,675,1943,2304,4874,5219,6279,6122,1825,295,39,28895,111,147,207,164,169,195,20,0,0,1017,161,75,117,74,116,163,28,0,0,737,273,223,327,236,286,356,51,0,0,1749,2216,2531,5196,5454,6560,6475,1880,296,39,30644,1555,738,1703,1573,2061,4484,9038,5694,2136,28977,330,309,597,709,704,776,731,588,343,5087,4092,3580,7499,7735,9332,11733,11651,6572,2524,64716
SED10020,1382,1341,3347,3805,4066,3374,798,55,8,18181,733,315,857,777,810,1952,4205,2727,1120,13496,118,101,317,285,261,255,257,307,279,2176,2240,1760,4520,4865,5136,5581,5252,3089,1402,33851,435,1264,3652,4224,4692,3143,604,44,3,18067,1715,1101,2262,2477,2437,2615,1035,99,10,13763,149,111,357,266,239,337,116,11,4,1586,48,75,163,123,107,86,33,10,6,642,2347,2547,6436,7098,7478,6177,1790,162,20,34050,101,144,214,181,203,162,17,0,0,1029,232,85,142,130,113,148,32,5,4,886,335,225,355,306,319,315,45,0,4,1911,2680,2778,6790,7403,7798,6491,1837,168,23,35969,1578,603,1342,1277,1475,3570,7860,5048,1874,24626,245,222,657,593,550,523,482,507,425,4208,4505,3601,8788,9273,9821,10579,10183,5726,2320,64798
SED10021,625,1796,8382,5712,4501,2796,812,97,9,24724,1013,419,882,948,898,1195,2178,1673,804,10005,70,112,552,339,218,155,180,246,389,2249,1700,2326,9816,6998,5612,4142,3162,2022,1201,36979,89,1329,10981,7998,6137,3329,682,67,4,30602,602,1180,2785,2335,2065,1732,828,155,19,11706,321,495,985,684,404,319,186,42,4,3437,12,59,251,134,64,52,19,3,4,599,1031,3058,14996,11152,8671,5434,1712,263,27,46347,9,72,285,215,217,129,23,0,0,958,118,113,155,110,88,97,28,4,0,713,130,184,442,324,303,229,52,5,0,1666,1163,3246,15438,11475,8977,5661,1766,272,34,48019,2116,815,1525,1365,1377,2048,3776,3025,1326,17375,134,207,1121,709,464,331,339,406,604,4304,3413,4268,18084,13545,10811,8041,5876,3698,1959,69698
SED10022,1030,1149,2566,2789,3274,3023,997,183,22,15022,825,328,727,651,839,1760,3601,2566,1228,12521,134,129,260,284,267,314,347,301,125,2160,1991,1603,3553,3719,4378,5092,4943,3048,1383,29708,705,1469,3289,3533,4199,3697,1149,219,18,18278,1061,669,1483,1578,1693,2045,1060,253,35,9880,86,99,291,204,198,275,121,29,6,1308,75,55,118,124,104,135,72,36,15,737,1937,2287,5175,5443,6197,6157,2404,531,70,30204,70,115,174,153,156,130,22,0,0,815,111,78,92,60,60,98,20,5,0,527,177,194,261,208,222,226,45,3,0,1340,2114,2483,5434,5654,6419,6385,2443,539,73,31545,1738,610,1283,1238,1639,3179,6773,4857,1970,23294,295,272,540,579,601,706,703,530,220,4452,4150,3367,7264,7467,8658,10269,9931,5925,2266,59293
SED10023,1255,1972,4004,4321,4736,3467,958,96,12,20816,1025,257,495,686,737,1601,3110,2147,1094,11145,51,59,187,157,149,112,120,134,180,1152,2323,2291,4682,5160,5625,5181,4190,2377,1278,33116,409,1774,5145,5349,6049,3797,778,63,4,23365,1321,1332,1751,2429,2603,2434,1049,168,27,13119,575,555,769,648,594,641,269,33,0,4086,14,38,109,89,75,66,25,13,6,431,2317,3701,7778,8514,9326,6938,2118,277,31,41003,34,82,139,90,160,138,15,0,0,659,215,73,55,56,59,85,50,5,0,601,246,156,195,148,215,230,62,0,0,1253,2566,3851,7972,8657,9543,7166,2186,285,31,42262,2194,549,750,965,1174,2732,5633,3957,1831,19796,111,119,395,330,317,242,232,225,242,2214,4865,4522,9116,9963,11042,10139,8055,4469,2102,64271
SED10024,1104,1696,2309,4495,5214,3198,1045,151,9,19226,1707,359,397,1078,1313,1664,2967,2910,1325,13719,42,45,72,124,121,98,102,107,155,869,2850,2093,2781,5704,6640,4960,4118,3170,1485,33810,140,1153,2906,5754,7190,4186,882,103,0,22318,1220,1536,1007,2182,2620,2110,1231,299,25,12233,553,585,383,489,451,364,202,41,5,3085,8,36,58,109,87,57,18,7,0,394,1923,3316,4365,8530,10353,6721,2336,448,37,38027,15,81,119,148,192,172,27,0,0,756,249,132,50,85,109,85,42,7,0,757,266,211,172,236,298,256,69,7,0,1513,2194,3519,4540,8757,10650,6973,2409,455,40,39538,3654,858,688,1383,1790,2584,5152,5194,2227,23537,90,90,138,231,241,197,188,175,222,1571,5942,4465,5368,10375,12680,9756,7746,5827,2489,64649
SED10025,743,1599,5515,5068,4691,3286,935,90,7,21932,1147,446,923,1097,1000,1770,3096,2230,1041,12754,42,90,323,252,163,151,158,179,289,1648,1937,2135,6765,6418,5855,5207,4188,2497,1344,36335,117,1310,7051,7069,6052,3753,849,74,4,26289,785,1119,2189,2264,2141,1978,973,154,13,11623,354,487,865,730,512,499,242,36,8,3728,21,50,181,154,96,48,27,15,3,586,1279,2970,10282,10219,8804,6284,2097,277,23,42229,22,92,282,210,215,178,29,0,0,1031,123,114,135,86,78,78,37,4,0,667,140,203,426,300,295,261,64,5,0,1696,1417,3180,10702,10516,9101,6542,2160,280,23,43924,2327,911,1569,1556,1541,2832,5281,3994,1729,21740,96,198,629,506,327,297,314,295,387,3047,3840,4287,12901,12576,10965,9676,7756,4571,2140,68709
SED10026,1301,1578,4413,3874,3763,3224,895,130,15,19195,749,380,950,687,771,1479,2927,2232,951,11126,177,181,499,442,396,369,306,293,152,2824,2222,2146,5872,5004,4926,5069,4122,2658,1122,33140,727,2003,5798,5064,5133,4071,1029,162,16,24011,1484,824,2186,2043,1748,1966,922,184,27,11382,142,99,521,285,219,283,115,24,0,1691,53,86,215,143,124,98,46,30,3,797,2411,3019,8716,7544,7220,6416,2109,400,49,37884,102,111,197,161,164,120,15,0,0,864,151,79,98,67,63,77,36,5,0,570,256,189,294,223,223,196,48,5,0,1431,2672,3203,9008,7760,7448,6611,2160,402,49,39317,1642,726,1619,1271,1413,2636,5366,4043,1533,20256,402,394,1011,892,807,762,626,517,259,5684,4721,4323,11642,9931,9666,10007,8148,4966,1842,65249
SED10027,878,1777,3596,3960,3752,2702,589,43,0,17292,1567,629,1435,1593,1481,2196,2981,2052,996,14941,114,104,320,292,228,177,176,221,322,1951,2552,2514,5350,5841,5468,5073,3743,2314,1326,34181,218,1242,4107,4691,4545,3024,551,27,0,18412,868,1139,1572,1975,1785,1559,505,70,6,9472,467,736,1152,1056,967,834,233,36,0,5484,22,67,187,158,111,64,21,4,0,636,1572,3185,7018,7882,7414,5485,1308,141,0,34001,57,157,238,207,195,156,27,0,0,1026,160,148,104,90,80,120,20,0,0,717,215,303,337,292,275,277,49,0,0,1745,1786,3491,7361,8172,7680,5762,1356,137,0,35754,3412,1455,2363,2497,2489,3808,5543,3735,1728,27024,235,226,643,583,439,396,357,388,502,3767,5435,5174,10359,11250,10610,9961,7258,4263,2236,66547
SED10028,1021,1945,3904,5351,4706,3444,835,97,7,21311,1659,505,747,1300,1271,2108,3320,2446,1449,14800,43,63,179,191,122,118,125,204,361,1410,2720,2511,4828,6845,6102,5668,4281,2752,1810,37527,123,1384,5153,7309,6457,4320,858,70,4,25668,1118,1621,1543,2307,2259,2133,904,161,15,12059,423,603,593,624,565,577,206,25,0,3618,17,34,121,146,80,59,26,3,3,494,1674,3642,7412,10389,9364,7080,1995,262,22,41845,26,122,257,293,241,162,23,0,0,1129,241,171,125,137,121,119,49,6,0,975,269,294,381,432,364,282,81,10,0,2102,1941,3939,7794,10817,9727,7361,2072,276,28,43946,3552,1161,1291,1757,1814,3278,5959,4268,2332,25410,109,127,363,359,250,250,223,338,523,2538,5607,5222,9443,12926,11792,10886,8255,4884,2882,71896
