SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10001,1588,940,911,936,966,974,830,498,199,7838,15687,9653,9893,9814,10195,11228,10365,5955,2205,84989
SED10002,1880,1552,2677,1986,1298,1046,590,305,176,11504,20118,15909,27618,18293,12551,11404,7278,3370,1282,117822
SED10003,1470,833,1029,1141,1110,1124,938,481,262,8377,13355,7489,9135,10398,11100,11705,11211,5601,2422,82405
SED10004,743,712,1119,1013,826,697,464,264,164,6007,12437,8824,15425,14321,11947,9054,6946,3237,1075,83273
SED10005,2454,1456,1684,1516,1240,965,679,414,355,10760,20465,12983,14649,12398,10993,10347,7154,3764,1919,94669
SED10006,2369,1313,1314,1261,1362,1506,1159,748,351,11386,14011,7654,8820,7759,8845,10715,8899,5201,2038,73947
SED10007,1459,1104,1268,1182,1123,967,847,486,158,8594,14511,9446,9491,8907,10149,10944,9654,5444,1941,80490
SED10008,768,455,436,563,518,467,359,247,171,3975,17760,10515,8587,13963,12002,10418,8888,4919,1554,88614
SED10009,1257,724,610,653,919,1158,1065,603,338,7334,11043,6286,6201,6895,9107,13267,14047,7104,2582,76529
SED10010,1599,1063,1346,1155,913,748,443,268,118,7650,18028,11928,15398,14467,10650,9587,7253,3547,1399,92258
SED10011,861,480,413,557,627,573,487,328,223,4559,12567,7358,6700,8908,10062,10340,9808,4876,1644,72271
SED10012,1393,955,950,880,895,944,564,345,279,7204,14613,12105,11101,10023,11201,11673,8272,3696,1741,84426
SED10013,2229,1072,1219,1306,1019,703,460,272,207,8482,32671,16059,21176,20491,15774,11547,8184,3922,1443,131265
SED10014,1889,1078,1095,1067,846,754,524,338,148,7733,17723,11126,12224,11637,9591,9305,7647,3668,962,83881
SED10015,1172,905,1344,1197,1036,861,578,458,343,7900,15004,11175,15074,13657,12879,11028,7751,5144,2355,94065
SED10016,963,709,530,703,754,506,335,204,136,4843,22901,13872,10839,17090,14958,10741,8082,4120,1305,103905
SED10017,1630,1050,1349,1196,1059,855,613,356,161,8275,17988,10488,12545,11366,10759,10164,8727,4151,1561,87750
SED10018,1040,605,618,615,634,548,438,277,188,4959,14472,8826,9115,9923,9887,8975,7483,5096,2215,75991
SED10019,1588,1042,1221,1174,1116,1155,929,540,238,9003,12969,7674,7499,7735,9332,11733,11651,6572,2524,77685
SED10020,1318,795,838,877,852,816,660,499,326,6975,13964,8105,8788,9273,9821,10579,10183,5726,2320,78759
SED10021,834,544,1388,981,717,536,464,357,430,6255,12953,7678,18084,13545,10811,8041,5876,3698,1959,82648
SED10022,1456,954,947,1008,1021,1000,859,609,222,8076,13146,7512,7264,7467,8658,10269,9931,5925,2266,72435
SED10023,894,594,599,621,707,606,435,266,210,4932,14118,9388,9116,9963,11042,10139,8055,4469,2102,78388
SED10024,672,458,241,400,549,449,334,258,210,3576,16416,10408,5368,10375,12680,9756,7746,5827,2489,81071
