SED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED10031,6622,6733,5699,4649,4468,2816,2439,4015,765,38211
SED10032,3788,9628,4050,3974,5516,3135,3240,3800,1105,38222
SED10033,5827,6250,7116,3854,5593,2991,3077,3420,710,38843
SED10034,5852,10452,5737,4458,6269,3022,1493,2307,519,40103
SED10035,11282,25438,6078,5409,8274,4833,2208,3459,1180,68160
SED10036,4666,8316,4661,4013,6155,2960,3244,2739,742,37493
SED10037,6861,14403,4376,3960,5831,2919,1173,2390,554,42467
SED10038,4986,11132,5000,4708,4583,2751,1861,2583,492,38097
SED10039,4593,7427,5589,4803,4134,2907,2238,3113,558,35364
SED10040,4684,11250,4570,4780,5879,3964,2384,4302,963,42772
SED10041,8557,17081,2320,2944,5208,2744,605,1321,685,41465
SED10042,3734,6646,5689,4718,4394,2906,2646,3320,571,34626
SED10043,2825,6152,3372,3308,4237,3054,2827,2997,853,29610
SED10044,9842,19008,3215,3140,6098,3118,737,1375,756,47291
SED10045,4493,6125,4259,4376,3669,2801,1882,4210,582,32402
SED10046,2846,5828,4052,3736,4908,2844,4358,3841,860,33267
SED10047,5081,8739,6136,5700,7818,3947,7060,4987,1155,50628
SED10048,4887,10525,5355,5473,7277,3908,4860,4449,1129,47850
SED10049,4519,7369,7031,5789,5399,3955,4057,4466,697,43280
SED10050,10519,16366,3708,3612,4850,3318,951,1489,699,45524
SED10051,6931,12384,4642,4042,5836,3156,1844,2526,756,42121
SED10052,6807,10449,4816,3596,6092,3322,1452,1968,642,39157
SED10053,8282,9346,6151,4952,6844,3195,2453,3640,1010,45857
SED10054,2968,6276,4200,4221,5711,3004,5967,4362,857,37574
SED10055,5684,7569,5905,4070,7489,3689,4116,3396,774,42703
SED10056,7353,5116,5236,4104,4320,2989,3041,6472,900,39535
SED10057,3069,4659,3861,4209,2890,2880,1537,3348,529,26980
SED10058,5421,13622,4629,5521,4687,2966,1606,2716,591,41746
SED10059,8235,21352,3280,3757,5195,2823,873,1676,741,47940
SED10060,10376,20113,2044,2423,5158,2686,408,869,795,44858
SED10061,5887,5960,3857,4048,3565,2695,1957,4429,606,33007
SED10062,5461,10742,3770,3196,5953,3075,1635,2166,666,36677
SED10063,5527,7282,5298,4464,4371,2914,2902,3940,623,37327
SED10064,3697,4749,3984,4511,3052,2522,1827,3688,552,28600
SED10065,6687,17826,5019,4613,7391,3818,2976,3572,1120,53013
SED10066,4661,7901,5462,4399,6175,3283,3578,3503,726,39674
SED10067,7672,10313,4696,3259,4523,3054,997,1725,585,36819
SED10068,3751,7015,4526,4989,3951,3122,1495,3097,545,32484
SED10069,3480,4619,5315,4345,3822,2896,2365,3448,623,30912
SED10070,3930,8191,3889,3063,5755,2685,3413,2899,775,34610
SED10071,8781,18680,5890,5404,9472,4609,3788,3362,1113,61102
SED10072,6176,12256,4880,4167,6584,3909,2336,3614,933,44863
SED10073,7167,18687,4578,3859,6972,3771,1457,2527,909,49942
SED10074,5197,11956,4178,3553,5978,2872,2747,2690,758,39924
SED10075,3855,6514,6554,5516,5264,3606,3274,4022,700,39301
SED10076,3454,4973,4956,4446,3186,2803,1417,3284,457,28984
SED10077,6233,16250,4678,4741,6644,4119,2052,4473,1200,50390
SED10078,6875,17021,3743,3487,5474,2776,1291,2282,633,43566
SED10079,3273,5448,5222,4327,4030,2925,2155,3268,481,31136
SED10080,11352,22379,3682,4376,5570,3543,982,2711,1114,55695
SED10081,5118,6081,5036,4460,4018,3133,3093,5020,601,36558
SED10082,5332,9401,4703,4070,4626,3011,1159,2411,535,35250
SED10083,3912,6617,5172,4379,4425,3136,2053,3434,569,33688
SED10084,4126,6750,5294,4859,3995,3294,1635,3649,677,34278
SED10085,4817,4370,6317,4042,3639,2589,5183,4628,688,36276
SED10086,10247,18106,2226,2567,4289,3103,485,988,1051,43053
SED10087,5178,7724,5922,5552,4360,3483,2431,4361,714,39727
SED10088,7972,11682,5298,4314,5534,3706,1630,2680,630,43441
SED10089,3900,10212,5658,5852,5075,3896,2681,4020,607,41902
SED10090,9649,18331,2537,2798,5210,2978,668,1268,755,44189
SED10091,5611,6867,6902,4119,5224,3240,3125,3649,695,39430
SED10092,3968,9297,5061,4957,4696,3121,2427,3630,655,37816
SED10093,3668,5382,5329,5130,4450,3452,2819,4018,631,34873
SED19494,234,500,279,334,236,171,253,419,77,2511
SED19797,0,0,0,0,0,0,0,0,0,0
