SED_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SED10001,497,1223,3140,3155,3131,2725,680,89,7,14661,681,460,619,499,511,686,548,121,14,4131,60,42,87,104,129,173,80,14,6,685,43,35,84,50,55,46,23,21,8,356,1278,1761,3930,3803,3825,3633,1335,245,31,19842,69,90,133,107,117,119,16,0,0,650,94,54,39,25,20,46,31,0,0,317,162,142,171,137,136,165,48,0,0,960,1442,1906,4100,3936,3962,3794,1383,248,31,20803,951,264,448,473,641,1344,3400,2321,729,10573,152,164,346,318,345,341,323,212,99,2289,2547,2330,4898,4723,4946,5481,5108,2780,858,33662,186,741,1765,1728,2115,1521,290,29,0,8366,1051,807,1578,1856,1710,1710,632,66,5,9423,76,88,335,179,154,187,68,8,4,1097,17,31,52,38,39,43,24,9,4,261,1329,1669,3735,3806,4017,3460,1014,109,12,19151,32,53,62,61,54,46,4,0,0,302,114,63,71,77,56,71,9,0,0,458,141,111,128,136,111,113,14,0,0,764
SED10002,73,894,5104,3918,2198,1605,359,18,3,14171,301,1374,2380,1221,690,615,243,23,4,6849,98,421,1123,761,538,450,129,4,0,3527,18,160,393,182,122,66,19,4,0,973,497,2847,9006,6085,3546,2737,748,46,9,25512,35,206,598,371,255,227,28,0,0,1723,87,272,261,90,54,73,19,0,0,856,123,480,857,467,312,297,48,0,0,2582,623,3325,9868,6544,3857,3034,792,47,9,28099,1951,1926,3875,2689,2172,2242,2576,1468,448,19347,192,473,1196,773,503,398,250,150,100,4041,2769,5719,14938,10011,6531,5682,3623,1666,554,51488,46,941,4111,2375,1582,1033,163,13,0,10258,340,1371,2342,1457,950,730,217,11,5,7429,120,347,870,514,380,319,64,0,0,2612,19,95,234,112,70,52,6,0,0,590,525,2753,7554,4454,2984,2137,458,24,5,20892,21,112,296,157,143,90,12,0,0,840,95,198,222,142,105,89,12,0,0,858,124,312,517,294,244,181,19,0,0,1698
SED10003,250,605,1899,2642,2685,2033,509,60,3,10695,748,483,1070,1012,1064,1167,794,141,17,6501,73,58,160,159,152,191,71,10,5,882,21,33,92,80,76,48,21,9,0,388,1099,1181,3227,3902,3985,3435,1391,219,22,18458,31,56,112,91,93,82,7,0,0,474,92,31,59,44,56,63,30,5,0,383,129,93,165,132,152,147,34,5,0,854,1227,1274,3400,4032,4134,3581,1426,221,22,19315,757,213,432,485,666,1586,3713,2228,779,10858,152,131,410,438,373,387,369,182,95,2542,2137,1627,4232,4952,5174,5555,5507,2631,900,32722,92,424,1339,1476,1942,1332,225,14,0,6847,904,722,1828,2193,2159,2041,752,80,6,10679,97,75,280,251,182,199,73,8,0,1167,31,19,90,65,65,50,16,4,6,346,1135,1241,3535,3985,4343,3617,1065,110,8,19042,22,43,79,49,63,51,5,0,0,315,85,46,78,68,104,74,26,3,0,474,111,85,156,120,171,123,27,3,0,788
SED10004,53,634,4277,4850,3825,2063,507,44,0,16250,275,629,1120,772,643,644,467,99,3,4650,145,290,380,248,174,144,77,14,0,1468,8,21,80,65,37,23,10,0,0,238,475,1578,5857,5934,4684,2871,1065,151,8,22612,20,69,192,171,153,123,20,0,0,744,67,100,116,41,42,38,26,4,0,424,90,168,302,204,198,155,45,5,0,1165,561,1743,6162,6140,4876,3025,1103,157,8,23780,1031,626,819,537,631,1069,1901,1201,347,8157,76,176,424,361,284,245,179,115,71,1944,1664,2546,7403,7035,5795,4345,3192,1475,426,33882,26,730,4200,3675,3228,1743,367,26,0,13998,328,841,1426,1608,1317,1024,559,75,5,7183,182,366,581,494,233,196,56,11,0,2126,3,22,69,48,32,28,11,4,0,217,541,1963,6280,5827,4809,2996,989,116,7,23524,12,44,157,134,115,80,11,0,0,551,68,120,107,69,68,62,21,4,0,521,75,168,267,201,189,146,32,0,0,1075
SED10005,61,558,2369,2120,1746,1380,278,16,0,8522,291,632,1006,762,588,541,172,32,0,4022,173,361,691,532,523,485,131,13,0,2904,13,85,177,149,82,53,16,3,0,588,542,1638,4245,3556,2940,2449,600,62,3,16040,64,155,325,252,208,157,21,0,0,1173,111,128,93,54,60,64,14,0,0,516,172,281,415,301,264,221,32,7,0,1697,720,1922,4657,3857,3204,2673,632,63,3,17735,2248,1212,2005,1755,1696,2151,2609,1533,632,15840,258,347,653,594,477,362,256,206,110,3265,3227,3483,7316,6203,5376,5187,3498,1802,746,36840,52,619,1789,1252,1303,832,160,4,0,6015,343,642,1067,1048,848,661,180,11,0,4808,159,324,535,390,372,310,73,0,0,2167,12,48,124,66,60,39,5,0,0,367,566,1640,3519,2761,2586,1853,417,14,0,13348,37,102,154,93,101,73,6,0,0,566,116,100,146,116,100,90,8,0,0,668,147,195,298,208,207,172,14,0,0,1232
SED10006,399,880,2481,2274,2405,2494,886,165,24,12003,354,245,377,276,356,511,398,116,27,2662,23,34,112,83,112,122,71,15,5,588,31,44,72,66,58,88,43,21,6,428,813,1207,3044,2702,2929,3211,1399,323,59,15686,61,92,127,102,121,121,22,0,0,647,52,35,47,25,32,55,19,0,0,266,116,131,172,126,152,177,36,0,0,912,930,1337,3212,2823,3080,3384,1441,317,61,16594,868,280,435,460,744,1380,2701,1831,590,9282,296,254,550,488,564,649,539,347,122,3819,2089,1872,4201,3778,4387,5413,4674,2498,772,29688,159,574,1567,1326,1769,1527,404,63,8,7402,557,366,1072,1136,1032,1209,469,79,8,5931,38,43,266,118,84,142,53,10,0,754,30,24,77,54,58,71,21,21,0,356,794,1000,2985,2633,2944,2952,948,171,19,14440,43,39,74,63,68,40,4,0,0,337,56,32,68,55,48,68,13,0,0,338,99,73,143,119,111,110,14,0,0,682
SED10007,426,1073,2804,2770,2992,2457,662,102,4,13281,652,467,538,417,489,648,491,131,13,3857,80,69,129,98,143,188,78,11,0,794,30,60,77,58,66,44,26,15,0,374,1184,1669,3554,3340,3692,3339,1252,254,19,18301,71,105,133,108,133,113,10,0,0,673,81,40,39,24,26,43,14,5,0,283,149,149,175,133,163,157,26,5,0,953,1336,1817,3731,3473,3850,3495,1277,259,24,19261,1090,467,853,758,814,1600,3258,2173,626,11637,158,156,291,317,317,358,338,228,68,2225,2582,2440,4877,4553,4983,5454,4870,2657,715,33124,195,709,1644,1603,2154,1489,298,35,5,8127,867,739,1377,1434,1483,1451,506,83,8,7940,72,104,318,160,144,206,63,9,4,1070,33,25,51,59,26,37,7,15,4,253,1164,1567,3391,3255,3808,3181,878,129,13,17393,38,49,59,55,55,44,6,0,0,301,99,66,64,58,56,67,5,0,0,415,137,120,122,107,108,112,11,0,0,720
SED10008,166,865,2552,4758,4034,2678,632,49,3,15736,545,726,589,717,651,720,518,116,8,4592,199,304,257,306,286,287,130,23,0,1802,8,26,65,81,53,38,23,0,4,300,915,1922,3474,5858,5028,3716,1302,195,16,22430,16,94,112,127,134,125,38,5,0,650,135,87,32,22,26,30,31,6,0,374,148,176,144,149,161,158,67,11,0,1026,1067,2099,3621,6012,5191,3877,1366,206,19,23453,1693,546,447,474,527,1058,2739,2124,545,10155,52,61,134,189,115,104,91,87,69,899,2814,2711,4195,6667,5835,5040,4191,2417,627,34506,62,700,2149,3215,2827,1558,281,12,4,10804,616,796,851,1892,1648,1297,531,57,0,7698,279,303,366,453,330,301,112,11,0,2164,10,15,42,57,37,34,13,5,0,213,956,1816,3407,5621,4842,3189,937,91,8,20875,7,40,91,112,94,56,3,0,0,403,127,65,50,99,60,51,11,0,0,463,129,108,139,210,154,104,16,0,0,862
SED10009,313,612,1659,1902,2218,1974,522,68,3,9280,568,318,515,479,752,1172,690,98,11,4593,59,36,82,94,138,224,87,16,0,742,30,24,73,73,79,66,17,10,0,378,970,990,2329,2547,3187,3442,1319,190,26,14997,37,47,92,62,94,88,16,0,0,440,52,36,47,20,31,53,25,0,0,266,94,84,135,85,119,145,44,0,0,704,1065,1068,2463,2635,3305,3586,1359,192,26,15695,732,188,323,410,697,2214,5286,3040,886,13776,152,125,239,234,340,431,448,259,137,2357,1947,1384,3023,3279,4348,6229,7095,3490,1047,31831,131,342,956,1162,1686,1292,243,21,0,5832,681,453,1095,1369,1598,2079,673,64,5,8003,70,46,197,157,171,216,84,9,0,950,35,26,53,47,56,54,27,5,3,292,910,860,2295,2728,3511,3643,1021,105,9,15079,18,21,30,27,50,32,5,0,0,190,52,30,45,30,43,79,16,4,0,300,67,53,73,60,96,113,23,4,0,491
SED10010,123,819,3285,3948,2614,1854,364,19,0,13031,409,940,1379,963,619,491,207,27,3,5041,171,350,657,570,457,385,125,9,0,2716,16,101,208,133,86,63,17,0,0,624,719,2207,5531,5620,3770,2789,711,54,6,21415,47,153,261,246,142,130,18,0,0,1004,143,127,125,40,41,44,20,0,0,541,193,283,383,288,184,173,41,0,0,1544,908,2488,5922,5907,3957,2961,755,54,6,22958,1596,906,1230,1022,1044,1503,2506,1440,454,11712,170,268,642,443,333,284,184,126,55,2509,2674,3666,7798,7368,5336,4757,3442,1623,514,37176,61,729,2518,2536,1977,1254,216,4,0,9300,472,852,1606,1522,1013,735,207,12,0,6426,168,302,543,474,296,278,73,4,0,2137,8,56,129,64,55,25,5,3,0,346,703,1938,4803,4597,3342,2301,500,21,0,18201,41,86,188,149,101,61,11,0,0,636,127,110,171,119,81,62,12,0,0,677,165,199,353,268,181,116,22,0,0,1310
