SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10001,15687,9653,9893,9814,10195,11228,10365,5955,2205,84989
SED10002,20118,15909,27618,18293,12551,11404,7278,3370,1282,117822
SED10003,13355,7489,9135,10398,11100,11705,11211,5601,2422,82405
SED10004,12437,8824,15425,14321,11947,9054,6946,3237,1075,83273
SED10005,20465,12983,14649,12398,10993,10347,7154,3764,1919,94669
SED10006,14011,7654,8820,7759,8845,10715,8899,5201,2038,73947
SED10007,14511,9446,9491,8907,10149,10944,9654,5444,1941,80490
SED10008,17760,10515,8587,13963,12002,10418,8888,4919,1554,88614
SED10009,11043,6286,6201,6895,9107,13267,14047,7104,2582,76529
SED10010,18028,11928,15398,14467,10650,9587,7253,3547,1399,92258
SED10011,12567,7358,6700,8908,10062,10340,9808,4876,1644,72271
SED10012,14613,12105,11101,10023,11201,11673,8272,3696,1741,84426
SED10013,32671,16059,21176,20491,15774,11547,8184,3922,1443,131265
SED10014,17723,11126,12224,11637,9591,9305,7647,3668,962,83881
SED10015,15004,11175,15074,13657,12879,11028,7751,5144,2355,94065
SED10016,22901,13872,10839,17090,14958,10741,8082,4120,1305,103905
SED10017,17988,10488,12545,11366,10759,10164,8727,4151,1561,87750
SED10018,14472,8826,9115,9923,9887,8975,7483,5096,2215,75991
SED10019,12969,7674,7499,7735,9332,11733,11651,6572,2524,77685
SED10020,13964,8105,8788,9273,9821,10579,10183,5726,2320,78759
SED10021,12953,7678,18084,13545,10811,8041,5876,3698,1959,82648
SED10022,13146,7512,7264,7467,8658,10269,9931,5925,2266,72435
SED10023,14118,9388,9116,9963,11042,10139,8055,4469,2102,78388
SED10024,16416,10408,5368,10375,12680,9756,7746,5827,2489,81071
SED10025,13129,8127,12901,12576,10965,9676,7756,4571,2140,81835
SED10026,17278,9044,11642,9931,9666,10007,8148,4966,1842,82525
SED10027,16471,10610,10359,11250,10610,9961,7258,4263,2236,83017
SED10028,16546,10830,9443,12926,11792,10886,8255,4884,2882,88444
SED10029,17739,12936,12585,11645,12037,11768,8272,4466,1946,93405
SED10030,12880,8199,9080,9907,10178,10678,9324,5868,2423,78537
SED10031,14573,8483,8576,9073,10911,11725,10594,5844,1996,81771
SED10032,21246,13540,20354,16733,11078,9519,6544,3633,1416,104062
SED10033,14964,10147,9674,9116,10978,10086,7510,4153,1388,78025
SED10034,15191,9211,8649,10686,10842,9483,7488,4338,1810,77692
SED10035,13280,16748,35990,20424,11749,8601,5849,3363,1358,117359
