SED_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SED10054,21354,13014,13004,13159,11561,10134,6647,2825,1143,92850,22,11,7,20,12,17,16,16,0,120,309,215,260,173,144,117,87,63,29,1405,5,0,8,0,0,0,3,0,0,16,11,7,9,4,3,6,11,0,0,47,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,327,226,273,185,153,126,109,66,35,1488,351,239,277,197,163,145,123,79,31,1607,21703,13250,13286,13357,11729,10272,6777,2903,1179,94455
SED10055,18875,11984,11173,12219,11591,10468,6577,2425,675,85981,4,4,9,3,5,7,9,3,6,50,194,210,221,130,119,94,96,50,34,1143,0,7,0,6,0,0,0,0,0,18,0,8,5,0,3,13,5,3,0,34,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,225,238,135,132,103,101,55,38,1226,201,228,244,139,137,113,118,62,41,1277,19078,12213,11414,12355,11728,10581,6688,2482,711,87259
SED10056,15501,8729,9794,9098,10172,11200,9471,5673,2263,81898,35,30,38,28,27,39,52,29,22,295,264,416,395,282,323,395,242,108,60,2477,57,139,194,122,122,143,155,41,9,985,0,6,14,15,26,35,21,0,0,118,8,5,12,22,11,16,14,21,4,112,4,0,3,0,0,5,3,0,0,18,0,0,6,0,9,9,22,7,0,59,0,0,0,5,0,0,0,0,0,6,3,0,11,12,12,14,12,0,0,54,0,0,0,0,0,0,0,0,0,0,333,569,632,449,506,616,467,176,73,3830,368,603,674,478,527,660,524,205,94,4129,15870,9326,10465,9572,10698,11862,9992,5879,2354,86027
SED10057,11195,6259,5899,6567,8209,11107,12296,7553,2949,72015,32,14,25,14,20,38,48,40,19,244,449,517,396,315,433,594,595,267,113,3681,0,4,9,0,7,16,42,17,9,109,8,12,14,14,11,17,18,15,0,110,0,0,0,0,0,0,3,6,0,13,0,0,0,0,0,8,12,0,0,20,0,0,0,0,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,8,0,3,5,3,9,0,12,0,0,28,0,0,0,0,0,0,0,0,0,0,464,539,424,342,462,645,675,302,123,3981,501,551,446,356,488,684,727,341,144,4225,11693,6812,6345,6912,8688,11791,13018,7891,3090,76244
SED10058,11286,9370,12653,9936,9495,9414,7693,4118,1806,75777,0,10,10,6,6,19,13,17,5,100,232,507,537,329,296,280,202,74,44,2498,6,4,18,8,12,12,7,0,0,63,4,21,16,9,13,15,8,0,0,77,0,0,4,0,5,0,3,0,0,10,0,0,0,0,7,0,0,0,0,18,0,0,0,0,6,3,0,4,0,11,0,0,0,0,0,0,0,0,0,4,0,3,9,0,7,5,0,0,0,23,0,0,0,0,0,0,0,0,0,4,236,539,588,349,340,323,228,79,42,2716,240,545,595,356,348,340,242,96,47,2809,11522,9911,13251,10293,9846,9751,7938,4213,1854,78586
SED10059,7096,10799,21221,12874,9629,7073,4467,2390,889,76441,0,15,13,5,11,17,16,12,5,98,119,444,590,297,241,258,235,150,132,2464,0,8,21,9,3,3,5,0,0,50,5,19,20,8,13,13,4,3,0,78,0,3,8,0,0,0,0,7,0,18,0,11,0,3,5,0,0,0,0,19,0,4,0,0,0,0,0,4,0,13,0,3,0,0,0,0,0,0,0,4,0,6,8,0,0,4,9,0,0,27,0,0,0,0,0,0,0,0,0,0,123,498,643,314,261,278,260,158,132,2670,121,514,654,323,267,294,273,170,141,2770,7216,11318,21873,13200,9896,7369,4745,2557,1033,79208
SED10060,9885,6538,14011,12355,9938,8611,7270,4837,1716,75166,5,0,7,0,12,8,7,8,6,55,188,213,353,257,194,208,156,85,43,1691,6,4,13,13,12,8,7,5,0,66,7,4,15,18,15,19,14,8,0,97,0,0,7,0,0,3,3,0,0,14,0,5,3,5,3,7,0,0,0,21,0,0,3,0,0,6,0,0,0,9,0,0,0,0,0,0,4,0,0,10,0,21,4,5,5,0,6,0,0,37,0,0,0,0,0,0,0,0,0,0,203,250,391,298,224,252,199,94,48,1960,210,253,400,303,232,251,207,106,56,2014,10097,6791,14404,12658,10169,8868,7478,4946,1769,77185
SED10061,14119,9183,8733,8165,9117,10258,8676,5476,1879,75596,11,33,14,27,26,32,44,35,15,239,395,741,441,291,366,443,394,198,65,3335,0,14,16,9,9,16,29,25,0,118,29,97,75,41,90,91,65,12,4,505,0,6,0,0,8,3,14,4,3,32,0,5,0,0,3,7,0,0,0,20,4,3,0,6,4,8,8,0,0,29,0,0,5,0,4,0,0,4,0,5,0,4,0,0,9,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,429,870,537,345,481,578,510,243,72,4077,444,901,558,375,508,615,551,277,84,4313,14561,10080,9289,8537,9623,10867,9234,5752,1964,79907
SED10062,13268,9526,9408,10262,10383,10048,7631,4513,2286,77327,6,4,4,5,12,6,6,11,3,59,116,129,188,111,107,101,80,49,32,914,0,4,0,0,0,0,0,5,0,14,0,5,0,0,0,3,0,3,5,19,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,121,138,195,115,108,118,88,60,39,981,129,147,199,123,119,122,97,67,43,1041,13394,9675,9611,10377,10502,10170,7725,4583,2328,78365
SED10063,16589,8686,9210,9219,9299,9408,8145,4946,1982,77472,23,35,24,17,16,27,31,38,16,233,433,749,492,366,370,410,281,165,76,3355,8,12,19,15,22,13,21,4,0,114,7,23,34,41,44,46,13,5,0,215,3,5,6,6,0,12,0,0,0,31,0,6,3,0,0,0,0,0,0,18,0,0,0,0,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,3,20,14,11,3,13,9,4,0,75,0,0,0,0,0,0,0,0,0,0,463,815,565,442,451,494,328,179,82,3813,489,853,585,461,463,522,364,214,98,4049,17072,9539,9794,9677,9763,9937,8508,5161,2078,81528
