SED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SED10001,0,0,0,0,0,0,0,0,0,3,2414,4885,4240,7511,4036,4484,4061,2057,642,34332,0,4,0,17,13,0,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,4,3,7,8,15,4,0,0,41,0,0,0,3,0,0,3,0,0,12,0,8,3,32,10,13,5,5,0,79,0,0,0,0,3,4,4,12,0,24,0,0,4,3,0,0,3,0,0,12,0,10,23,88,104,192,194,171,40,826,0,0,5,17,9,12,3,0,0,39,0,0,0,3,4,3,3,0,0,14,3,0,7,6,7,24,61,42,13,166,0,0,0,3,6,5,8,6,6,32,0,0,3,6,0,3,0,0,0,15,9,27,63,483,35,19,13,5,3,660,0,0,0,4,0,0,0,0,0,12,0,0,0,9,3,3,0,0,0,18
SED10002,5,69,174,931,258,119,54,14,0,1622,3537,4863,3847,5825,1322,860,624,238,114,21218,0,4,19,234,28,22,12,0,0,325,0,0,0,34,11,21,14,6,3,87,0,5,11,73,4,6,0,0,0,94,0,0,3,18,29,18,16,7,9,93,6,6,0,22,3,3,0,0,0,41,0,0,0,15,14,9,12,14,5,67,25,93,718,3802,1050,1120,609,231,99,7751,0,3,0,6,10,17,33,59,8,142,0,21,21,89,30,24,27,14,0,215,0,17,17,127,53,69,54,27,4,378,0,9,9,59,41,37,37,13,0,206,0,0,0,27,3,0,5,6,0,44,0,0,3,21,20,11,17,12,4,76,0,5,0,4,4,8,19,34,17,90,0,15,58,264,71,98,69,6,5,590,34,135,228,1650,194,119,58,22,4,2450,4,12,31,135,46,29,34,6,0,292,0,23,50,343,48,30,11,8,0,510
SED10003,0,0,0,0,0,0,0,0,0,3,1853,4260,3210,6266,3807,4149,3999,1877,629,30056,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,142,17,6,3,0,0,170,0,0,0,0,0,0,0,0,0,4,3,5,3,54,30,25,17,6,4,150,0,0,0,37,7,3,5,7,0,55,0,0,4,10,0,7,5,0,0,23,0,0,0,0,5,10,4,0,0,12,0,0,0,6,0,5,4,0,0,11,0,59,62,361,271,334,381,227,77,1773,0,3,0,8,5,11,4,4,0,33,0,4,16,91,21,19,16,4,0,171,0,8,10,57,30,62,60,36,6,278,0,0,0,0,0,0,4,4,0,13,0,0,0,4,3,6,5,5,0,22,0,4,7,87,15,7,14,6,4,151,0,8,3,10,6,0,10,0,0,37,0,0,0,6,3,4,5,0,0,18
SED10004,0,0,0,7,0,0,0,0,0,6,2084,3483,2924,7855,3236,2456,1744,686,138,24614,0,0,8,22,3,0,0,0,0,38,0,0,0,7,3,3,4,3,0,21,3,8,8,114,20,3,3,0,0,154,0,0,7,11,0,0,0,4,0,17,3,7,10,87,38,22,12,3,0,185,0,0,0,41,22,4,6,7,0,79,5,34,256,536,75,95,67,43,20,1130,0,0,4,13,10,9,10,8,0,47,0,0,0,15,6,15,17,4,4,59,24,138,115,872,698,452,302,145,30,2771,0,0,0,29,10,18,8,0,4,69,0,7,4,117,33,15,6,5,0,200,0,9,9,92,43,33,24,30,7,243,0,0,0,19,10,22,22,48,21,141,7,18,42,99,30,35,20,4,0,252,0,12,80,376,27,30,15,13,0,552,0,0,56,105,23,4,18,3,0,209,0,0,6,99,15,18,7,0,0,149
SED10005,4,18,73,167,33,26,3,0,0,329,3256,5454,4476,4831,1251,979,759,418,215,21637,5,29,69,472,73,32,12,0,0,690,0,0,0,11,13,19,11,9,4,62,0,4,3,37,10,0,0,0,0,55,0,0,0,19,32,30,31,9,0,130,0,0,0,5,0,0,0,0,0,15,0,0,0,15,10,16,18,11,3,67,0,26,105,542,247,391,208,55,53,1638,0,0,0,3,6,11,13,33,5,80,0,27,16,136,55,46,47,33,6,376,0,0,4,18,25,31,52,34,16,181,0,6,15,86,57,45,41,11,3,270,0,0,0,8,0,5,6,0,0,25,0,0,0,18,8,4,23,25,4,93,0,10,14,25,21,42,78,116,48,346,0,3,10,71,12,32,21,4,0,160,3,30,37,399,48,35,24,6,9,606,0,5,19,114,73,31,33,4,4,290,0,8,24,121,6,17,8,8,0,186
SED10006,0,0,0,0,0,0,0,0,0,0,2037,4120,3348,6354,3583,4420,3742,1915,589,30114,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,15,13,12,0,0,0,47,0,0,0,0,0,8,4,3,0,16,0,0,0,4,0,0,5,0,0,11,0,9,3,35,33,78,79,61,12,301,0,0,0,8,12,5,0,0,0,32,0,0,0,7,0,0,6,0,0,14,3,0,5,6,5,12,24,17,4,81,0,0,0,0,0,0,0,9,0,12,0,0,0,3,3,0,0,0,0,3,5,11,5,116,5,7,0,0,0,153,0,3,4,8,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5
SED10007,0,3,0,6,0,0,0,0,0,13,2076,4761,4470,7809,4105,4434,3721,1923,520,33817,0,0,0,24,3,0,0,0,0,36,0,0,0,3,3,3,0,4,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,13,0,0,3,6,13,9,8,0,0,39,0,0,0,3,5,0,3,3,0,13,0,0,7,29,17,10,13,4,0,88,0,0,0,5,0,9,11,6,6,38,0,0,0,8,0,0,3,0,0,23,0,8,25,65,93,200,235,178,60,861,0,8,4,22,10,8,3,0,0,52,0,0,6,16,0,8,10,0,0,33,0,0,0,3,9,19,43,38,5,121,0,0,0,3,0,3,12,0,5,29,0,0,4,7,4,6,4,0,0,23,10,13,28,170,32,9,11,4,0,274,0,0,0,11,0,0,6,3,0,25,0,3,0,18,9,0,4,5,0,34
SED10008,0,0,5,31,11,22,11,5,0,82,2261,5583,4231,4483,2563,2042,1622,1208,299,24284,0,5,6,58,32,28,26,5,0,155,0,0,0,4,6,5,0,0,0,17,0,0,3,25,5,6,0,0,0,42,0,0,0,3,7,5,5,0,0,23,0,6,15,31,17,5,13,0,0,85,0,0,3,13,23,14,6,11,0,68,3,210,148,1595,545,596,453,148,35,3732,0,0,0,4,10,24,26,24,3,95,0,18,5,50,23,31,40,20,5,185,4,75,66,194,180,224,181,148,54,1130,0,0,5,58,55,46,39,16,6,230,0,0,0,14,7,4,3,3,0,29,0,4,13,20,22,16,31,50,0,156,0,0,0,5,5,18,25,30,14,89,0,35,53,242,100,234,218,27,7,921,20,232,172,1344,585,302,227,107,26,3016,3,3,19,92,48,23,37,15,8,246,0,39,44,301,111,71,40,9,4,621
SED10009,0,0,0,0,0,0,0,0,0,0,1511,3656,2959,5239,3533,4814,5131,2304,656,29809,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,5,12,12,16,20,5,5,71,0,0,0,0,8,3,8,8,0,27,0,0,4,11,12,4,5,6,0,41,0,0,0,0,0,8,21,32,9,66,0,0,0,0,0,0,11,6,0,13,3,20,17,79,130,361,607,348,101,1672,0,0,0,0,0,0,3,0,0,10,0,3,3,8,3,7,5,5,4,41,0,0,3,14,18,40,71,69,18,227,0,0,0,0,0,7,10,14,6,38,0,0,0,9,0,0,4,0,0,22,0,9,6,75,8,14,5,5,5,121,0,3,0,4,0,0,0,4,0,16,0,0,0,8,3,0,0,0,0,8
SED10010,3,20,61,187,51,33,19,12,0,393,2958,4812,3553,4959,2069,1832,1121,490,178,21964,0,8,33,197,69,57,23,4,0,395,0,0,0,22,16,34,27,0,0,107,0,0,0,9,3,7,0,0,0,16,0,0,0,6,3,11,0,3,0,26,0,0,0,10,7,5,0,0,0,22,0,0,0,19,23,7,15,5,0,77,3,10,48,260,120,169,123,49,14,797,0,0,0,16,20,18,33,36,13,142,0,8,37,48,33,46,44,25,7,256,0,12,17,92,69,128,112,83,24,536,3,31,56,271,192,187,90,37,8,880,0,0,0,4,3,3,0,4,0,15,0,0,9,11,13,12,31,23,3,110,0,8,4,9,6,18,38,35,10,120,0,8,9,42,25,29,24,4,0,133,38,278,1107,4210,608,281,171,62,16,6758,0,0,8,62,36,20,25,9,0,170,0,10,17,93,33,33,22,5,0,207
