SED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED10001,10,17,0,0,4,17,20,28,71,1110,915,142,2166,73,90,167,2330,1363,47,3750
SED10002,8,8,0,0,6,8,24,38,71,735,549,266,1546,87,67,155,1703,2267,74,4054
SED10003,7,21,0,0,0,19,15,17,56,932,1134,139,2209,42,66,112,2315,1354,45,3717
SED10004,3,3,0,0,0,5,13,10,25,1040,473,123,1632,52,36,87,1720,978,18,2712
SED10005,8,17,0,0,0,13,30,62,107,684,604,314,1605,94,113,201,1805,2932,118,4856
SED10006,6,15,0,0,0,17,49,49,121,864,656,140,1666,76,75,154,1818,1610,81,3502
SED10007,7,19,0,0,4,24,34,33,90,1112,880,143,2138,70,80,146,2283,1442,63,3784
SED10008,4,13,0,0,0,13,3,4,18,933,471,130,1532,41,32,77,1611,929,13,2556
SED10009,0,11,0,0,0,10,31,25,71,766,839,107,1710,40,45,82,1793,1290,55,3143
SED10010,8,8,0,0,0,8,23,31,62,1025,595,286,1906,71,70,138,2041,2204,63,4306
SED10011,0,4,0,0,0,4,11,9,30,922,790,195,1908,34,43,77,1985,1095,20,3105
SED10012,6,10,0,0,0,9,25,45,88,788,603,373,1764,99,115,220,1983,3351,97,5424
SED10013,11,17,0,0,0,17,20,36,80,1786,1044,369,3198,94,57,154,3353,1732,55,5141
SED10014,6,17,0,0,0,17,37,37,88,1230,766,351,2343,124,79,204,2548,2455,71,5069
SED10015,6,10,0,0,0,10,25,28,57,834,667,342,1841,69,59,127,1966,2297,48,4311
SED10016,6,10,0,0,0,10,11,10,33,1196,600,180,1973,51,37,89,2065,905,18,2990
SED10017,11,19,0,0,0,21,30,30,88,1171,1136,294,2595,89,122,213,2805,1978,70,4855
SED10018,6,17,0,0,0,17,21,16,51,1151,809,147,2107,57,63,118,2226,1356,32,3613
SED10019,10,16,0,0,0,22,35,46,96,817,817,154,1785,76,70,152,1938,1783,80,3799
