SED_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SED10001,151,300,336,274,827,1241,513,1969,55,5641,362,667,849,708,1490,1424,468,851,39,6849,189,371,356,275,1289,1764,485,852,65,5641,332,1071,1043,705,843,521,177,223,72,4987,204,668,732,506,1200,766,182,259,34,4541,139,1133,526,289,536,371,106,214,44,3357,121,229,243,158,544,653,229,608,67,2851,251,1092,538,338,751,864,199,321,71,4430,40,86,46,31,110,92,29,65,178,682,1788,5614,4653,3284,7585,7701,2386,5362,625,38988
SED10002,544,457,338,214,1138,1450,273,675,80,5171,511,1045,831,650,3479,3669,578,1023,169,11955,1596,583,532,210,929,769,153,207,174,5152,828,903,947,450,776,435,142,183,162,4826,502,657,604,309,1848,1270,196,341,84,5803,597,885,642,233,608,434,70,107,94,3666,408,445,489,217,728,515,119,197,91,3218,973,925,1029,349,916,511,106,141,158,5102,182,127,135,60,216,167,17,52,555,1515,6135,6036,5551,2690,10636,9211,1663,2920,1565,46402
SED10003,216,613,626,450,957,1262,366,1206,76,5747,450,1349,1379,1103,1491,1813,469,953,71,9078,237,666,570,469,1121,1211,255,527,91,5161,427,1487,1054,636,634,335,104,134,101,4914,152,737,678,440,840,492,98,178,24,3634,206,1168,579,324,463,343,87,158,54,3385,67,205,154,129,206,216,71,235,40,1328,254,1231,552,329,465,403,63,187,63,3557,39,117,89,41,64,78,14,52,215,696,2042,7578,5679,3923,6246,6146,1520,3628,734,37501
SED10004,496,526,477,417,1481,2756,1066,2770,53,10030,780,1777,1569,1137,3543,5560,1548,3867,103,19888,390,411,292,145,442,645,129,323,29,2802,833,761,401,189,358,263,74,117,36,3026,265,620,577,329,1225,1108,263,481,23,4887,480,587,298,149,362,500,133,226,29,2766,84,135,131,44,109,116,26,68,9,719,230,391,247,76,144,132,34,62,28,1335,48,67,50,30,88,123,31,84,149,673,3604,5281,4040,2511,7750,11193,3299,7994,459,46136
SED10005,366,249,189,119,592,646,128,338,61,2681,325,649,534,353,1787,1701,245,474,106,6162,1124,358,279,140,659,540,106,150,98,3453,761,595,473,291,494,287,90,126,88,3197,493,556,496,262,1353,849,130,234,71,4456,551,660,397,169,379,201,42,66,62,2539,495,335,343,162,717,459,107,174,75,2875,840,529,372,171,690,343,65,77,95,3183,119,83,45,22,131,106,18,26,292,842,5067,4013,3128,1694,6813,5125,929,1666,956,29388
SED10006,156,280,277,235,612,1024,412,2943,104,6061,242,345,355,280,849,994,352,722,44,4178,148,259,231,175,714,969,280,897,80,3748,232,651,634,537,771,492,155,255,78,3814,115,383,409,294,829,489,104,216,39,2880,81,573,350,168,319,240,66,136,45,1975,156,198,167,113,405,540,232,1275,71,3154,159,853,397,294,501,622,158,589,97,3682,50,54,39,27,67,63,11,91,227,630,1343,3600,2865,2125,5069,5433,1773,7129,789,30126
SED10007,159,269,320,253,730,1002,457,1393,50,4618,299,631,670,493,1342,1308,375,793,33,5948,210,376,318,255,1200,1432,487,985,71,5320,338,1006,838,643,1027,560,208,296,75,4992,184,556,652,423,1285,680,154,217,38,4182,161,899,504,216,466,288,94,169,45,2834,151,204,213,105,559,779,250,752,61,3081,308,993,543,283,682,600,196,352,93,4047,41,68,42,31,98,99,33,75,173,663,1859,4996,4108,2689,7389,6754,2239,5033,626,35693
SED10008,449,477,390,295,1549,2262,614,1711,57,7812,622,1521,1277,851,3541,4665,889,1912,104,15383,640,470,300,171,722,842,203,300,51,3692,649,682,471,222,427,277,96,104,26,2957,437,1061,891,437,1693,1381,253,389,56,6593,576,825,404,180,462,461,96,172,30,3216,137,160,134,75,275,220,61,128,13,1206,393,528,236,89,219,183,39,75,27,1786,61,61,58,19,126,142,19,37,150,666,3962,5792,4163,2339,9018,10432,2255,4838,511,43303
SED10009,186,306,336,267,617,885,269,1013,69,3949,293,675,781,531,997,951,274,553,49,5100,204,500,440,363,1077,1261,250,549,77,4708,299,1059,868,607,634,340,124,168,64,4162,177,659,583,370,814,443,92,168,37,3351,158,921,530,265,494,285,72,120,61,2907,86,175,172,79,313,348,103,323,43,1643,248,1112,538,289,537,507,124,226,90,3679,44,87,58,23,70,69,14,27,183,579,1694,5487,4295,2810,5560,5090,1321,3142,670,30069
SED10010,309,263,179,105,904,973,223,468,34,3461,397,578,573,428,2526,2497,401,640,98,8136,1120,470,362,169,1062,816,192,217,88,4485,636,676,716,459,878,458,121,202,103,4243,448,573,561,358,2065,1275,209,314,57,5859,560,774,515,201,513,308,67,76,45,3061,527,542,740,365,1313,977,265,453,147,5332,772,777,640,277,794,486,93,153,87,4079,82,60,76,31,182,158,24,40,309,958,4857,4708,4367,2387,10240,7945,1585,2556,970,39615
