SED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SED10001,6282,3522,3349,3032,2983,2811,1853,803,199,24830,889,773,861,989,1046,1372,1565,818,226,8546,56,87,160,164,280,522,728,524,161,2679,3,5,20,44,111,278,542,418,183,1615,952,861,1041,1200,1437,2172,2838,1757,574,12831,826,494,500,496,525,500,418,216,85,4044,8052,4877,4898,4723,4946,5481,5108,2780,858,41715,6170,2991,3083,3037,2908,2774,1985,854,228,24034,654,1094,1173,1208,1268,1463,1567,1041,431,9891,40,222,288,311,410,644,808,578,298,3612,0,13,42,94,221,393,493,415,276,1953,700,1335,1507,1616,1901,2499,2866,2031,1007,15458,763,455,408,446,439,472,408,283,118,3785,7637,4777,4997,5088,5243,5748,5262,3171,1350,43275,12448,6508,6431,6071,5891,5584,3836,1660,430,48870,1542,1864,2034,2199,2317,2836,3135,1859,656,18437,102,312,449,479,687,1165,1538,1101,457,6291,9,25,66,141,330,671,1032,835,463,3565,1647,2202,2549,2813,3341,4671,5705,3791,1576,28291,1588,940,911,936,966,974,830,498,199,7838
SED10002,8699,6992,12331,7756,4605,3446,1659,574,136,46191,575,574,893,874,914,1209,1047,480,156,6715,17,41,69,113,174,315,380,264,92,1467,0,0,6,23,67,148,218,172,79,719,588,615,970,1016,1151,1670,1644,915,324,8900,976,879,1639,1241,774,562,317,175,98,6659,10265,8485,14938,10011,6531,5682,3623,1666,554,61755,8540,6061,10574,6494,4240,3380,1731,547,142,41710,403,632,929,875,977,1282,1012,531,236,6871,14,56,137,124,199,381,407,290,144,1741,0,4,8,39,81,199,220,215,128,890,410,693,1068,1031,1256,1866,1642,1035,508,9509,899,666,1038,749,524,484,275,130,78,4848,9847,7425,12685,8277,6021,5726,3655,1710,725,56069,17236,13050,22905,14254,8848,6825,3399,1114,279,87902,975,1206,1821,1748,1889,2485,2058,1011,391,13586,26,92,201,239,378,698,794,551,235,3217,0,9,16,65,148,346,441,385,202,1613,1001,1303,2041,2046,2413,3533,3290,1948,830,18416,1880,1552,2677,1986,1298,1046,590,305,176,11504
SED10003,5520,2771,3060,3428,3425,3116,2369,821,194,24706,552,495,576,821,961,1333,1612,848,252,7444,35,61,81,120,197,379,676,436,183,2167,6,6,14,22,54,177,371,308,179,1128,594,564,675,961,1207,1885,2658,1594,611,10738,761,433,503,564,541,555,484,218,92,4147,6871,3765,4232,4952,5174,5555,5507,2631,900,39585,5312,2526,3421,3722,3761,3500,2553,934,286,26013,432,708,805,924,1212,1391,1635,941,484,8530,23,90,133,180,283,496,684,504,293,2691,0,0,13,44,100,189,371,331,289,1341,459,802,957,1149,1595,2076,2692,1777,1066,12566,706,404,527,577,574,573,453,262,166,4233,6479,3722,4902,5444,5925,6151,5701,2970,1520,42816,10834,5291,6478,7150,7189,6622,4924,1755,481,50723,989,1205,1379,1745,2169,2723,3248,1784,732,15976,62,148,218,304,477,875,1363,942,479,4859,6,10,32,59,156,368,740,642,467,2476,1049,1367,1625,2106,2804,3958,5347,3366,1681,23306,1470,833,1029,1141,1110,1124,938,481,262,8377
SED10004,5499,3194,5606,5234,4062,2599,1362,499,104,28159,434,597,1109,1087,1069,987,1011,432,125,6847,17,57,153,176,187,309,392,245,70,1604,0,5,4,21,47,103,188,157,64,596,446,662,1262,1282,1304,1393,1595,841,262,9042,393,355,540,521,425,356,230,136,64,3015,6334,4210,7403,7035,5795,4345,3192,1475,426,40216,5366,3124,5676,5257,4236,2750,1758,558,128,28857,364,979,1469,1257,1188,1141,1094,584,228,8315,16,147,268,244,255,323,446,299,112,2105,0,4,24,36,78,146,226,191,87,783,380,1131,1765,1531,1520,1609,1767,1077,426,11210,352,359,581,495,396,347,236,127,99,2985,6098,4613,8018,7285,6156,4711,3758,1760,650,43054,10868,6320,11276,10496,8303,5349,3118,1058,228,57017,793,1574,2579,2340,2255,2128,2106,1017,358,15156,29,203,422,411,439,633,840,543,185,3711,0,6,24,58,128,247,415,354,147,1383,828,1787,3028,2816,2819,3008,3360,1911,686,20249,743,712,1119,1013,826,697,464,264,164,6007
SED10005,8365,5141,5741,4592,3654,2942,1479,544,180,32643,777,688,585,655,826,1237,970,507,224,6475,27,53,62,109,170,328,425,305,130,1604,4,3,9,26,66,185,284,236,105,918,808,742,652,796,1064,1743,1681,1049,454,8992,1271,822,924,820,661,502,335,207,112,5652,10446,6707,7316,6203,5376,5187,3498,1802,746,47284,8320,4881,5689,4571,3749,2791,1484,569,224,32274,492,675,734,741,909,1231,1079,577,336,6778,25,81,122,144,257,455,465,341,207,2097,0,4,22,45,118,214,288,264,165,1129,524,757,882,924,1289,1899,1834,1181,712,9995,1183,637,762,701,577,464,338,212,242,5109,10022,6275,7332,6198,5611,5156,3658,1958,1173,47384,16681,10022,11433,9163,7400,5734,2967,1117,401,64917,1276,1362,1321,1400,1732,2467,2051,1084,558,13246,53,131,184,248,426,780,886,651,338,3703,3,8,27,74,187,401,572,497,271,2045,1334,1504,1530,1719,2348,3649,3514,2234,1166,18988,2454,1456,1684,1516,1240,965,679,414,355,10760
SED10006,5068,2616,2813,2288,2407,2384,1504,610,143,19836,845,550,613,683,876,1351,1345,714,225,7209,46,90,96,137,267,532,702,459,145,2470,0,7,20,40,135,353,516,361,144,1567,898,646,727,860,1281,2232,2569,1530,510,11250,1211,699,658,630,698,801,607,359,117,5783,7176,3961,4201,3778,4387,5413,4674,2498,772,36866,5004,2243,2785,2254,2271,2280,1346,644,212,19034,641,679,917,778,993,1274,1177,808,359,7632,36,143,232,259,331,637,633,465,250,2980,5,17,24,78,193,410,509,390,209,1827,682,837,1173,1102,1516,2320,2323,1657,820,12440,1158,614,658,625,671,704,553,394,237,5605,6840,3696,4616,3984,4452,5308,4223,2698,1264,37083,10066,4861,5593,4539,4687,4664,2849,1257,353,38871,1486,1230,1534,1458,1871,2622,2526,1523,584,14841,82,225,328,394,604,1168,1339,919,389,5448,5,20,40,111,328,760,1028,752,350,3401,1579,1482,1900,1963,2801,4554,4894,3188,1333,23686,2369,1313,1314,1261,1362,1506,1159,748,351,11386
SED10007,5674,3378,2994,2742,2912,2663,1771,685,150,22971,934,824,834,798,1022,1378,1444,808,188,8232,84,99,144,161,294,553,744,507,170,2757,0,13,22,43,102,313,462,407,146,1507,1016,937,1004,996,1418,2242,2652,1726,501,12488,749,708,880,814,654,551,446,248,59,5110,7440,5021,4877,4553,4983,5454,4870,2657,715,40564,5535,2824,2828,2639,2821,2569,1729,712,229,21878,752,993,1061,979,1201,1520,1443,903,392,9251,66,190,298,285,432,632,743,556,273,3471,0,21,47,84,233,355,469,384,240,1831,819,1203,1403,1355,1872,2500,2657,1843,906,14555,706,398,389,369,475,417,399,239,97,3488,7065,4422,4617,4356,5163,5486,4787,2784,1230,39921,11217,6199,5817,5375,5732,5230,3501,1390,374,44847,1688,1817,1896,1776,2226,2895,2892,1710,576,17474,147,294,436,449,726,1183,1491,1066,443,6230,0,29,68,125,334,664,931,790,388,3337,1836,2141,2405,2351,3288,4744,5310,3564,1405,27041,1459,1104,1268,1182,1123,967,847,486,158,8594
SED10008,8032,4508,3418,5517,4488,3184,1962,819,157,32084,719,720,512,764,910,1228,1317,777,182,7128,17,53,50,100,167,310,513,420,127,1751,0,7,5,11,30,93,241,290,114,786,736,776,568,870,1108,1633,2072,1489,420,9668,398,238,210,285,236,222,168,107,55,1921,9166,5524,4195,6667,5835,5040,4191,2417,627,43671,7769,3866,3492,6002,4592,3443,2301,815,169,32447,431,804,585,868,1045,1248,1455,880,264,7577,28,108,90,129,205,315,522,434,197,2022,0,5,9,20,50,131,220,232,175,843,458,914,684,1013,1307,1690,2200,1550,638,10447,366,215,219,284,272,249,196,140,119,2050,8595,4995,4392,7289,6168,5379,4700,2502,925,44944,15801,8372,6911,11516,9075,6630,4263,1635,321,64529,1148,1522,1097,1630,1960,2477,2773,1658,446,14708,48,158,137,223,372,621,1034,860,325,3776,3,11,16,30,79,217,466,527,289,1634,1192,1687,1249,1880,2408,3321,4272,3040,1059,20114,768,455,436,563,518,467,359,247,171,3975
SED10009,4375,2355,2089,2190,2626,3132,2729,980,220,20697,624,537,522,619,887,1611,2166,1107,297,8362,37,48,82,122,254,613,1029,637,192,3020,0,8,23,26,99,296,608,467,208,1735,661,587,622,766,1248,2518,3801,2208,699,13114,652,385,312,313,473,583,564,298,131,3702,5688,3328,3023,3279,4348,6229,7095,3490,1047,37522,4223,1898,1962,2189,2714,3474,2762,994,300,20512,502,576,708,802,1081,1804,2178,1199,423,9278,29,123,181,224,351,742,929,638,319,3554,0,13,28,60,177,431,580,475,280,2038,533,716,914,1087,1605,2985,3687,2314,1026,14867,605,342,297,339,443,582,506,302,210,3623,5357,2958,3181,3614,4763,7035,6951,3615,1532,39011,8598,4254,4057,4379,5335,6601,5487,1979,516,41208,1125,1112,1225,1421,1967,3416,4338,2298,727,17643,71,174,260,348,609,1354,1961,1276,509,6565,0,16,41,93,274,726,1191,941,485,3776,1197,1306,1535,1859,2857,5503,7491,4524,1724,27988,1257,724,610,653,919,1158,1065,603,338,7334
SED10010,7622,4989,6234,5619,3527,2417,1290,424,123,32249,785,695,727,992,1003,1288,1065,488,145,7190,41,68,102,141,264,454,535,304,113,2009,5,4,18,35,100,213,339,285,86,1087,830,772,846,1175,1362,1952,1939,1078,341,10288,823,585,717,582,448,384,208,123,48,3919,9277,6345,7798,7368,5336,4757,3442,1623,514,46455,7438,4153,5823,5192,3235,2425,1374,473,175,30283,510,810,956,990,1111,1276,1208,585,274,7711,31,134,158,249,349,467,575,395,195,2557,3,13,41,82,152,300,424,332,168,1516,544,956,1146,1322,1615,2044,2204,1313,644,11787,777,479,629,584,468,366,232,145,66,3738,8756,5585,7599,7097,5316,4836,3812,1926,885,45804,15060,9141,12058,10809,6763,4839,2666,896,299,62537,1292,1503,1678,1980,2112,2563,2278,1077,420,14902,72,202,258,393,611,917,1108,695,306,4562,7,20,57,119,256,514,764,619,249,2607,1373,1726,1992,2491,2980,3995,4149,2385,980,22076,1599,1063,1346,1155,913,748,443,268,118,7650
