SED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED10001,1104,259,2205,13501,18763,8806,6173,16916,5144,69309
SED10002,704,203,1282,14696,18312,7885,7387,39937,9480,97708
SED10003,1183,352,2422,13803,20285,9539,6071,13609,5752,69054
SED10004,487,174,1075,16099,24510,8741,4019,13432,4037,70834
SED10005,1014,376,1919,10513,12470,6221,6552,30848,7600,74197
SED10006,1020,397,2038,9560,13644,6526,5536,16383,8280,59934
SED10007,1061,161,1941,11906,17678,8537,6378,15634,5838,65979
SED10008,761,231,1554,14126,20145,10760,7439,16130,2252,70857
SED10009,1213,370,2582,11017,18496,10251,7141,13372,5210,65484
SED10010,826,141,1399,11733,15718,7697,6878,26815,5394,74230
SED10011,763,194,1644,11337,19481,10096,6666,9782,2344,59708
SED10012,903,440,1741,10255,11646,5782,5755,31348,5022,69815
SED10013,699,289,1443,19003,26568,12464,10191,25848,4518,98596
SED10014,463,172,962,11168,15463,7172,6579,20970,4806,66156
SED10015,1122,360,2355,13549,17610,8426,6547,27041,5893,79063
SED10016,630,157,1305,16873,23198,11435,8241,18729,2523,80997
SED10017,859,225,1561,12325,18385,8827,6870,18157,5192,69765
SED10018,1033,253,2215,12777,18534,8721,5301,13567,2619,61524
SED10019,1227,345,2524,10414,16222,8835,6939,15747,6559,64716
SED10020,1048,420,2320,12042,17941,8819,5769,15608,4618,64798
SED10021,661,607,1959,17270,22082,7835,3948,13990,4578,69698
SED10022,1222,248,2266,10166,14373,7538,6205,15276,5726,59293
SED10023,798,254,2102,14277,19573,9094,5749,13073,2505,64271
SED10024,1040,219,2489,13907,19679,10453,6393,12426,1794,64649
SED10025,964,365,2140,14365,20135,8696,5400,16837,3274,68709
SED10026,949,281,1842,11719,17004,7797,5952,15905,6874,65249
SED10027,922,511,2236,11800,15484,7771,6509,20877,4103,66547
SED10028,1213,537,2882,14238,20282,10807,6972,16788,2810,71896
SED10029,1007,475,1946,10103,11541,5504,5698,36240,6574,75660
SED10030,1219,323,2423,12397,18359,8640,6234,15904,4122,65657
SED10031,977,287,1996,12814,19127,9503,6757,13755,5239,67195
SED10032,790,127,1416,11587,15747,7628,7012,33019,7831,82817
SED10033,712,148,1388,11836,17478,9004,7509,14038,3186,63057
SED10034,687,487,1810,13001,19513,9392,6109,12162,2321,62505
SED10035,677,135,1358,22946,29758,8960,5037,30901,6481,104085
SED10036,768,420,1534,12144,15647,7793,6772,23435,4690,70485
SED10037,684,168,1550,13801,20843,10543,6630,13661,2049,67533
SED10038,1125,306,2319,13534,19634,9740,6453,14602,2980,66940
SED10039,963,396,2215,11822,18565,9417,6813,14046,4291,64951
SED10040,1253,451,2501,13384,17387,8544,6451,28905,4792,79463
SED10041,1551,367,3235,14499,20865,10937,6847,14722,2412,70283
SED10042,1291,348,2573,12205,18293,9292,6612,16234,3496,66127
SED10043,945,274,1786,10732,12919,6360,7119,31081,6826,75022
SED10044,813,674,2363,16035,22966,9838,5848,15102,3553,73341
SED10045,904,413,2052,11425,17865,8885,6524,13266,5977,63936
SED10046,612,105,1012,11433,13505,6188,6484,32609,6208,76428
SED10047,486,199,1060,14453,20719,9711,9063,28902,8202,91048
SED10048,484,296,1104,14184,19985,9654,8900,28302,5488,86510
SED10049,688,204,1494,13831,20257,9416,6755,17442,3261,70959
SED10050,695,118,1558,16529,22417,8787,4971,12418,2627,67759
SED10051,887,441,2118,15202,19717,8183,5076,18988,5590,72752
SED10052,1232,412,2612,13445,18832,8970,5884,15379,2947,65469
SED10053,600,139,1253,14971,21609,8836,5550,13552,4548,69060
SED10054,703,233,1162,11068,14422,6789,6763,28123,5679,72849
SED10055,406,47,711,13091,17279,8265,6984,19895,3005,68518
SED10056,1148,437,2392,12504,16864,8066,6367,18966,7272,70033
SED10057,1478,527,3075,10076,16300,9105,7073,16315,5189,64054
SED10058,913,335,1877,15555,21208,8143,4424,14762,3968,68054
SED10059,401,209,954,18456,23915,6680,2900,15742,5283,72986
SED10060,740,216,1805,16771,23550,8238,4259,12523,3270,68609
SED10061,861,359,1980,11105,16476,7989,6070,15357,7974,64966
SED10062,1047,452,2377,12665,17161,8558,6133,17748,3350,65612
SED10063,1051,281,2104,12184,17275,8202,5856,15743,4731,63999
SED10064,1189,289,2346,10335,16541,9139,7330,15116,6080,64553
SED10065,865,143,1622,15444,21748,10097,7776,30654,5929,91643
SED10066,727,359,1577,13057,18479,8258,6242,17549,4732,68318
SED10067,1261,503,2778,13427,19485,9277,5534,11409,3070,62205
SED10068,1522,511,3233,12692,19503,9702,6588,16112,3974,68567
SED10069,937,352,2101,11194,17564,8901,6710,15586,3970,63917
SED10070,937,310,1766,11076,14661,7633,7069,25973,4440,70856
SED10071,407,49,683,16690,24624,12218,9167,24402,5216,92315
SED10072,1000,461,2277,14231,19076,8082,5841,27051,5861,80140
SED10073,1138,197,2301,15992,22551,10220,6898,24428,4128,84212
SED10074,851,216,1726,12197,18199,9054,6739,19566,3783,69539
SED10075,949,324,1997,13180,18928,9464,7309,19189,3697,71773
SED10076,1298,298,2556,10907,17440,9074,6737,15722,4557,64436
SED10077,1127,320,2294,15683,20160,8870,6524,31387,5662,88279
SED10078,1250,208,2108,15089,22099,8162,4355,16777,3685,70158
SED10079,1010,296,2152,11174,16684,8559,6052,15860,3293,61614
SED10080,542,277,1280,19969,24284,6687,3201,25518,7291,86954
SED10081,1001,311,2042,11581,16722,8163,6048,16527,5396,64434
SED10082,915,672,2615,12320,18810,9733,6609,12681,3492,63648
SED10083,1150,488,2415,11725,16844,8297,6086,15306,3716,61968
SED10084,1737,473,3311,12674,18516,9090,5836,16920,4814,67851
SED10085,825,205,1626,11027,16770,8505,6996,14979,5281,63562
SED10086,745,423,1988,17332,20517,7063,4168,14323,4272,67672
SED10087,993,272,1993,13138,18127,7967,5517,16453,4547,65748
SED10088,932,307,2209,15089,20315,9026,5371,15066,2755,67618
SED10089,1235,502,2487,14877,19991,8510,5505,18743,4253,71885
SED10090,1033,202,2152,15499,22183,9531,5696,15263,2727,70906
SED10091,787,384,2002,12685,18772,9790,7722,14093,3581,66649
SED10092,1120,446,2497,14315,19202,8285,6102,19958,4596,72457
SED10093,1056,561,2249,11911,16748,8142,6815,18118,4690,66428
SED19494,23,19,49,1561,1512,614,402,2643,3376,10112
SED19797,0,0,0,0,0,0,0,0,0,0
