SED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SED10001,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,23,36,3,4,0,0,6,3,4,71,0,0,6,9,4,15,17,12,0,3,3,0,0,0,0,84,0,0,0,4,3,22,36,40,18,14,17,18,3,0,6,189,0,13,30,9,6,7,0,0,0,0,0,0,0,0,0,58,0,0,4,3,0,0,0,4,0,0,0,0,0,0,0,18,0,0,4,4,19,13,12,10,0,6,4,0,0,0,0,62,62,133,62,26,23,7,16,12,0,3,0,0,7,0,9,363,5,23,14,3,8,0,5,0,0,0,0,0,0,0,4,57,0,0,3,5,10,0,3,8,3,3,0,0,0,0,5,42,6,0,10,7,11,18,286,323,104,127,105,88,30,7,14,1128,0,0,0,0,0,4,15,14,3,0,0,0,3,0,0,52,0,0,0,0,7,6,10,6
SED10002,0,0,0,4,46,243,668,902,92,85,103,141,55,19,52,2407,0,0,0,0,12,63,226,145,27,33,42,15,5,3,4,578,0,0,0,3,10,5,11,16,8,4,3,3,4,0,3,69,3,40,80,130,1241,1909,4618,2734,701,1201,1072,732,155,44,551,15210,0,14,174,73,15,20,7,3,0,0,0,0,0,0,17,319,3,0,36,31,51,41,92,52,14,17,27,13,14,5,7,393,0,0,0,45,127,110,79,33,11,8,22,15,0,0,19,466,19,7,11,6,10,24,42,17,3,5,0,7,0,5,3,155,0,28,108,25,0,6,0,10,5,0,0,0,0,4,4,181,0,0,7,75,271,336,220,140,42,32,42,35,31,7,17,1254,0,0,17,48,106,254,934,660,310,327,531,527,135,40,79,3962,0,0,0,33,65,181,215,101,29,14,12,27,15,4,17,710,0,0,0,3,28,69,200,290
SED10003,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,3,7,27,42,37,48,75,62,18,17,14,23,13,0,0,383,3,11,0,4,5,5,30,11,3,0,5,3,0,0,0,90,0,9,9,0,6,0,0,0,0,0,0,0,0,0,0,25,0,6,3,0,0,3,0,3,0,0,0,6,0,0,3,27,0,3,4,5,13,5,5,4,0,0,9,0,0,0,7,61,28,78,33,27,111,86,115,52,23,25,18,26,12,0,13,647,0,15,10,3,0,0,0,0,0,0,0,0,0,0,0,27,0,0,6,7,20,7,5,3,0,0,0,4,0,0,4,52,7,4,16,16,19,17,79,44,6,6,10,25,9,3,15,275,0,6,0,10,7,10,17,21,4,3,8,8,10,0,3,103,0,0,3,3,16,8,3,7
SED10004,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,13,0,0,0,0,5,5,9,9,3,0,12,10,0,0,0,64,0,4,24,42,42,46,93,70,15,15,26,30,20,8,6,436,10,15,22,44,174,383,552,475,177,234,232,310,153,29,62,2866,0,8,38,14,12,17,8,11,0,0,0,0,0,0,0,107,9,7,30,17,8,6,11,7,0,0,0,3,0,0,7,113,0,0,7,28,60,27,18,3,0,0,5,0,0,0,4,163,25,50,29,38,42,46,107,74,20,22,7,14,14,6,8,510,3,61,150,17,13,9,8,7,0,0,7,9,0,0,19,293,0,8,18,57,118,103,77,53,21,26,18,19,13,3,9,543,3,0,35,31,57,102,124,122,36,67,90,198,71,7,21,957,0,3,3,23,46,79,75,75,34,33,43,43,10,0,6,480,0,0,0,10,41,39,69,64
SED10005,0,0,0,5,0,66,199,116,31,35,64,34,3,9,24,589,0,0,0,0,18,115,503,308,71,93,64,49,26,8,25,1283,0,0,3,0,3,4,4,0,4,0,0,4,0,0,4,24,3,8,22,45,493,674,1115,460,126,151,118,108,23,4,103,3453,0,16,97,25,7,13,3,3,0,0,0,0,0,0,8,171,4,9,47,67,65,88,156,99,35,36,35,21,4,0,33,694,0,0,4,34,157,110,88,48,0,6,16,45,4,0,35,562,51,31,30,9,11,9,17,4,4,0,0,0,0,0,8,181,4,110,347,99,23,9,15,47,6,4,5,12,3,0,35,722,0,0,3,26,100,83,49,21,10,4,0,3,0,5,6,322,0,3,13,26,49,75,269,191,50,96,93,91,31,9,33,1026,0,5,0,34,104,165,182,57,16,16,14,28,0,3,15,647,0,0,3,7,8,43,54,93
SED10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,7,0,0,0,0,0,0,17,0,0,3,4,8,4,9,3,0,0,0,5,3,0,0,44,0,0,3,3,13,12,21,18,9,14,4,7,0,3,3,99,0,7,13,0,0,3,0,0,0,0,0,0,0,0,0,23,0,5,0,0,0,0,0,4,0,5,0,4,0,0,0,14,0,0,0,6,11,5,16,3,6,5,4,0,0,0,0,50,19,31,24,12,20,10,23,9,0,0,0,0,0,3,9,164,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,4,52,43,22,32,44,40,35,13,7,304,0,0,0,0,0,0,8,6,0,3,8,3,0,0,0,33,0,0,0,0,0,0,0,3
SED10007,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,18,0,0,0,0,0,7,16,20,0,8,7,3,0,0,4,67,0,3,5,14,9,11,24,10,0,0,0,0,0,0,5,92,4,7,6,0,11,34,62,36,0,6,6,4,0,0,20,194,0,12,20,13,4,8,0,0,0,0,0,0,0,0,9,64,0,4,9,0,0,5,3,5,0,0,6,0,6,0,0,32,0,0,6,14,15,19,19,5,0,4,9,4,0,0,11,102,54,69,33,19,28,15,6,11,0,0,0,0,0,0,8,243,0,14,10,7,0,3,0,0,0,0,0,0,0,0,3,45,0,0,4,7,8,3,4,0,0,0,0,0,4,0,3,41,3,3,4,8,12,25,118,93,42,44,46,54,21,8,10,485,0,6,3,6,3,4,10,9,7,5,4,0,0,0,3,62,0,0,0,0,6,3,5,14
SED10008,0,0,0,9,55,65,28,6,3,0,0,0,0,0,6,167,0,0,0,20,31,88,107,28,9,10,6,4,12,4,3,309,0,0,8,14,19,24,28,17,7,5,3,10,7,0,0,144,10,28,34,52,813,1223,3280,1480,279,250,205,317,94,21,124,8216,3,18,103,22,12,19,4,0,0,0,0,0,0,0,6,189,8,8,57,23,83,38,28,28,15,19,15,12,8,11,7,363,0,3,13,49,176,137,79,13,0,0,3,4,4,0,5,501,49,55,43,23,27,21,35,5,5,3,7,8,9,5,14,303,3,36,79,27,9,0,0,3,0,0,0,0,0,0,11,170,0,10,26,135,537,750,207,92,14,20,19,21,27,3,17,1888,11,6,52,139,403,1127,2037,936,280,258,218,269,128,39,73,5984,0,3,4,33,102,169,149,49,12,3,11,16,8,0,17,575,0,0,8,20,121,171,334,391
SED10009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,8,0,4,14,21,19,14,35,13,0,7,0,0,0,5,5,163,9,6,0,3,7,10,27,12,8,4,0,8,0,0,5,99,0,35,69,21,0,9,0,0,0,0,0,0,0,0,5,138,0,13,6,0,0,0,0,0,0,0,0,0,0,0,4,29,0,4,0,6,3,4,6,0,0,0,0,0,0,0,3,42,71,162,90,56,45,34,40,10,0,0,4,8,0,0,19,545,3,15,39,11,0,0,0,0,0,0,0,0,0,0,0,65,3,5,6,6,7,3,5,0,0,0,5,0,0,0,0,44,4,7,15,6,5,13,39,41,17,25,22,34,26,0,5,258,0,7,5,6,0,0,8,12,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,3
SED10010,0,0,0,0,25,135,311,140,35,34,15,20,9,7,12,747,0,0,0,3,40,167,291,134,23,20,24,23,4,4,11,764,0,4,3,4,6,10,15,7,0,0,0,0,0,0,0,55,0,9,10,29,247,330,529,265,65,94,67,44,15,4,45,1752,3,21,108,49,20,78,20,0,0,0,0,0,0,0,6,314,0,11,42,59,91,92,101,58,3,17,9,8,0,6,18,512,0,0,9,50,396,519,481,149,43,57,40,69,17,7,30,1866,62,43,31,18,15,15,17,0,0,0,4,0,0,0,5,220,3,31,118,32,18,10,3,20,0,0,0,0,0,0,8,241,0,5,3,24,70,79,38,16,9,8,7,11,6,0,6,275,3,6,28,64,177,642,3996,2396,734,887,1293,1532,398,76,191,12425,0,6,0,29,64,119,115,34,11,6,10,6,4,0,6,409,0,0,0,6,33,58,104,148
