SED_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SED10001,1079,195,20,16,1037,208,2547,757,382,55,30,904,198,2330,1343,1395,309,135,1298,411,4898,1171,1598,465,190,916,392,4723,1348,1558,450,191,990,406,4946,1439,1677,453,229,1316,373,5481,960,1342,573,282,1588,362,5108,416,572,348,203,1008,230,2780,115,123,65,38,411,100,858,8628,8845,2739,1312,9466,2675,33662,1107,297,48,10,819,194,2484,662,661,178,99,547,158,2295,714,1592,776,795,812,315,4997,478,1569,1145,1030,533,335,5088,564,1903,1129,654,696,299,5243,619,1955,1106,749,970,348,5748,349,1222,1126,931,1287,342,5262,238,543,464,505,1105,329,3171,139,176,103,92,689,158,1350,4873,9914,6067,4860,7453,2473,35646,2184,494,68,27,1856,405,5030,1419,1043,231,123,1447,354,4622,2059,2988,1087,923,2111,726,9893,1650,3170,1608,1221,1447,723,9814,1917,3464,1585,845,1683,705,10195,2059,3631,1559,976,2281,724,11228,1311,2563,1700,1210,2876,706,10365,655,1118,808,706,2115,558,5955,251,298,164,135
SED10002,778,238,23,9,1473,241,2769,1018,697,134,83,3116,668,5719,2566,2604,612,347,7048,1759,14938,1670,2099,633,387,3974,1257,10011,1206,1350,434,244,2540,759,6531,1048,1198,441,243,2245,496,5682,577,778,319,177,1487,286,3623,261,303,122,58,763,162,1666,70,57,31,7,285,111,554,9185,9311,2748,1562,22937,5741,51488,778,356,59,29,1177,201,2604,912,894,231,165,2187,432,4824,1609,2600,1123,1377,4895,1077,12685,696,1682,1128,1548,2534,698,8277,478,1259,928,1026,1883,451,6021,449,1171,875,908,1906,411,5726,333,667,571,555,1279,244,3655,192,294,183,182,719,130,1710,66,75,42,30,419,91,725,5516,9004,5137,5828,17006,3740,46221,1559,590,86,39,2652,445,5369,1924,1592,368,246,5302,1106,10542,4175,5196,1741,1728,11942,2829,27618,2363,3772,1761,1933,6507,1955,18293,1674,2604,1352,1274,4422,1215,12551,1502,2371,1318,1150,4155,910,11404,906,1446,892,729,2765,529,7278,452,597,305,243,1481,292,3370,137,131,68,44
SED10003,984,146,7,4,779,212,2137,623,268,46,20,528,145,1627,1270,1157,242,86,1027,455,4232,1197,1766,531,215,785,462,4952,1222,1974,555,240,786,401,5174,1301,1904,642,299,991,411,5555,945,1720,843,405,1192,405,5507,411,659,343,230,776,206,2631,101,156,73,41,414,109,900,8061,9749,3291,1546,7276,2798,32722,986,222,8,9,596,159,1984,609,435,72,59,388,179,1737,1071,1432,597,522,814,461,4902,645,1736,1074,1045,487,455,5444,766,2239,1217,738,537,431,5925,758,2227,1303,683,762,419,6151,510,1496,1336,912,1079,357,5701,254,563,536,472,903,242,2970,139,182,94,92,767,245,1520,5744,10536,6243,4528,6334,2950,36335,1970,364,22,17,1377,370,4119,1232,702,117,75,910,324,3366,2342,2591,836,602,1840,916,9135,1845,3502,1604,1260,1276,912,10398,1989,4214,1780,977,1325,829,11100,2063,4131,1946,982,1753,830,11705,1453,3217,2182,1323,2266,768,11211,663,1222,878,706,1682,443,5601,243,339,166,133
SED10004,871,127,14,4,554,91,1664,836,564,84,27,836,197,2546,2198,2467,386,121,1778,460,7403,1720,2800,754,270,1103,396,7035,1390,2344,684,220,846,308,5795,1025,1628,479,154,802,255,4345,609,1144,410,119,724,180,3192,248,454,138,62,456,108,1475,58,65,20,4,208,68,426,8955,11600,2972,997,7302,2058,33882,820,191,19,13,492,86,1612,1022,885,133,40,736,181,3002,1895,3086,703,415,1440,480,8018,1071,2667,1421,978,808,345,7285,879,2420,1373,643,576,270,6156,706,1874,960,369,585,225,4711,475,1227,803,381,704,166,3758,194,460,323,158,511,115,1760,84,99,49,27,281,107,650,7142,12910,5767,3023,6136,1975,36952,1686,317,32,19,1047,178,3276,1858,1457,214,64,1577,383,5549,4085,5546,1089,539,3219,947,15425,2794,5462,2170,1244,1908,739,14321,2272,4765,2053,867,1417,574,11947,1730,3503,1443,525,1384,480,9054,1082,2377,1213,496,1434,344,6946,444,917,462,219,969,227,3237,148,166,67,34
SED10005,793,262,30,11,1816,315,3227,754,360,79,46,1823,418,3483,1364,1201,290,186,3386,888,7316,991,1245,441,253,2483,794,6203,931,1023,347,242,2254,579,5376,854,1090,365,237,2220,420,5187,525,659,297,185,1547,282,3498,241,294,141,85,834,200,1802,68,78,43,25,409,123,746,6516,6219,2032,1275,16778,4020,36840,807,356,79,28,1440,268,2973,677,634,186,117,1384,301,3299,811,1262,700,1167,2664,728,7332,383,1006,816,1341,2018,639,6198,363,998,816,1027,1940,474,5611,378,973,798,840,1791,377,5156,300,632,526,511,1378,308,3658,163,281,220,208,858,233,1958,103,119,53,34,601,255,1173,3994,6255,4190,5276,14068,3583,37363,1605,615,106,41,3253,581,6200,1431,991,266,168,3205,724,6784,2174,2458,990,1354,6049,1617,14649,1377,2252,1253,1592,4498,1431,12398,1293,2023,1163,1262,4193,1050,10993,1230,2065,1162,1082,4012,799,10347,829,1294,821,696,2924,591,7154,398,577,363,299,1693,434,3764,170,202,96,62
SED10006,667,193,18,8,841,350,2089,514,291,42,32,721,268,1872,1026,1043,278,107,1155,587,4201,845,1090,315,164,829,544,3778,980,1144,324,184,1156,598,4387,1132,1335,394,242,1611,691,5413,749,980,419,320,1630,579,4674,310,429,244,167,949,403,2498,99,89,39,37,381,131,772,6322,6601,2076,1264,9282,4148,29688,663,261,42,22,677,311,1980,363,440,131,88,442,249,1715,495,1264,641,787,845,578,4616,284,1101,766,752,523,558,3984,374,1375,831,540,741,588,4452,455,1400,914,812,1114,612,5308,290,775,736,776,1131,509,4223,199,325,323,419,986,453,2698,114,110,69,70,633,264,1264,3239,7050,4451,4272,7101,4129,30242,1330,451,56,35,1525,667,4069,879,732,179,126,1162,515,3586,1522,2310,918,899,2007,1169,8820,1128,2185,1084,913,1354,1100,7759,1357,2516,1165,727,1902,1181,8845,1587,2737,1312,1053,2729,1309,10715,1039,1752,1150,1098,2761,1093,8899,506,753,564,584,1932,855,5201,216,200,105,108
SED10007,1068,219,26,8,1034,224,2582,756,361,69,42,873,339,2440,1221,1327,304,141,1082,789,4877,994,1422,435,202,812,685,4553,1141,1649,469,236,980,511,4983,1169,1684,565,352,1257,435,5454,806,1261,631,418,1379,372,4870,344,543,317,214,989,243,2657,90,118,48,32,367,58,715,7596,8585,2868,1650,8770,3656,33124,1019,287,38,13,801,156,2303,566,628,136,94,555,142,2121,617,1481,699,800,728,289,4617,359,1373,970,892,475,283,4356,514,1864,1155,697,606,327,5163,541,1749,1167,853,870,301,5486,329,1078,994,904,1159,322,4787,248,483,417,421,971,258,2784,122,160,101,52,691,103,1230,4318,9095,5676,4724,6860,2184,32851,2080,500,64,23,1839,382,4888,1328,989,199,134,1429,482,4557,1837,2809,999,953,1814,1080,9491,1356,2793,1407,1097,1282,972,8907,1654,3513,1625,938,1588,840,10149,1709,3434,1739,1205,2126,733,10944,1136,2338,1627,1317,2535,701,9654,595,1025,734,632,1962,500,5444,215,275,149,87
SED10008,1325,278,27,17,1098,68,2814,1186,426,44,18,951,82,2711,1283,1147,246,104,1255,161,4195,1359,2347,834,396,1514,226,6667,1315,2356,742,274,1014,139,5835,1117,1932,656,262,951,126,5040,694,1383,709,332,957,115,4191,395,658,335,189,739,104,2417,71,102,41,31,302,78,627,8750,10634,3634,1617,8782,1094,34506,1330,300,36,4,835,53,2560,1066,599,79,29,615,51,2438,957,1304,547,493,926,167,4392,560,1957,1752,1653,1176,194,7289,458,2019,1658,1151,742,139,6168,398,1576,1367,1056,847,134,5379,293,1124,1196,960,998,120,4700,220,512,437,431,752,141,2502,90,116,63,36,452,156,925,5372,9511,7130,5817,7349,1164,36350,2660,578,63,22,1935,121,5369,2255,1031,124,49,1561,131,5151,2240,2456,796,596,2177,330,8587,1913,4305,2584,2049,2686,425,13963,1776,4372,2403,1420,1754,275,12002,1516,3505,2020,1319,1805,260,10418,986,2510,1906,1293,1955,237,8888,615,1172,772,616,1492,247,4919,164,220,106,69
SED10009,860,159,20,7,678,234,1947,474,273,54,26,427,130,1384,877,841,241,97,704,266,3023,724,1121,416,209,552,252,3279,1014,1489,472,211,805,358,4348,1321,2029,814,439,1171,470,6229,1071,2121,1136,721,1567,483,7095,466,815,517,372,1018,300,3490,116,159,109,76,458,129,1047,6923,9006,3767,2145,7368,2615,31831,802,207,23,12,479,187,1712,332,344,101,76,277,115,1243,432,1014,538,536,413,249,3181,336,1162,833,693,313,282,3614,496,1857,1017,596,466,327,4763,786,2353,1598,970,903,426,7035,484,1686,1620,1384,1339,435,6951,278,671,631,634,1052,340,3615,147,183,116,89,752,240,1532,4094,9496,6476,4994,6000,2598,33650,1670,365,43,17,1151,418,3656,810,618,156,92,704,242,2624,1316,1855,775,633,1116,515,6201,1062,2283,1246,901,863,532,6895,1513,3351,1486,808,1267,687,9107,2100,4383,2406,1407,2076,893,13267,1553,3808,2752,2107,2908,912,14047,740,1487,1152,1007,2073,642,7104,263,345,223,173
SED10010,870,283,29,13,1274,199,2674,877,513,102,36,1842,300,3666,1615,1532,396,220,3326,710,7798,1324,1954,727,417,2437,503,7368,1011,1427,466,280,1781,369,5336,882,1269,413,249,1640,300,4757,514,741,367,222,1402,211,3442,218,292,117,108,764,129,1623,72,50,29,28,284,58,514,7379,8059,2649,1572,14748,2780,37176,801,321,76,26,994,188,2408,675,661,207,123,1270,245,3177,943,1649,878,1089,2463,583,7599,487,1521,1257,1546,1742,542,7097,442,1344,926,898,1372,340,5316,415,1097,841,792,1438,249,4836,304,693,592,606,1388,229,3812,204,301,222,189,854,159,1926,78,82,58,38,545,82,885,4354,7659,5053,5303,12065,2611,37048,1671,603,109,47,2270,386,5084,1555,1173,302,156,3110,543,6843,2556,3179,1275,1309,5791,1295,15398,1814,3474,1983,1966,4185,1043,14467,1455,2771,1395,1173,3151,705,10650,1294,2367,1260,1042,3080,554,9587,819,1426,956,831,2788,434,7253,416,593,341,295,1619,288,3547,154,136,78,65
