SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED10001,41715,43275,84989,2603,2498,5093,5453,5135,10587,2547,2484,5030,2330,2295,4622,4898,4997,9893,4723,5088,9814,4946,5243,10195,5481,5748,11228,5108,5262,10365,2780,3171,5955,858,1350,2205,39655,41488,81143,2063,1788,3853,1421,1495,2922,31,30,63,52,39,90,1500,1569,3069,34332,35865,70199,4424,4598,9022,36119,37890,74011,2701,2786,5488,36973,38771,75750,743,728,1469,5003,4747,9752,1710,1849,3557,547,798,1344,951,1877,2827,12891,16191,29081,3937,3902,7840,9232,8633,17867,2892,2551,5446,1738,1523,3261,239,237,480,37814,39596,77412,3526,3391,6914
SED10002,61755,56069,117822,3969,3638,7605,6304,6207,12512,2769,2604,5369,5719,4824,10542,14938,12685,27618,10011,8277,18293,6531,6021,12551,5682,5726,11404,3623,3655,7278,1666,1710,3370,554,725,1282,60615,55099,115711,1142,963,2107,453,309,758,10,14,27,16,15,28,479,334,813,21218,19523,40742,36365,33053,69419,13085,11366,24451,42808,40452,83260,37321,36772,74098,900,864,1764,5609,5599,11206,2153,2196,4350,2970,2675,5646,3878,4205,8086,33204,31007,64211,1960,1651,3611,4817,4112,8928,1828,1466,3294,2432,2501,4926,1871,1974,3846,56642,52493,109141,5058,3415,8468
SED10003,39585,42816,82405,2024,1915,3939,4845,4568,9415,2137,1984,4119,1627,1737,3366,4232,4902,9135,4952,5444,10398,5174,5925,11100,5555,6151,11705,5507,5701,11211,2631,2970,5601,900,1520,2422,37743,41000,78745,1846,1820,3668,1117,1206,2320,39,38,75,47,49,97,1203,1290,2497,30056,32096,62152,6409,7407,13825,34029,36515,70544,2554,3110,5663,34218,36848,71064,618,565,1185,4418,4128,8550,1498,1459,2952,397,536,934,1115,2206,3322,16786,19892,36676,2366,2355,4722,7652,8064,15716,1923,1948,3874,1067,972,2042,90,79,167,35897,38911,74803,3892,4164,8055
SED10004,40216,43054,83273,2252,2173,4426,4085,3928,8013,1664,1612,3276,2546,3002,5549,7403,8018,15425,7035,7285,14321,5795,6156,11947,4345,4711,9054,3192,3758,6946,1475,1760,3237,426,650,1075,38620,41267,79889,1596,1785,3378,513,558,1069,14,25,44,16,16,32,545,595,1144,24614,26409,51020,13548,14665,28215,30206,31399,61602,7841,9577,17417,32540,34971,67510,727,679,1410,3901,3773,7669,1430,1427,2863,1424,1797,3218,2385,3243,5624,26118,28966,55085,1309,1254,2563,2817,2926,5744,787,847,1632,614,680,1298,166,230,398,36663,39481,76146,2929,2796,5725
SED10005,47284,47384,94669,3604,3556,7157,6844,6470,13306,3227,2973,6200,3483,3299,6784,7316,7332,14649,6203,6198,12398,5376,5611,10993,5187,5156,10347,3498,3658,7154,1802,1958,3764,746,1173,1919,46263,46455,92717,1025,930,1953,273,257,532,12,19,31,8,8,12,288,284,576,21637,21562,43204,21971,22290,44255,12527,11887,24415,30345,31477,61824,36753,37517,74269,892,805,1700,5985,5736,11718,2468,2409,4873,1477,1493,2974,1787,2258,4044,20679,21212,41898,1892,1795,3679,5437,5178,10615,1727,1766,3489,2128,2477,4609,1123,1536,2659,43150,43652,86804,4077,3670,7754
SED10006,36866,37083,73947,2322,2175,4499,4853,4659,9510,2089,1980,4069,1872,1715,3586,4201,4616,8820,3778,3984,7759,4387,4452,8845,5413,5308,10715,4674,4223,8899,2498,2698,5201,772,1264,2038,34737,35241,69983,2129,1838,3964,5758,6182,11944,35,34,73,95,94,190,5891,6310,12202,30114,30082,60197,1816,2031,3847,31060,31256,62320,1109,1183,2289,31377,31479,62856,603,587,1186,4078,3943,8015,1112,1203,2316,245,336,577,479,1309,1785,8288,10740,19027,2137,2215,4350,9330,8438,17770,3079,2819,5899,2391,1640,4029,169,107,280,31565,31787,63347,6999,6202,13207
SED10007,40564,39921,80490,2215,2059,4277,5227,5006,10236,2582,2303,4888,2440,2121,4557,4877,4617,9491,4553,4356,8907,4983,5163,10149,5454,5486,10944,4870,4787,9654,2657,2784,5444,715,1230,1941,38724,38351,77076,1845,1569,3411,2864,2580,5450,53,51,106,71,56,127,2987,2689,5679,33817,33415,67239,3907,3869,7781,34920,35593,70515,1830,1912,3746,35365,36025,71389,668,635,1302,4802,4604,9410,1734,1699,3429,584,744,1321,845,1658,2505,12137,14933,27075,2407,2275,4681,10370,9127,19497,2716,2686,5399,1602,1347,2947,118,103,226,35804,36633,72437,5013,3257,8265
SED10008,43671,44944,88614,2419,2302,4722,6746,6290,13039,2814,2560,5369,2711,2438,5151,4195,4392,8587,6667,7289,13963,5835,6168,12002,5040,5379,10418,4191,4700,8888,2417,2502,4919,627,925,1554,42853,44113,86965,819,826,1647,177,196,366,0,0,3,7,15,21,183,206,389,24284,23947,48233,18460,20061,38520,23723,23486,47203,18817,20277,39091,37245,37602,74852,886,856,1742,6550,6099,12646,2505,2339,4842,1450,1451,2908,1365,1941,3308,25492,26406,51902,1656,1468,3124,4382,4974,9353,1168,1318,2491,592,780,1373,195,254,445,42377,43579,85954,1163,1459,2617
SED10009,37522,39011,76529,1630,1534,3153,4064,3824,7890,1947,1712,3656,1384,1243,2624,3023,3181,6201,3279,3614,6895,4348,4763,9107,6229,7035,13267,7095,6951,14047,3490,3615,7104,1047,1532,2582,35349,37018,72369,2170,1990,4161,1859,1894,3754,21,19,40,29,35,58,1907,1944,3853,29809,30691,60502,4662,5287,9947,33514,34757,68271,1265,1548,2817,33706,35099,68808,459,436,900,3660,3483,7142,1295,1181,2473,239,310,547,590,1328,1918,12631,14899,27527,2787,2796,5575,9320,9234,18558,2620,2482,5104,1561,1357,2919,106,77,183,33870,35378,69247,4148,4069,8218
SED10010,46455,45804,92258,3226,3082,6304,6048,5675,11726,2674,2408,5084,3666,3177,6843,7798,7599,15398,7368,7097,14467,5336,5316,10650,4757,4836,9587,3442,3812,7253,1623,1926,3547,514,885,1399,45563,45012,90576,893,795,1686,1021,1115,2138,24,30,43,33,40,66,1070,1181,2253,21964,21320,43283,21650,21837,43487,20700,19852,40552,22670,23000,45664,35200,35066,70268,790,797,1587,5514,5199,10710,2063,1929,3991,1586,1501,3094,1997,2815,4814,22308,22509,44821,1967,1715,3683,6359,5915,12276,1844,1786,3635,1410,1785,3196,505,697,1204,43559,42994,86559,2828,2847,5672
