SED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED10001,208,353,240,139,156,27,7,1130,45,44,14,11,11,3,0,129,11,10,8,9,3,0,0,42,357,681,487,343,429,110,21,2428,3,25,15,6,15,0,0,72,30,42,20,14,16,0,0,127,36,67,38,25,37,3,0,197,397,746,520,366,462,110,27,2628,430,345,209,156,164,30,10,1342,14,13,7,10,0,0,0,42,834,1107,736,528,631,142,39,4010
SED10002,85,131,115,75,86,58,40,586,23,46,33,22,42,14,21,191,11,5,8,5,5,3,10,47,215,313,254,179,245,155,108,1472,6,24,16,9,26,17,10,111,12,14,12,12,9,4,6,73,18,36,26,20,38,25,14,180,235,355,282,198,280,178,127,1652,431,525,288,180,284,164,110,1986,15,14,11,8,0,6,0,47,673,890,578,382,569,346,232,3686
SED10003,141,324,264,212,236,48,11,1236,25,21,23,9,17,0,0,111,3,8,4,3,6,0,0,31,226,514,495,392,470,90,30,2226,7,11,9,7,5,0,0,42,10,23,19,10,7,8,0,75,18,33,24,14,15,3,0,115,249,546,523,413,484,96,31,2336,220,257,162,117,124,27,10,919,8,11,9,8,5,0,0,33,473,817,690,536,618,123,43,3291
SED10004,57,110,74,46,79,43,19,435,16,18,16,12,13,6,3,75,9,7,4,3,0,8,0,26,161,375,291,187,257,160,75,1509,4,15,14,7,16,14,5,68,0,7,7,0,3,0,5,29,10,19,16,12,17,17,9,95,168,391,312,195,275,181,84,1604,118,120,79,67,83,55,37,551,4,0,0,0,0,3,0,12,288,513,393,262,360,238,117,2164
SED10005,110,182,117,100,143,77,41,768,43,48,36,37,52,34,33,278,11,17,14,4,10,7,3,61,244,410,267,224,339,188,129,1805,8,18,11,14,18,18,15,102,24,36,19,15,26,12,7,140,34,49,39,26,49,28,20,243,279,457,302,253,387,221,149,2046,703,769,510,297,399,203,115,2995,14,27,26,12,7,3,3,95,998,1251,839,557,796,431,272,5137
SED10006,166,289,186,130,119,7,0,892,29,27,11,13,6,3,0,93,16,22,18,12,7,0,0,72,297,591,419,295,297,34,6,1948,15,34,17,9,17,0,0,83,23,34,13,15,11,0,0,97,34,62,29,24,24,4,0,180,333,656,447,320,324,40,6,2123,584,513,273,165,139,13,0,1684,21,22,12,14,12,0,0,88,938,1189,734,501,475,49,10,3901
SED10007,156,339,201,168,199,33,6,1098,29,23,24,19,10,4,0,110,10,11,7,10,12,6,0,50,300,644,469,374,450,105,21,2369,17,34,18,15,17,4,0,106,40,35,20,11,14,3,0,120,58,68,34,24,30,3,0,220,354,714,500,395,484,108,20,2588,389,412,221,153,120,9,12,1312,19,9,11,3,3,0,0,47,766,1138,738,556,606,125,32,3950
SED10008,45,118,108,66,99,64,31,523,17,23,19,10,16,9,4,95,0,5,4,0,6,3,5,22,124,322,294,219,304,191,122,1576,3,6,5,8,4,6,0,31,9,10,8,7,3,4,5,45,13,12,9,12,9,8,4,70,140,335,303,230,315,202,129,1653,76,113,71,56,85,55,44,497,0,0,0,0,0,0,0,0,215,449,376,287,393,257,173,2147
SED10009,137,313,237,144,165,23,7,1022,24,26,26,19,20,0,0,113,4,4,4,8,4,0,0,31,224,508,463,321,364,56,10,1949,6,16,11,9,6,4,0,49,12,13,11,3,9,0,0,44,13,28,20,11,14,5,0,95,238,537,478,332,376,63,14,2050,290,244,145,116,109,22,8,937,8,15,11,5,0,0,0,49,541,798,638,458,491,85,24,3031
SED10010,96,186,140,89,114,38,23,691,41,60,50,24,47,28,8,261,17,3,6,9,4,0,0,43,255,442,359,256,356,175,101,1931,16,11,15,14,23,4,3,80,27,26,13,11,17,6,0,96,36,37,22,33,31,10,8,179,290,477,384,284,391,186,108,2110,450,471,270,231,232,68,53,1770,4,7,9,7,0,0,0,36,743,954,662,515,619,255,160,3916
SED10011,89,238,179,123,161,41,22,848,29,52,43,24,33,9,9,193,0,6,4,0,0,0,0,15,163,464,398,297,405,136,71,1926,4,3,6,4,3,0,0,22,7,17,13,5,5,3,0,35,12,16,15,9,6,6,3,60,173,483,412,299,415,133,75,1989,169,215,111,88,95,25,14,715,0,7,0,3,8,0,0,23,343,704,522,392,507,160,86,2721
SED10012,87,151,126,95,151,94,48,743,62,73,44,39,65,46,22,358,3,9,11,7,8,13,5,57,217,403,315,263,402,251,137,1978,8,29,19,9,24,19,10,110,10,29,29,21,25,16,8,143,26,63,46,32,47,30,12,251,242,457,357,294,443,282,154,2235,528,723,435,330,438,267,139,2859,16,22,16,4,12,0,0,66,787,1207,813,623,893,553,288,5163
SED10013,231,375,258,166,184,64,33,1310,90,105,55,42,49,14,16,372,9,19,16,11,20,0,4,81,525,901,702,501,609,255,140,3644,25,41,14,23,19,3,3,129,23,28,9,3,11,0,0,87,48,66,25,28,28,7,8,215,575,972,732,533,639,260,143,3863,558,593,297,182,194,54,28,1903,20,27,14,10,3,0,0,72,1150,1588,1042,730,836,320,175,5835
SED10014,141,265,179,129,167,46,19,948,68,81,68,46,55,13,12,345,11,21,12,8,11,6,0,64,339,629,473,343,453,159,88,2472,17,40,17,19,24,4,5,125,39,25,21,20,14,3,3,129,59,65,36,41,42,13,3,254,396,695,509,379,493,170,86,2727,806,821,432,320,297,94,40,2816,17,19,31,13,6,0,0,83,1223,1534,971,707,793,266,129,5630
SED10015,68,156,130,76,135,80,41,679,46,31,34,34,41,33,21,244,14,16,4,5,15,9,0,60,186,354,288,230,330,217,129,1748,6,5,15,10,12,4,9,58,16,13,15,3,8,5,4,66,19,19,30,12,22,14,15,126,208,376,322,246,354,231,143,1874,284,303,214,154,199,125,72,1364,4,9,0,0,3,4,0,19,504,691,536,399,561,361,218,3264
SED10016,92,142,107,95,115,76,37,658,27,41,30,13,26,17,6,157,3,4,6,0,5,0,0,26,206,394,338,288,405,267,137,2025,8,8,8,9,11,4,8,50,8,13,6,10,10,0,0,44,15,22,15,17,19,9,8,98,217,417,351,300,419,276,143,2128,144,164,100,78,95,52,37,665,3,4,0,6,0,0,0,12,366,587,449,385,514,328,178,2808
SED10017,313,476,262,182,189,49,18,1483,65,105,60,33,29,5,0,300,20,27,16,11,5,3,0,83,546,897,541,400,435,130,43,3001,21,37,19,8,13,0,0,100,41,59,36,22,16,0,0,177,65,97,55,32,29,3,0,280,612,991,595,437,465,134,46,3280,615,577,327,203,208,23,12,1968,4,13,10,6,3,0,0,44,1231,1584,940,649,679,161,55,5291
SED10018,135,287,186,136,160,51,19,968,36,24,10,14,19,3,4,117,8,11,4,5,4,3,0,39,245,566,420,325,406,148,75,2182,6,17,10,18,8,0,0,54,12,23,18,12,9,5,0,78,19,37,27,28,17,5,0,132,260,601,442,345,432,155,76,2319,246,289,158,120,116,13,14,966,0,4,0,0,0,0,0,5,510,900,603,473,545,174,90,3296
SED10019,171,295,227,163,149,24,3,1041,41,43,37,18,19,4,0,158,10,11,0,0,4,4,0,32,331,551,487,311,349,50,13,2091,12,27,29,22,17,0,4,98,25,32,17,8,3,0,0,94,33,60,47,25,20,0,4,186,361,611,534,335,363,55,14,2275,477,475,276,187,169,19,0,1610,11,14,17,7,9,0,0,63,854,1103,823,533,546,72,19,3945
SED10020,213,354,252,172,164,41,12,1208,27,32,21,15,6,6,0,109,11,17,12,7,5,0,0,61,355,674,526,387,436,110,31,2517,12,17,20,22,15,3,0,90,23,37,26,10,18,0,0,119,37,57,48,35,34,3,0,211,390,727,579,422,472,110,29,2724,368,307,194,139,114,31,6,1159,9,13,4,3,6,0,0,40,769,1048,776,561,589,140,40,3922
SED10021,60,107,108,77,65,41,32,498,20,20,17,11,19,6,5,107,0,0,4,0,0,0,0,7,153,337,315,230,291,173,87,1589,3,10,7,0,11,9,3,44,3,6,15,5,3,8,3,39,0,15,21,8,14,14,10,86,160,350,333,234,315,184,96,1670,77,94,65,55,59,49,30,432,0,3,4,6,4,4,0,12,234,445,403,293,375,234,124,2117
SED10022,151,314,209,138,139,36,0,992,17,15,16,7,13,0,0,62,8,11,7,5,5,0,0,38,273,508,396,313,333,64,6,1885,9,32,26,20,14,3,0,105,31,49,17,8,5,0,0,110,45,86,38,25,28,3,0,210,311,594,433,340,355,68,6,2098,411,393,201,116,124,13,0,1252,21,11,17,4,5,0,0,53,742,996,650,461,479,79,0,3406
SED10023,56,145,129,87,120,52,30,615,26,37,21,10,18,7,10,128,5,10,4,0,0,5,0,24,135,355,287,237,332,154,108,1609,3,3,0,5,10,0,0,25,8,4,5,4,7,4,7,37,13,5,3,8,18,0,3,55,150,362,291,241,340,161,108,1663,88,94,63,45,84,37,18,428,0,5,0,4,0,0,0,6,238,462,357,293,427,196,124,2099
SED10024,49,105,94,89,119,69,42,573,15,29,24,17,24,19,9,122,4,12,6,0,6,4,7,21,109,314,312,252,350,219,125,1674,4,3,5,4,12,9,5,47,0,5,3,13,8,3,4,49,6,8,12,13,25,11,16,88,115,321,323,271,373,231,135,1770,52,92,81,67,128,69,48,531,0,3,0,0,0,0,0,6,167,421,403,335,501,297,183,2303
SED10025,57,105,96,63,79,54,30,476,14,18,11,15,18,10,7,84,0,9,0,0,0,3,0,7,161,306,275,188,290,202,101,1518,9,8,12,5,6,0,4,47,5,6,3,0,5,7,3,32,13,17,12,14,13,9,7,76,176,327,293,193,296,205,107,1594,88,119,64,70,96,58,32,533,0,6,0,4,0,0,0,9,265,445,359,266,397,262,145,2142
SED10026,246,360,213,145,117,20,3,1096,39,30,18,12,14,6,0,118,23,31,17,14,10,0,0,98,457,761,535,356,371,70,21,2560,15,24,22,9,10,0,0,83,25,39,24,14,6,0,0,108,37,65,40,23,21,0,0,186,493,826,569,381,385,69,18,2744,484,454,237,156,107,12,5,1463,13,15,10,14,0,0,0,55,992,1301,820,545,496,81,25,4262
SED10027,67,156,95,87,125,70,36,636,33,57,41,28,32,19,20,233,4,6,3,3,8,8,3,36,168,378,287,247,328,185,133,1732,3,18,7,10,3,10,6,57,4,12,9,8,9,4,3,51,6,27,24,16,12,17,6,105,174,405,307,263,343,206,142,1837,422,425,265,168,226,117,71,1696,8,9,4,0,7,5,0,33,606,840,578,432,575,327,212,3574
