SED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED10001,28028,69501,4088,6311,435,671,4529,6983,253,351,69,116,32,45,0,0,7,14,358,528,40,65,60,70,9,16,45,91,145,250,89,187,33152,77452,3702,..,36854,77452
SED10002,13841,49301,653,1394,3448,10943,4105,12335,2523,5975,2087,5799,6948,16348,7481,17579,428,1363,19465,47065,0,0,0,0,0,0,109,345,109,344,163,373,37685,109417,4428,..,42114,109417
SED10003,23419,60546,2772,5271,2372,4811,5149,10081,1187,2015,234,408,67,120,22,40,180,352,1693,2929,181,251,453,660,24,39,100,173,750,1119,144,246,31153,74927,3764,..,34919,74927
SED10004,7179,19459,4684,11217,7639,18475,12328,29692,2585,4684,3721,6130,5449,9512,3239,5990,66,133,15066,26449,0,0,5,11,0,0,266,546,267,554,77,137,34914,76290,4758,..,39671,76290
SED10005,15372,53103,861,2435,2626,8631,3486,11074,1517,3039,3766,9390,2203,5486,1120,3128,348,1087,8955,22133,0,0,0,0,0,0,160,411,160,411,78,213,28048,86930,2333,..,30381,86930
SED10006,25020,59684,910,1308,61,108,974,1417,561,749,0,0,3,0,0,0,4,15,569,768,94,182,34,60,217,360,51,122,394,723,370,797,27324,63385,6113,..,33439,63385
SED10007,26792,66659,1978,3200,482,806,2460,4010,837,1238,29,35,0,0,3,6,23,49,901,1335,38,58,19,35,3,3,78,185,141,286,94,189,30379,72475,3879,..,34260,72475
SED10008,22750,72381,491,1050,2390,6764,2885,7817,364,668,424,912,1299,2745,553,1207,96,266,2737,5805,0,0,0,0,0,0,0,0,0,0,62,163,28431,86170,1488,..,29919,86170
SED10009,26215,61230,1571,2404,1078,1879,2649,4277,1500,2333,94,145,38,59,5,6,43,61,1679,2611,180,306,341,522,11,13,42,108,565,951,126,238,31229,69301,9135,..,40370,69301
SED10010,22971,69154,1014,2547,2686,8065,3697,10615,547,805,15,31,2004,4804,219,575,237,621,3031,6836,0,0,3,5,0,0,22,48,23,54,43,91,29767,86742,1929,..,31693,86742
SED10011,26163,65164,724,1174,536,923,1256,2097,583,812,189,277,31,46,0,0,128,273,927,1403,0,0,5,6,0,4,38,66,47,77,71,106,28465,68846,3458,..,31924,68846
SED10012,18045,63023,531,1324,2596,7770,3127,9096,795,2000,1644,3843,343,773,0,0,345,966,3132,7571,0,0,0,0,4,4,35,76,37,81,59,151,24396,79930,1313,..,25716,79930
SED10013,37602,119992,905,1756,1409,3469,2308,5222,239,367,25,38,35,48,0,0,134,349,439,796,18,40,122,168,5,3,13,36,163,247,117,311,40631,126569,1606,..,42239,126569
SED10014,21759,65601,1426,3073,2090,4723,3508,7791,749,1210,443,715,1279,2524,180,337,189,382,2835,5178,0,0,0,0,0,7,5,6,3,12,32,47,28142,78630,1641,..,29779,78630
SED10015,15883,48754,1096,2747,2505,7201,3603,9952,4886,10913,3265,7338,3644,8393,844,1981,170,503,12804,29130,0,0,0,0,0,0,188,407,188,407,73,152,32550,88399,2853,..,35406,88399
SED10016,26181,87915,421,755,2104,6029,2527,6780,426,866,704,1630,1338,2925,469,1032,90,205,3024,6659,0,0,0,0,0,0,5,11,5,11,34,76,31777,101445,1427,..,33206,101445
SED10017,28291,77139,1664,2933,320,518,1986,3453,413,557,15,24,0,0,0,0,70,144,499,727,38,44,11,17,7,12,28,55,82,127,61,136,30918,81576,2520,..,33440,81576
SED10018,23563,63288,2023,3278,1656,3321,3674,6589,736,1171,112,159,244,404,227,403,46,100,1371,2244,0,0,0,0,0,0,20,37,20,37,24,35,28647,72199,1482,..,30134,72199
SED10019,25476,62651,1432,2278,730,1388,2167,3666,1058,1614,90,150,22,36,0,0,62,101,1239,1899,206,319,337,502,25,42,183,410,751,1274,126,240,29755,69728,4067,..,33819,69728
