SED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED10041,26,186,94,405,133,501,78,315,23,1772,171,968,278,659,463,516,61,177,54,3350,887,3084,490,500,733,405,68,177,103,6444,2442,5040,525,422,1153,428,115,157,184,10465,2859,4087,432,483,1296,436,117,190,162,10065,1637,2613,356,355,942,319,121,205,100,6641,435,901,127,101,402,106,37,86,38,2240,92,186,10,18,72,24,0,11,12,438,11,7,0,0,4,0,0,3,9,44,8557,17081,2320,2944,5208,2744,605,1321,685,41465
SED10042,34,52,356,387,94,657,86,534,37,2241,121,344,742,672,255,441,188,387,47,3207,581,1531,1410,936,815,453,429,582,137,6873,886,1645,1141,888,856,364,536,501,118,6930,1057,1476,1054,945,1124,475,672,583,103,7489,805,1178,815,745,973,400,584,589,87,6169,213,381,157,140,242,110,141,128,27,1541,32,48,10,5,22,7,12,14,9,176,0,0,0,0,3,0,0,0,3,8,3734,6646,5689,4718,4394,2906,2646,3320,571,34626
SED10043,12,53,150,109,86,470,39,209,32,1169,135,646,355,417,504,597,206,307,93,3268,650,2341,804,789,1087,735,739,601,245,7981,894,1582,781,782,1002,538,534,539,205,6858,612,865,637,681,843,368,566,637,161,5371,404,512,508,439,576,274,598,571,83,3973,93,135,126,77,131,65,121,130,30,905,6,19,8,8,13,7,10,7,5,82,3,0,0,0,0,0,0,0,0,3,2825,6152,3372,3308,4237,3054,2827,2997,853,29610
SED10044,20,134,87,363,168,474,61,223,20,1555,209,1012,342,633,513,472,57,172,53,3468,1722,5372,881,728,1235,640,131,270,199,11184,3032,5296,765,507,1384,555,128,195,207,12073,2791,3776,577,443,1330,468,140,204,125,9851,1538,2339,425,358,1044,344,141,209,91,6506,429,920,127,97,372,136,61,89,32,2261,94,148,12,8,52,28,7,9,14,371,12,6,0,0,0,3,0,0,7,30,9842,19008,3215,3140,6098,3118,737,1375,756,47291
SED10045,35,26,297,288,71,710,65,585,29,2114,106,165,437,448,194,348,102,432,42,2269,459,1009,856,746,540,402,272,689,76,5044,810,1526,900,766,675,337,329,602,109,6052,1065,1558,806,981,968,425,425,767,132,7118,1155,1350,756,920,913,455,507,831,107,6983,650,451,195,210,276,120,170,260,51,2379,181,46,20,13,27,9,24,29,33,378,37,0,0,0,0,0,0,0,13,55,4493,6125,4259,4376,3669,2801,1882,4210,582,32402
SED10046,24,60,211,172,93,589,136,335,34,1654,160,627,492,543,554,566,453,372,113,3881,628,2023,894,945,1230,542,873,602,227,7964,860,1494,837,819,1138,440,906,685,199,7378,688,983,849,679,1060,395,970,866,159,6651,414,506,640,492,703,264,865,806,99,4801,68,126,126,85,119,45,141,158,21,887,3,8,4,0,10,0,5,11,3,45,0,0,0,0,0,0,0,0,6,5,2846,5828,4052,3736,4908,2844,4358,3841,860,33267
SED10047,42,58,365,241,133,815,177,524,58,2418,224,460,795,752,588,541,600,597,117,4678,1287,2877,1812,1530,2000,854,1591,1058,310,13311,1758,3278,1451,1465,2299,797,1865,1031,299,14243,1043,1276,959,938,1544,517,1484,921,225,8899,567,602,609,636,1006,340,1087,703,117,5662,151,175,137,130,239,74,239,146,28,1313,17,14,7,10,13,13,12,9,4,96,0,0,0,0,0,0,4,0,0,6,5081,8739,6136,5700,7818,3947,7060,4987,1155,50628
SED10048,40,79,226,211,99,644,116,413,57,1876,197,683,581,613,547,657,367,457,122,4226,1105,3243,1312,1351,1636,788,946,837,306,11524,1678,3654,1326,1423,2013,784,1108,873,297,13157,1039,1644,964,1015,1461,535,1130,923,185,8899,684,946,781,722,1218,410,991,763,130,6637,122,254,158,133,282,84,195,163,33,1430,15,17,7,4,22,9,12,13,6,94,4,5,0,0,0,0,0,0,0,9,4887,10525,5355,5473,7277,3908,4860,4449,1129,47850
SED10049,60,58,421,448,116,996,128,726,33,2975,196,377,913,886,409,564,245,497,65,4157,911,2044,2038,1427,1206,764,821,945,168,10327,1241,1997,1522,1144,1261,573,1016,774,172,9699,1210,1574,1198,1065,1280,524,935,705,126,8616,695,1016,797,689,919,427,736,673,88,6049,174,279,121,121,197,87,172,133,27,1314,31,16,12,11,20,13,12,15,10,133,5,0,0,0,4,0,0,0,6,19,4519,7369,7031,5789,5399,3955,4057,4466,697,43280
SED10050,33,120,186,482,110,562,93,268,17,1869,204,741,414,707,338,419,99,161,48,3131,1869,4310,1164,840,852,653,187,313,168,10356,3113,4204,788,506,960,574,149,205,175,10684,3194,3906,563,580,1209,552,168,213,160,10548,1694,2301,447,391,977,398,179,219,87,6702,347,683,123,105,348,137,63,88,25,1924,60,110,12,8,46,18,6,15,15,287,0,10,3,0,3,3,0,6,9,32,10519,16366,3708,3612,4850,3318,951,1489,699,45524
