SED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED10001,221,766,901,743,747,831,821,447,156,5630,142,761,1451,1051,1017,1096,735,304,129,6688,57,551,1524,1255,1341,1324,648,200,37,6934,22,282,1110,1004,974,888,360,117,19,4773,0,98,834,848,831,777,279,79,32,3794,0,48,440,623,651,549,179,47,4,2553,0,42,533,971,1017,717,171,51,15,3512,0,0,64,156,161,143,61,14,3,611,4,14,96,235,286,258,128,41,14,1067,415,354,737,730,755,802,849,679,340,5658,5030,4622,9893,9814,10195,11228,10365,5955,2205,69309
SED10002,117,1222,2321,1228,973,823,409,151,48,7288,58,1198,3021,1618,1124,855,312,72,28,8286,39,960,3436,1896,1195,996,325,51,3,8902,17,504,2500,1405,809,593,188,27,4,6054,9,236,1911,1231,664,454,124,22,6,4650,3,92,1291,978,555,312,84,8,0,3320,0,58,1771,1768,909,518,102,9,5,5134,0,4,241,422,221,123,30,5,4,1050,0,11,250,493,337,167,40,7,0,1313,455,1086,2784,1931,1206,930,561,302,192,9443,5369,10542,27618,18293,12551,11404,7278,3370,1282,97708
SED10003,129,550,1050,839,834,919,943,480,160,5907,84,511,1215,1091,1097,1151,832,306,105,6390,19,314,1244,1202,1249,1217,819,266,60,6374,10,119,812,895,990,764,442,140,35,4203,7,59,600,804,836,715,333,102,35,3492,0,35,348,576,678,509,197,63,16,2414,0,14,405,1019,1134,778,314,70,15,3759,0,6,80,230,235,197,72,27,14,855,4,7,113,486,544,432,236,56,10,1888,374,339,936,951,896,883,855,552,530,6312,4119,3366,9135,10398,11100,11705,11211,5601,2422,69054
SED10004,79,550,815,470,345,378,487,235,33,3393,43,504,1023,573,460,448,488,230,39,3806,21,553,1550,805,684,648,568,202,41,5064,9,370,1597,853,674,517,405,149,6,4580,3,208,1547,958,786,578,346,105,15,4542,4,78,1268,989,722,540,302,82,14,3992,6,84,2629,2881,1966,1275,466,101,10,9421,0,12,587,1133,863,415,168,43,6,3228,5,15,894,3128,3045,1477,419,78,7,9067,166,373,959,756,597,508,424,305,243,4328,3276,5549,15425,14321,11947,9054,6946,3237,1075,70834
SED10005,131,621,1169,951,896,755,386,195,78,5174,61,598,1380,1125,1104,925,319,115,30,5662,28,610,1610,1239,1129,888,270,69,15,5854,10,348,1287,882,683,555,166,25,8,3967,6,140,991,688,556,426,119,20,8,2958,0,49,593,523,389,260,54,10,0,1884,0,45,688,843,535,315,77,6,6,2508,0,3,98,155,88,61,8,7,0,421,0,8,90,161,162,71,28,13,3,539,610,749,1640,1436,1077,840,617,436,408,7802,6200,6784,14649,12398,10993,10347,7154,3764,1919,74197
SED10006,165,400,683,531,614,641,571,315,89,4010,110,434,875,692,752,898,528,223,79,4584,85,369,1010,776,864,936,450,152,27,4677,29,240,768,595,630,623,238,72,15,3201,15,141,674,566,507,558,188,55,26,2742,8,81,493,421,451,394,150,24,5,2035,0,82,750,733,796,654,150,14,6,3199,0,9,103,143,148,137,39,18,3,598,9,9,114,167,249,211,106,41,11,917,713,548,1223,1150,1265,1453,1230,985,492,9064,4069,3586,8820,7759,8845,10715,8899,5201,2038,59934
SED10007,211,541,781,627,707,770,771,408,103,4919,133,734,1125,819,933,910,617,244,67,5580,73,514,1226,991,1055,1045,593,181,25,5700,23,324,996,804,800,776,375,77,15,4185,5,154,754,715,812,695,257,95,19,3515,4,63,521,613,697,581,162,17,11,2673,4,57,659,1086,1267,881,217,42,6,4219,0,11,107,142,222,139,53,10,3,680,3,12,95,210,312,268,109,34,12,1056,397,517,1105,1001,887,821,824,621,297,6472,4888,4557,9491,8907,10149,10944,9654,5444,1941,65979
SED10008,101,498,417,597,604,597,652,404,105,3973,70,467,654,786,728,658,628,310,47,4360,39,578,1016,1071,1013,878,647,240,26,5513,12,432,978,1051,920,768,462,148,21,4799,4,205,1001,1134,961,781,397,100,5,4595,0,79,713,1074,866,661,259,61,11,3724,0,59,1331,2824,2244,1380,423,82,8,8356,0,14,234,1012,731,393,132,21,0,2519,0,3,244,1579,1490,864,190,40,10,4427,133,159,337,431,315,294,304,333,363,2672,5369,5151,8587,13963,12002,10418,8888,4919,1554,70857
SED10009,133,377,677,655,735,1115,1228,563,177,5662,75,408,856,773,969,1245,901,421,105,5751,23,274,843,850,1103,1345,949,301,63,5753,9,131,519,635,796,814,480,155,35,3571,0,30,423,505,597,632,394,106,45,2745,0,12,248,353,454,486,206,52,14,1839,0,16,260,526,690,657,228,56,24,2456,0,3,38,93,124,134,53,24,3,469,4,13,61,150,200,216,130,56,20,837,410,251,516,557,753,966,976,731,546,5705,3656,2624,6201,6895,9107,13267,14047,7104,2582,65484
SED10010,140,803,1270,974,773,659,410,217,58,5302,84,911,1851,1450,1126,926,332,90,38,6806,41,743,2223,1896,1358,1054,339,49,17,7715,8,386,1718,1476,1065,724,195,20,0,5595,6,156,1235,1255,833,606,160,30,16,4286,3,59,732,883,593,396,105,8,6,2787,0,45,841,1608,976,568,121,11,0,4177,0,4,117,292,162,65,27,7,0,673,0,9,93,226,144,74,23,10,3,584,379,542,1271,1000,716,611,468,354,180,5533,5084,6843,15398,14467,10650,9587,7253,3547,1399,74230
SED10011,139,416,548,593,621,665,912,460,108,4463,59,416,649,681,759,772,750,312,70,4473,30,291,889,903,965,1037,785,224,50,5183,9,168,728,818,825,761,493,119,20,3951,0,85,599,834,890,753,323,94,17,3595,3,36,457,750,909,668,212,30,10,3063,0,27,645,1577,1694,1245,323,74,6,5585,0,0,88,251,360,258,72,13,6,1045,0,3,91,326,548,396,117,44,13,1530,183,112,289,353,393,357,416,401,419,2933,4243,3107,6700,8908,10062,10340,9808,4876,1644,59708
SED10012,131,619,878,848,1023,896,404,127,47,4984,88,630,1218,1038,1237,1032,317,80,22,5663,24,601,1441,1101,1143,949,280,39,14,5595,10,322,1047,715,655,545,145,16,0,3456,3,141,783,574,532,434,116,16,3,2609,0,47,476,402,338,259,61,3,3,1589,0,40,512,586,461,302,63,9,0,1985,0,3,68,109,79,42,25,3,0,329,0,0,42,125,89,51,21,15,3,352,424,384,836,697,703,723,503,414,461,5149,5905,6201,11101,10023,11201,11673,8272,3696,1741,69815
SED10013,327,996,1313,1153,925,731,596,280,56,6383,205,1236,2102,1646,1334,1030,511,150,44,8259,68,1060,3066,2375,1880,1335,499,92,26,10402,24,583,2838,2178,1619,938,312,66,7,8560,8,297,2466,2142,1512,874,249,48,7,7602,11,149,1686,1748,1311,650,153,22,4,5742,3,106,2209,3286,2422,1137,194,45,12,9418,0,13,269,670,505,228,42,5,5,1742,5,6,305,701,683,334,79,20,9,2145,372,405,969,919,616,475,448,372,346,4925,8301,7765,21176,20491,15774,11547,8184,3922,1443,98596
SED10014,175,700,1010,828,688,680,546,226,44,4910,101,755,1420,1265,1041,921,426,129,19,6096,52,637,1745,1397,1196,1016,374,82,15,6512,10,310,1277,1182,894,676,263,45,7,4667,4,140,982,949,747,533,174,46,8,3583,5,57,584,654,541,404,105,7,0,2363,5,53,694,1005,805,563,122,11,0,3261,3,0,61,136,143,91,30,5,0,467,0,3,66,178,161,125,39,15,7,596,425,428,943,903,661,552,487,410,216,5025,5396,5727,12224,11637,9591,9305,7647,3668,962,66156
SED10015,130,785,1286,970,985,837,434,244,77,5729,50,759,1728,1189,1251,969,383,141,55,6532,29,631,1935,1471,1320,1039,364,90,25,6910,3,354,1539,1193,949,697,217,57,21,5022,3,152,1143,1146,941,572,149,44,13,4175,0,75,813,845,764,459,95,20,13,3083,4,43,1109,1538,1307,734,152,28,7,4921,0,8,193,354,306,148,32,9,0,1048,0,6,160,574,549,251,52,19,4,1606,280,563,1333,1056,863,696,525,514,398,6218,4773,6401,15074,13657,12879,11028,7751,5144,2355,79063
SED10016,215,689,595,769,706,571,610,313,55,4522,109,718,851,929,873,722,561,239,36,5037,49,782,1322,1349,1222,921,582,224,30,6481,18,509,1273,1377,1159,818,382,119,13,5667,3,257,1329,1459,1239,859,324,80,11,5553,0,102,969,1414,1182,745,254,52,14,4727,3,81,1555,3693,2923,1457,397,83,12,10206,0,8,238,1135,939,415,113,19,3,2880,0,8,295,1666,1775,908,209,57,7,4933,221,232,426,501,478,305,248,245,291,2954,7546,6324,10839,17090,14958,10741,8082,4120,1305,80997
SED10017,234,705,1087,806,826,646,660,294,62,5317,136,835,1490,1106,1096,884,458,139,31,6176,51,607,1786,1338,1312,1029,387,92,13,6624,17,323,1254,1078,958,653,203,45,10,4542,0,152,950,948,739,533,160,49,13,3552,0,67,692,723,630,370,105,16,4,2612,0,72,1020,1417,1112,666,111,23,3,4429,0,3,136,250,205,131,39,11,0,784,3,18,92,233,261,215,73,18,9,927,306,447,1079,935,787,636,652,482,290,5608,5244,5248,12545,11366,10759,10164,8727,4151,1561,69765
SED10018,164,617,673,545,569,587,651,380,133,4310,81,647,928,761,865,797,526,278,75,4960,37,476,1267,1046,1008,951,576,190,54,5603,11,276,1159,935,823,734,324,105,21,4383,3,100,910,922,857,652,219,74,26,3762,3,45,653,800,820,519,141,41,6,3030,0,38,925,1789,1648,895,212,38,12,5561,0,4,158,419,346,210,42,15,8,1198,0,9,148,576,605,302,93,44,13,1794,183,173,461,366,393,336,359,413,394,3074,4512,4311,9115,9923,9887,8975,7483,5096,2215,61524
SED10019,158,541,757,704,768,914,908,470,131,5354,82,581,989,885,1033,1139,681,284,79,5759,43,331,959,893,1086,1131,618,163,34,5254,9,150,544,621,689,667,283,67,18,3054,4,56,400,484,573,513,201,103,29,2360,0,26,265,316,403,352,113,25,4,1501,0,18,241,538,659,482,106,36,8,2080,0,0,25,71,89,77,25,13,0,310,6,10,49,103,177,131,88,35,7,609,447,468,1083,1072,957,946,878,695,493,7042,4092,3580,7499,7735,9332,11733,11651,6572,2524,64716
SED10020,159,533,925,787,753,869,910,457,132,5532,87,532,1197,1081,1042,1051,719,281,77,6072,35,364,1150,1153,1257,1170,663,229,41,6062,5,164,784,860,823,669,327,89,32,3745,0,76,620,683,741,569,256,89,30,3067,0,22,362,498,610,446,139,36,8,2136,0,27,408,865,1001,603,179,40,12,3137,0,8,51,150,179,121,44,16,3,577,3,7,68,218,305,191,89,35,24,943,332,279,725,631,649,635,622,669,562,5111,4505,3601,8788,9273,9821,10579,10183,5726,2320,64798
SED10021,82,454,791,410,377,373,398,304,100,3292,38,414,1166,561,446,457,458,269,87,3887,25,537,1864,817,637,668,523,218,63,5345,11,354,2156,835,599,565,330,130,40,5020,7,207,2219,973,759,547,308,123,30,5174,3,89,1731,996,719,506,255,85,23,4403,3,84,3463,2730,1687,1044,347,123,27,9507,5,21,732,1041,718,405,129,42,21,3116,0,39,1041,2927,2806,1304,323,87,25,8548,176,252,1254,800,558,394,416,489,701,5040,3413,4268,18084,13545,10811,8041,5876,3698,1959,69698
SED10022,193,455,687,600,674,785,794,397,102,4702,120,507,883,873,945,990,607,261,82,5278,57,421,1007,953,1050,1086,549,196,42,5366,18,202,632,614,638,637,301,81,13,3145,8,99,518,486,562,518,215,111,27,2538,9,40,319,381,428,357,132,36,10,1710,3,41,389,589,667,508,146,44,11,2404,0,3,48,119,152,123,52,19,3,523,8,4,65,148,212,183,115,57,18,812,447,387,857,877,850,905,918,745,349,6336,4150,3367,7264,7467,8658,10269,9931,5925,2266,59293
SED10023,190,520,461,440,498,618,705,392,141,3973,68,679,700,589,649,767,643,317,109,4527,31,662,1134,836,912,1044,715,288,74,5692,9,423,1158,759,887,841,530,181,56,4847,9,196,1212,908,985,795,440,121,33,4691,0,96,867,787,905,685,273,85,27,3712,0,77,1401,1929,1930,1299,405,89,40,7178,3,6,265,622,650,381,131,40,17,2111,0,14,364,1377,1559,861,274,88,27,4565,168,152,462,399,411,333,308,282,285,2808,4865,4522,9116,9963,11042,10139,8055,4469,2102,64271
SED10024,102,428,298,400,485,444,541,513,163,3390,47,406,399,486,612,546,520,434,155,3603,13,450,578,694,735,737,601,456,141,4401,7,285,598,649,679,640,484,264,106,3717,3,138,618,749,769,613,419,268,100,3687,5,45,469,661,711,578,314,211,44,3044,0,62,797,1928,1905,1264,548,283,92,6873,3,14,179,705,876,507,198,57,28,2573,8,23,194,2050,3428,1822,495,208,80,8318,150,135,168,292,334,280,265,291,305,2218,5942,4465,5368,10375,12680,9756,7746,5827,2489,64649
SED10025,86,430,632,460,459,531,571,334,115,3628,34,466,1002,616,588,621,565,267,68,4241,27,478,1545,963,787,884,640,214,51,5588,0,375,1424,905,744,689,434,151,22,4743,7,176,1440,1031,869,673,350,127,19,4690,0,80,1064,985,773,570,249,86,17,3832,0,67,2057,2475,1874,1227,429,118,24,8270,0,11,365,879,706,413,130,41,7,2546,0,11,580,1784,1954,996,314,85,19,5750,144,238,688,593,414,364,389,373,486,3693,3840,4287,12901,12576,10965,9676,7756,4571,2140,68709
SED10026,240,556,900,676,583,715,604,363,96,4737,146,697,1458,964,959,958,483,196,48,5915,68,556,1650,1151,1044,1110,488,134,35,6235,30,301,1128,818,836,772,311,76,14,4289,10,153,938,790,726,600,203,105,21,3554,4,91,639,600,675,443,152,42,13,2661,0,96,877,1250,1106,770,174,37,14,4316,0,14,141,249,233,170,35,10,4,856,3,18,153,320,329,200,98,49,15,1173,516,506,1413,1197,1019,925,829,692,379,7483,4721,4323,11642,9931,9666,10007,8148,4966,1842,65249
SED10027,174,535,694,771,710,758,478,251,98,4469,85,577,986,866,941,853,415,183,58,4972,46,578,1323,1208,1185,1005,424,114,24,5904,12,359,1143,1010,983,738,272,54,13,4575,3,151,973,950,853,685,196,37,13,3853,4,61,657,770,692,488,124,16,7,2816,0,43,918,1492,1259,720,165,28,4,4632,0,6,151,382,314,142,21,6,0,1022,0,8,144,442,400,212,54,14,9,1281,305,295,754,673,553,470,451,424,525,4451,5435,5174,10359,11250,10610,9961,7258,4263,2236,66547
SED10028,70,432,530,559,566,657,588,412,152,3969,51,436,712,711,716,721,583,303,138,4370,16,532,1080,1021,831,878,579,271,98,5311,9,399,1163,919,759,676,423,171,50,4563,4,195,1108,1070,834,724,341,123,50,4442,3,71,731,903,781,648,246,80,32,3501,0,66,1272,2664,2073,1449,437,130,32,8121,0,9,219,812,768,470,109,29,15,2440,5,5,221,1331,1702,994,271,53,29,4603,153,164,415,421,322,321,281,437,629,3145,5607,5222,9443,12926,11792,10886,8255,4884,2882,71896
SED10029,107,597,989,932,1030,832,414,208,59,5170,65,641,1288,1048,1247,1033,292,98,28,5742,38,531,1403,1072,1094,846,254,51,11,5300,11,300,1061,737,680,497,145,22,4,3460,3,142,751,551,496,359,91,28,10,2426,6,52,472,423,330,217,59,4,6,1556,3,40,527,598,371,256,59,3,4,1860,5,6,67,101,74,40,9,6,6,300,6,5,47,90,98,52,13,12,3,330,542,509,1130,1037,916,869,716,541,448,6698,6456,6478,12585,11645,12037,11768,8272,4466,1946,75660
SED10030,144,607,802,714,725,798,766,443,133,5135,73,601,1063,832,885,985,618,283,84,5434,24,436,1250,1043,1090,1064,519,216,74,5720,10,252,961,876,854,715,343,75,25,4112,0,103,752,828,817,646,253,71,29,3504,0,37,564,709,629,534,145,29,10,2662,0,33,665,1341,1226,828,199,45,4,4343,0,0,103,312,280,168,54,16,3,939,0,7,101,394,431,336,116,60,15,1450,259,271,643,550,604,597,621,607,453,4615,4024,4175,9080,9907,10178,10678,9324,5868,2423,65657
SED10031,226,485,685,635,628,823,884,443,130,4927,133,598,971,786,876,1003,686,324,81,5457,74,482,1189,989,1103,1248,737,232,55,6105,17,274,907,809,881,836,428,147,25,4327,4,136,791,848,938,789,391,122,30,4053,4,55,536,695,814,602,222,64,13,3006,0,58,656,1237,1539,1065,337,75,10,4980,0,7,82,253,338,243,90,25,4,1032,0,5,106,363,625,475,226,85,16,1907,363,326,727,710,805,870,818,644,399,5659,4684,3795,8576,9073,10911,11725,10594,5844,1996,67195
SED10032,121,1011,1651,1157,751,670,382,173,52,5965,84,952,2175,1428,993,806,294,90,28,6845,46,710,2490,1770,1094,857,251,60,20,7302,13,363,1887,1344,861,524,170,19,7,5182,0,194,1432,1141,722,481,103,28,4,4100,0,76,834,926,507,318,77,8,3,2743,0,56,1262,1932,849,477,91,11,4,4679,0,7,167,390,154,89,24,0,0,833,0,9,137,376,245,84,29,11,0,899,534,819,2216,1653,997,768,499,343,168,7996,5501,8039,20354,16733,11078,9519,6544,3633,1416,82817
SED10033,288,650,714,573,667,714,550,329,121,4612,173,813,1051,776,929,869,525,189,53,5375,82,663,1375,977,1235,1052,545,161,25,6118,20,427,1160,872,981,841,322,77,14,4729,11,177,1002,862,1040,758,264,54,15,4182,6,82,692,775,856,636,201,51,3,3302,0,75,801,1290,1525,997,229,54,9,4979,0,6,114,270,319,207,74,20,3,998,3,10,111,394,600,409,127,43,11,1700,284,283,587,506,552,518,434,401,280,3844,5232,4913,9674,9116,10978,10086,7510,4153,1388,63057
SED10034,197,619,509,547,578,600,701,352,110,4202,83,613,745,707,764,774,597,243,58,4584,27,607,1061,979,1071,974,655,218,28,5622,8,349,1127,976,995,837,397,96,22,4802,0,139,1112,1041,1043,767,254,64,15,4430,0,64,855,1027,962,664,180,24,5,3793,0,52,1220,2234,2097,1263,262,35,4,7172,0,4,181,524,517,269,71,11,4,1573,0,0,180,725,804,470,107,21,9,2315,137,146,301,310,324,307,300,397,599,2819,4848,4359,8649,10686,10842,9483,7488,4338,1810,62505
SED10035,109,1059,2023,806,542,468,342,194,48,5588,83,1111,2987,1168,774,664,350,140,43,7303,41,1239,4387,1629,976,750,351,108,28,9505,11,848,4114,1586,871,628,254,67,17,8393,12,501,3819,1741,955,615,205,51,20,7922,3,274,3005,1602,853,497,167,32,6,6443,9,240,5311,4390,1986,960,197,77,11,13177,8,45,1055,1272,582,242,56,24,3,3283,3,42,1156,2293,1412,518,146,26,9,5602,285,993,2403,1141,607,491,370,286,166,6748,4055,12697,35990,20424,11749,8601,5849,3363,1358,104085
SED10036,188,657,807,850,759,702,403,197,44,4608,120,751,1122,1030,1068,814,382,144,32,5467,87,727,1481,1282,1376,1002,355,87,9,6412,24,453,1343,1173,1086,775,233,31,6,5133,9,199,1104,1117,998,712,190,34,5,4369,4,80,719,878,828,502,86,15,0,3111,8,49,965,1660,1391,797,144,19,5,5028,0,7,136,296,289,175,34,5,0,947,0,6,112,379,393,219,40,9,4,1169,414,406,887,820,605,527,444,485,504,5096,6372,6160,11819,12631,11889,9975,6520,3586,1534,70485
SED10037,126,521,597,591,620,648,633,429,117,4285,61,552,812,727,813,757,528,343,89,4683,36,483,1055,1044,1141,944,590,294,39,5630,3,300,957,1031,967,842,397,137,33,4662,5,144,874,1069,1027,765,330,84,20,4312,0,49,633,956,965,680,222,47,11,3563,0,35,994,2457,2293,1414,348,61,18,7629,0,12,151,720,663,395,99,18,6,2055,0,3,160,1124,1382,756,157,45,8,3637,141,155,295,376,380,262,300,228,182,2317,5375,4718,8260,12238,12600,10406,7798,4590,1550,67533
SED10038,171,677,669,614,628,606,688,408,123,4591,69,653,830,745,774,764,626,255,89,4810,37,475,1107,996,977,915,623,174,38,5336,19,258,922,860,894,747,368,109,20,4203,0,123,914,910,958,761,258,79,21,4019,0,45,663,926,871,609,176,40,10,3344,3,49,980,1911,1877,1055,252,49,4,6184,0,5,158,430,483,253,36,12,0,1371,3,11,167,702,811,454,130,58,13,2350,319,349,385,440,404,355,376,447,419,3494,5490,5521,9016,10559,10897,10015,8052,5069,2319,66940
SED10039,180,550,771,604,613,780,914,476,140,5017,104,618,1002,750,885,928,764,293,81,5418,40,490,1223,963,1005,1103,778,246,40,5885,12,271,977,792,843,802,428,116,26,4264,3,122,898,789,755,703,276,110,32,3683,0,52,588,679,646,560,188,54,12,2781,0,27,753,1274,1255,948,250,69,10,4583,0,5,104,265,260,184,77,16,4,916,6,3,83,338,436,379,147,57,8,1471,266,299,758,686,595,555,602,486,442,4683,4456,4031,9129,8985,9367,10858,10277,5637,2215,64951
SED10040,78,1111,1626,953,767,748,454,242,88,6077,46,1026,2358,1228,1002,943,409,147,64,7228,22,723,2404,1510,1170,998,383,110,23,7349,8,404,1704,1113,879,715,233,75,13,5143,3,184,1384,1088,800,554,186,43,10,4250,0,77,859,850,635,458,140,16,7,3041,0,55,1218,1667,1168,744,160,28,14,5054,0,4,195,373,289,149,26,11,0,1046,0,11,214,508,452,227,62,18,19,1512,220,529,1098,731,546,496,455,519,670,5259,4308,7929,17323,13214,10781,10631,8062,4711,2501,79463
SED10041,88,434,427,500,463,484,582,438,214,3636,60,414,571,613,599,553,575,431,201,4020,22,432,937,847,818,746,587,376,185,4955,5,321,912,809,711,549,428,267,90,4105,6,126,838,916,772,669,395,260,84,4056,0,62,648,923,705,545,298,159,53,3390,7,43,1258,2633,1989,1300,516,238,83,8067,0,10,248,975,862,509,180,89,33,2904,4,9,307,2038,3021,1611,444,178,90,7694,159,166,333,390,350,307,325,431,681,3133,5902,4642,7950,12857,12520,9960,7733,5487,3235,70283
SED10042,184,600,798,639,703,815,845,512,144,5247,89,690,1056,823,929,891,641,322,104,5544,54,489,1238,1105,1136,1130,698,251,50,6137,13,268,986,862,922,753,329,113,16,4254,5,123,799,771,769,682,262,101,36,3543,0,45,500,656,658,518,148,44,13,2575,0,34,682,1126,1147,823,185,38,11,4047,0,7,95,185,257,190,32,13,5,798,3,7,103,233,317,301,97,46,12,1114,225,225,453,468,447,467,604,750,665,4303,4489,4418,8862,8836,9671,10646,10201,6432,2573,66127
SED10043,112,686,1294,1125,927,811,382,177,55,5561,69,652,1554,1321,1064,771,294,119,55,5895,33,610,1811,1325,1084,790,225,41,25,5943,11,290,1212,948,665,483,142,20,5,3784,0,160,908,746,493,384,100,30,4,2819,0,42,547,506,380,275,50,7,3,1812,6,35,608,831,552,299,58,6,5,2412,0,3,86,167,100,64,14,5,3,435,0,3,94,203,135,75,30,14,10,559,561,645,1549,1226,901,837,585,463,295,7056,6018,6689,15163,13334,10611,10080,7180,4146,1786,75022
