SED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,0,11,5,59,7,0,0,0,0,81,0,0,0,3,19,10,0,0,0,41,3,28,53,223,97,65,44,15,3,525,0,0,0,6,0,6,10,4,3,45,0,0,0,9,5,0,0,0,0,12,0,0,6,16,28,49,70,59,18,248,0,3,6,10,11,4,3,0,0,37,6,15,17,66,38,27,19,9,0,200,0,7,3,50,16,9,7,0,0,95,0,0,0,16,0,0,0,0,0,24,0,11,5,53,25,13,0,0,0,126,0,0,0,0,4,0,0,0,0,3,0,16,12,49,16,29,22,14,0,158,0,11,12,44,19,4,6,0,0,102,0,0,5,5,13,17,17,8,5,59,0,0,3,15,11,4,4,0,4,40,12,89,88,401,216,181,154,152,52,1347,296,653,605,1270,670,790,739,533,217,5776,5093,10587,9653,19713,10195,11228,10365,5955,2205,84989
SED10002,32,260,313,1512,255,138,43,5,0,2560,0,0,0,9,4,0,3,4,0,20,8,49,142,991,333,300,240,69,14,2144,0,0,0,52,13,16,31,15,8,136,0,3,5,25,23,30,6,3,0,94,0,0,0,23,7,12,21,10,3,81,9,24,18,107,29,21,22,11,3,245,0,3,17,100,48,40,28,11,0,257,0,19,87,437,222,258,199,91,27,1341,4,11,33,548,51,25,28,5,0,700,5,7,42,387,54,23,16,3,0,531,7,35,62,524,605,639,396,248,33,2553,7,43,20,83,18,14,12,0,0,192,8,20,128,609,742,1078,729,202,76,3590,0,0,0,0,3,7,0,0,0,17,0,0,10,45,10,9,0,0,0,77,69,335,376,2076,676,541,375,247,103,4792,427,847,1064,3030,795,679,433,251,134,7662,7605,12512,15909,45910,12551,11404,7278,3370,1282,117822
SED10003,0,0,0,7,0,0,3,0,0,17,0,0,0,20,46,32,20,0,0,115,0,17,13,120,39,39,22,10,4,258,0,0,0,26,4,10,7,5,0,58,0,0,0,0,0,0,6,0,0,9,0,4,10,49,39,55,74,47,18,298,0,11,5,14,8,8,13,3,0,69,0,16,17,127,101,76,87,50,14,487,0,0,0,23,6,3,15,4,0,49,0,4,5,11,0,4,3,0,0,25,0,21,23,82,48,31,12,0,0,223,0,0,0,11,6,0,0,0,0,18,13,44,38,235,106,95,133,37,9,716,0,7,6,24,25,12,0,0,5,72,0,7,10,22,11,11,26,9,11,113,0,0,0,16,24,16,12,4,0,77,15,66,90,938,277,233,180,103,31,1938,273,672,554,1672,817,870,821,442,310,6429,3939,9415,7489,19528,11100,11705,11211,5601,2422,82405
SED10004,0,0,7,57,4,0,0,0,0,71,0,0,3,16,30,11,3,0,0,73,4,14,40,366,83,56,47,23,0,628,0,0,3,93,25,26,34,12,3,200,0,0,0,4,0,3,0,0,0,14,0,3,23,135,135,105,94,32,8,542,8,39,50,134,54,35,20,5,0,346,0,4,38,316,103,61,61,16,3,612,0,3,9,103,29,22,23,11,5,201,0,9,28,159,30,15,15,6,0,262,6,18,45,566,107,39,12,6,0,794,0,4,0,113,37,17,10,7,0,202,44,107,91,395,162,123,76,36,3,1040,0,13,84,224,106,97,103,32,25,687,0,0,3,49,40,28,12,6,0,141,0,0,6,32,19,17,6,3,0,82,20,107,197,1723,522,402,347,207,71,3600,147,286,471,1517,531,446,314,202,124,4036,4426,8013,8824,29743,11947,9054,6946,3237,1075,83273
SED10005,27,151,245,1026,187,71,34,3,0,1743,0,0,0,9,0,5,4,0,0,17,4,37,91,391,152,173,110,30,9,983,0,5,0,22,14,36,48,32,36,193,0,5,28,59,42,65,32,9,0,243,0,4,0,3,4,13,27,14,6,81,0,13,10,19,12,17,9,3,3,83,0,4,3,21,11,13,14,5,4,85,0,0,12,47,30,37,29,6,7,170,0,0,6,104,9,12,10,0,0,137,5,8,20,149,45,15,11,3,0,261,3,3,10,65,70,65,39,25,6,284,5,12,31,25,14,12,8,3,0,106,46,227,830,3174,2421,2511,1319,442,225,11183,0,0,0,0,0,5,4,0,0,6,0,6,7,25,6,8,4,0,0,49,44,413,498,1991,894,726,487,321,153,5521,493,1102,976,2157,827,690,525,290,151,7205,7157,13306,12983,27045,10993,10347,7154,3764,1919,94669
SED10006,0,3,3,28,5,0,3,0,0,37,0,3,9,16,11,10,0,3,0,47,9,50,41,208,70,48,34,14,4,465,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,3,11,10,11,28,18,3,76,0,5,0,0,0,0,0,0,0,10,5,5,11,42,29,21,11,5,0,138,0,5,0,15,7,3,0,6,0,39,0,6,0,20,0,0,0,0,0,17,0,10,0,26,15,10,0,0,0,57,0,0,0,0,0,4,0,0,0,6,0,4,8,17,14,20,19,13,3,109,0,4,0,11,6,3,3,0,0,31,0,0,0,3,0,3,4,0,3,25,0,7,0,16,6,3,0,0,0,37,3,16,15,98,51,52,79,69,24,407,510,1265,1021,2195,1190,1390,1196,770,364,9902,4499,9510,7654,16580,8845,10715,8899,5201,2038,73947
SED10007,4,10,3,56,6,3,0,0,0,79,0,0,6,7,11,13,6,0,0,46,7,30,41,173,61,58,25,8,0,405,0,0,0,10,3,8,16,12,12,58,0,0,3,8,0,0,0,0,0,9,0,0,12,23,39,56,82,66,16,291,0,5,8,11,12,7,4,0,0,39,0,12,21,56,49,21,23,4,0,194,0,6,9,51,16,21,13,4,0,126,0,0,3,3,0,3,5,0,0,17,4,9,17,78,20,13,6,0,0,150,0,0,0,3,3,0,0,0,0,10,0,14,12,43,28,30,36,13,0,171,0,9,15,61,24,13,0,0,0,127,0,0,0,6,7,18,14,10,5,60,0,3,4,12,8,5,4,0,0,40,10,24,32,170,109,126,146,112,32,756,207,637,571,1176,700,745,777,488,171,5472,4277,10236,9446,18399,10149,10944,9654,5444,1941,80490
SED10008,8,89,27,306,78,44,31,7,5,589,0,0,8,18,17,16,5,0,0,61,5,19,67,387,173,206,220,43,11,1126,0,10,0,52,35,60,70,13,6,248,0,0,0,0,4,3,3,0,0,16,0,8,11,24,30,40,54,36,21,231,10,72,61,85,58,39,71,19,10,415,8,79,98,288,191,136,82,28,10,918,4,28,95,427,353,396,257,96,26,1682,4,17,15,147,55,48,64,11,0,363,4,14,19,107,44,20,17,3,0,230,0,0,6,44,67,37,18,18,0,182,24,72,146,133,52,41,29,12,4,509,0,12,15,131,135,118,57,17,3,492,0,0,8,8,13,12,14,5,0,56,0,3,11,28,26,17,7,0,0,92,20,174,173,692,412,403,350,206,84,2512,100,249,166,561,207,196,168,137,68,1855,4722,13039,10515,22554,12002,10418,8888,4919,1554,88614
SED10009,0,0,0,11,0,0,0,0,0,14,0,3,0,7,18,19,11,6,0,54,0,12,22,102,55,51,39,14,3,287,0,0,0,4,12,6,17,9,0,58,0,0,0,3,4,5,0,0,0,14,0,0,0,19,28,89,137,100,32,404,0,4,3,12,8,6,7,0,0,43,0,9,3,44,43,74,54,32,6,264,0,0,0,14,3,4,8,0,0,37,0,0,0,7,3,0,0,0,0,18,0,10,11,55,34,16,7,0,0,137,0,3,0,6,3,4,0,4,0,18,0,15,15,58,29,65,96,41,3,318,0,0,5,15,23,8,7,0,0,67,0,0,0,9,10,27,17,17,8,83,0,0,0,4,5,11,6,4,0,38,0,18,12,131,94,186,253,196,79,973,215,557,504,1043,753,1043,1041,595,328,6080,3153,7890,6286,13095,9107,13267,14047,7104,2582,76529
SED10010,10,65,106,486,81,98,47,11,0,906,0,0,4,13,17,8,0,0,0,36,28,248,532,2374,1133,1132,906,262,61,6665,0,0,0,42,29,55,95,51,94,369,0,7,17,81,65,52,36,7,0,279,0,0,0,9,15,26,52,34,3,145,0,38,9,22,9,24,10,10,0,120,0,5,21,66,36,41,33,7,0,210,8,52,100,569,197,191,110,45,16,1292,0,0,0,55,7,8,5,0,0,84,0,9,25,106,38,22,18,0,0,217,0,8,15,151,88,134,72,31,4,491,8,17,23,55,10,17,12,7,0,157,0,4,8,94,64,56,40,11,4,287,0,0,0,0,6,0,9,4,0,21,0,0,3,19,12,9,0,0,0,48,14,209,427,1338,732,578,480,310,126,4211,314,730,754,1846,600,500,382,250,106,5481,6304,11726,11928,29858,10650,9587,7253,3547,1399,92258
