SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED10001,10869,761,46,51,27,11753,10010,379,16,16,8,10430,3728,2468,195,25,5,6423,569,191,20,0,0,782,105,118,13,0,4,232,1345,300,14,8,6,1669,239,44,3,27,10,325,39,32,7,0,0,80,6022,3151,252,58,30,9511,666,136,33,6,6,858,466,93,14,9,17,604,28028,4529,358,145,89,33152
SED10002,4939,631,1701,13,8,7290,4290,1289,5053,16,27,10675,2270,994,10021,46,68,13409,487,557,527,0,3,1574,51,181,222,0,0,467,856,200,1012,17,27,2114,331,72,295,5,12,713,42,15,57,0,0,124,4042,2024,12135,71,115,18390,244,70,238,3,5,559,330,91,333,8,12,771,13841,4105,19465,109,163,37685
SED10003,10144,1514,337,360,32,12390,7291,982,245,34,12,8561,2496,1441,572,45,21,4569,245,299,78,0,0,622,115,100,72,0,0,290,1927,503,253,86,22,2796,208,29,21,147,37,431,44,18,6,0,0,68,5034,2384,1003,278,83,8780,583,167,71,26,8,858,367,106,31,52,12,567,23419,5149,1693,750,144,31153
SED10004,2748,3424,1982,28,5,8188,2798,3959,2412,16,8,9205,1122,3050,7651,153,39,12013,61,825,1056,0,0,1942,23,53,436,0,4,515,275,690,894,45,9,1917,10,51,117,15,3,195,5,20,30,0,0,52,1507,4684,10182,216,54,16639,67,152,192,4,0,416,53,107,299,4,6,469,7179,12328,15066,267,77,34914
SED10005,5422,618,977,28,5,7053,4714,1214,1942,42,10,7928,2236,696,3615,47,34,6618,1024,439,1246,0,3,2709,102,137,294,0,5,531,918,189,412,21,11,1557,276,40,106,8,4,438,39,10,39,3,0,90,4599,1508,5704,85,55,11943,285,60,117,3,4,477,351,81,208,3,3,654,15372,3486,8955,160,78,28048
SED10006,10587,90,24,211,153,11067,6771,30,11,30,41,6889,1766,329,198,3,8,2309,825,145,54,4,13,1040,459,103,63,0,6,626,1894,94,70,27,28,2112,898,103,80,27,19,1129,71,19,14,0,3,105,5921,789,477,59,80,7324,1082,32,40,59,61,1265,669,29,16,34,33,788,25020,974,569,394,370,27324
SED10007,10896,454,104,60,28,11539,9257,231,48,18,19,9580,3571,1120,521,23,12,5242,699,207,73,0,4,985,88,84,20,0,0,202,1234,139,48,6,11,1446,160,25,15,15,9,216,36,8,0,0,0,49,5791,1588,686,49,34,8141,450,118,37,11,10,617,406,69,26,7,5,502,26792,2460,901,141,94,30379
SED10008,8942,651,436,0,4,10040,10209,1112,739,0,25,12081,2607,880,1146,0,24,4652,38,35,12,0,0,85,18,4,49,0,0,69,470,99,106,0,0,675,50,20,11,0,0,79,9,4,9,0,0,16,3188,1032,1328,0,26,5571,243,48,194,0,0,489,170,35,46,0,3,253,22750,2885,2737,0,62,28431
SED10009,13608,933,407,367,43,15359,7294,294,169,22,21,7794,2164,650,737,20,9,3578,355,170,78,15,0,611,138,89,32,3,0,260,1508,208,164,31,16,1932,176,19,20,71,10,307,41,12,4,0,5,67,4383,1161,1024,141,41,6749,490,190,44,25,8,759,447,74,33,13,12,570,26215,2649,1679,565,126,31229
SED10010,6220,360,138,0,0,6719,8180,1433,538,4,4,10155,5161,1083,1555,14,18,7831,1333,419,393,0,0,2135,98,60,81,0,0,231,1139,162,178,3,8,1485,199,31,31,0,0,265,46,21,14,0,0,82,7968,1771,2243,18,28,12033,250,50,32,0,0,333,354,85,77,0,4,523,22971,3697,3031,23,43,29767
