SED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED10001,32337,33756,66089,1567,1650,3217,2476,2680,5157,1252,1372,2629,179,175,351,24,17,45,21,35,55,24,18,45,22,18,42,39,40,78,0,0,0,4034,4365,8400,138,141,283,87,74,165,5829,6235,12066,3061,2812,5870,41223,42796,84022
SED10002,44049,41294,85342,2997,2619,5612,7419,6661,14078,184,135,315,87,101,188,28,32,67,27,23,54,19,13,34,21,13,23,31,18,51,0,0,0,7812,6994,14813,691,733,1431,270,161,433,11773,10509,22281,5137,3498,8636,60961,55302,116262
SED10003,30135,32125,62260,1729,1981,3705,2975,3526,6505,359,424,780,408,516,919,38,43,75,32,33,63,29,26,55,20,9,29,18,22,43,3,0,3,3883,4597,8479,291,298,586,160,150,314,6062,7027,13092,3030,3260,6285,39228,42414,81639
SED10004,29072,31362,60425,1768,1900,3671,5550,5941,11487,198,239,434,164,181,341,47,54,100,57,58,117,9,19,38,12,13,24,55,69,125,0,0,0,6088,6575,12665,577,598,1171,83,85,170,8522,9161,17682,2106,2035,4141,39698,42554,82250
SED10005,36949,37555,74509,1048,1091,2142,3884,3700,7585,63,36,100,38,42,79,9,10,23,7,9,24,3,3,7,3,4,11,7,0,11,0,0,0,4013,3818,7834,348,437,782,113,91,203,5523,5438,10962,4104,3700,7806,46572,46700,93274
SED10006,27444,27278,54724,1831,2075,3912,1460,1564,3025,109,117,231,193,212,403,103,92,190,31,39,67,20,23,36,20,15,37,14,20,31,0,0,0,1947,2082,4033,100,98,202,98,84,181,3981,4341,8321,5004,5045,10047,36423,36663,73094
SED10007,30839,31201,62039,1628,1698,3322,3244,3556,6795,47,50,100,110,100,208,9,16,29,8,8,20,8,9,22,15,13,30,17,13,33,0,0,0,3469,3778,7247,105,106,209,86,74,153,5282,5645,10931,4032,2657,6687,40155,39508,79655
SED10008,36788,37798,74586,722,791,1511,4161,4318,8479,79,80,158,49,64,117,21,33,55,15,11,27,10,13,24,5,0,8,18,12,31,0,0,0,4362,4534,8893,383,396,779,40,38,81,5506,5757,11263,1000,1025,2020,43297,44576,87870
SED10009,29489,30604,60093,1613,1746,3360,2205,2448,4652,210,231,442,125,148,266,27,19,43,28,20,52,7,21,29,16,13,29,311,337,650,3,4,4,2929,3244,6176,97,109,212,97,57,155,4735,5159,9897,3002,2957,5956,37231,38720,75949
SED10010,36842,36598,73441,1119,1055,2169,4373,4255,8631,98,74,168,54,64,124,10,15,25,10,18,26,5,10,19,13,9,14,23,23,47,0,0,0,4585,4455,9047,311,336,644,114,82,190,6121,5931,12055,2853,2686,5540,45820,45216,91032
