SA2_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
101021007,15,0,20,12,47,5,94,0,0,5,0,20,0,25,4,0,9,4,17,0,27,0,0,3,4,11,0,20,0,0,9,7,110,5,132,0,0,5,3,4,0,8,3,0,5,0,20,0,30,0,0,3,4,14,0,23,0,0,5,5,20,0,28,3,0,5,0,0,0,13,0,0,0,3,0,0,7,0,0,0,0,0,0,8,9,0,20,10,9,0,49,0,0,4,7,5,0,13,14,8,32,21,25,3,98,21,11,18,0,8,0,54,6,0,10,6,5,0,23,0,3,0,6,3,0,8,0,0,5,0,23,0,28,0,0,0,3,20,0,29,75,27,147,99,371,20,733,7,4,23,13,19,4,72,0,0,0,4,3,0,9,0,3,4,6,8,0,12,0,0,0,0,0,0,5,0,0,7,5,7,0,16,0,0,0,4,3,0,6,4,3,7,8,21,3,43,3,0,9,5
101021008,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,0,10,14,59,0,90,0,0,0,4,24,0,30,8,0,10,23,293,6,336,0,0,0,3,19,0,21,7,0,15,6,29,5,61,6,0,5,3,16,4,46,3,0,5,5,38,0,61,0,0,4,0,3,0,13,4,0,0,0,0,0,3,0,0,7,9,5,0,18,13,5,34,22,22,0,103,5,0,0,4,17,3,32,52,26,82,71,82,7,321,11,4,19,7,12,0,47,14,4,20,5,17,0,56,0,0,3,0,5,0,13,8,0,11,3,62,0,75,3,0,5,0,28,8,56,140,38,224,199,748,44,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,3,0,6,3,0,4,10,15,3,31,0,0,0,0,3,0,4,6,5,13,15,33,4,68,3,0,5,9
101021009,0,0,3,0,3,0,9,0,0,0,0,0,0,0,9,0,16,26,65,3,117,3,0,14,3,10,0,31,20,0,34,37,261,16,362,0,0,7,5,9,3,24,60,3,39,20,46,3,172,25,0,28,22,44,6,131,15,0,26,14,35,7,101,5,0,6,9,10,0,29,0,3,9,4,0,0,17,0,0,3,5,5,0,16,31,12,65,31,32,4,173,9,0,19,14,25,0,65,108,32,171,93,106,7,519,41,14,36,11,10,0,106,26,8,60,24,26,0,136,4,0,5,3,10,3,29,4,0,9,14,54,3,87,14,0,21,7,46,4,105,380,71,572,329,814,66,2240,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,6,7,11,0,30,3,0,7,0,9,0,14,4,0,10,14,21,0,47,0,0,0,5,13,0,14,29,0,43,17,50,3,152,24,5,27,22
101021010,0,0,4,0,4,0,8,0,0,0,0,0,0,0,0,0,6,8,44,5,60,0,0,0,0,8,0,11,4,0,12,10,108,7,134,0,0,3,0,7,0,15,14,0,17,6,31,3,75,14,0,9,6,14,5,48,4,0,11,12,23,0,57,0,0,3,6,5,4,13,0,0,0,6,0,0,7,0,0,0,0,11,0,10,24,3,31,24,13,0,93,0,0,5,7,17,0,29,62,19,92,47,56,3,278,19,0,28,9,8,0,66,16,3,19,8,17,0,63,0,3,0,5,7,0,15,0,3,4,5,32,0,49,3,0,5,3,23,10,47,170,37,261,160,420,37,1089,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,5,12,0,18,0,0,0,0,0,0,0,0,0,3,3,15,0,22,0,0,0,0,0,0,6,9,0,10,12,22,0,52,11,0,12,12
101021012,0,0,3,0,4,0,7,0,0,0,0,5,0,5,11,0,14,15,52,0,92,0,0,5,8,21,0,40,8,0,43,37,324,6,423,5,0,8,10,21,0,35,10,0,20,9,60,3,98,10,0,8,6,28,0,52,9,0,13,10,48,7,77,3,0,14,16,18,0,51,5,0,12,8,4,0,29,3,0,12,9,13,0,38,67,15,114,48,39,6,290,5,0,11,11,19,0,44,326,62,249,205,139,18,1004,34,8,37,10,14,5,105,14,8,30,23,13,0,97,5,0,3,0,9,0,25,3,0,11,3,59,5,85,11,0,15,13,34,6,80,528,100,635,432,918,55,2666,0,0,3,0,0,0,4,0,0,0,0,0,0,0,5,0,4,5,12,0,29,0,0,0,7,4,0,8,0,0,15,18,29,3,58,0,0,0,0,4,0,9,12,0,30,11,39,11,101,3,0,16,8
101021610,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,11,28,3,53,4,0,4,0,11,0,19,0,0,17,26,185,4,234,3,0,5,3,12,0,22,3,0,13,10,13,0,43,0,0,3,7,13,0,32,3,0,6,11,12,5,45,5,0,10,5,9,0,20,6,5,4,3,4,0,23,0,0,0,4,3,0,10,28,13,57,33,24,0,151,0,0,4,4,12,0,20,129,28,139,134,81,9,519,9,3,31,8,9,0,58,8,3,46,10,6,4,76,0,0,0,0,6,0,7,0,0,3,3,29,0,36,3,0,3,6,20,8,39,208,59,366,272,476,33,1413,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,9,5,0,0,13,0,0,0,0,0,0,6,0,0,7,9,14,0,28,0,0,5,3,4,0,8,6,0,17,4,22,0,52,0,0,9,5
101021611,8,6,20,13,50,0,97,0,0,0,0,11,0,14,5,0,19,21,81,3,139,11,0,7,6,22,0,41,3,4,35,53,579,26,699,3,0,7,3,22,0,44,3,0,21,13,47,5,91,3,0,9,8,35,4,63,4,6,11,14,74,0,108,0,4,8,10,9,0,35,6,0,11,6,11,0,34,0,4,11,9,13,0,34,98,27,141,58,54,7,387,4,3,11,8,23,0,56,209,63,248,176,159,20,878,41,16,48,26,23,0,151,28,9,34,8,21,3,102,5,5,13,7,12,0,43,9,4,13,18,113,0,158,12,4,23,16,58,17,116,450,136,700,492,1428,102,3310,0,8,24,19,18,7,72,0,0,0,0,0,0,0,4,0,7,12,25,0,53,0,3,3,4,3,0,17,4,0,22,33,45,9,106,0,0,8,3,12,4,27,3,8,22,33,48,5,111,3,0,8,10
101031013,7,0,30,18,77,3,134,0,0,0,0,5,0,5,0,0,7,3,20,0,32,0,0,0,0,5,0,3,0,0,0,0,30,0,34,0,0,0,0,3,0,7,0,0,0,0,12,0,12,0,0,0,0,4,0,3,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,8,17,0,23,0,0,8,0,0,0,10,0,0,0,4,3,0,10,0,0,0,0,3,0,3,0,0,0,0,8,0,8,0,0,0,4,17,0,25,13,3,58,35,218,13,342,0,0,17,8,28,3,54,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,3,7,18,3,29,0,0,0,0
101031014,0,0,7,4,21,0,29,0,0,0,0,5,0,9,0,0,0,0,22,0,28,13,0,49,18,25,0,115,20,0,34,12,160,3,231,0,0,0,5,9,5,18,0,0,9,7,54,0,79,0,0,4,8,26,3,48,0,0,3,3,41,5,51,0,0,5,3,10,0,15,0,0,4,5,0,0,9,0,0,3,3,13,4,19,7,3,27,6,9,0,52,0,0,3,4,16,0,23,10,6,18,22,60,3,123,8,8,22,4,9,3,52,7,3,22,8,18,0,55,0,0,3,0,4,0,8,0,0,3,0,46,0,50,0,0,7,10,25,8,51,73,31,219,126,566,42,1056,0,0,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,4,7,4,13,9,3,15,3,19,0,45,4,0,8,8,10,0,34,0,0,0,0,5,0,3,5,0,24,20,50,5,111,4,0,10,10
101031015,6,0,17,18,75,5,127,0,0,0,0,9,0,9,0,0,0,0,19,0,25,9,0,16,4,15,0,38,0,0,12,9,87,5,109,0,0,0,4,15,0,17,0,0,0,0,23,0,24,0,0,4,4,13,0,25,0,0,0,0,17,3,20,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,11,5,9,0,32,0,0,0,0,3,0,4,10,0,23,19,33,0,83,4,0,11,4,6,0,23,0,0,9,0,0,0,7,0,0,0,0,4,0,8,6,0,0,0,28,0,25,0,0,5,4,13,5,26,38,7,109,78,361,17,609,0,0,23,10,23,9,73,0,0,0,0,0,0,7,0,0,5,7,5,0,11,0,0,6,3,7,0,19,0,0,0,4,3,0,20,0,0,3,5,5,0,10,0,0,16,8,15,0,38,0,0,5,13
