SA2_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
101021007,0,0,0,0,..,5,6,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,45,3,50,0,51,..,170,15,183,0,180,..,14,0,14,356,372,3789,185,15,197,357,4343
101021008,0,10,0,10,..,17,0,18,0,18,..,0,0,0,0,0,..,23,7,34,0,34,..,170,15,182,0,181,..,1068,155,1226,9,1228,..,37,8,46,495,537,6750,1103,164,1268,501,8517
101021009,0,22,0,22,..,19,0,16,0,16,..,5,0,5,0,5,..,20,8,24,0,24,..,269,44,307,5,313,..,2327,271,2590,20,2615,..,53,8,63,566,630,8097,2377,283,2657,589,11342
101021010,0,9,0,9,..,13,0,13,0,13,..,7,0,7,0,7,..,7,0,5,0,5,..,103,0,105,3,105,..,948,82,1034,10,1037,..,18,0,20,238,260,3788,968,80,1052,251,5085
101021012,0,26,0,26,..,20,3,27,0,25,..,19,4,20,0,20,..,14,0,14,0,14,..,172,21,192,3,194,..,1463,116,1584,14,1597,..,64,8,74,370,441,10701,1530,126,1655,382,12744
101021610,0,25,0,21,..,8,0,8,0,8,..,11,0,7,0,7,..,17,3,19,0,19,..,115,13,127,4,135,..,1028,82,1108,18,1126,..,16,0,16,205,214,4879,1040,83,1125,225,6224
101021611,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,9,0,9,0,9,..,136,8,151,0,150,..,748,50,795,6,804,..,31,0,30,869,902,14835,778,45,828,876,16539
101031013,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,0,0,0,..,9,0,9,0,9,..,67,4,68,0,68,..,5,0,6,222,226,2162,66,9,69,222,2454
101031014,0,3,0,3,..,24,4,29,0,29,..,0,0,0,0,0,..,9,0,10,0,10,..,89,6,95,3,97,..,535,62,597,14,609,..,16,6,16,542,559,5588,554,69,618,550,6761
101031015,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,25,5,30,0,34,..,128,12,141,0,143,..,4,0,4,293,302,3026,127,19,147,296,3472
101031016,0,0,0,0,..,24,4,32,0,32,..,9,0,9,0,9,..,0,0,0,0,0,..,63,6,66,0,68,..,422,56,478,3,485,..,18,0,18,551,565,6989,438,56,497,555,8035
101041017,0,0,0,0,..,8,3,13,0,13,..,4,0,4,0,4,..,8,0,7,0,11,..,86,6,95,0,95,..,388,56,448,8,450,..,19,5,24,556,579,7555,406,64,469,562,8581
101041018,0,0,0,0,..,10,6,15,0,15,..,0,0,0,0,0,..,15,0,14,0,14,..,70,11,77,0,79,..,417,47,467,12,478,..,29,0,28,626,660,7808,446,48,496,641,8938
101041019,0,4,0,4,..,19,5,25,0,23,..,4,0,4,0,4,..,13,0,13,0,13,..,50,3,56,0,54,..,318,31,352,0,348,..,21,0,28,598,621,7898,342,30,377,598,8872
101041020,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,56,3,61,0,61,..,195,10,206,0,206,..,14,0,14,672,683,8673,208,10,220,672,9557
101041021,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,20,3,19,0,19,..,90,11,99,5,99,..,10,0,10,193,204,3485,99,11,105,196,3792
