SA2_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
101021007,695,295,369,455,641,785,643,380,88,4343
101021008,1617,1009,1265,1133,1148,1094,752,385,99,8517
101021009,1738,1127,2368,1647,1393,1259,926,552,347,11342
101021010,788,530,1093,744,660,619,390,201,58,5085
101021012,2718,1670,1479,1806,2169,1670,821,328,79,12744
101021610,1874,496,1299,1347,700,291,169,49,6,6224
101021611,3204,1853,1628,2079,2694,2560,1751,659,109,16539
101031013,411,217,236,250,287,396,386,200,76,2454
101031014,1102,656,860,819,829,943,765,545,244,6761
101031015,545,316,286,318,560,629,477,283,66,3472
101031016,1296,1081,1326,939,1198,1069,738,289,88,8035
101041017,1343,758,751,790,1000,1323,1484,823,319,8581
101041018,1227,725,700,763,1073,1432,1703,976,345,8938
101041019,1564,839,847,968,1066,1413,1178,704,287,8872
101041020,1496,854,778,896,1259,1999,1641,525,121,9557
101041021,570,321,296,380,452,610,651,350,163,3792
101041022,0,0,0,0,9,10,18,3,0,43
101041023,539,289,260,283,409,548,631,327,136,3425
101041024,463,321,269,324,478,694,665,272,42,3525
101041025,1519,916,977,996,1366,1877,2149,1252,453,11513
101041026,1110,661,642,716,1011,1663,1699,827,276,8600
101041027,1251,624,691,792,1006,1748,2262,1058,444,9888
101051539,4491,2708,3394,2882,2907,3036,2721,1688,733,24565
101051540,2285,1357,1207,1434,1877,2423,1996,948,299,13839
101061541,1310,711,746,841,871,820,767,452,252,6763
101061542,2542,1400,1068,1595,2162,1805,1374,631,135,12713
101061543,2229,1246,1170,1236,1229,1390,1334,829,344,11004
101061544,1322,692,738,689,978,1262,1188,643,171,7677
102011028,1533,935,514,941,1178,1099,860,382,81,7513
102011029,1840,1048,745,1176,1497,1697,1821,958,260,11042
102011030,663,551,422,525,758,818,601,314,79,4716
102011031,2324,1501,1059,1508,1740,1841,2000,1770,1008,14758
102011032,3239,2519,3544,2836,2564,2658,2140,1160,551,21204
102011033,1419,920,756,936,968,804,418,195,74,6485
102011034,1320,754,711,789,833,887,931,860,520,7615
102011035,1493,808,856,1005,992,921,707,295,78,7157
102011036,1668,1044,878,1060,1162,1080,751,370,194,8205
102011037,1135,651,590,811,923,925,711,562,252,6571
102011038,1304,748,667,846,949,999,857,569,222,7160
102011039,2710,1714,1458,1844,2078,1978,1859,962,253,14849
102011040,4058,2267,2214,2998,3084,3410,3497,2288,879,24697
102011041,2147,1267,936,1374,1505,1328,1212,692,217,10675
102011042,2180,1340,1539,1663,1821,1994,1871,1330,598,14346
102011043,2142,1230,1415,1426,1298,1276,1238,897,504,11423
102021044,4530,2350,2728,2840,2627,2703,2598,1553,903,22825
102021045,2555,1542,1694,1296,1478,1220,852,508,153,11290
102021046,1635,982,1141,1041,1146,1399,1273,853,261,9728
102021047,3093,1881,1945,1908,1961,2083,1682,1025,423,16006
102021048,3847,2679,2786,2384,2652,2854,2593,1737,840,22362
102021049,608,477,269,383,550,555,388,164,29,3420
102021050,1600,1016,1022,994,1151,1505,1825,1465,382,10960
102021051,903,658,563,619,712,740,463,209,68,4928
102021052,1122,713,677,700,885,911,878,476,130,6492
102021053,2221,1578,1685,1791,2041,2308,2392,1313,514,15839
102021054,1597,953,1078,1033,1166,1351,1365,937,444,9909
102021055,1039,740,644,652,721,619,466,275,78,5229
