SA2_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
101021007,15,13,32,354,349,700,0,0,0,3,8,10,0,0,0,441,423,858,0,0,0,8,4,14,4,10,14,0,6,4,3,8,18,0,7,6,0,4,0,9,11,12,46,47,87,3,0,3,0,0,3,43,58,102,26,26,52,3,0,9,938,955,1895,0,5,4,6,0,7,5,5,4,0,3,7,4,0,4,5,8,12,9,16,18,997,903,1897,9,13,22,5,0,7,1009,916,1926,237,210,448,2234,2117,4343
101021008,33,54,89,493,618,1111,0,0,0,26,27,54,15,14,31,1048,1133,2180,0,0,6,169,164,334,8,11,23,5,13,19,7,19,27,6,3,9,18,16,32,27,30,64,60,83,140,7,6,17,9,12,25,75,96,174,119,116,238,3,0,0,2104,2366,4468,80,50,133,24,23,49,0,0,0,0,0,4,45,34,76,16,27,42,63,53,121,1593,1372,2972,15,7,19,9,3,18,1620,1386,3004,336,312,648,4264,4255,8517
101021009,67,81,154,520,638,1158,0,0,0,52,52,96,15,6,20,1147,1258,2401,0,0,0,175,169,349,10,15,20,11,9,23,21,20,42,9,3,8,35,32,71,49,47,99,71,87,162,11,18,31,8,6,11,65,84,147,144,158,300,3,0,7,2351,2594,4945,349,290,645,195,147,342,4,6,8,0,0,0,162,138,304,10,28,40,181,161,337,2134,1943,4079,24,25,49,10,15,22,2170,1981,4147,392,375,764,5704,5638,11342
101021010,27,30,59,241,278,516,0,0,0,21,17,37,24,19,42,532,558,1083,0,0,0,58,59,121,0,0,0,10,8,10,3,22,27,0,0,9,6,6,11,22,29,52,27,49,77,0,0,3,5,7,9,44,51,94,68,65,128,0,0,4,1060,1168,2233,112,90,200,93,73,173,5,3,10,0,0,0,55,50,107,7,20,33,69,68,135,1071,843,1907,16,12,24,3,5,13,1091,859,1949,191,150,337,2647,2440,5085
101021012,38,51,93,762,904,1667,0,0,0,41,38,78,45,61,109,1658,1781,3441,0,0,0,199,195,395,7,20,23,17,19,30,43,40,78,4,5,7,20,21,43,47,77,122,104,116,223,15,9,22,5,8,15,126,138,269,171,187,356,0,5,6,3265,3606,6872,101,102,202,61,56,117,7,3,11,0,3,3,49,37,79,22,23,43,66,56,130,2469,2252,4715,25,20,39,0,8,7,2490,2270,4762,289,260,556,6331,6413,12744
101021610,16,31,45,349,402,749,0,0,0,17,29,43,6,0,12,750,870,1618,0,0,0,102,92,194,0,0,0,3,4,10,9,13,18,3,10,13,7,4,13,29,36,68,19,42,63,4,5,10,4,0,7,38,50,86,91,84,183,3,3,3,1444,1649,3093,134,111,243,71,80,154,8,3,13,0,0,0,87,66,150,5,7,7,89,72,157,1169,1043,2210,5,6,10,0,7,4,1174,1057,2227,153,133,287,3093,3134,6224
101021611,42,47,86,1161,1277,2440,0,0,0,69,70,141,0,0,3,1899,1957,3859,0,3,9,95,80,172,12,14,24,6,3,10,45,48,91,0,0,0,27,15,40,26,36,63,138,129,266,12,8,24,19,8,30,191,187,373,152,185,335,6,9,20,3867,4027,7893,11,12,23,20,9,32,4,5,3,0,0,0,8,4,13,23,38,58,34,40,73,3760,3406,7168,40,36,76,10,11,16,3808,3454,7258,625,541,1162,8405,8131,16539
101031013,5,8,9,312,339,653,0,0,0,6,9,8,0,0,0,250,281,527,0,0,0,16,18,31,0,0,0,0,0,0,0,3,8,0,0,0,4,5,11,0,0,5,57,66,123,7,4,5,4,0,5,17,21,38,9,18,29,0,0,0,683,757,1438,0,0,8,5,0,5,0,0,0,0,0,0,0,0,0,3,6,6,5,6,10,398,317,718,0,0,6,0,5,6,398,327,723,128,136,263,1223,1229,2454
101031014,33,47,81,450,581,1029,4,0,5,65,66,132,0,0,0,799,808,1605,0,0,0,21,35,51,5,16,26,0,0,3,23,37,56,0,0,0,3,6,14,32,34,66,46,39,87,4,0,3,0,0,0,53,80,132,41,60,99,0,0,0,1557,1772,3329,32,28,67,40,34,79,0,3,3,0,0,0,8,6,15,11,20,29,16,26,40,1279,1182,2461,3,9,13,5,9,11,1287,1196,2487,466,214,680,3436,3321,6761
101031015,4,11,18,318,312,625,0,0,0,39,36,74,0,0,0,413,380,797,0,0,0,19,15,28,5,4,7,0,4,5,10,9,21,0,0,0,4,0,5,0,5,6,35,28,63,0,0,0,0,0,3,51,45,90,35,33,72,0,0,0,935,871,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,19,8,17,26,664,566,1229,9,12,11,3,12,14,675,584,1256,192,174,367,1811,1659,3472
101031016,33,54,87,515,525,1037,0,0,0,30,25,54,0,0,0,639,633,1273,0,0,3,15,12,34,11,11,24,0,4,4,8,11,21,0,0,0,4,6,16,14,15,27,62,54,115,3,3,8,9,7,16,95,134,230,51,73,119,0,0,0,1463,1519,2977,0,0,0,10,9,11,7,7,5,0,0,0,0,0,0,8,14,26,8,17,30,2258,1897,4153,21,13,28,15,10,31,2288,1926,4211,387,316,704,4196,3839,8035
101041017,29,40,66,764,907,1664,0,0,0,37,36,73,0,0,0,814,905,1721,0,4,3,41,32,72,23,27,48,3,0,0,8,22,28,0,0,0,0,5,8,41,39,81,86,82,165,15,10,27,3,12,12,91,145,236,63,78,141,0,0,4,1998,2298,4299,24,19,43,10,6,17,0,5,10,0,0,0,9,10,19,4,17,22,12,29,40,1747,1630,3381,14,13,21,6,6,13,1765,1648,3415,357,345,700,4196,4384,8581
101041018,25,54,82,668,858,1527,0,0,0,31,49,83,0,0,0,866,995,1864,0,0,5,19,23,37,35,55,94,0,0,4,16,22,37,8,7,15,11,9,25,31,46,77,113,122,235,6,9,12,10,5,11,88,142,232,95,95,190,0,0,0,1999,2446,4447,15,9,23,6,8,14,0,0,3,3,4,3,4,10,15,9,18,30,21,27,48,1763,1657,3422,22,18,33,13,25,43,1796,1705,3494,440,396,828,4295,4646,8938
101041019,31,67,105,659,782,1446,0,0,0,24,22,51,0,0,0,685,776,1465,0,0,0,4,9,16,30,61,86,9,10,23,6,10,18,0,0,0,44,40,89,12,17,28,52,75,127,9,16,23,9,10,25,100,109,211,61,77,139,0,4,5,1718,2027,3746,14,25,38,6,5,15,6,3,9,0,0,0,0,5,3,19,15,31,16,16,35,2065,2005,4077,11,9,20,11,18,33,2094,2034,4132,418,382,801,4310,4560,8872
101041020,25,46,72,728,760,1487,0,0,0,37,38,75,0,0,0,624,595,1220,0,0,0,14,10,27,24,25,49,10,7,15,6,9,17,0,0,0,20,23,49,24,19,41,75,82,160,3,7,14,26,30,59,98,131,227,123,134,256,5,9,12,1811,1882,3694,9,10,17,5,4,10,6,6,8,0,8,8,0,0,0,21,32,50,26,33,56,2436,2242,4682,29,23,49,12,25,36,2480,2283,4771,515,415,930,4878,4686,9557
