SA2_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
101021007,3,0,0,7,9,15,28,36,8,103,0,0,0,0,0,0,3,5,3,14,9,8,38,45,52,71,70,48,8,342,77,122,369,455,641,785,643,380,88,3550
101021008,3,0,16,8,30,52,98,97,37,343,0,0,6,4,3,9,3,11,4,43,40,35,100,82,57,74,60,38,12,487,230,515,1265,1133,1148,1094,753,385,99,6629
101021009,0,0,19,15,28,45,94,108,82,398,0,0,3,9,5,5,18,22,22,83,21,26,143,81,70,63,81,60,55,592,206,687,2365,1647,1392,1259,926,552,347,9373
101021010,0,0,10,9,8,20,29,26,8,107,0,0,7,0,3,0,3,3,3,27,5,15,74,38,31,46,21,9,5,241,78,343,1093,745,660,619,390,201,58,4187
101021012,0,0,0,4,15,40,71,56,23,211,0,0,0,0,3,6,0,0,5,18,11,26,73,66,52,51,28,22,4,328,319,746,1477,1806,2169,1670,821,328,79,9418
101021610,0,0,0,0,0,10,6,5,0,30,0,0,0,4,0,0,5,0,0,13,9,7,43,58,23,12,10,5,0,174,98,228,1299,1347,700,291,169,49,6,4180
101021611,3,0,10,9,24,41,76,73,18,252,0,0,5,0,3,0,0,7,4,22,48,55,103,114,141,166,119,41,6,784,417,816,1628,2079,2697,2553,1751,655,109,12703
101031013,0,0,0,0,10,21,44,37,9,126,0,0,0,0,0,0,4,3,0,14,18,11,26,22,28,43,30,30,14,217,57,102,236,250,287,396,386,200,76,1989
101031014,0,0,11,8,13,40,63,74,50,259,0,0,0,0,5,3,12,10,4,29,21,21,108,116,94,62,61,43,35,577,161,326,860,816,829,943,765,545,244,5484
101031015,5,0,3,0,6,17,24,22,5,98,0,0,0,0,0,0,0,0,0,0,13,7,30,34,41,51,50,41,10,280,78,135,286,318,560,629,477,283,66,2821
101031016,3,0,9,3,8,12,31,24,8,101,0,0,3,0,3,0,4,4,4,17,31,57,140,71,75,73,64,20,10,534,227,554,1323,939,1198,1068,738,289,88,6438
101041017,5,7,11,11,26,56,102,86,50,356,0,0,0,3,0,0,8,9,0,28,39,30,70,58,71,89,114,99,35,600,210,327,751,790,996,1321,1486,823,319,7024
101041018,3,0,5,17,21,38,99,93,43,324,0,0,0,4,0,3,5,0,5,24,29,26,66,63,99,93,129,109,65,676,186,303,700,762,1069,1432,1703,976,343,7481
101041019,4,0,6,15,24,46,61,91,49,303,0,0,0,0,0,0,7,4,0,14,31,26,69,70,61,84,79,92,87,607,206,380,848,969,1066,1413,1178,704,287,7059
101041020,3,4,7,18,31,61,105,75,33,333,0,0,3,3,0,5,6,5,4,22,46,22,66,59,113,174,126,52,20,685,245,340,778,896,1257,2002,1641,525,121,7797
101041021,0,0,0,0,3,7,26,30,15,82,0,0,0,0,0,3,4,0,0,11,8,8,20,28,24,35,37,25,11,200,73,119,296,380,452,614,652,350,164,3092
101041022,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,9,10,18,3,0,39
101041023,4,0,5,10,7,24,50,53,18,175,0,0,0,0,0,0,3,0,5,14,19,13,32,30,24,43,45,48,40,288,80,127,260,283,409,548,631,327,136,2802
101041024,0,0,0,6,8,15,41,22,3,97,0,0,0,0,0,0,0,4,0,8,24,14,22,32,60,67,69,36,0,327,89,140,269,320,478,694,665,272,42,2967
