SA2_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
101021007,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,626,481,1107,31,38,68,37,0,37,7,4,7,6,0,7,7,3,11,56,66,125,764,597,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,3,20,13,4,20,0,0,0,0,0,0,4,0,5,4,0,5,199,215,411,82,122,199,12,8,22,1073,947,2013
101021008,0,0,0,14,19,31,0,0,0,0,0,0,3,0,4,1716,1425,3140,124,158,280,31,0,35,31,6,36,11,7,12,16,0,18,26,28,49,1969,1639,3612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,0,0,5,11,14,12,12,20,14,15,34,0,0,0,0,0,0,0,0,0,0,0,0,96,194,288,132,232,366,6,3,17,2226,2089,4315
101021009,0,0,0,46,93,140,0,0,0,0,0,0,13,16,27,2428,1796,4219,122,229,354,39,0,39,62,0,64,29,3,32,22,11,27,82,120,203,2843,2267,5109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,8,0,13,14,0,5,11,9,26,33,30,22,46,32,46,79,0,0,0,3,6,4,6,0,6,9,3,12,188,268,452,222,347,568,10,8,23,3308,2940,6247
101021010,0,0,0,14,23,32,0,0,0,0,0,0,0,0,4,1162,894,2057,55,81,136,22,0,20,18,0,23,24,5,29,8,3,13,51,37,85,1364,1040,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,10,4,10,16,13,11,22,0,0,0,0,0,0,0,0,0,0,0,0,99,133,233,99,157,249,7,0,7,1574,1348,2922
101021012,0,0,0,11,13,25,0,0,0,0,0,0,8,7,16,2774,2473,5242,144,212,360,46,0,49,39,8,50,16,0,22,16,8,21,26,29,62,3085,2751,5843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,14,6,8,12,0,0,0,10,19,35,33,14,47,48,37,82,0,0,0,0,5,5,0,0,0,0,4,4,316,400,710,291,458,751,8,3,16,3748,3652,7398
101021610,0,0,0,9,12,21,0,0,0,0,0,0,0,0,0,1398,1151,2549,39,102,138,14,0,14,21,0,21,3,0,5,8,0,9,15,20,40,1506,1291,2798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,4,0,0,0,8,3,11,14,0,14,18,12,29,0,0,0,0,0,0,0,0,0,0,0,0,160,220,382,138,264,396,11,4,13,1835,1791,3621
101021611,0,0,0,12,11,21,0,0,0,0,0,0,0,0,0,3253,2737,5991,138,208,346,135,0,135,42,6,45,12,3,13,20,10,29,76,75,149,3694,3050,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,5,5,9,0,0,0,12,10,21,51,26,80,62,39,100,0,0,0,0,0,0,0,0,0,4,3,5,532,705,1238,350,555,906,21,15,37,4655,4365,9023
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,314,713,18,14,31,12,0,12,0,0,4,0,0,6,6,4,4,23,38,64,457,380,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,8,5,12,0,0,0,0,0,0,0,0,0,0,0,0,81,69,147,33,57,93,9,4,8,587,511,1104
101031014,0,0,0,11,0,17,0,0,0,0,0,0,5,5,12,1011,910,1924,95,96,193,23,0,23,17,0,17,16,0,14,5,3,13,97,92,193,1287,1115,2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,5,17,9,19,20,7,29,0,0,0,0,0,0,0,0,0,0,0,0,134,141,275,126,189,317,11,11,20,1578,1464,3039
101031015,0,0,0,8,4,6,0,0,0,0,0,0,0,0,0,574,474,1046,29,49,80,20,0,20,12,0,12,0,0,0,11,8,13,28,37,63,688,560,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4,3,5,12,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,144,150,293,65,87,161,9,4,11,917,813,1728
