SA2_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
101021007,17,0,0,0,0,17,15,0,0,0,0,15,19,0,0,0,0,19,26,3,0,3,0,29,30,0,0,0,0,30,75,3,0,0,0,78,85,0,0,4,0,88,106,0,0,0,0,110,48,0,0,0,0,51,50,0,0,0,0,52,21,0,0,0,0,21,40,0,0,0,0,40,525,8,0,7,5,547
101021008,48,0,0,0,0,49,7,0,0,0,0,11,12,4,0,0,0,14,24,7,0,0,0,30,36,11,0,0,0,50,117,23,0,0,0,144,143,51,0,0,0,201,320,41,0,0,0,363,134,9,0,0,0,149,108,7,0,0,0,110,46,0,0,0,0,53,52,12,0,0,0,70,1053,175,4,0,0,1237
101021009,24,11,11,0,0,47,7,6,10,0,0,31,14,12,10,0,0,39,17,9,22,0,0,53,23,10,55,0,0,88,101,62,115,0,0,272,125,126,66,0,0,314,262,74,22,0,0,352,134,11,0,0,0,150,88,12,7,0,0,105,27,6,0,0,0,38,41,18,9,0,0,65,865,349,330,3,0,1551
101021010,11,4,3,0,0,23,7,0,3,0,0,11,0,3,5,0,0,9,3,9,11,0,0,24,9,11,32,0,0,49,25,44,43,0,0,112,39,86,19,0,0,146,66,69,9,0,0,141,50,11,9,0,0,63,49,7,0,0,0,55,31,5,0,0,0,34,24,12,4,0,0,38,320,262,132,0,0,712
101021012,69,15,0,0,0,85,18,0,0,0,0,23,13,5,0,0,0,21,33,3,0,0,0,31,38,6,4,0,0,48,118,24,3,0,0,148,174,73,0,0,0,251,375,73,5,0,0,442,307,21,4,0,0,332,346,12,0,0,0,360,188,12,0,0,0,200,84,5,0,0,0,90,1760,249,14,3,0,2029
101021610,10,0,0,0,0,10,7,0,0,0,0,7,3,0,0,0,0,5,0,0,0,0,0,3,18,0,0,0,0,18,40,9,0,0,0,46,83,22,3,0,0,108,308,20,6,0,0,331,396,3,0,0,0,396,287,7,0,0,0,296,111,0,0,0,0,111,37,3,0,0,0,45,1301,70,10,0,0,1381
101021611,102,4,0,0,0,106,36,0,0,0,0,43,30,0,0,0,0,30,53,0,0,0,0,53,80,0,0,0,0,80,218,0,0,0,0,220,246,4,3,0,0,251,524,3,0,0,0,532,450,5,0,0,0,449,552,4,0,0,0,557,353,0,0,0,0,359,152,0,0,0,0,158,2810,16,12,3,6,2841
101031013,20,0,0,0,0,20,6,0,0,0,0,6,10,0,0,0,0,10,22,0,0,0,0,28,33,0,0,0,0,33,70,0,0,0,0,72,28,0,0,0,0,28,16,0,0,0,0,16,5,0,0,0,0,5,7,0,0,0,0,7,6,0,0,0,0,6,14,0,0,0,0,16,241,0,0,0,0,246
101031014,36,0,0,0,0,42,25,0,0,0,0,23,19,0,0,0,0,20,59,0,0,0,0,54,70,0,0,0,0,70,211,3,0,0,0,218,151,0,0,0,0,151,105,0,0,0,0,111,23,0,0,0,0,26,17,0,0,0,0,17,11,0,0,0,0,11,37,0,0,0,0,41,771,12,0,0,0,791
101031015,31,0,0,0,0,30,17,0,0,0,0,17,17,0,0,0,0,17,29,0,0,0,0,29,33,0,0,0,0,33,54,0,0,0,0,54,75,0,0,0,0,74,90,0,0,0,0,89,43,0,0,0,0,43,28,0,0,0,0,28,17,0,0,0,0,17,20,0,0,0,0,20,444,5,0,0,0,443
