SA2_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
101021007,24,52,10,35,6,147,15,16,38,31,41,0,130,3,3,12,8,4,0,31,3,0,11,8,30,3,48,0,3,6,7,24,4,53,148,86,361,216,565,41,1415
101021008,21,92,28,49,3,230,35,25,87,60,112,3,321,0,4,8,3,16,3,34,8,0,9,12,86,3,120,5,4,7,8,41,24,90,266,112,579,489,1181,91,2721
101021009,45,144,25,39,0,346,117,28,218,112,113,13,602,9,4,32,8,14,4,69,12,0,24,24,87,3,154,22,3,39,22,64,15,164,757,205,1249,713,1315,130,4377
101021010,20,71,22,17,0,171,50,13,118,49,65,10,305,0,3,8,4,10,0,26,4,3,11,12,48,0,83,6,0,12,9,28,15,64,314,89,613,336,677,58,2084
101021012,38,211,49,64,8,474,78,45,184,95,107,18,531,8,0,21,11,13,0,55,11,4,27,26,104,5,169,25,6,28,23,52,17,136,919,307,1492,883,1524,134,5251
101021610,20,113,32,29,0,220,44,35,168,53,26,7,342,4,0,4,0,8,0,19,7,0,7,9,51,0,72,3,0,21,5,28,12,72,377,169,878,553,760,61,2789
101021611,59,262,83,90,5,638,104,59,224,90,115,14,613,16,8,36,16,25,5,93,12,4,34,38,169,6,261,17,4,41,33,71,31,194,931,371,1740,1077,2182,202,6508
101031013,15,33,6,19,3,80,0,4,25,18,25,0,78,0,0,0,0,3,0,10,0,0,0,0,14,0,16,0,0,3,4,23,0,26,25,19,151,91,357,26,663
101031014,31,80,37,51,5,227,25,17,87,51,94,4,288,0,0,6,6,10,3,18,4,0,8,8,62,0,75,0,0,4,12,28,11,67,153,80,478,324,946,79,2057
101031015,15,39,11,11,0,89,13,9,28,21,31,4,97,0,0,3,0,5,0,10,6,0,0,9,29,0,43,0,0,9,7,20,7,42,73,37,270,183,538,46,1151
101031016,32,134,47,64,6,343,31,21,81,52,40,7,238,18,7,110,44,156,10,343,0,0,12,9,70,0,92,11,0,24,12,51,23,117,239,103,875,501,1431,124,3273
