SA2_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
119041381,5,5,0,0,0,0,6,3,15,178,119,29,323,17,20,39,361,374,9,743
119041382,0,0,0,0,0,0,5,0,8,238,125,41,407,16,13,29,431,304,5,744
119041668,0,0,0,0,0,0,3,4,9,166,96,38,296,8,6,17,313,311,12,638
119041669,0,0,0,0,0,0,0,0,4,113,72,23,209,8,4,7,217,217,8,433
119041670,0,0,0,0,0,0,0,0,7,172,114,34,322,14,15,27,347,284,7,640
119041671,0,0,0,0,0,0,0,0,0,47,27,13,85,11,3,10,92,80,0,177
120011383,0,3,0,0,0,3,4,6,10,291,146,27,471,24,13,32,502,334,8,851
120011385,0,0,0,0,0,0,0,5,6,277,111,27,409,16,4,19,431,211,5,643
120011386,0,5,0,0,0,5,9,3,16,313,153,29,493,4,10,11,510,324,12,849
120011672,0,0,0,0,0,0,3,3,3,161,62,29,251,8,0,8,263,183,3,446
120011673,0,0,0,0,0,0,0,0,0,74,44,21,136,5,11,12,146,162,0,317
120021387,0,0,0,0,0,0,0,0,0,216,77,29,317,10,3,15,336,155,8,498
120021389,0,0,0,0,0,0,0,0,3,199,85,19,308,6,11,14,322,151,0,469
120021674,0,0,0,0,0,0,0,0,3,113,68,21,201,3,0,6,204,72,0,275
120021675,0,0,0,0,0,3,0,0,8,281,113,27,420,17,9,20,444,215,6,668
120031392,0,3,0,0,0,3,3,0,10,160,91,30,281,5,5,10,292,200,0,497
120031393,0,3,0,0,0,3,6,0,10,195,120,47,366,10,11,24,389,361,4,755
120031394,0,0,0,0,0,0,0,5,8,263,129,35,427,7,11,21,449,269,5,724
120031395,0,0,0,0,0,0,4,0,6,176,68,19,267,10,4,18,281,200,0,478
120031396,0,0,0,0,0,0,0,8,8,158,105,51,318,14,16,35,347,236,7,597
120031576,0,0,0,0,0,0,0,4,4,40,27,11,75,5,6,10,82,61,4,153
120031676,0,0,0,0,0,0,0,7,6,127,89,29,243,12,11,16,265,155,5,423
120031677,0,0,0,0,0,0,0,3,4,121,76,26,224,6,0,9,234,189,10,423
120031678,0,0,0,0,0,0,0,4,4,82,83,25,191,14,18,26,220,297,11,532
120031679,0,4,0,0,0,4,7,3,9,133,63,24,221,4,4,13,226,219,6,453
120031680,0,0,0,0,0,0,0,4,4,79,77,27,179,3,5,16,190,190,5,388
120031681,0,5,0,0,0,5,0,0,5,66,48,11,127,3,0,7,130,136,0,267
121011399,0,3,0,0,0,3,0,3,9,244,132,36,415,18,16,35,448,253,3,706
121011401,0,0,0,0,0,0,0,0,0,149,54,11,223,5,5,7,231,92,0,322
121011682,0,0,0,0,0,0,0,0,5,126,61,15,207,3,9,12,220,105,3,326
121011683,0,0,0,0,0,0,0,0,0,117,60,7,191,9,6,15,204,153,0,362
121011684,0,0,0,0,0,0,4,0,3,203,96,25,325,11,10,21,353,410,3,770
121011685,0,3,0,0,0,3,0,0,6,135,68,18,222,5,5,10,232,102,4,333
121011686,3,5,0,0,0,5,0,0,8,244,86,22,358,4,14,18,377,145,5,525
121011687,0,0,0,0,0,0,0,0,0,193,102,20,304,13,8,22,332,185,0,511
121021403,0,0,0,0,0,0,0,0,0,279,187,44,512,6,13,16,530,236,0,767
121021404,0,0,0,0,0,0,0,0,0,152,89,19,269,3,3,9,280,102,3,385
121021406,0,0,0,0,0,0,3,0,5,240,126,31,403,0,0,3,404,212,0,620
