SA2_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101021007,1721,1624,3348,95,97,189,139,121,261,5,5,11,3,9,12,5,0,4,3,0,0,0,0,6,0,0,0,32,35,71,0,0,0,189,180,368,3,3,12,0,5,5,285,279,571,194,195,389,2206,2101,4304
101021008,3453,3474,6929,50,49,100,260,259,516,25,8,29,15,10,24,5,8,11,3,0,9,3,8,15,3,4,10,100,93,193,0,0,0,413,391,807,21,15,36,7,5,15,494,464,953,260,275,533,4201,4211,8410
101021009,4222,4194,8420,181,174,360,543,464,1006,65,46,106,31,34,66,12,4,14,12,9,18,0,4,8,0,4,6,228,245,470,0,0,0,888,815,1704,40,41,83,22,13,39,1134,1045,2179,299,315,614,5659,5552,11209
101021010,2014,1853,3870,43,46,83,225,235,456,30,18,49,10,11,26,5,3,12,3,5,9,0,0,0,3,4,7,107,103,208,0,0,0,383,375,761,16,26,44,7,0,11,451,447,896,141,104,247,2610,2410,5017
101021012,5231,5315,10544,148,160,303,286,284,572,40,33,74,41,49,84,17,13,29,14,6,25,4,6,15,6,0,16,208,190,399,0,0,0,612,594,1199,55,56,106,8,4,11,814,807,1624,198,196,400,6253,6321,12573
101021610,2221,2246,4466,106,125,234,277,290,564,14,11,23,30,31,54,3,11,13,7,15,20,0,0,0,9,7,20,193,193,384,0,0,0,528,553,1079,26,27,56,8,6,14,673,714,1381,108,100,206,2999,3052,6052
101021611,6951,6744,13700,163,170,331,290,297,586,17,16,30,30,34,67,11,7,17,14,17,27,0,0,0,0,3,3,323,318,645,0,0,0,689,691,1382,28,24,53,9,9,25,887,897,1789,486,406,892,8328,8052,16378
101031013,976,977,1946,56,50,114,55,48,99,11,11,24,4,7,11,0,0,3,0,3,3,0,0,0,0,0,0,5,4,3,0,0,0,74,70,142,0,0,0,5,0,5,139,121,261,105,118,228,1220,1217,2433
101031014,2539,2649,5189,162,181,342,153,155,311,21,12,27,23,17,38,7,3,9,15,11,27,0,0,0,6,5,17,22,18,41,0,0,0,250,217,465,42,40,87,12,4,10,459,453,911,406,185,591,3402,3287,6692
101031015,1446,1340,2794,33,21,53,94,93,187,4,5,8,3,3,11,0,0,0,0,0,8,0,0,0,0,0,0,37,29,61,0,0,0,141,134,280,0,0,5,5,0,5,181,161,333,172,146,311,1801,1650,3443
101031016,3022,2706,5728,305,301,605,355,330,685,34,26,58,55,84,146,5,0,12,16,22,40,7,10,9,9,0,7,22,21,37,0,0,0,509,492,1000,30,26,61,16,19,31,857,841,1697,288,264,554,4171,3809,7981
