SA2_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
101021007,445,369,276,174,219,124,151,211,41,2013
101021008,511,710,729,499,752,322,292,396,96,4315
101021009,784,1236,864,732,1046,499,382,563,145,6247
101021010,413,622,389,368,471,212,163,229,59,2922
101021012,1560,1768,811,699,1272,509,253,379,145,7398
101021610,756,989,416,347,616,190,95,126,89,3621
101021611,1936,2085,1271,747,1390,477,383,508,226,9023
101031013,255,116,113,109,95,71,145,173,20,1104
101031014,372,547,419,400,395,314,228,312,61,3039
101031015,431,248,233,153,199,106,110,207,36,1728
101031016,868,670,676,738,415,397,277,572,98,4701
101041017,366,349,505,453,369,397,175,388,65,3072
101041018,394,581,481,490,405,367,143,362,68,3279
101041019,398,766,503,551,403,352,199,588,72,3830
101041020,790,666,631,487,414,299,292,578,79,4240
101041021,202,375,240,201,164,118,63,147,30,1539
101041022,0,0,4,4,0,0,0,0,0,17
101041023,124,134,177,187,120,109,115,217,23,1207
101041024,241,198,272,192,177,114,101,158,40,1503
101041025,611,891,779,683,545,504,227,500,54,4790
101041026,371,575,551,438,420,310,200,352,70,3283
101041027,465,572,589,481,340,341,139,392,76,3403
101051539,1134,1656,1560,1757,1253,1014,908,1369,220,10874
101051540,1480,861,920,696,720,428,492,713,149,6451
101061541,415,606,525,467,427,239,176,298,64,3221
101061542,1720,1498,902,612,894,347,247,460,147,6830
101061543,598,606,715,584,510,502,284,626,87,4520
101061544,873,386,408,328,303,191,202,496,63,3253
102011028,604,1136,471,409,438,293,110,225,42,3735
102011029,773,1283,703,516,634,379,163,319,74,4842
102011030,525,388,340,208,239,123,141,268,64,2299
102011031,850,1549,713,685,834,536,186,446,93,5893
102011032,1256,2703,1166,1327,1351,892,470,927,174,10255
102011033,390,623,548,378,482,358,195,303,75,3353
102011034,382,640,448,440,424,258,133,270,54,3054
102011035,384,829,509,395,501,316,212,337,37,3529
102011036,504,925,582,470,522,377,218,363,62,4021
102011037,397,829,351,326,408,275,132,228,38,2977
102011038,444,745,580,388,447,324,122,247,58,3360
102011039,1214,2127,830,763,910,621,201,396,100,7168
102011040,1315,1992,1403,1281,1352,848,539,902,162,9789
102011041,819,1399,687,594,683,424,164,316,85,5180
102011042,653,1172,827,705,768,488,332,555,123,5626
102011043,520,995,698,570,641,442,304,549,89,4802
102021044,1039,1820,1632,1338,1269,908,573,1028,148,9759
102021045,405,450,749,738,598,545,521,710,98,4807
102021046,353,577,655,588,469,366,313,466,59,3839
102021047,866,1338,1246,1006,1047,712,530,751,108,7595
102021048,741,1096,1326,1395,1051,888,811,1152,159,8615
102021049,334,339,274,189,215,136,101,143,44,1781
102021050,387,502,697,553,493,427,360,482,67,3975
102021051,371,565,336,314,366,215,149,200,45,2561
102021052,272,332,499,400,367,264,233,305,36,2712
102021053,772,1158,950,899,759,602,354,695,142,6318
102021054,346,614,644,567,460,352,250,417,69,3729
102021055,292,470,386,334,358,224,191,240,40,2531
102021056,1038,1638,1308,1321,1222,968,679,894,145,9206
102021057,340,503,471,530,446,314,316,525,64,3511
103011059,634,973,857,871,715,520,440,642,94,5741
103011060,679,609,516,334,407,206,234,347,71,3407
103011061,369,236,308,207,185,121,299,279,63,2075
103011612,440,971,591,833,454,458,276,551,68,4643
103011613,790,1417,989,1067,889,603,450,704,125,7039
103021062,758,320,289,304,250,135,259,285,47,2647
103021063,483,497,515,506,416,390,250,533,70,3667
103021064,646,310,287,258,215,149,165,319,31,2397
103021065,861,669,590,485,419,380,358,579,88,4431
103021066,447,194,148,144,125,88,113,198,20,1478
103021067,556,756,703,582,566,448,587,515,73,4793
103021068,433,175,165,129,121,55,112,138,31,1361
103021069,606,294,372,236,245,158,298,276,50,2533
103031070,428,636,741,666,617,406,520,536,86,4647
103031071,508,476,632,493,452,222,407,414,58,3658
103031072,628,937,1069,738,576,517,757,641,91,5949
103031073,225,134,186,141,96,82,128,143,28,1162
103031074,895,598,801,433,479,319,621,599,86,4829
103031075,0,0,0,0,0,0,0,0,0,0
103041076,616,506,517,396,385,224,332,464,70,3513
103041077,812,1873,1178,1119,939,662,564,948,139,8234
103041078,1315,2580,1668,1467,1508,937,778,977,163,11386
