SA2_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
101021007,1840,1807,3650,737,428,1168,249,440,686,82,79,156,45,26,68,1114,972,2090,576,687,1259,3.9,2.9,3.5,60.5,53.8,57.2,58.1,52.2,55.2,111,116,223,38,81,116,223,314,541,147,201,350,514,213,723,8,31,38,31,57,88,553,299,848,1721,1624,3348,285,279,571,1143,1080,2224,779,734,1510
101021008,3388,3509,6895,1717,1199,2922,393,729,1121,111,159,272,106,85,198,2334,2175,4508,843,1118,1962,4.7,4,4.3,68.8,62,65.4,65.6,59.6,62.5,163,156,317,55,88,139,282,442,728,249,386,627,873,467,1342,24,55,79,44,73,118,941,597,1537,3453,3474,6929,494,464,953,2445,2482,4930,1275,1249,2523
101021009,4832,4771,9608,2459,1792,4253,687,969,1659,163,178,336,144,127,270,3453,3066,6522,1112,1439,2555,4.2,4.1,4.2,71.4,64.3,67.9,68.4,61.6,65,450,438,885,80,161,239,680,828,1515,404,483,886,999,529,1528,69,59,122,48,110,158,1112,694,1808,4222,4194,8420,1134,1045,2179,2512,2496,5009,2554,2481,5027
101021010,2235,2064,4296,1215,834,2052,288,424,720,69,83,153,61,47,108,1635,1397,3033,473,571,1039,3.7,3.5,3.6,73.3,67.8,70.6,70.5,65.4,68.1,212,191,402,46,77,120,315,426,743,193,216,408,473,264,737,33,24,58,37,41,80,546,328,878,2014,1853,3870,451,447,896,1133,998,2135,1198,1169,2374
101021012,4927,5097,10023,2945,2124,5066,655,1286,1942,148,242,396,93,76,170,3840,3726,7567,923,1209,2131,2.4,2.1,2.2,77.9,73.2,75.5,76,71.7,73.8,599,425,1030,135,243,371,728,1020,1754,508,587,1090,991,584,1572,39,80,113,72,130,195,1093,789,1886,5231,5315,10544,814,807,1624,3504,3545,7047,2214,2259,4475
101021610,2128,2222,4350,1543,1086,2628,202,524,730,87,177,261,28,37,58,1853,1831,3686,190,319,510,1.3,2.1,1.7,87.2,82.3,84.7,86.1,80.6,83.3,215,186,404,65,113,177,390,576,966,285,333,612,468,275,743,20,27,48,24,30,48,509,327,838,2221,2246,4466,673,714,1381,504,522,1025,2042,2125,4165
101021611,6751,6579,13330,3553,2425,5982,855,1603,2456,245,342,588,136,109,245,4789,4479,9269,1557,1772,3331,2.8,2.4,2.6,71,68,69.5,69,66.4,67.7,585,588,1168,191,305,498,929,1353,2287,641,818,1456,1685,745,2424,39,98,144,83,140,230,1807,987,2791,6951,6744,13700,887,897,1789,4915,4693,9603,2564,2562,5132
101031013,1016,1029,2048,453,235,688,93,246,340,40,30,72,19,28,47,609,541,1150,327,396,725,3,5,3.9,59.8,52.3,56,58.1,49.7,53.8,23,13,35,7,22,33,75,123,201,47,88,136,264,124,387,15,12,27,13,25,42,291,163,456,976,977,1946,139,121,261,706,689,1393,354,364,719
101031014,2846,2803,5657,1136,727,1860,354,639,995,93,96,188,66,51,119,1648,1514,3158,1029,1130,2157,4.1,3.4,3.8,57.8,54,55.9,55.4,52.1,53.8,89,111,204,37,73,112,276,375,649,187,293,478,737,420,1160,24,58,83,43,87,129,801,566,1367,2539,2649,5189,459,453,911,1694,1792,3488,1138,1163,2298
101031015,1523,1403,2925,689,414,1100,192,344,534,42,55,91,26,16,45,947,825,1770,438,438,874,2.8,2.4,2.6,62,59.1,60.6,60.3,57.7,59,62,46,110,16,39,54,149,229,373,114,148,260,445,193,642,16,24,38,31,34,62,488,255,747,1446,1340,2794,181,161,333,1111,982,2096,460,457,915
101031016,3513,3232,6741,1570,1036,2603,727,1102,1827,147,123,269,59,31,89,2497,2294,4794,736,691,1424,2.4,1.4,1.9,71.2,71,71.1,69.5,70,69.7,129,167,298,39,92,132,441,614,1057,246,389,638,1123,445,1564,31,55,86,57,76,131,1210,570,1780,3022,2706,5728,857,841,1697,1915,1664,3577,1829,1748,3573
101041017,3534,3712,7241,945,595,1538,463,830,1292,112,124,241,118,58,178,1640,1603,3247,1644,1862,3502,7.2,3.7,5.5,46.5,43.2,44.9,43.2,41.6,42.4,70,96,174,52,95,147,215,332,548,224,377,595,1043,533,1577,47,75,119,64,107,174,1155,712,1870,3196,3343,6541,650,702,1352,1975,2065,4042,1681,1803,3484
101041018,3661,4051,7714,956,690,1648,518,813,1335,137,152,294,87,65,152,1704,1727,3430,1692,2052,3744,4.9,3.9,4.4,46.5,42.6,44.4,44.2,40.9,42.5,156,149,309,62,119,180,345,486,828,275,461,739,955,559,1515,39,68,112,89,128,215,1077,762,1837,3327,3638,6968,582,634,1218,2044,2240,4279,1681,1858,3540
101041019,3482,3834,7313,1224,802,2024,516,1022,1542,126,142,272,78,54,133,1949,2022,3967,1283,1532,2815,4.1,2.6,3.3,55.9,52.7,54.2,53.6,51.3,52.4,114,137,257,60,121,181,397,600,1001,219,356,570,921,589,1507,36,77,106,50,92,141,997,750,1752,3396,3594,6989,546,591,1137,2313,2421,4731,1440,1603,3039
101041020,4100,3965,8063,1339,771,2106,653,1137,1789,173,171,343,94,51,145,2255,2133,4384,1503,1560,3070,4.1,2.5,3.3,55,53.7,54.4,52.8,52.4,52.6,108,185,296,65,154,213,335,606,947,313,434,747,1217,602,1821,38,72,109,73,102,173,1334,771,2107,3993,3831,7825,429,483,918,2906,2779,5685,1320,1368,2684
101041021,1549,1677,3222,485,303,789,222,409,631,51,68,118,29,22,49,790,802,1592,678,783,1453,3.7,2.7,3.2,51,47.9,49.4,49.1,46.6,47.8,78,77,158,29,75,106,228,305,537,124,195,323,420,194,610,18,28,42,30,51,81,466,279,742,1419,1515,2931,278,303,584,914,977,1885,722,775,1501
