SA2_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
101021007,33,502,703,299,167,1701,18,1719
101021008,146,1005,1121,471,280,3033,50,3075
101021009,364,2397,1490,387,225,4859,56,4916
101021010,137,1048,699,221,131,2235,36,2276
101021012,72,1007,1912,773,507,4277,33,4305
101021610,3,343,1197,261,102,1914,14,1929
101021611,40,871,2182,1188,1042,5326,51,5374
101031013,38,314,363,166,80,964,22,981
101031014,194,1087,942,305,166,2694,44,2738
101031015,29,307,497,254,170,1262,18,1277
101031016,53,723,1050,479,382,2690,50,2741
101041017,230,1438,1206,358,172,3406,60,3468
101041018,151,1462,1426,402,187,3629,65,3697
101041019,201,1269,1367,452,197,3487,72,3559
101041020,50,990,1537,657,395,3637,65,3699
101041021,44,577,594,178,103,1491,25,1514
101041022,0,0,5,0,4,10,0,10
101041023,106,545,490,147,61,1344,37,1378
101041024,12,355,535,232,164,1303,22,1325
101041025,181,2002,1850,530,241,4801,64,4863
101041026,131,1275,1390,453,269,3520,64,3586
101041027,190,1730,1583,447,179,4130,74,4206
101051539,710,3600,3204,1168,640,9323,158,9486
101051540,87,1128,1926,1033,784,4964,94,5054
101061541,116,833,936,378,224,2489,36,2524
101061542,27,693,1679,940,804,4138,42,4180
101061543,290,1521,1445,546,305,4105,103,4209
101061544,98,892,1087,484,352,2912,80,2990
102011028,35,661,1177,406,224,2504,25,2530
102011029,133,1370,1753,568,355,4183,43,4221
102011030,45,406,542,303,310,1614,32,1641
102011031,434,2188,1797,673,413,5507,98,5609
102011032,1093,4320,2731,652,295,9093,135,9219
102011033,49,556,913,337,219,2078,15,2093
102011034,242,1232,970,333,186,2964,37,3001
102011035,100,796,1038,364,189,2480,26,2509
102011036,100,825,1139,397,306,2766,33,2804
102011037,170,1001,911,277,138,2488,23,2513
102011038,106,822,1111,400,229,2658,21,2682
102011039,175,1702,2354,707,438,5377,57,5438
102011040,950,4614,3260,887,380,10089,184,10267
102011041,73,1045,1552,561,399,3624,30,3653
102011042,808,2790,1658,498,219,5969,125,6092
102011043,309,1783,1511,420,233,4263,56,4320
102021044,538,2807,3268,1054,564,8231,112,8341
102021045,140,1336,1539,561,286,3861,50,3913
102021046,204,1604,1380,440,240,3874,69,3935
102021047,199,1723,2303,855,561,5646,67,5708
102021048,627,3366,2872,930,564,8359,201,8559
102021049,0,135,363,238,290,1029,12,1036
102021050,168,2167,1460,484,306,4594,55,4652
102021051,36,471,705,266,220,1694,21,1711
102021052,59,795,1035,348,211,2451,23,2472
102021053,670,3178,2142,550,310,6848,131,6974
102021054,353,1818,1279,425,213,4084,63,4151
102021055,71,649,696,263,172,1843,20,1858
102021056,199,1793,2758,946,559,6252,71,6322
102021057,355,1406,1064,383,215,3423,57,3484
103011059,187,1162,1740,638,402,4141,58,4201
103011060,28,421,920,513,455,2341,26,2372
103011061,62,554,689,277,171,1754,39,1795
103011612,508,2182,1147,316,137,4288,87,4376
103011613,199,1651,2154,774,411,5186,48,5239
103021062,127,762,796,354,217,2255,37,2291
103021063,287,1474,1263,443,211,3679,82,3760
103021064,57,619,866,359,251,2153,37,2187
103021065,191,1296,1403,531,297,3715,89,3805
103021066,83,489,499,248,159,1481,25,1497
103021067,280,1512,1509,455,314,4069,77,4148
103021068,62,341,390,216,162,1169,30,1194
103021069,89,662,768,344,223,2090,55,2142
103031070,584,2094,1516,519,315,5028,121,5149
103031071,83,853,1186,596,405,3129,40,3169
103031072,277,1546,1843,634,326,4625,106,4727
103031073,68,531,482,200,146,1426,37,1459
103031074,104,992,1485,756,557,3896,82,3975
103031075,0,0,0,0,0,0,0,0
103041076,77,796,1065,497,302,2729,41,2772
103041077,677,3203,2489,730,323,7418,159,7577
103041078,299,2506,3445,1132,557,7939,101,8037
103041079,87,815,1728,844,611,4089,72,4158
104011080,580,3216,2522,804,356,7476,146,7616
104011081,95,1571,2390,1052,628,5733,122,5860
104011082,313,2926,2778,762,346,7127,152,7273
104021083,60,843,883,298,161,2244,24,2264
104021084,559,2984,2388,716,371,7009,137,7154
104021085,427,1843,1329,429,189,4218,86,4301
104021086,16,287,542,278,194,1309,18,1333
104021087,57,510,476,193,96,1336,35,1373
104021088,42,969,1760,553,300,3623,41,3666
104021089,342,2903,2889,939,534,7603,110,7713
104021090,80,695,766,249,149,1934,36,1966
104021091,204,1965,2023,666,393,5251,114,5365
105011092,151,393,316,122,93,1080,64,1149
105011093,108,498,504,185,110,1398,35,1438
105011094,106,461,429,190,128,1316,44,1359
105011095,109,557,588,271,163,1682,61,1745
105011096,140,651,567,198,152,1703,59,1765
105021097,700,3068,2366,718,297,7148,161,7308
105021098,94,263,183,96,111,744,29,776
105031099,136,982,1009,408,272,2804,71,2878
105031100,167,1216,1372,543,301,3600,65,3661
105031101,502,2743,2803,803,360,7213,132,7345
105031102,167,1312,1395,437,196,3509,63,3572
105031103,20,295,768,421,364,1864,31,1900
105031104,99,495,586,264,135,1573,51,1629
105031105,116,740,781,326,245,2207,42,2248
105031106,182,1090,988,356,264,2874,63,2938
106011107,81,1072,1850,843,542,4380,40,4427
106011108,533,3097,2838,1049,606,8133,131,8269
106011109,37,700,1220,597,521,3064,45,3111
106011110,87,916,1430,608,472,3515,63,3578
106011111,337,2391,2851,1118,724,7418,97,7521
106011112,274,1819,2408,930,530,5955,64,6020
106011113,18,303,701,384,306,1712,20,1733
106021114,164,1016,1250,404,255,3092,34,3130
106021116,57,710,1231,549,373,2924,18,2944
106021614,441,2287,2591,947,480,6747,84,6833
106021615,224,1856,2462,971,575,6079,57,6140
106021616,219,1032,1138,387,195,2970,42,3012
106021617,215,1549,1534,471,255,4032,57,4089
106021618,97,1172,2647,874,506,5288,39,5331
106031119,54,957,967,314,206,2497,24,2519
106031120,91,1024,1092,338,196,2737,34,2766
106031121,447,3808,3448,898,445,9042,133,9176
106031122,366,2176,1889,668,344,5437,97,5539
106031123,15,229,730,389,430,1789,17,1801
106031124,88,1099,1003,258,115,2565,40,2604
106031125,97,1349,2080,910,661,5096,54,5155
106041126,294,1689,1650,551,280,4462,81,4545
106041127,46,389,539,261,192,1433,24,1459
106041128,129,844,906,298,145,2316,37,2352
106041129,107,958,1170,542,324,3097,54,3147
107011131,580,3123,3403,1203,709,9020,107,9127
107011132,78,874,1838,660,411,3859,34,3895
107011133,0,0,0,0,0,0,0,0
107011134,314,1565,2095,810,501,5288,77,5367
107011545,539,1806,1701,641,362,5041,91,5133
107011546,616,1524,1044,361,173,3723,65,3791
107011547,199,770,517,191,104,1783,36,1822
107021135,0,0,0,0,0,0,0,0
107031136,151,1592,2861,1024,713,6339,65,6404
107031137,159,875,908,357,231,2536,37,2567
107031138,172,1347,1426,380,192,3522,43,3559
107031139,44,539,971,329,212,2093,7,2100
107031140,83,805,1243,428,324,2881,36,2915
107031141,179,1817,2823,1045,683,6544,65,6609
107031142,210,1363,1449,563,343,3926,44,3967
107031143,703,3118,2679,825,529,7844,145,7993
107041144,735,2941,2863,949,580,8076,98,8174
107041145,682,2519,2269,628,352,6448,87,6536
107041146,423,2436,3118,1019,651,7646,68,7713
107041147,68,732,1380,472,314,2974,21,2994
107041148,149,1363,1770,585,309,4174,44,4220
107041150,504,2535,3004,943,529,7512,59,7572
107041548,1112,3977,2033,378,191,7690,99,7790
107041549,769,2705,2028,646,307,6446,87,6539
108011151,45,566,763,313,214,1906,49,1954
108011152,425,2981,2148,582,225,6360,116,6478
108011153,52,918,1066,387,228,2651,54,2710
108011154,237,1543,811,231,101,2919,65,2988
108021155,386,1957,1763,675,422,5205,138,5347
108021156,117,1110,1363,612,338,3534,81,3615
