SA2_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
101021007,1610,3672,60,102,3,7,63,109,3,6,0,0,0,0,0,0,0,0,3,6,6,16,16,39,3,0,11,16,37,69,6,17,1719,3878,816,..,2539,3878
101021008,2472,6752,288,574,236,482,518,1052,47,87,34,47,0,0,0,0,0,15,85,144,0,0,0,0,0,0,0,5,0,5,0,6,3075,7956,176,..,3255,7956
101021009,2052,5312,574,1055,567,1137,1145,2192,603,953,362,630,636,1112,81,131,16,28,1695,2858,3,9,0,0,0,0,12,28,21,33,13,22,4916,10413,507,..,5422,10413
101021010,832,2260,251,421,450,879,698,1297,298,460,144,254,298,523,0,0,0,3,739,1242,0,0,0,0,0,0,0,0,0,0,4,10,2276,4807,202,..,2478,4807
101021012,3535,10749,458,903,204,435,662,1340,87,146,6,11,0,0,0,0,0,8,97,159,0,0,0,0,0,0,6,15,6,15,3,4,4305,12275,178,..,4488,12275
101021610,1796,5748,14,32,96,203,107,230,0,3,12,32,0,0,0,0,0,0,16,37,0,0,0,0,0,0,0,0,0,0,0,0,1929,6011,105,..,2030,6011
101021611,5265,15159,43,81,25,47,66,133,20,49,0,0,0,0,0,0,4,14,24,60,9,15,0,0,0,0,3,24,13,36,11,20,5374,15405,435,..,5810,15405
101031013,939,2085,15,25,0,0,15,25,10,16,0,0,0,0,0,0,0,0,10,16,4,7,0,0,0,4,0,0,10,14,6,16,981,2154,308,..,1284,2154
101031014,2415,5577,132,209,30,53,166,263,102,147,0,5,0,0,0,0,8,18,121,174,0,0,3,3,0,0,23,55,26,60,9,13,2738,6085,434,..,3174,6085
101031015,1255,3022,3,9,0,0,3,9,0,0,0,0,0,0,0,0,0,3,0,8,8,7,0,0,0,0,7,5,13,10,9,10,1277,3062,405,..,1676,3062
101031016,2072,5832,51,129,143,400,193,525,347,859,54,135,8,17,0,0,10,21,417,1033,8,10,0,6,3,14,3,9,15,37,42,85,2741,7517,1388,..,4127,7517
101041017,2610,6451,193,305,144,256,340,564,390,619,26,28,30,39,0,0,0,4,445,682,19,36,37,49,0,0,4,13,59,94,13,17,3468,7813,1085,..,4556,7813
101041018,2959,6850,193,310,208,391,406,700,272,427,0,0,0,0,0,0,8,14,280,440,20,29,20,27,0,0,3,3,37,62,10,14,3697,8064,1798,..,5494,8064
101041019,3113,7507,218,306,92,138,310,440,73,98,3,4,0,0,0,0,7,10,85,111,22,34,19,25,0,0,3,14,37,77,11,29,3559,8166,468,..,4027,8166
101041020,3602,8621,23,36,4,7,24,45,5,5,0,0,0,0,0,3,0,3,5,11,33,55,15,32,4,10,10,18,59,114,3,14,3699,8804,577,..,4273,8804
101041021,1222,2955,148,229,34,77,180,304,34,53,0,0,0,0,0,0,0,6,37,61,32,61,34,53,0,0,3,20,72,126,6,13,1514,3459,925,..,2439,3459
101041022,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,9,..,22,26
101041023,1088,2531,119,172,44,72,169,248,40,68,7,12,0,0,0,0,0,0,49,76,7,11,59,94,0,0,0,0,66,103,8,28,1378,2987,246,..,1627,2987
101041024,1287,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,7,17,11,29,0,0,4,9,26,50,9,12,1325,3092,563,..,1886,3092
101041025,3602,8355,362,553,329,577,693,1128,476,748,28,46,3,9,0,0,12,15,509,807,4,3,15,23,0,0,0,4,17,31,41,77,4863,10398,1188,..,6048,10398
101041026,3279,7297,129,221,95,158,228,378,21,27,0,3,0,0,0,3,9,6,31,41,26,31,16,33,0,0,7,11,44,79,9,6,3586,7804,1009,..,4598,7804
101041027,3494,7740,178,273,124,207,303,474,193,293,33,54,8,14,0,0,8,10,240,372,8,30,134,174,0,3,9,25,151,233,20,34,4206,8850,1351,..,5558,8850
101051539,8002,19746,862,1395,171,314,1027,1707,279,401,61,76,0,0,0,0,13,31,359,507,11,22,14,23,0,0,38,71,71,110,23,33,9486,22102,877,..,10356,22102
101051540,4943,12334,60,85,8,13,61,95,8,10,0,0,0,0,0,0,3,7,12,17,13,13,8,6,4,4,6,14,23,35,10,34,5054,12522,1600,..,6654,12522
101061541,2233,5767,175,271,15,38,193,309,80,100,0,0,0,0,0,0,5,12,79,116,3,7,0,0,0,0,0,4,3,7,14,21,2524,6223,217,..,2740,6223
101061542,4111,11707,12,41,0,3,16,37,0,0,0,0,0,0,0,0,3,11,5,9,7,8,4,5,6,5,3,13,14,33,36,69,4180,11859,462,..,4639,11859
101061543,3694,9334,361,553,12,22,370,579,108,150,0,0,0,0,0,0,0,7,115,151,9,9,8,11,0,0,9,20,22,35,8,24,4209,10128,456,..,4659,10128
101061544,2845,6685,71,107,0,4,71,104,22,30,0,0,0,0,0,0,3,3,23,33,9,20,9,15,0,3,10,22,37,56,13,33,2990,6915,684,..,3669,6915
102011028,2268,6490,16,40,93,212,114,254,65,141,28,59,30,46,0,6,11,34,137,282,0,0,0,0,0,0,7,19,8,19,0,0,2530,7048,973,..,3502,7048
102011029,3888,10010,30,61,61,134,97,193,72,113,7,20,0,0,0,0,20,31,101,161,128,181,5,0,0,0,5,14,137,193,7,10,4221,10575,1031,..,5253,10575
102011030,1560,4162,0,0,3,6,5,10,24,27,0,3,0,0,0,0,0,5,23,33,5,12,18,28,0,0,6,6,25,46,23,66,1641,4321,372,..,2018,4321
102011031,4675,12070,483,767,146,298,631,1064,216,367,60,92,0,0,0,0,10,29,285,492,0,4,9,11,0,0,4,4,11,18,10,22,5609,13665,329,..,5934,13665
102011032,3668,9806,341,501,1177,2346,1515,2842,1357,2338,645,1122,1527,2813,446,809,13,23,3986,7103,0,0,0,0,0,0,9,6,8,11,44,60,9219,19820,923,..,10142,19820
102011033,1924,5875,126,283,20,49,150,335,3,9,0,0,0,0,0,0,10,20,12,27,0,0,0,0,0,0,0,0,0,0,5,8,2093,6245,49,..,2139,6245
102011034,1988,5644,702,1009,181,323,880,1329,93,134,22,38,0,0,0,0,8,16,127,188,0,0,0,0,0,3,0,0,0,3,3,8,3001,7164,178,..,3173,7164
102011035,2221,6429,210,389,62,108,267,496,3,16,0,0,0,0,0,0,15,17,16,32,0,0,0,0,0,0,0,0,0,0,3,9,2509,6960,73,..,2580,6960
102011036,2368,7036,185,330,234,503,418,832,0,0,0,0,0,0,0,0,7,22,15,20,0,0,0,0,0,0,0,0,0,0,4,9,2804,7899,118,..,2917,7899
102011037,2242,5726,100,159,44,92,149,249,102,167,7,10,0,0,0,0,3,18,111,198,0,0,7,15,0,0,0,0,7,19,6,12,2513,6199,206,..,2719,6199
102011038,2324,6288,63,112,69,115,132,223,176,262,29,44,0,0,0,0,15,41,218,345,0,0,3,9,0,0,0,0,6,13,0,3,2682,6867,201,..,2881,6867
102011039,4003,11172,67,130,307,646,369,780,759,1608,174,343,97,166,0,0,11,33,1051,2160,0,0,0,0,0,0,0,0,0,0,8,21,5438,14123,925,..,6362,14123
102011040,7144,17770,1485,2547,590,1149,2072,3697,603,940,16,23,59,115,0,6,59,123,735,1202,5,5,228,355,0,0,23,51,257,406,52,69,10267,23151,1629,..,11894,23151
102011041,3101,9134,247,412,101,223,347,636,144,308,20,35,8,18,0,0,30,52,199,413,0,0,0,0,0,0,4,8,4,8,9,25,3653,10216,386,..,4036,10216
102011042,4033,9906,1178,2026,390,727,1570,2756,294,434,50,71,0,0,0,0,37,74,378,582,0,0,81,122,0,0,16,29,100,157,9,22,6092,13418,524,..,6617,13418
102011043,3343,9125,635,893,202,408,839,1297,96,163,0,0,0,0,0,0,17,32,109,193,19,27,0,0,0,0,4,0,25,30,3,3,4320,10647,244,..,4564,10647
102021044,7095,19135,440,668,342,639,787,1307,434,715,0,0,0,0,0,0,9,18,442,727,3,7,0,0,0,0,4,6,8,13,6,13,8341,21197,530,..,8875,21197
102021045,3775,10518,77,164,12,23,90,190,4,16,19,30,0,0,0,0,16,18,40,64,0,0,0,0,0,4,8,13,8,18,5,5,3913,10790,253,..,4162,10790
102021046,3610,8599,63,101,7,14,71,112,133,214,0,0,0,0,0,0,17,37,149,251,65,95,26,38,0,0,11,34,97,166,3,18,3935,9147,384,..,4322,9147
102021047,5018,14166,378,628,60,129,440,753,223,316,0,0,0,0,0,0,13,25,242,339,0,0,0,0,0,0,3,8,3,8,7,13,5708,15280,262,..,5965,15280
102021048,7054,18049,447,791,169,273,615,1064,805,1331,0,0,9,14,0,0,27,49,842,1388,5,4,38,54,0,3,0,0,44,64,0,7,8559,20577,598,..,9158,20577
102021049,1023,3218,6,15,0,0,6,15,0,0,0,0,0,0,0,0,6,7,6,7,0,0,0,0,0,0,0,5,0,5,0,6,1036,3246,125,..,1157,3246
102021050,4379,9913,166,250,11,22,172,273,39,68,0,0,0,0,0,0,18,34,56,102,6,18,21,29,0,0,0,0,30,57,8,7,4652,10355,377,..,5032,10355
102021051,1364,4021,180,364,144,308,323,666,0,0,0,3,0,0,0,0,10,22,12,25,0,0,0,0,0,0,0,0,0,0,5,18,1711,4729,90,..,1803,4729
102021052,2390,5992,25,44,12,26,33,67,37,60,0,0,0,0,0,0,8,21,44,79,0,0,6,4,4,4,0,6,9,7,0,14,2472,6165,358,..,2829,6165
102021053,3268,8225,972,1549,1079,2152,2044,3700,312,474,389,680,646,1105,146,252,11,23,1510,2537,68,94,40,71,0,0,29,57,135,228,25,37,6974,14727,2389,..,9363,14727
102021054,3273,7689,379,582,102,207,481,782,293,440,4,0,45,55,0,0,14,25,352,522,23,45,5,11,0,0,0,3,38,56,6,22,4151,9071,496,..,4642,9071
102021055,1487,4226,156,310,189,425,335,735,26,52,0,0,0,0,0,0,4,5,25,54,4,3,0,0,0,0,0,0,4,3,7,9,1858,5029,83,..,1942,5029
102021056,5956,18312,271,521,72,148,339,673,9,15,0,0,0,0,0,0,6,3,13,24,0,0,0,0,0,0,0,0,4,0,15,37,6322,19039,252,..,6574,19039
102021057,2769,7183,200,345,248,499,445,842,147,221,47,91,49,87,0,0,9,19,249,431,5,10,0,0,0,0,3,12,10,17,4,8,3484,8479,191,..,3676,8479
103011059,3930,11015,174,294,53,95,224,386,19,22,0,0,0,0,0,0,8,13,30,37,0,3,6,11,0,3,0,0,12,19,4,10,4201,11463,221,..,4417,11463
103011060,2335,6175,4,3,0,3,0,6,0,0,0,0,0,0,0,0,0,5,3,3,4,15,0,0,0,0,0,0,6,17,18,41,2372,6246,427,..,2795,6246
103011061,1674,3898,80,120,0,3,82,124,10,18,11,18,0,0,0,0,0,0,26,38,8,16,4,5,0,0,0,0,9,19,12,17,1795,4089,440,..,2232,4089
103011612,2509,5664,953,1613,235,365,1185,1980,632,949,9,8,0,0,0,0,3,8,647,964,4,8,0,0,0,0,14,38,18,48,14,15,4376,8673,619,..,4995,8673
