SA2_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
118011344,3,9,39,35,41,28,6,0,0,165,10,18,75,71,73,47,13,7,4,316,172,391,1088,1339,1341,856,375,69,6,5646
118011345,7,22,55,46,36,32,10,0,0,205,0,27,114,78,66,41,11,6,0,352,139,711,2838,2005,1639,1099,461,74,3,8970
118011346,13,14,17,21,37,21,8,6,0,123,8,29,58,58,101,56,21,22,10,361,207,454,865,975,1322,1025,511,149,27,5535
118011347,0,5,18,19,11,15,8,5,0,84,5,13,39,47,36,24,12,3,0,170,72,270,999,851,695,547,324,100,10,3862
118011649,4,15,50,33,19,33,15,0,0,178,3,34,115,90,83,57,38,8,0,425,190,534,1816,1539,1394,1136,724,193,19,7545
118011650,0,7,33,18,16,16,13,4,0,106,6,15,86,65,47,33,31,9,0,294,71,348,1662,1144,833,715,453,177,18,5432
118021564,4,16,45,44,24,18,7,0,0,160,11,29,75,51,43,25,8,0,0,240,234,843,1810,1320,930,667,197,30,3,6030
118021565,4,22,56,44,28,33,7,0,0,192,13,34,82,48,33,34,15,0,0,264,214,890,1853,1462,1211,801,245,34,5,6712
118021566,4,9,26,30,33,24,8,0,0,132,5,25,43,60,48,16,13,6,0,217,150,361,1054,1120,1093,765,233,37,3,4811
118021567,0,15,42,54,20,21,3,0,0,159,3,16,79,57,52,26,11,0,0,242,179,339,1329,1356,1036,693,199,28,3,5166
118021568,5,15,40,41,30,27,4,0,0,162,9,25,94,67,43,30,6,5,0,264,136,466,1371,1247,1021,649,168,26,0,5082
118021569,7,15,91,58,46,32,7,0,0,254,3,25,135,120,61,33,16,5,0,397,183,566,2943,2413,1693,1017,351,53,6,9223
118021570,10,16,67,27,37,13,12,3,0,182,6,21,106,60,49,21,9,0,0,276,228,627,2424,1558,1264,811,227,38,4,7176
118021651,13,26,117,72,63,36,7,0,0,333,7,41,198,136,76,44,16,0,0,520,258,728,4204,2866,2077,1332,421,41,8,11937
118021652,4,12,32,30,50,26,4,5,0,168,0,3,37,50,34,27,17,4,0,178,162,303,749,1024,1085,738,257,33,0,4366
118021653,12,18,31,55,48,40,17,0,0,223,6,21,43,66,67,38,14,10,0,266,296,530,978,1391,1538,1114,307,27,0,6184
118021654,3,5,16,10,3,21,0,0,0,56,3,15,27,24,32,24,7,0,0,130,98,201,391,534,620,414,105,22,3,2393
119011354,8,18,64,75,64,50,16,4,0,305,22,40,112,123,93,49,22,0,0,463,360,752,1549,1586,1472,1017,296,37,0,7076
119011355,0,6,5,10,8,0,0,0,0,27,0,4,21,9,7,0,0,0,0,39,8,59,196,193,94,68,14,0,0,623
119011356,11,21,44,51,46,23,8,0,0,204,11,34,70,87,52,37,8,0,0,303,193,465,874,901,849,581,170,14,0,4042
119011358,9,34,57,56,61,42,12,3,0,265,8,47,71,86,83,50,15,3,0,357,313,694,1558,1670,1603,1346,285,39,0,7514
119011360,16,22,57,55,51,54,11,0,0,261,4,34,94,93,66,51,30,4,0,375,314,680,1632,1764,1555,1151,279,19,0,7376
119011361,12,16,63,51,58,41,11,0,0,258,16,59,113,99,92,81,25,0,0,481,285,812,1747,1456,1359,1176,287,27,0,7150
119011571,3,30,62,38,44,21,8,0,0,200,11,41,122,93,57,58,13,4,0,396,163,593,1650,1371,940,740,172,13,0,5633
119011572,0,30,91,70,43,36,12,0,0,282,11,41,154,84,77,71,10,0,0,453,176,694,1835,1281,1013,792,183,10,0,5990
119011655,4,13,29,50,45,33,15,0,0,198,14,33,69,67,48,33,12,0,0,275,246,495,1002,952,877,673,156,20,0,4417
119011656,11,15,39,34,41,31,3,0,0,168,8,26,55,60,52,38,11,0,0,256,220,468,855,866,752,550,128,13,0,3852
119011657,17,16,48,36,38,26,7,3,0,185,13,22,66,60,47,36,11,3,0,253,276,435,1040,1176,1136,776,184,22,0,5048
119011658,6,19,52,37,34,40,14,0,0,209,12,16,71,90,70,56,11,0,0,323,360,643,1371,1745,1720,1223,275,25,6,7362
119021362,15,23,57,73,77,67,10,4,0,326,6,40,104,94,91,61,18,8,0,420,286,751,1894,1699,1677,1138,265,26,0,7732
119021366,12,47,62,51,57,41,14,5,0,283,20,67,152,89,95,67,17,0,0,502,273,815,1819,1345,1197,872,187,17,0,6531
119021367,14,17,47,59,63,44,11,0,0,253,11,35,60,70,72,40,8,0,0,295,237,558,1206,1279,1272,891,179,13,0,5646
119021573,10,13,36,17,30,21,10,0,0,136,4,25,132,101,54,33,11,0,0,367,122,439,1488,1239,773,529,126,8,0,4734
119021574,9,7,25,32,18,16,6,0,0,108,0,11,77,52,35,26,14,0,0,215,104,329,997,810,456,326,75,4,0,3115
119021659,5,9,34,29,33,28,6,0,0,137,4,41,83,84,53,41,8,3,0,319,107,577,1304,958,818,590,121,17,0,4492
119021660,0,18,19,30,26,21,4,0,0,120,0,21,82,48,49,25,0,0,0,234,66,396,1031,744,482,379,78,3,0,3179
119021661,0,13,65,35,50,27,6,0,0,194,3,22,93,66,34,32,7,0,0,258,126,468,1742,1312,982,644,128,9,0,5405
119021662,5,25,54,90,85,63,18,6,0,342,12,27,68,77,102,54,22,3,0,368,298,642,1378,1789,2129,1380,350,46,0,8013
119021663,4,5,14,22,26,11,0,0,0,80,3,12,32,42,34,39,6,0,0,164,94,208,435,650,616,392,108,13,0,2510
119031370,8,14,34,57,37,37,3,5,0,196,3,18,75,72,75,57,14,0,3,310,178,507,1369,1340,1143,922,200,16,6,5678
119031371,10,15,39,34,50,42,10,4,0,193,0,18,43,52,42,48,24,9,0,225,249,564,1020,1287,1452,1117,306,39,0,6042
119031372,17,25,47,83,85,69,21,4,0,353,10,31,78,90,98,63,22,0,0,390,422,836,1696,1981,2065,1564,424,68,0,9056
119031373,0,19,25,34,30,30,3,0,0,137,4,27,79,62,51,47,16,0,0,286,120,430,1144,990,788,591,139,12,0,4213
119031374,8,37,59,58,81,91,12,5,0,344,10,71,167,131,108,85,20,3,5,603,402,1490,2911,2239,2258,1835,510,80,3,11729
