SA2_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
101021007,..,529,529,685,31,716,178,0,181,179,0,179,77,0,77,42,0,42,1160,559,1719
101021008,..,755,755,921,50,974,530,13,541,504,3,510,196,0,196,94,0,94,2251,829,3075
101021009,..,2059,2059,1316,140,1457,609,14,624,484,14,496,187,0,186,93,0,94,2688,2228,4916
101021010,..,924,924,609,72,679,317,14,326,221,6,232,78,0,79,33,0,33,1263,1018,2276
101021012,..,728,728,1236,49,1283,813,14,828,953,4,957,385,0,390,127,0,127,3513,797,4305
101021610,..,167,167,526,12,534,429,4,433,545,0,545,177,0,179,67,0,67,1740,183,1929
101021611,..,760,760,1909,55,1968,907,5,911,1034,0,1034,467,0,467,241,0,241,4557,827,5374
101031013,..,343,343,372,18,396,85,4,91,90,3,92,54,0,54,19,4,17,620,367,981
101031014,..,944,944,913,70,981,345,8,354,270,3,273,127,0,127,56,0,58,1702,1032,2738
101031015,..,340,340,503,14,513,167,0,163,152,0,151,67,0,67,38,0,38,921,353,1277
101031016,..,704,704,825,130,957,371,45,420,390,31,425,171,3,170,57,13,64,1805,934,2741
101041017,..,1129,1129,1297,87,1383,374,13,387,307,5,314,159,0,158,98,0,98,2233,1234,3468
101041018,..,1123,1123,1560,70,1626,390,5,398,352,4,358,132,0,132,62,0,62,2495,1200,3697
101041019,..,1114,1114,1271,83,1352,427,11,443,391,0,388,174,0,174,81,0,81,2346,1213,3559
101041020,..,965,965,1497,83,1585,439,3,444,398,0,398,196,0,196,112,0,111,2642,1058,3699
101041021,..,444,444,594,26,617,174,5,178,172,0,175,63,0,64,26,0,26,1039,477,1514
101041022,..,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
101041023,..,465,465,529,38,560,143,3,148,110,0,109,60,0,60,34,0,34,871,502,1378
101041024,..,341,341,563,35,599,146,0,146,145,0,144,60,0,60,33,0,33,951,374,1325
101041025,..,1580,1580,1943,113,2056,523,8,532,439,3,438,167,0,167,85,0,85,3158,1704,4863
101041026,..,1094,1094,1510,83,1591,379,6,386,319,0,322,127,0,127,59,0,59,2404,1188,3586
101041027,..,1397,1397,1809,96,1905,367,9,377,302,0,301,135,0,137,86,0,86,2691,1511,4206
101051539,..,3099,3099,2990,210,3198,1232,35,1265,1131,7,1141,518,5,523,257,5,262,6125,3356,9486
101051540,..,1280,1280,1942,76,2022,616,4,622,605,0,609,329,0,334,196,0,196,3688,1366,5054
101061541,..,692,692,830,29,856,378,5,387,334,0,334,173,0,173,80,0,80,1790,730,2524
101061542,..,677,677,1469,58,1532,635,3,638,751,0,754,391,0,391,192,0,192,3441,739,4180
101061543,..,1306,1306,1393,94,1485,514,11,524,455,0,455,275,0,275,166,0,166,2798,1408,4209
101061544,..,931,931,1112,62,1175,331,3,335,285,0,285,162,0,162,91,0,91,1992,1000,2990
102011028,..,417,417,846,36,884,404,9,409,512,0,510,218,0,218,91,0,91,2066,463,2530
102011029,..,995,995,1583,66,1649,567,6,578,635,5,638,265,0,265,106,0,106,3150,1073,4221
102011030,..,407,407,515,40,555,257,6,263,223,0,220,101,0,101,91,4,89,1179,461,1641
102011031,..,1668,1668,1830,75,1908,715,8,722,773,3,777,340,0,343,190,0,190,3849,1757,5609
102011032,..,3355,3355,2775,338,3111,1268,53,1324,962,17,974,332,5,336,117,0,121,5450,3766,9219
102011033,..,316,316,576,34,608,392,6,391,490,0,490,172,0,172,111,0,111,1736,357,2093
102011034,..,952,952,945,37,982,366,4,369,426,6,427,194,0,194,73,0,73,2004,1000,3001
102011035,..,480,480,768,47,818,430,9,439,476,8,477,193,0,199,104,0,102,1963,543,2509
102011036,..,519,519,809,51,858,496,6,506,553,4,558,242,0,242,117,0,117,2222,580,2804
102011037,..,674,674,809,54,867,353,14,363,409,0,403,153,0,151,49,0,49,1772,748,2513
102011038,..,627,627,906,49,954,399,9,404,447,0,450,172,0,172,75,0,75,1995,685,2682
102011039,..,1186,1186,1830,106,1934,819,46,863,903,16,922,396,0,401,132,0,132,4083,1356,5438
