SA2_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
101021007,82,11,88,591,220,30,842,2491,311,3650
101021008,90,8,99,1357,505,44,1906,4530,457,6895
101021009,286,53,347,1708,549,56,2315,6711,581,9608
101021010,50,5,58,783,263,32,1072,2985,240,4296
101021012,73,0,79,2502,690,104,3295,6366,365,10023
101021610,4,0,6,1723,210,57,1996,2176,179,4350
101021611,97,6,109,2851,1063,110,4031,8493,808,13330
101031013,65,5,76,305,136,13,452,1413,185,2048
101031014,218,23,244,923,342,28,1287,3789,580,5657
101031015,49,18,66,457,165,15,637,1989,297,2925
101031016,82,5,88,1245,319,51,1610,4578,550,6741
101041017,301,14,319,956,417,50,1421,5282,541,7241
101041018,309,33,345,951,458,54,1465,5676,575,7714
101041019,201,81,287,1259,573,77,1917,4852,543,7313
101041020,109,18,121,1319,531,72,1930,5449,687,8063
101041021,154,10,163,484,222,26,741,2291,197,3222
101041022,0,0,0,3,4,0,7,26,5,39
101041023,101,37,136,359,197,21,576,2012,296,2883
101041024,38,5,42,377,223,12,616,2128,319,3064
101041025,391,63,453,1402,584,73,2057,7325,603,9992
101041026,228,43,276,896,464,58,1422,5422,652,7490
101041027,371,63,444,1049,434,41,1532,6371,728,8634
101051539,665,65,733,3597,1395,168,5159,13266,1647,20071
101051540,252,45,299,1983,789,79,2853,7655,1048,11558
101061541,215,32,252,1080,409,58,1548,3591,308,5451
101061542,113,13,135,2294,755,90,3142,6430,600,10172
101061543,312,32,344,1631,548,73,2251,5868,658,8779
101061544,152,14,171,987,388,40,1412,4305,636,6360
102011028,70,8,81,1500,346,31,1881,3904,201,5981
102011029,230,28,260,1835,509,43,2385,6408,401,9199
102011030,67,4,79,629,169,10,803,2886,366,4061
102011031,578,437,1008,2229,638,44,2907,8400,1123,12434
102011032,479,68,551,3313,805,82,4192,12664,1106,17965
102011033,67,8,74,1325,229,22,1574,3294,194,5066
102011034,414,108,520,1260,362,23,1642,4286,365,6293
102011035,74,4,78,1408,342,27,1778,3721,165,5667
102011036,186,9,194,1596,346,35,1976,4381,183,6544
102011037,231,23,252,1113,247,26,1383,3826,221,5428
102011038,186,32,222,1234,312,24,1565,4057,239,5861
102011039,214,38,253,2671,750,39,3457,8059,625,12143
102011040,706,161,879,3753,1019,100,4873,14351,1409,20635
102011041,197,20,217,1997,538,47,2580,5587,358,8528
102011042,535,57,598,2051,552,44,2649,8753,760,12162
102011043,414,81,504,1890,373,50,2314,6411,554,9278
102021044,613,285,903,3915,983,114,5009,11966,1319,18298
102021045,134,15,153,2111,451,77,2644,5679,419,8741
102021046,223,31,261,1425,445,48,1925,5612,555,8092
102021047,326,92,423,2900,736,75,3711,8559,639,12905
102021048,622,216,840,3221,867,97,4182,12779,1555,18515
102021049,26,3,29,558,179,14,755,1927,127,2809
102021050,320,62,382,1426,444,52,1915,6863,581,9355
102021051,56,13,68,891,259,10,1163,2694,168,4021
102021052,116,11,130,1026,325,28,1378,3714,281,5371
102021053,434,82,514,2077,707,50,2837,9751,1027,13620
102021054,403,35,444,1383,442,46,1871,5893,555,8319
102021055,76,8,78,939,211,33,1178,2827,183,4196
102021056,218,184,401,4045,748,127,4927,9390,974,15288
102021057,145,16,162,1297,347,43,1691,5177,606,7467
103011059,244,23,273,2157,753,107,3014,6093,506,9614
103011060,73,8,80,1067,405,33,1502,3610,591,5704
103011061,93,7,102,576,258,21,852,2603,566,4033
103011612,434,37,478,1147,501,55,1701,6427,1284,9413
103011613,209,19,225,2495,932,130,3561,7152,542,11252
103021062,171,40,211,921,358,32,1312,3082,612,5016
103021063,332,25,359,1229,533,55,1815,5223,566,7602
103021064,109,19,128,701,295,29,1019,3259,535,4814
103021065,279,41,314,1396,520,87,1999,5260,791,8051
103021066,126,18,143,434,216,22,675,2133,235,3037
103021067,296,27,330,1657,663,89,2412,5653,610,8673
103021068,79,11,93,470,156,20,646,1692,276,2613
103021069,151,22,176,825,326,34,1186,2803,453,4436
103031070,363,24,388,1562,638,84,2285,7126,983,10392
103031071,132,9,145,1141,489,44,1680,4784,570,7032
103031072,298,53,353,2157,632,109,2894,6362,628,9889
103031073,84,11,93,370,147,11,522,2079,291,2894
103031074,171,21,194,1656,547,62,2258,5769,907,8934
103031075,0,0,0,0,0,0,0,0,0,0
103041076,147,17,162,1247,365,56,1670,3904,424,5992
103041077,600,95,700,2676,1096,136,3912,10342,1152,15407
103041078,274,59,343,4377,1255,212,5847,10695,895,17432
103041079,175,29,207,1958,727,96,2785,5910,669,9365
104011080,664,108,777,2684,1198,164,4047,10369,1213,15625
104011081,243,19,265,1969,951,109,3033,9202,2172,14405
104011082,631,75,712,2025,860,84,2967,11079,1015,15064
104021083,96,29,125,1003,326,80,1407,3121,425,4954
104021084,460,76,539,2523,923,138,3581,10325,1053,14968
104021085,447,197,642,1420,526,73,2018,6470,1044,9533
104021086,19,9,32,638,216,26,886,2056,266,3205
104021087,87,12,97,386,168,21,573,1915,288,2780
104021088,121,4,126,1884,557,74,2515,5324,352,8184
104021089,525,83,614,3026,1154,160,4341,11164,943,16446
104021090,169,12,187,615,275,40,928,2967,318,4211
104021091,298,50,354,2103,829,120,3054,8122,742,11922
105011092,44,8,50,403,122,21,544,1641,496,2680
