region_id,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOSR101,46604,21962,23309,45271,21296,22255,43551,20846,21757,42603,19629,21005,40634,106430,112233,218663,19537,20522,40059,19708,20223,39931,18823,19240,38063,19020,19094,38114,19260,19513,38773,96348,98592,194940,16520,16616,33136,15112,15559,30671,14682,14924,29606,12607,13184,25791,12129,12634,24763,71050,72917,143967,11601,12438,24039,11093,11944,23037,10466,11488,21954,9759,11152,20911,9421,10694,20115,52340,57716,110056,8995,10351,19346,8185,9702,17887,7901,9161,17062,7440,9125,16565,7012,8707,15719,39533,47046,86579,30112,41589,71701,16683,29543,46226,5422,12966,18388,1070,3483,4553,114,489,603,1926238,1982403,3908641
SOSR102,8927,4271,4558,8829,4252,4478,8730,4190,4571,8761,4022,4196,8218,21119,22346,43465,4064,4227,8291,3821,4270,8091,3859,4126,7985,3986,4251,8237,4333,4592,8925,20063,21466,41529,3593,3861,7454,3611,3780,7391,3395,3725,7120,3006,3419,6425,3019,3328,6347,16624,18113,34737,2843,3140,5983,2724,2974,5698,2638,3052,5690,2496,2999,5495,2543,2961,5504,13244,15126,28370,2323,2789,5112,2172,2759,4931,2123,2595,4718,1981,2579,4560,2015,2518,4533,10614,13240,23854,8638,12004,20642,4947,8293,13240,1544,3320,4864,227,818,1045,27,86,113,338762,358690,697452
SOSR103,2976,1435,1539,2974,1453,1485,2938,1356,1503,2859,1333,1438,2771,6993,7525,14518,1368,1347,2715,1313,1413,2726,1318,1349,2667,1366,1263,2629,1420,1406,2826,6785,6778,13563,1134,1217,2351,1167,1222,2389,1070,1144,2214,1017,1055,2072,935,1125,2060,5323,5763,11086,902,1070,1972,934,1026,1960,905,960,1865,882,1000,1882,813,960,1773,4436,5016,9452,801,924,1725,708,897,1605,729,842,1571,661,795,1456,654,773,1427,3553,4231,7784,2626,3515,6141,1367,2219,3586,367,789,1156,73,209,282,9,26,35,121305,124637,245942
SOSR111,1433,658,708,1366,657,655,1312,648,693,1341,656,677,1333,3320,3465,6785,610,664,1274,591,624,1215,557,620,1177,627,660,1287,632,661,1293,3017,3229,6246,507,531,1038,500,526,1026,436,491,927,406,463,869,397,411,808,2246,2422,4668,383,466,849,345,395,740,369,393,762,319,367,686,325,361,686,1741,1982,3723,303,358,661,261,330,591,270,316,586,223,346,569,247,303,550,1304,1653,2957,945,1397,2342,500,984,1484,132,378,510,28,94,122,5,13,18,54835,57924,112759
SOSR112,4902,2534,2529,5063,2271,2483,4754,2367,2492,4859,2353,2500,4853,11955,12476,24431,2303,2410,4713,2262,2335,4597,2177,2340,4517,2122,2316,4438,2306,2540,4846,11170,11941,23111,1902,2028,3930,1870,2121,3991,1866,2089,3955,1750,1898,3648,1681,1788,3469,9069,9924,18993,1528,1699,3227,1467,1716,3183,1380,1698,3078,1342,1648,2990,1327,1621,2948,7044,8382,15426,1242,1578,2820,1177,1557,2734,1047,1368,2415,1079,1386,2465,1068,1376,2444,5613,7265,12878,4336,6153,10489,2337,4350,6687,697,1820,2517,144,506,650,13,64,77,191528,205003,396531
SOSR113,3837,1850,2009,3859,1805,1921,3726,1820,1921,3741,1825,1924,3749,9188,9724,18912,1809,1970,3779,1768,1911,3679,1833,1932,3765,1811,2000,3811,2030,2133,4163,9251,9946,19197,1654,1861,3515,1677,1901,3578,1662,1746,3408,1490,1662,3152,1552,1661,3213,8035,8831,16866,1445,1557,3002,1424,1581,3005,1338,1486,2824,1332,1495,2827,1316,1492,2808,6855,7611,14466,1313,1438,2751,1054,1333,2387,1006,1286,2292,1021,1221,2242,987,1250,2237,5381,6528,11909,4281,5705,9986,2258,3922,6180,737,1692,2429,136,410,546,6,49,55,143324,152840,296164
SOSR114,2691,1334,1342,2676,1283,1344,2627,1291,1342,2633,1329,1455,2784,6580,6831,13411,1354,1407,2761,1312,1424,2736,1294,1464,2758,1415,1503,2918,1552,1622,3174,6927,7420,14347,1284,1407,2691,1357,1362,2719,1272,1346,2618,1139,1299,2438,1149,1307,2456,6201,6721,12922,1122,1160,2282,1111,1194,2305,1087,1212,2299,1035,1106,2141,995,1159,2154,5350,5831,11181,928,1080,2008,873,1030,1903,830,913,1743,772,878,1650,760,931,1691,4163,4832,8995,3015,4083,7098,1644,2784,4428,497,1171,1668,84,319,403,15,48,63,106719,113640,220359
SOSR115,4930,2394,2457,4851,2409,2371,4780,2447,2518,4965,2338,2361,4699,12045,12180,24225,2384,2467,4851,2387,2379,4766,2303,2463,4766,2467,2341,4808,2648,2627,5275,12189,12277,24466,2155,2262,4417,2197,2159,4356,2116,2183,4299,2005,2006,4011,1906,2030,3936,10379,10640,21019,1698,1899,3597,1782,1800,3582,1655,1763,3418,1645,1652,3297,1536,1634,3170,8316,8748,17064,1439,1579,3018,1385,1527,2912,1241,1414,2655,1202,1357,2559,1194,1342,2536,6461,7219,13680,4739,6120,10859,2548,4121,6669,739,1773,2512,130,447,577,11,71,82,173434,180656,354090
SOSR121,1434,709,745,1454,700,664,1364,675,705,1380,705,674,1379,3516,3495,7011,687,628,1315,734,711,1445,679,671,1350,688,627,1315,746,721,1467,3534,3358,6892,637,615,1252,589,550,1139,573,541,1114,496,493,989,518,513,1031,2813,2712,5525,443,450,893,434,432,866,436,429,865,408,392,800,446,396,842,2167,2099,4266,348,353,701,330,313,643,303,292,595,295,271,566,227,264,491,1503,1493,2996,1070,1148,2218,473,644,1117,137,274,411,11,74,85,3,12,15,48016,48519,96535
SOSR122,889,477,406,883,378,405,783,467,440,907,407,405,812,2150,2124,4274,458,401,859,410,402,812,408,423,831,444,409,853,457,450,907,2177,2085,4262,383,343,726,346,362,708,333,370,703,358,297,655,347,311,658,1767,1683,3450,313,294,607,288,263,551,305,243,548,286,211,497,258,211,469,1450,1222,2672,212,214,426,196,165,361,195,169,364,163,166,329,164,132,296,930,846,1776,592,606,1198,266,333,599,66,140,206,11,47,58,3,3,6,27899,27655,55554
