region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,242465,128844,72039,32032,1897619
SOSR102,48690,31173,20890,8875,312722
SOSR103,15901,9184,5843,1974,108207
SOSR111,6940,3812,2250,906,47387
SOSR112,27162,16593,10568,4336,171558
SOSR113,20586,14935,10153,4120,124366
SOSR114,14282,10743,7030,2926,89027
SOSR115,25853,17276,10532,4073,146222
SOSR121,7633,4572,2221,677,40025
SOSR122,4605,2829,1266,328,22985
SOSR131,49149,25635,8824,2136,229413
SOSR179,11,15,13,0,69
SOSR199,1017,563,137,71,7322
