region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR101,299985,42622,57182,936,262,400987,320195,58621,86698,539,373,466426,75888,38705,157966,1759,579,274897,22622,15710,26119,38,310,64799,30836,11024,30124,924,225,73133,2102,2219,4538,19,38,8916,4620,1919,2828,427,106,9900,3102,933,2359,64,23,6481,139170,70510,223934,3231,1281,438126,3838,2033,3793,37,87,9788,16893,4669,10652,185,79,32478,780081,178455,382259,4928,2082,1347805
SOSR102,76332,9528,4768,1514,53,92195,80419,5535,3106,132,58,89250,24229,8128,9418,255,87,42117,4847,3482,3672,3,8,12012,10688,2507,2361,168,50,15774,485,578,572,5,3,1643,1471,350,251,597,12,2681,813,223,219,43,5,1303,42533,15268,16493,1071,165,75530,924,1098,599,33,0,2654,4556,1273,1188,174,7,7198,204764,32702,26154,2924,283,266827
SOSR103,27006,2430,1827,636,12,31911,25216,2157,1685,38,8,29104,5455,2624,4886,123,18,13106,3547,1895,1995,0,3,7440,2854,716,1176,70,6,4822,148,134,147,0,3,432,297,68,148,114,0,627,244,51,119,7,0,421,12545,5488,8471,314,30,26848,320,150,228,18,0,716,1545,344,451,68,0,2408,66632,10569,12662,1074,50,90987
SOSR111,11614,526,468,56,4,12668,14712,380,435,24,0,15551,4185,995,2177,39,6,7402,1619,220,441,0,0,2280,1509,198,353,22,3,2085,76,69,96,0,0,241,321,27,43,67,5,463,137,7,23,6,0,173,7847,1516,3133,134,14,12644,180,43,42,0,0,265,724,98,204,14,0,1040,35077,2563,4282,228,18,42168
SOSR112,42911,3080,2045,790,13,48839,44043,1667,1141,96,17,46964,16659,4443,6653,175,37,27967,5529,1349,1767,11,4,8660,6510,965,1240,151,18,8884,511,361,380,5,3,1260,1114,137,187,421,8,1867,523,104,137,27,5,796,30846,7359,10364,790,75,49434,575,399,315,63,8,1360,2847,575,716,143,9,4290,121222,13080,14581,1882,122,150887
SOSR113,37769,3122,1937,775,25,43628,29192,1333,722,79,20,31346,11744,3182,3940,97,36,18999,3768,744,1265,6,8,5791,4989,784,887,87,18,6765,564,261,269,4,9,1107,992,125,159,345,7,1628,455,79,87,19,0,640,22512,5175,6607,558,78,34930,454,227,317,25,5,1028,2498,412,529,133,11,3583,92425,10269,10112,1570,139,114515
SOSR114,28325,1899,1006,621,16,31867,23251,918,398,79,16,24662,9129,2057,2873,93,9,14161,2717,316,572,4,0,3609,3882,500,689,73,13,5157,459,216,244,0,0,919,835,87,150,265,13,1350,381,56,83,11,4,535,17403,3232,4611,446,39,25731,359,211,103,11,0,684,2002,294,325,106,3,2730,71340,6554,6443,1263,74,85674
SOSR115,49124,1905,1151,1419,48,53647,38990,954,496,202,26,40668,13407,2319,2723,186,21,18656,2719,328,421,4,3,3475,7537,706,845,244,27,9359,843,243,342,3,3,1434,1589,168,320,425,9,2511,759,77,116,43,0,995,26854,3841,4767,905,63,36430,719,260,163,27,14,1183,3174,285,382,234,21,4096,118861,7245,6959,2787,172,136024
SOSR121,13472,307,140,385,46,14350,12474,141,84,51,19,12769,2641,242,258,29,5,3175,256,14,56,0,15,341,1959,94,135,50,5,2243,237,47,70,3,5,362,386,12,64,103,9,574,197,20,18,13,0,248,5676,429,601,198,39,6943,142,51,5,11,3,212,768,40,37,50,7,902,32532,968,867,695,114,35176
SOSR122,8520,48,39,382,13,9002,6840,38,19,55,9,6961,1211,63,51,11,0,1336,161,3,20,0,0,184,1457,27,57,53,4,1598,180,13,46,0,0,239,391,7,33,128,0,559,149,4,7,14,5,179,3549,117,214,206,9,4095,118,0,3,9,3,133,566,12,16,36,33,663,19593,215,291,688,67,20854
SOSR131,78774,454,106,1501,78,80913,59753,332,53,393,62,60593,8040,152,84,31,10,8317,243,3,5,0,0,251,13579,152,173,309,17,14230,590,12,27,14,3,646,4756,50,41,396,23,5266,3428,25,39,132,5,3629,30636,394,369,882,58,32339,2201,80,28,83,4,2396,3808,44,23,246,20,4141,175172,1304,579,3105,222,180382
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
