region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOSR101,93937,86897,180834,48644,57434,106078,3872,2537,6409,593,543,1136,3702,2063,5765,562661,410289,972950,32948,50111,83059,17233,294,17527,10274,1440,11714,12129,2978,15107,5866,2560,8426,39417,40599,80016,831276,657745,1489021,20874,21468,42342,659,525,1184,330,242,572,13104,10301,23405,3274,5755,9029,1713,733,2446,39954,39024,78978,728,757,1485,69,92,161,2074,2174,4248,967,2172,3139,804,688,1492,4642,5883,10525,5849,3029,8878,50445,47936,98381,5223,4959,10182,469,436,905,445,166,611,6137,5561,11698,29990,39269,69259,58302,96107,154409,14814,12215,27029,990964,858833,1849797
SOSR102,3348,2311,5659,1877,2500,4377,92,45,137,15,12,27,209,204,413,109593,93230,202823,8319,8861,17180,3334,85,3419,1765,182,1947,1888,432,2320,867,379,1246,3475,3617,7092,134782,111858,246640,803,532,1335,17,9,26,13,8,21,1491,923,2414,279,313,592,205,46,251,2808,1831,4639,17,26,43,0,3,3,68,148,216,161,262,423,46,51,97,292,490,782,1252,586,1838,4352,2907,7259,481,335,816,56,60,116,71,32,103,608,427,1035,4304,6533,10837,13958,22670,36628,2476,2187,4663,160480,146582,307062
SOSR103,1468,914,2382,709,913,1622,10,5,15,8,3,11,88,65,153,38960,30900,69860,2807,3213,6020,980,17,997,545,61,606,594,131,725,294,111,405,1407,1529,2936,47870,37862,85732,110,118,228,0,0,0,9,3,12,509,293,802,95,88,183,60,14,74,783,516,1299,0,0,0,0,0,0,49,55,104,40,72,112,20,13,33,109,140,249,391,190,581,1283,846,2129,92,69,161,13,15,28,25,10,35,130,94,224,1064,1664,2728,5073,7500,12573,879,766,1645,56299,48732,105031
SOSR111,223,237,460,101,150,251,4,0,4,4,5,9,41,52,93,20101,16426,36527,1588,1501,3089,485,15,500,289,23,312,298,76,374,126,50,176,638,673,1311,23898,19208,43106,21,19,40,0,0,0,0,0,0,50,45,95,25,16,41,20,3,23,116,83,199,0,0,0,0,0,0,3,0,3,15,13,28,4,3,7,22,16,38,236,99,335,374,198,572,22,15,37,5,3,8,6,3,9,33,21,54,487,900,1387,2378,3650,6028,399,321,720,27569,24298,51867
SOSR112,591,423,1014,478,451,929,26,11,37,6,5,11,264,278,542,59815,53670,113485,5884,6452,12336,2076,66,2142,1099,126,1225,1098,194,1292,512,251,763,3512,3152,6664,75361,65079,140440,50,46,96,0,0,0,0,0,0,100,60,160,32,42,74,29,15,44,211,163,374,0,0,0,0,0,0,32,8,40,22,53,75,12,14,26,66,75,141,613,348,961,890,586,1476,33,42,75,10,7,17,41,11,52,84,60,144,2292,3479,5771,7390,11759,19149,1298,1158,2456,87315,82121,169436
SOSR113,230,196,426,356,305,661,19,11,30,10,0,10,129,150,279,40821,34573,75394,3926,3907,7833,1450,40,1490,567,82,649,758,193,951,400,190,590,2383,2467,4850,51049,42114,93163,28,34,62,4,0,4,0,3,3,79,50,129,24,38,62,11,9,20,146,134,280,3,3,6,0,0,0,23,16,39,16,27,43,11,4,15,53,50,103,461,219,680,660,403,1063,35,19,54,3,8,11,23,10,33,61,37,98,1689,2553,4242,5582,8135,13717,1106,967,2073,60147,54209,114356
SOSR114,192,154,346,228,173,401,11,5,16,7,3,10,82,90,172,30943,25743,56686,3024,2745,5769,1403,39,1442,446,28,474,527,124,651,335,161,496,2048,2221,4269,39246,31486,70732,27,33,60,0,0,0,0,3,3,55,49,104,4,20,24,8,3,11,94,108,202,3,0,3,0,0,0,18,8,26,7,18,25,0,3,3,28,29,57,337,156,493,459,293,752,29,15,44,9,4,13,15,4,19,53,23,76,1221,2127,3348,3696,5805,9501,789,685,1474,45464,40419,85883
SOSR115,345,290,635,554,326,880,31,14,45,4,8,12,58,73,131,48884,41336,90220,4438,3866,8304,2596,67,2663,592,73,665,815,289,1104,610,273,883,3760,3963,7723,62687,50578,113265,44,37,81,10,5,15,0,3,3,229,192,421,39,51,90,18,7,25,340,295,635,0,0,0,0,0,0,26,18,44,32,39,71,3,7,10,61,64,125,584,278,862,985,637,1622,58,48,106,9,6,15,24,11,35,91,65,156,2442,3794,6236,6511,9661,16172,1387,1180,2567,74103,65915,140018
SOSR121,108,88,196,103,73,176,5,3,8,0,3,3,20,7,27,14701,12391,27092,1122,1009,2131,966,12,978,151,26,177,133,41,174,174,84,258,825,792,1617,18308,14529,32837,9,19,28,0,0,0,0,0,0,89,61,150,22,25,47,5,3,8,125,108,233,0,0,0,0,0,0,10,10,20,10,4,14,0,0,0,20,14,34,152,71,223,297,193,490,16,12,28,4,4,8,9,3,12,29,19,48,765,1179,1944,1806,2844,4650,407,298,705,21612,19062,40674
SOSR122,92,86,178,77,53,130,4,4,8,7,0,7,9,0,9,7649,6261,13910,634,536,1170,486,15,501,86,13,99,75,38,113,112,55,167,637,649,1286,9868,7710,17578,5,11,16,5,10,15,0,0,0,38,31,69,6,13,19,5,3,8,59,68,127,0,0,0,0,0,0,6,0,6,6,10,16,0,0,0,12,10,22,105,56,161,176,134,310,12,8,20,3,3,6,5,0,5,20,11,31,575,707,1282,1061,1549,2610,215,175,390,11915,10286,22201
SOSR131,378,351,729,531,433,964,35,18,53,16,7,23,81,49,130,79605,67335,146940,4987,5211,10198,6612,265,6877,1524,215,1739,411,95,506,2007,772,2779,6608,3580,10188,102795,78331,181126,41,42,83,4,0,4,4,0,4,383,327,710,55,61,116,24,11,35,511,441,952,7,0,7,0,0,0,97,92,189,57,87,144,14,12,26,175,191,366,1131,465,1596,1817,1097,2914,115,71,186,8,9,17,165,27,192,288,107,395,19520,16483,36003,9428,14041,23469,2465,1950,4415,136313,112009,248322
SOSR179,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,15,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,4,6,10,3,0,3,25,10,35
SOSR199,133,106,239,85,104,189,10,12,22,0,3,3,11,5,16,952,512,1464,169,100,269,45,3,48,18,3,21,29,13,42,49,19,68,238,148,386,1739,1028,2767,47,36,83,0,5,5,0,0,0,13,8,21,8,3,11,3,3,6,71,55,126,3,0,3,0,0,0,0,4,4,3,5,8,0,0,0,6,9,15,18,5,23,95,69,164,12,6,18,0,3,3,5,0,5,17,9,26,46,49,95,252,259,511,57,30,87,2206,1444,3650
