region_id,Australia_M,Australia_F,Australia_P,Bosnia_Herzegovina_M,Bosnia_Herzegovina_F,Bosnia_Herzegovina_P,Cambodia_M,Cambodia_F,Cambodia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Frmr_Yug_Repc_Mac_FYROM_M,Frmr_Yug_Repc_Mac_FYROM_F,Frmr_Yug_Repc_Mac_FYROM_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_Tot,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,South_Eastern_Europe_nfd_M,South_Eastern_Europe_nfd_F,South_Eastern_Europe_nfd_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,Turkey_M,Turkey_F,Turkey_P,UK_Channel_Islands_Isle_Man_M,UK_Channel_Islands_Isle_Man_F,UK_Channel_Islands_Isle_Man_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,Tot_M,Tot_F,Tot_P
SOSR101,1109943,1137795,2247738,3291,3436,6727,4833,5842,10675,3756,4190,7946,64898,81958,146856,6938,7162,14100,8723,8066,16789,13723,15874,29597,5622,5702,11324,8171,9035,17206,13561,14631,28192,17351,19454,36805,47309,39460,86769,11284,13423,24707,14443,14151,28594,8952,7495,16447,19937,19217,39154,3526,7030,10556,18327,21367,39694,27863,26352,54215,11018,12957,23975,5719,5829,11548,4320,3968,8288,39041,38258,77299,25318,35803,61121,4955,6502,11457,4576,5343,9919,15592,16087,31679,3047,3162,6209,10913,10939,21852,5143,9489,14632,5981,5715,11696,81720,73344,155064,9072,9348,18420,31651,37753,69404,137341,135886,273227,118380,110380,228760,1926238,1982403,3908641
SOSR102,276763,293547,570310,155,151,306,54,75,129,537,605,1142,1008,1432,2440,418,372,790,296,250,546,326,417,743,802,760,1562,1328,1646,2974,489,521,1010,251,307,558,1297,1101,2398,295,418,713,70,69,139,857,756,1613,1327,1035,2362,120,323,443,431,490,921,139,93,232,546,697,1243,430,407,837,1027,1030,2057,5269,5396,10665,742,2095,2837,413,531,944,161,211,372,1233,1246,2479,288,262,550,279,262,541,195,590,785,96,69,165,15838,16142,31980,1056,1058,2114,223,285,508,6236,6301,12537,17765,17740,35505,338760,358690,697450
SOSR103,90053,92376,182429,205,202,407,19,36,55,170,223,393,1479,1145,2624,622,579,1201,101,77,178,92,133,225,1975,2000,3975,834,967,1801,471,518,989,109,122,231,526,365,891,149,192,341,63,59,122,272,244,516,1647,1631,3278,49,111,160,107,135,242,311,308,619,160,191,351,340,317,657,517,558,1075,1221,1200,2421,276,806,1082,219,302,521,50,74,124,310,299,609,353,304,657,123,133,256,187,378,565,389,345,734,6808,7503,14311,302,353,655,354,379,733,4498,4469,8967,5944,5603,11547,121305,124637,245942
SOSR111,47195,50238,97433,11,10,21,3,4,7,54,46,100,113,123,236,35,35,70,30,20,50,33,29,62,3,3,6,273,289,562,39,38,77,40,22,62,316,250,566,14,33,47,4,3,7,77,61,138,90,59,149,7,18,25,33,41,74,19,17,36,28,54,82,23,14,37,161,160,321,595,537,1132,116,345,461,57,95,152,12,16,28,186,168,354,30,35,65,27,24,51,20,77,97,8,4,12,1493,1421,2914,87,103,190,19,18,37,772,830,1602,2812,2684,5496,54835,57924,112759
SOSR112,161979,174443,336422,20,16,36,28,32,60,189,268,457,542,582,1124,108,94,202,150,110,260,185,197,382,20,19,39,630,775,1405,120,93,213,134,141,275,638,577,1215,97,139,236,41,29,70,357,266,623,441,347,788,50,151,201,127,133,260,91,51,142,186,226,412,93,89,182,520,570,1090,2177,2241,4418,343,910,1253,121,171,292,92,106,198,474,566,1040,77,78,155,175,174,349,113,258,371,42,31,73,6439,6511,12950,456,446,902,159,120,279,3036,2996,6032,11077,11048,22125,191527,205004,396531
SOSR113,119650,127979,247629,23,16,39,21,24,45,144,180,324,317,372,689,116,94,210,71,48,119,180,181,361,29,24,53,528,576,1104,112,89,201,80,98,178,673,605,1278,77,90,167,37,36,73,224,214,438,785,713,1498,32,84,116,61,69,130,47,32,79,121,169,290,137,124,261,444,449,893,1853,1900,3753,241,758,999,86,106,192,36,69,105,450,465,915,67,63,130,105,95,200,75,204,279,74,64,138,5076,5325,10401,346,392,738,72,90,162,2114,2067,4181,8821,8975,17796,143325,152839,296164
SOSR114,91326,97290,188616,12,12,24,13,17,30,117,134,251,154,210,364,80,44,124,31,32,63,70,88,158,16,9,25,353,427,780,75,52,127,36,48,84,194,182,376,41,64,105,7,0,7,166,141,307,269,208,477,26,75,101,36,40,76,38,28,66,53,108,161,77,65,142,321,376,697,1113,1224,2337,140,411,551,46,70,116,38,46,84,289,279,568,51,49,100,50,48,98,30,105,135,12,4,16,3637,3781,7418,205,230,435,44,70,114,1089,1064,2153,6464,6611,13075,106719,113642,220361
SOSR115,146530,152746,299276,26,22,48,18,18,36,204,225,429,217,266,483,167,124,291,80,63,143,109,143,252,26,20,46,792,914,1706,128,94,222,59,61,120,449,402,851,78,107,185,32,24,56,330,287,617,454,280,734,60,158,218,42,55,97,60,58,118,95,144,239,199,169,368,620,629,1249,2007,2118,4125,155,583,738,102,117,219,41,62,103,376,409,785,91,86,177,73,55,128,64,191,255,20,13,33,6984,7309,14293,429,491,920,89,83,172,2121,2234,4355,10109,9893,20002,173436,180653,354089
SOSR121,41140,41673,82813,6,3,9,3,5,8,49,64,113,62,60,122,40,40,80,28,21,49,31,34,65,13,14,27,208,208,416,28,32,60,11,10,21,65,62,127,11,25,36,12,18,30,89,60,149,195,126,321,3,24,27,19,13,32,31,26,57,20,39,59,106,75,181,171,147,318,483,468,951,32,157,189,28,26,54,11,20,31,101,118,219,24,23,47,18,22,40,15,45,60,8,3,11,1879,1906,3785,93,127,220,13,24,37,528,494,1022,2442,2307,4749,48016,48519,96535
SOSR122,23588,23455,47043,4,7,11,3,4,7,36,48,84,16,40,56,22,11,33,9,8,17,11,16,27,5,5,10,136,155,291,30,14,44,10,9,19,44,26,70,11,20,31,0,0,0,39,49,88,75,52,127,6,18,24,15,8,23,4,10,14,19,25,44,38,23,61,107,92,199,347,375,722,27,120,147,13,18,31,7,13,20,64,62,126,15,7,22,10,6,16,8,29,37,4,3,7,1189,1074,2263,78,65,143,3,19,22,282,294,576,1623,1474,3097,27898,27654,55552
