region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
SOSR101,131235,35556,41982,47457,42971,35615,19732,39499,990682,3231,811,948,270,271,442,394,312,210,1183,8072,743888,157067,177859,46653,54163,61090,55462,49562,28203,58197,1432144
SOSR102,3044,961,1178,1500,1513,1432,796,1368,28626,137,17,23,3,10,11,18,14,13,63,309,59728,6148,7624,2106,2318,2700,2621,2499,1365,4521,91630
SOSR103,1622,455,697,956,1284,1328,648,1102,26323,131,11,14,3,11,11,7,14,11,23,236,37298,2402,2800,776,1021,1311,1597,1610,881,2275,51971
SOSR111,388,246,212,225,281,209,139,142,3404,12,3,7,0,3,0,3,0,3,13,44,5956,556,825,379,352,363,383,321,215,483,9833
SOSR112,1659,566,629,671,798,708,445,897,11800,50,6,17,5,0,13,4,19,6,19,139,23770,2274,3272,1036,1089,1162,1252,1134,743,2250,37982
SOSR113,1090,363,422,589,572,551,387,639,9717,36,3,11,6,0,10,12,6,3,12,99,20087,1767,2319,658,697,991,941,896,589,1792,30737
SOSR114,460,121,178,243,249,202,146,280,4493,15,3,3,0,0,0,3,6,3,11,44,13078,933,1264,377,362,493,474,428,262,1003,18674
SOSR115,737,203,305,408,396,309,138,566,8050,26,6,6,3,3,6,5,0,4,13,72,24959,1897,2284,550,675,809,756,617,351,1922,34820
SOSR121,115,52,26,62,65,61,39,102,1972,11,0,0,0,0,0,0,4,0,7,22,6875,462,483,130,112,128,129,138,81,435,8973
SOSR122,88,34,18,31,32,38,10,70,1012,0,0,0,0,0,0,0,0,0,0,0,4183,251,288,99,54,80,79,76,42,261,5413
SOSR131,843,239,276,336,305,268,174,1130,14286,78,12,9,3,10,3,6,3,3,38,165,40456,2902,2959,666,666,824,701,644,400,2991,53209
SOSR179,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,3,0,0,3,46
SOSR199,133,43,63,86,96,116,206,359,1548,5,0,0,0,0,0,0,3,0,3,11,1128,151,242,63,93,135,139,223,463,480,3117
