region_id,Sme_Usl_ad_1_yr_ago_as_2011_M,Sme_Usl_ad_1_yr_ago_as_2011_F,Sme_Usl_ad_1_yr_ago_as_2011_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR101,1528526,1589560,3118086,51121,52078,103199,157397,162089,319486,3907,3698,7605,4381,4610,8991,1080,1027,2107,1514,1524,3038,312,324,636,435,355,790,1285,1230,2515,48,27,75,170359,174884,345243,35731,40004,75735,2818,2708,5526,260029,269674,529703,110109,97105,207214,1898664,1956339,3855003
SOSR102,272918,290310,563228,10332,11488,21820,28780,30927,59707,621,613,1234,2024,2241,4265,176,181,357,326,317,643,122,121,243,157,172,329,697,707,1404,5,4,9,32908,35283,68191,2277,2429,4706,720,685,1405,46237,49885,96122,15268,14426,29694,334423,354621,689044
SOSR103,99715,102943,202658,4139,4308,8447,8911,9374,18285,142,141,283,323,321,644,52,62,114,83,73,156,27,21,48,31,41,72,102,119,221,0,0,0,9671,10152,19823,1144,1169,2313,179,146,325,15133,15775,30908,4966,4497,9463,119814,123215,243029
SOSR111,43803,46281,90084,2071,2358,4429,4206,4567,8773,610,759,1369,273,265,538,51,62,113,71,71,142,18,26,44,69,64,133,56,70,126,0,0,0,5354,5884,11238,316,344,660,94,80,174,7835,8666,16501,2433,2208,4641,54071,57155,111226
SOSR112,146780,159239,306019,10011,11159,21170,16493,18286,34779,551,588,1139,1428,1488,2916,150,170,320,221,224,445,99,118,217,185,176,361,311,354,665,5,0,5,19443,21404,40847,1021,1075,2096,455,399,854,30930,34037,64967,11042,9061,20103,188752,202337,391089
SOSR113,112020,120671,232691,9217,10388,19605,8474,9184,17658,538,574,1112,1037,1032,2069,224,187,411,212,206,418,64,75,139,107,103,210,187,206,393,0,0,0,10843,11567,22410,799,874,1673,305,279,584,21164,23108,44272,8362,7409,15771,141546,151188,292734
SOSR114,83607,89406,173013,7304,8207,15511,6052,6509,12561,474,492,966,935,1033,1968,78,85,163,96,106,202,59,54,113,77,86,163,264,288,552,0,5,5,8035,8658,16693,453,464,917,242,217,459,16034,17546,33580,5580,5325,10905,105221,112277,217498
SOSR115,138030,144799,282829,9767,10858,20625,10229,11171,21400,726,706,1432,1391,1313,2704,101,110,211,218,173,391,79,88,167,133,114,247,386,391,777,4,0,4,13267,14066,27333,710,776,1486,332,260,592,24076,25960,50036,9182,7860,17042,171288,178619,349907
SOSR121,39701,40117,79818,1891,2036,3927,3008,3229,6237,155,158,313,306,266,572,18,24,42,57,51,108,23,13,36,28,24,52,75,65,140,0,0,0,3670,3830,7500,137,168,305,77,70,147,5775,6104,11879,1970,1750,3720,47446,47971,95417
SOSR122,22962,22673,45635,995,1083,2078,1667,1799,3466,82,92,174,218,213,431,21,19,40,35,28,63,11,8,19,15,15,30,90,95,185,0,0,0,2139,2269,4408,92,78,170,36,28,64,3262,3458,6720,1350,1211,2561,27574,27342,54916
SOSR131,224762,211793,436555,6666,6545,13211,15022,15146,30168,821,771,1592,1690,1631,3321,160,151,311,270,230,500,71,72,143,190,180,370,649,673,1322,11,4,15,18884,18858,37742,852,934,1786,447,376,823,26849,26713,53562,14988,10488,25476,266599,248994,515593
SOSR179,44,47,91,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,3,0,3,0,0,0,10,5,15,3,3,6,57,55,112
SOSR199,1332,812,2144,533,308,841,2325,2136,4461,167,130,297,276,257,533,53,49,102,92,70,162,30,25,55,39,35,74,43,46,89,0,0,0,3025,2748,5773,513,487,1000,88,39,127,4159,3582,7741,2031,878,2909,7522,5272,12794
