region_id,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOSR101,6696,3030,3322,797,13845,6326,3115,3351,544,13336,1610,1856,5375,283,9124,3101,2997,8996,494,15588,37382,12071,19288,1197,69938,26444,20796,19393,2252,68885,27614,23438,14767,1956,67775,21091,32351,16218,2148,71808,22586,34041,11759,1759,70145,36028,65833,16171,2593,120625,37864,58999,7964,2254,107081,25705,64967,8324,999,99995,24361,47076,2703,814,74954,11642,25040,1119,304,38105,22118,46200,1052,458,69828,20157,57918,14424,846,93345,6793,6551,4192,520,18056,337518,506279,158418,20218,1022433
SOSR102,611,214,332,41,1198,1178,247,501,66,1992,260,132,1106,36,1534,597,218,2150,71,3036,12236,1151,5761,246,19394,8922,2656,5748,505,17831,8435,3406,3906,352,16099,5317,5955,3753,330,15355,5425,6649,2387,239,14700,7861,12984,2826,292,23963,6837,10948,1172,208,19165,3781,8970,850,62,13663,3128,6426,277,35,9866,1071,2816,91,16,3994,1525,3578,74,22,5199,4331,9755,3386,169,17641,1658,972,961,113,3704,73173,77077,35281,2803,188334
SOSR103,319,106,112,31,568,489,121,205,28,843,102,63,405,10,580,221,102,858,46,1227,4792,501,2022,115,7430,2872,1075,1896,155,5998,2568,1388,1315,126,5397,1574,2195,1130,96,4995,1556,2398,773,75,4802,2391,4906,950,110,8357,2180,4292,394,67,6933,1292,3465,302,30,5089,996,2572,113,24,3705,338,1033,36,5,1412,430,1316,30,8,1784,1360,3503,1073,56,5992,592,349,355,36,1332,24072,29385,11969,1018,66444
SOSR111,89,27,53,3,172,159,48,83,3,293,25,16,195,3,239,77,31,433,11,552,1713,185,960,28,2886,1265,414,921,74,2674,1205,630,595,55,2485,890,1045,520,59,2514,861,1127,351,34,2373,1455,2324,412,50,4241,1219,2004,142,39,3404,643,1566,136,12,2357,472,1041,30,5,1548,167,441,13,3,624,184,522,11,3,720,722,1503,441,17,2683,254,166,155,9,584,11400,13090,5451,408,30349
SOSR112,304,108,153,16,581,611,160,323,43,1137,113,77,786,13,989,390,130,1555,54,2129,6647,798,4010,136,11591,5012,1824,3678,294,10808,4925,2397,2329,209,9860,3386,3910,2099,194,9589,3398,4014,1249,150,8811,4642,7137,1353,143,13275,3813,5558,418,91,9880,1776,3814,352,26,5968,1466,2564,61,14,4105,415,957,30,0,1402,599,1116,28,8,1751,2630,4905,1798,83,9416,922,497,635,57,2111,41049,39966,20857,1531,103403
SOSR113,297,91,139,8,535,623,133,275,33,1064,121,76,667,11,875,304,131,1291,25,1751,6460,667,3048,112,10287,4697,1471,2837,246,9251,4411,1790,1694,145,8040,2554,2746,1390,122,6812,2530,2770,778,76,6154,3178,4621,877,87,8763,2362,3337,292,43,6034,1404,2679,256,13,4352,1082,1805,60,18,2965,334,770,25,3,1132,514,863,22,3,1402,2142,3742,1340,77,7301,936,464,553,46,1999,33949,28156,15544,1068,78717
SOSR114,199,68,80,18,365,553,96,182,18,849,82,49,440,7,578,228,80,941,22,1271,5245,525,2257,90,8117,3577,1195,2004,172,6948,3446,1558,1195,109,6308,1938,2259,962,85,5244,1979,2391,538,40,4948,2398,3721,581,50,6750,1795,2762,207,29,4793,808,1784,122,7,2721,705,1141,42,6,1894,191,354,12,0,557,256,467,13,5,741,1537,2779,938,54,5308,660,372,361,32,1425,25597,21601,10875,744,58817
SOSR115,378,124,135,13,650,856,178,306,27,1367,156,97,644,18,915,439,163,1530,49,2181,8576,813,3471,139,12999,5595,1878,3130,259,10862,5406,2468,1861,157,9892,3190,3698,1540,128,8556,3109,3641,870,107,7727,3916,5941,926,96,10879,2672,4284,321,48,7325,1384,2956,259,12,4611,1069,1875,76,11,3031,278,732,17,6,1033,420,850,18,5,1293,2600,5010,1595,92,9297,1124,525,594,67,2310,41168,35233,17293,1234,94928
SOSR121,123,45,35,4,207,204,67,65,3,339,47,33,146,3,229,125,48,329,8,510,2151,249,822,37,3259,1469,566,690,55,2780,1429,733,454,27,2643,902,1022,371,32,2327,886,1077,225,19,2207,1090,1853,256,21,3220,801,1392,109,16,2318,432,968,82,6,1488,352,690,23,4,1069,112,254,4,0,370,106,360,4,3,473,758,1509,348,19,2634,292,162,137,10,601,11279,11028,4100,267,26674
SOSR122,83,21,27,0,131,170,37,42,3,252,26,14,107,5,152,72,27,198,5,302,1389,186,520,27,2122,803,360,433,44,1640,799,452,252,21,1524,539,579,201,17,1336,472,575,122,7,1176,585,912,124,7,1628,414,694,30,8,1146,220,431,35,0,686,180,325,7,0,512,49,97,3,0,149,89,150,8,0,247,455,867,251,12,1585,191,93,82,9,375,6536,5820,2442,165,14963
