region_id,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOSR101,791,4130,22,4943,105167,14485,124595,2825,4108,74,7007,120387,13092,140486,57722,7617,992,66331,216380,27230,309941,131351,5240,2894,139485,128448,20531,288464,73834,5990,1738,81562,160005,17499,259066,11997,16665,306,28968,159956,13852,202776,1997,18934,98,21029,91228,11134,123391,408,5270,19,5697,54930,9021,69648,54,320,0,374,18831,4088,23293,280979,68274,6143,355396,1055332,130932,1541660,1207,7442,43,8692,97465,11620,117777,8540,8274,285,17099,112307,10270,139676,99732,13482,3738,116952,179367,21767,318086,166246,9560,8363,184169,99272,17056,300497,66034,17214,2899,86147,166405,14587,267139,5506,43138,384,49028,149233,12567,210828,1673,29770,149,31592,87710,11331,130633,487,5815,43,6345,69887,12400,88632,95,396,6,497,37516,8461,46474,349520,135091,15910,500521,999162,120059,1619742,1998,11572,65,13635,202632,26105,242372,11365,12382,359,24106,232694,23362,280162,157454,21099,4730,183283,395747,48997,628027,297597,14800,11257,323654,227720,37587,588961,139868,23204,4637,167709,326410,32086,526205,17503,59803,690,77996,309189,26419,413604,3670,48704,247,52621,178938,22465,254024,895,11085,62,12042,124817,21421,158280,149,716,6,871
SOSR102,161,1020,7,1188,19789,2612,23589,990,939,26,1955,18557,1399,21911,11711,1461,351,13523,23691,2366,39580,22929,1176,898,25003,16714,2520,44237,11393,2073,418,13884,29564,2707,46155,1701,4957,80,6738,32006,2436,41180,242,4066,21,4329,22928,2609,29866,51,810,3,864,15490,2898,19252,3,50,3,56,5332,1356,6744,49181,16552,1807,67540,184071,20903,272514,379,1830,13,2222,17967,1946,22135,2374,1733,138,4245,16273,1071,21589,18017,2400,1247,21664,17387,1855,40906,28079,1981,2108,32168,12909,1990,47067,10100,5275,612,15987,30854,2246,49087,708,11123,59,11890,29795,2131,43816,202,5898,26,6126,24085,3031,33242,69,957,8,1034,19976,4232,25242,15,91,0,106,9833,2574,12513,59943,31288,4211,95442,179079,21076,295597,540,2850,20,3410,37756,4558,45724,3364,2672,164,6200,34830,2470,43500,29728,3861,1598,35187,41078,4221,80486,51008,3157,3006,57171,29623,4510,91304,21493,7348,1030,29871,60418,4953,95242,2409,16080,139,18628,61801,4567,84996,444,9964,47,10455,47013,5640,63108,120,1767,11,1898,35466,7130,44494,18,141,3,162
SOSR103,69,352,3,424,7319,874,8617,304,331,7,642,7853,560,9055,4387,549,128,5064,9335,874,15273,8332,383,326,9041,6191,844,16076,4051,735,139,4925,10876,866,16667,498,1953,19,2470,10489,822,13781,100,1584,3,1687,7243,827,9757,21,377,0,398,4865,919,6182,5,9,0,14,1506,292,1812,17767,6273,625,24665,65677,6878,97220,109,723,10,842,6644,738,8224,776,646,38,1460,6646,453,8559,6691,888,440,8019,6474,613,15106,10102,699,783,11584,4585,641,16810,3454,2023,213,5690,10624,691,17005,257,4106,24,4387,9185,729,14301,83,2275,6,2364,7495,918,10777,30,386,0,416,6087,1241,7744,6,19,0,25,2729,488,3242,21508,11765,1514,34787,60469,6512,101768,178,1075,13,1266,13963,1612,16841,1080,977,45,2102,14499,1013,17614,11078,1437,568,13083,15809,1487,30379,18434,1082,1109,20625,10776,1485,32886,7505,2758,352,10615,21500,1557,33672,755,6059,43,6857,19674,1551,28082,183,3859,9,4051,14738,1745,20534,51,763,0,814,10952,2160,13926,11,28,0,39
SOSR111,38,185,4,227,3326,447,4000,251,153,12,416,3064,216,3696,2458,274,77,2809,4003,413,7225,3938,181,135,4254,2727,425,7406,1759,375,58,2192,4604,416,7212,214,786,13,1013,4971,354,6338,37,530,0,567,3028,390,3985,7,80,0,87,1804,357,2248,3,7,0,10,539,118,667,8705,2571,299,11575,28066,3136,42777,68,366,4,438,3230,350,4018,525,360,34,919,2725,209,3853,3554,445,239,4238,2838,308,7384,4753,333,330,5416,2165,347,7928,1432,935,69,2436,4898,318,7652,103,1728,9,1840,4501,352,6693,30,766,8,804,3161,443,4408,5,143,0,148,2401,503,3052,0,10,0,10,1246,217,1473,10470,5086,693,16249,27165,3047,46461,106,551,8,665,6556,797,8018,776,513,46,1335,5789,425,7549,6012,719,316,7047,6841,721,14609,8691,514,465,9670,4892,772,15334,3191,1310,127,4628,9502,734,14864,317,2514,22,2853,9472,706,13031,67,1296,8,1371,6189,833,8393,12,223,0,235,4205,860,5300,3,17,0,20
SOSR112,131,623,10,764,11511,1641,13916,945,593,28,1566,10049,1136,12751,7616,903,248,8767,11720,2001,22488,11710,702,491,12903,9130,1879,23912,5754,1259,221,7234,16029,1798,25061,898,2302,43,3243,18333,1547,23123,139,1643,5,1787,12839,1489,16115,29,359,0,388,8119,1439,9946,3,22,0,25,2610,553,3188,27225,8406,1046,36677,100340,13483,150500,340,1245,11,1596,10456,1396,13448,2214,1182,139,3535,8761,710,13006,11512,1401,879,13792,8780,1115,23687,14478,1253,1121,16852,7560,1232,25644,5192,3244,327,8763,17270,1297,27330,388,5129,49,5566,17563,1289,24418,92,2671,9,2772,13826,1706,18304,35,479,4,518,10757,2146,13421,4,54,0,58,5482,1204,6744,34255,16658,2539,53452,100455,12095,166002,471,1868,21,2360,21967,3037,27364,3159,1775,167,5101,18810,1846,25757,19128,2304,1127,22559,20500,3116,46175,26188,1955,1612,29755,16690,3111,49556,10946,4503,548,15997,33299,3095,52391,1286,7431,92,8809,35896,2836,47541,231,4314,14,4559,26665,3195,34419,64,838,4,906,18876,3585,23367,7,76,0,83
SOSR113,118,417,6,541,8132,1261,9934,642,373,11,1026,6794,800,8620,4877,567,180,5624,7852,1347,14823,7994,471,307,8772,6291,1338,16401,4100,949,154,5203,12150,1342,18695,689,1837,28,2554,14581,1305,18440,99,1367,4,1470,11981,1441,14892,15,282,0,297,7883,1482,9662,7,7,0,14,2511,608,3133,18541,6270,690,25501,78175,10924,114600,259,865,17,1141,7596,1098,9835,1634,730,80,2444,5620,572,8636,7600,848,553,9001,5325,866,15192,10071,793,711,11575,5089,936,17600,3665,2342,225,6232,12716,993,19941,268,4047,39,4354,14193,1123,19670,69,2176,6,2251,12601,1589,16441,25,363,3,391,9747,2099,12237,5,36,0,41,4878,1156,6075,23596,12200,1634,37430,77765,10432,125627,377,1282,23,1682,15728,2359,19769,2276,1103,91,3470,12414,1372,17256,12477,1415,733,14625,13177,2213,30015,18065,1264,1018,20347,11380,2274,34001,7765,3291,379,11435,24866,2335,38636,957,5884,67,6908,28774,2428,38110,168,3543,10,3721,24582,3030,31333,40,645,3,688,17630,3581,21899,12,43,0,55
SOSR114,62,273,0,335,5829,946,7110,479,254,16,749,4333,434,5516,3985,404,112,4501,5375,835,10711,6415,349,223,6987,4704,875,12566,2984,694,120,3798,9161,872,13831,493,1249,21,1763,10820,922,13505,76,900,5,981,9494,1076,11551,17,188,0,205,5808,1165,7178,5,6,0,11,1723,503,2237,14516,4317,497,19330,57247,7628,84205,178,653,8,839,5128,786,6753,1240,513,82,1835,3343,310,5488,6070,594,453,7117,3734,642,11493,8013,600,571,9184,3895,687,13766,2658,1722,127,4507,9266,658,14431,205,2780,26,3011,10415,824,14250,53,1424,7,1484,9855,1214,12553,25,277,3,305,6977,1635,8917,4,34,0,38,3330,961,4329,18446,8597,1277,28320,55943,7717,91980,240,926,8,1174,10957,1732,13863,1719,767,98,2584,7676,744,11004,10055,998,565,11618,9109,1477,22204,14428,949,794,16171,8599,1562,26332,5642,2416,247,8305,18427,1530,28262,698,4029,47,4774,21235,1746,27755,129,2324,12,2465,19349,2290,24104,42,465,3,510,12785,2800,16095,9,40,0,49
SOSR115,99,466,0,565,9745,1478,11788,631,379,19,1029,6876,819,8724,5779,588,201,6568,8296,1263,16127,10067,614,426,11107,7724,1556,20387,5309,1191,185,6685,15161,1557,23403,942,2116,43,3101,19542,1592,24235,129,1348,8,1485,15408,1801,18694,23,257,3,283,9182,1733,11198,4,19,0,23,2767,639,3429,22983,6978,885,30846,94701,12438,137985,239,916,16,1171,8232,1286,10689,1622,732,93,2447,5426,488,8361,9056,986,690,10732,5678,814,17224,12938,955,1028,14921,6190,1052,22163,4821,2854,340,8015,15912,1187,25114,358,4588,41,4987,18182,1287,24456,91,2220,14,2325,15243,1822,19390,27,394,4,425,10617,2301,13343,7,46,0,53,5111,1248,6412,29159,13691,2226,45076,90591,11485,147152,338,1382,16,1736,17977,2764,22477,2253,1111,112,3476,12302,1307,17085,14835,1574,891,17300,13974,2077,33351,23005,1569,1454,26028,13914,2608,42550,10130,4045,525,14700,31073,2744,48517,1300,6704,84,8088,37724,2879,48691,220,3568,22,3810,30651,3623,38084,50,651,7,708,19799,4034,24541,11,65,0,76
SOSR121,32,127,0,159,2897,420,3476,152,102,3,257,1800,149,2206,1509,161,49,1719,2005,239,3963,3095,153,102,3350,2150,313,5813,1756,321,64,2141,4625,381,7147,290,645,20,955,5709,386,7050,35,393,5,433,4082,469,4984,3,80,3,86,2114,367,2567,0,5,0,5,514,105,624,6872,1987,246,9105,25896,2829,37830,62,271,4,337,2457,368,3162,351,166,20,537,1367,137,2041,2422,211,191,2824,1389,175,4388,3984,262,290,4536,1649,252,6437,1499,790,91,2380,4660,324,7364,94,1377,11,1482,5039,331,6852,17,574,3,594,3812,404,4810,5,94,0,99,2126,413,2638,3,0,0,3,824,175,1002,8437,3745,610,12792,23323,2579,38694,94,398,4,496,5354,788,6638,503,268,23,794,3167,286,4247,3931,372,240,4543,3394,414,8351,7079,415,392,7886,3799,565,12250,3255,1111,155,4521,9285,705,14511,384,2022,31,2437,10748,717,13902,52,967,8,1027,7894,873,9794,8,174,3,185,4240,780,5205,3,5,0,8
SOSR122,18,64,0,82,1478,212,1772,84,58,0,142,920,90,1152,836,74,25,935,1182,150,2267,1685,100,46,1831,1296,244,3371,978,177,39,1194,2833,263,4290,166,345,9,520,3520,287,4327,32,240,0,272,2649,295,3216,3,31,0,34,1245,243,1522,0,4,0,4,282,67,353,3802,1093,119,5014,15405,1851,22270,49,135,3,187,1374,205,1766,235,93,11,339,678,63,1080,1308,121,80,1509,745,142,2396,2118,148,155,2421,1031,182,3634,831,472,53,1356,2703,192,4251,76,728,3,807,3170,231,4208,17,362,4,383,2237,286,2906,6,62,0,68,1135,248,1451,3,3,0,6,433,81,520,4643,2124,309,7076,13506,1630,22212,67,199,3,269,2852,417,3538,319,151,11,481,1598,153,2232,2144,195,105,2444,1927,292,4663,3803,248,201,4252,2327,426,7005,1809,649,92,2550,5536,455,8541,242,1073,12,1327,6690,518,8535,49,602,4,655,4886,581,6122,9,93,0,102,2380,491,2973,3,7,0,10
