region_id,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR101,1414,6937,65255,346071,268457,66368,13928,11652,780082,720,5575,25594,32988,5615,797,221,1771,73281,495,4849,25294,54664,15517,1959,513,1884,105175,1215,10424,50888,87652,21132,2756,734,3655,178456,2570,18936,50480,12659,1361,197,159,3102,89464,1996,19636,93503,17275,682,153,117,2972,136334,5571,35590,85995,22742,868,104,142,2994,154006,128,865,670,426,213,47,19,87,2455,10265,75027,230648,53102,3124,501,437,9155,382259,203,1184,1901,1069,285,57,40,188,4927,70,416,873,451,143,31,28,71,2083,13167,93988,349565,488345,293141,69713,15167,24721,1347807
SOSR102,261,2780,28574,97819,59140,10980,2147,3064,204765,108,1663,9719,7790,563,67,29,644,20583,72,723,4020,6070,753,142,48,291,12119,180,2386,13739,13860,1316,209,77,935,32702,244,4252,7818,3065,171,27,38,715,16330,73,754,3377,891,39,3,5,200,5342,26,448,2378,1012,47,6,5,78,4000,23,210,119,72,24,6,0,25,479,366,5664,13692,5040,281,42,48,1018,26151,173,1036,1201,230,65,11,14,194,2924,4,68,121,59,21,3,3,4,283,984,11934,57327,117008,60823,11245,2289,5215,266825
SOSR103,74,662,6375,34201,19836,3810,688,986,66632,37,375,2417,2030,169,12,4,178,5222,10,226,2020,2675,280,32,4,101,5348,47,601,4437,4705,449,44,8,279,10570,86,1568,3701,918,93,56,9,214,6645,34,423,2041,318,13,3,0,96,2928,25,276,1646,877,30,3,3,65,2925,8,63,48,25,7,3,3,9,166,153,2330,7436,2138,143,65,15,384,12664,33,230,582,116,28,7,7,71,1074,4,8,19,16,0,0,3,0,50,311,3831,18849,41176,20456,3926,721,1720,90990
SOSR111,36,217,3147,17977,11468,1531,232,468,35076,5,176,1302,583,40,0,3,68,2177,0,52,195,108,19,6,0,8,388,5,228,1497,691,59,6,3,76,2565,40,832,2455,556,41,7,7,190,4128,5,15,76,0,0,0,0,6,102,0,0,21,3,0,0,0,0,24,3,11,10,4,0,0,0,0,28,48,858,2562,563,41,7,7,196,4282,37,71,67,33,4,0,0,16,228,0,0,6,7,6,0,0,0,19,126,1374,7279,19271,11578,1544,242,756,42170
SOSR112,147,1028,12321,61983,36789,5883,1041,2030,121222,53,989,5231,3005,337,38,10,378,10041,22,358,970,1321,231,44,5,86,3037,75,1347,6201,4326,568,82,15,464,13078,146,2286,7624,1299,81,18,39,546,12039,3,121,820,134,3,3,3,40,1127,7,108,672,321,9,0,3,42,1162,15,81,78,58,8,3,3,8,254,171,2596,9194,1812,101,24,48,636,14582,153,560,751,210,45,8,9,146,1882,6,17,42,30,11,3,3,9,121,552,5548,28509,68361,37514,6000,1116,3285,150885
SOSR113,112,1122,11732,47566,25338,4005,778,1773,92426,36,602,3493,2820,381,44,16,245,7637,6,152,919,1285,185,18,10,58,2633,42,754,4412,4105,566,62,26,303,10270,75,1536,4723,1658,172,18,16,386,8584,7,56,462,140,7,0,0,24,696,0,71,409,167,21,6,3,26,703,4,62,33,14,5,0,3,5,126,86,1725,5627,1979,205,24,22,441,10109,121,476,605,162,49,10,9,138,1570,0,19,55,41,8,4,5,6,138,361,4096,22431,53853,26166,4105,840,2661,114513
SOSR114,87,850,8984,37115,19570,2832,500,1401,71339,56,429,2380,1509,283,30,8,166,4861,8,88,600,838,103,10,3,44,1694,64,517,2980,2347,386,40,11,210,6555,95,1087,3449,852,84,18,13,271,5869,3,27,146,81,3,0,3,7,270,0,9,123,51,3,0,0,0,186,5,43,37,12,8,3,0,9,117,103,1166,3755,996,98,21,16,287,6442,90,436,411,141,41,12,12,120,1263,4,10,21,14,9,3,8,4,73,348,2979,16151,40613,20104,2908,547,2022,85672
SOSR115,202,1739,16016,60346,32220,5091,1008,2240,118862,32,503,2653,1667,105,17,12,184,5173,4,96,554,1147,176,36,11,45,2069,36,599,3207,2814,281,53,23,229,7242,107,1295,3437,1097,120,14,23,304,6397,3,48,155,40,9,0,0,12,267,0,4,30,8,0,0,0,0,42,7,106,72,39,14,3,3,9,253,117,1453,3694,1184,143,17,26,325,6959,214,816,943,413,111,23,29,238,2787,4,26,46,45,11,8,12,21,173,573,4633,23906,64802,32766,5192,1098,3053,136023
SOSR121,51,521,4107,15010,9981,1950,392,519,32531,0,70,343,250,46,12,5,25,751,0,8,70,118,13,4,0,3,216,0,78,413,368,59,16,5,28,967,15,144,446,130,18,0,3,30,786,0,0,20,4,0,0,0,0,24,0,0,0,0,3,0,0,0,3,0,23,12,9,5,3,3,3,58,15,167,478,143,26,3,6,33,871,56,208,224,115,22,10,6,55,696,0,13,21,34,28,3,6,6,111,122,987,5243,15670,10116,1982,415,641,35176
SOSR122,57,557,3238,9167,5023,942,220,388,19592,0,25,63,31,9,3,0,5,136,0,8,39,18,6,0,3,4,78,0,33,102,49,15,3,3,9,214,5,87,102,28,4,0,3,13,242,0,0,9,0,0,0,0,3,12,0,0,0,0,0,0,4,0,4,0,19,4,3,0,3,3,3,35,5,106,115,31,4,3,10,19,293,56,238,224,89,22,11,10,38,688,3,7,15,3,5,0,3,33,69,121,941,3694,9339,5069,959,246,487,20856
