region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOSR101,337518,674560,8453,48286,48626,227103,12357,57439,267058,1039367,336494,1372195,30173,129447,44771,155883,94841,309852,169785,595182,506279,1967377,2023,9634,10549,38107,5327,19422,54542,148156,72441,215319,7623,25034,17924,41446,60431,134035,85978,200515,158419,415834,20219,43287,1022435,3101058
SOSR102,73172,145305,1336,7259,7492,34327,2533,11417,40571,158610,51932,211613,3965,16304,6324,21138,14857,46607,25146,84049,77078,295662,470,2080,2424,8470,1477,5102,14066,37808,18437,53460,1371,4255,3269,7126,12203,25941,16843,37322,35280,90782,2804,5768,188334,537517
SOSR103,24072,47910,521,2850,2912,13430,903,4119,14914,58718,19250,79117,1636,6838,2372,8099,6129,19530,10137,34467,29387,113584,149,703,876,3136,478,1671,4666,12548,6169,18058,484,1557,1125,2507,4191,9017,5800,13081,11969,31139,1018,2117,66446,194750
SOSR111,11402,22567,238,1358,1234,5696,431,1939,7328,28885,9231,37878,592,2413,1005,3318,2262,7092,3859,12823,13090,50701,70,333,411,1487,214,775,2427,6696,3122,9291,209,649,482,1047,1636,3492,2327,5188,5449,14479,408,841,30349,88588
SOSR112,41049,81115,714,4021,3959,18322,1318,6042,22865,90426,28856,118811,1597,6517,2945,9362,6567,20403,11109,36282,39965,155093,287,1303,1601,5704,878,3195,9882,26972,12648,37174,633,1939,1825,3865,5752,12109,8210,17913,20858,55087,1531,3160,103403,294455
SOSR113,33950,67150,537,2966,2806,13016,1071,4880,15178,60609,19592,81471,1200,4896,2071,6652,5293,16483,8564,28031,28156,109502,218,988,1182,4221,640,2359,7133,19717,9173,27285,440,1353,1269,2741,4661,9781,6370,13875,15543,41160,1066,2207,78715,220019
SOSR114,25596,50672,371,1985,2181,10148,760,3505,12429,49480,15741,65118,795,3176,1492,4722,3570,10954,5857,18852,21598,83970,155,692,834,2980,448,1658,5227,14709,6664,20039,302,909,883,1904,3028,6432,4213,9245,10877,29284,745,1543,58816,165469
SOSR115,41170,81421,671,3697,3614,16856,1281,5832,19447,77506,25013,103891,1421,5798,2530,8006,6268,19341,10219,33145,35232,137036,235,1091,1323,4720,669,2413,8057,22508,10284,30732,450,1385,1567,3356,4992,10445,7009,15186,17293,45918,1233,2573,94928,266948
SOSR121,11279,22261,243,1372,1206,5638,427,1982,5768,23298,7644,32290,529,2164,891,2838,1963,6110,3383,11112,11027,43402,55,254,329,1170,187,692,1831,5225,2402,7341,122,380,356,763,1219,2601,1697,3744,4099,11085,268,562,26673,77310
SOSR122,6535,12886,110,622,609,2836,223,988,3134,12595,4076,17041,247,1009,484,1522,1013,3083,1744,5614,5820,22655,35,131,188,693,88,331,1119,3161,1430,4316,72,212,242,510,698,1465,1012,2187,2442,6503,166,337,14963,42381
SOSR131,63275,124831,1492,8195,7626,35138,2249,10228,31410,128273,42777,181834,3269,13274,5476,17183,12697,39519,21442,69976,64219,251810,201,890,1133,4012,517,1876,6535,18032,8386,24810,464,1454,1448,3033,5377,11381,7289,15868,15675,40678,1321,2797,144490,420116
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
