region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOSR101,459928,25912,13059,5256,244,432,1447,506278
SOSR102,65592,6324,3888,650,59,103,461,77077
SOSR103,25538,2093,1283,248,23,40,163,29388
SOSR111,11160,1010,714,95,9,19,83,13090
SOSR112,33679,3272,2277,352,28,74,284,39966
SOSR113,23583,2298,1658,266,26,55,269,28155
SOSR114,18228,1671,1270,177,21,32,202,21601
SOSR115,29735,2664,2068,350,27,61,328,35233
SOSR121,9373,789,596,117,10,21,119,11025
SOSR122,4926,431,329,58,0,8,68,5820
SOSR131,56253,4026,2665,640,43,97,496,64220
SOSR179,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0
