region_id,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SOSR101,27578,26059,53637,28448,26920,55368,27199,26026,53225,27450,26013,53463,27293,25620,52913,137968,130638,268606,26294,24755,51049,25567,23749,49316,24720,23226,47946,24718,23217,47935,23850,22579,46429,125149,117526,242675,24319,22818,47137,24480,23169,47649,24212,22625,46837,24023,22737,46760,24431,23151,47582,121465,114500,235965,24515,22947,47462,24748,23322,48070,24620,23410,48030,24987,23569,48556,25726,24529,50255,124596,117777,242373,26943,26457,53400,27847,27390,55237,28310,27800,56110,28664,28605,57269,28719,29425,58144,140483,139677,280160,29975,30391,60366,30971,31699,62670,31055,32339,63394,31936,33386,65322,31871,33068,64939,155808,160883,316691,32316,32890,65206,31194,31686,62880,30927,31395,62322,29828,30729,60557,29869,30501,60370,154134,157201,311335,29633,30021,59654,29735,30215,59950,29606,30829,60435,29926,31239,61165,30640,31932,62572,149540,154236,303776,30460,32172,62632,28307,29819,58126,27589,29304,56893,26620,28102,54722,25949,26860,52809,138925,146257,285182,26526,26838,53364,26378,27616,53994,27156,28137,55293,27659,28365,56024,27063,27429,54492,134782,138385,273167,26663,27506,54169,25378,26286,51664,24553,25179,49732,24209,25326,49535,23483,24452,47935,124286,128749,253035,22697,23907
SOSR102,4342,4065,8407,4299,4106,8405,4472,4201,8673,4517,4251,8768,4546,4336,8882,22176,20959,43135,4516,4246,8762,4421,4171,8592,4216,4006,8222,4229,4147,8376,4296,3949,8245,21678,20519,42197,4442,4299,8741,4397,4258,8655,4456,4317,8773,4508,4381,8889,4592,4360,8952,22395,21615,44010,4769,4294,9063,4757,4474,9231,4775,4513,9288,4635,4381,9016,4650,4475,9125,23586,22137,45723,4615,4650,9265,4692,4426,9118,4378,4209,8587,4112,4158,8270,4116,4144,8260,21913,21587,43500,4122,4117,8239,4189,4101,8290,3950,4056,8006,4043,4133,8176,3989,4147,8136,20293,20554,40847,3951,4113,8064,3862,4052,7914,3789,4050,7839,3835,4008,7843,3849,4127,7976,19286,20350,39636,3873,4134,8007,4096,4336,8432,4413,4504,8917,4518,4806,9324,4790,5191,9981,21690,22971,44661,4845,5297,10142,4508,4732,9240,4500,4792,9292,4327,4602,8929,4364,4677,9041,22544,24100,46644,4363,4653,9016,4483,4570,9053,4690,4959,9649,4626,5162,9788,4871,5142,10013,23033,24486,47519,4763,5115,9878,4629,5016,9645,4614,4875,9489,4624,4926,9550,4491,4668,9159,23121,24600,47721,4384,4543
SOSR103,1490,1422,2912,1572,1554,3126,1612,1495,3107,1635,1661,3296,1662,1538,3200,7971,7670,15641,1609,1550,3159,1556,1496,3052,1632,1492,3124,1533,1431,2964,1569,1532,3101,7899,7501,15400,1649,1478,3127,1584,1563,3147,1653,1592,3245,1691,1531,3222,1640,1531,3171,8217,7695,15912,1655,1574,3229,1682,1634,3316,1638,1618,3256,1790,1622,3412,1851,1777,3628,8616,8225,16841,1850,1827,3677,1965,1821,3786,1793,1703,3496,1733,1620,3353,1716,1586,3302,9057,8557,17614,1681,1576,3257,1659,1579,3238,1466,1552,3018,1545,1555,3100,1576,1428,3004,7927,7690,15617,1476,1471,2947,1440,1501,2941,1478,1470,2948,1455,1493,2948,1498,1481,2979,7347,7416,14763,1479,1492,2971,1532,1647,3179,1594,1661,3255,1649,1814,3463,1811,1824,3635,8065,8438,16503,1782,1773,3555,1608,1719,3327,1591,1660,3251,1511,1562,3073,1516,1658,3174,8008,8372,16380,1617,1641,3258,1647,1627,3274,1719,1763,3482,1756,1764,3520,1755,1796,3551,8494,8591,17085,1748,1773,3521,1630,1791,3421,1673,1638,3311,1553,1657,3210,1568,1552,3120,8172,8411,16583,1416,1560
SOSR111,763,772,1535,850,790,1640,834,736,1570,778,781,1559,873,844,1717,4098,3923,8021,830,785,1615,797,749,1546,773,728,1501,779,696,1475,762,741,1503,3941,3699,7640,812,702,1514,824,788,1612,806,780,1586,811,794,1605,773,773,1546,4026,3837,7863,782,780,1562,796,809,1605,866,780,1646,799,825,1624,756,826,1582,3999,4020,8019,741,829,1570,772,769,1541,714,748,1462,716,759,1475,753,750,1503,3696,3855,7551,704,737,1441,741,774,1515,749,767,1516,675,727,1402,734,736,1470,3603,3741,7344,721,736,1457,731,712,1443,713,696,1409,736,741,1477,719,760,1479,3620,3645,7265,712,809,1521,734,745,1479,681,802,1483,747,772,1519,794,828,1622,3668,3956,7624,804,838,1642,844,783,1627,727,821,1548,647,754,1401,713,782,1495,3735,3978,7713,636,694,1330,699,707,1406,761,746,1507,717,791,1508,774,843,1617,3587,3781,7368,792,775,1567,738,841,1579,741,799,1540,710,734,1444,643,723,1366,3624,3872,7496,701,732
SOSR112,2771,2668,5439,2839,2650,5489,2847,2741,5588,2853,2706,5559,2889,2762,5651,14199,13527,27726,2822,2596,5418,2688,2476,5164,2597,2490,5087,2585,2545,5130,2541,2454,4995,13233,12561,25794,2731,2530,5261,2578,2530,5108,2740,2599,5339,2708,2624,5332,2834,2633,5467,13591,12916,26507,2736,2628,5364,2955,2771,5726,2799,2757,5556,2722,2683,5405,2706,2609,5315,13918,13448,27366,2676,2729,5405,2701,2743,5444,2532,2620,5152,2406,2434,4840,2437,2479,4916,12752,13005,25757,2426,2478,4904,2294,2398,4692,2258,2409,4667,2334,2447,4781,2287,2386,4673,11599,12118,23717,2305,2372,4677,2159,2298,4457,2126,2281,4407,2127,2277,4404,2170,2343,4513,10887,11571,22458,2265,2310,4575,2213,2392,4605,2308,2436,4744,2439,2581,5020,2555,2732,5287,11780,12451,24231,2655,2801,5456,2469,2646,5115,2331,2665,4996,2304,2509,4813,2372,2574,4946,12131,13195,25326,2328,2447,4775,2304,2634,4938,2494,2586,5080,2537,2799,5336,2631,2878,5509,12294,13344,25638,2645,2857,5502,2588,2876,5464,2644,2787,5431,2408,2799,5207,2481,2667,5148,12766,13986,26752,2430,2472
SOSR113,1780,1654,3434,1855,1843,3698,1966,1833,3799,1909,1838,3747,2015,1885,3900,9525,9053,18578,1902,1836,3738,1819,1773,3592,1864,1681,3545,1857,1707,3564,1904,1717,3621,9346,8714,18060,1928,1836,3764,1944,1822,3766,1894,1867,3761,2039,2004,4043,2048,1922,3970,9853,9451,19304,1921,1966,3887,1966,2032,3998,2094,2063,4157,2039,1942,3981,1916,1831,3747,9936,9834,19770,1823,1897,3720,1864,1807,3671,1728,1702,3430,1579,1594,3173,1623,1638,3261,8617,8638,17255,1599,1547,3146,1524,1622,3146,1543,1512,3055,1554,1571,3125,1475,1438,2913,7695,7690,15385,1522,1527,3049,1462,1453,2915,1380,1477,2857,1348,1555,2903,1417,1492,2909,7129,7504,14633,1376,1443,2819,1565,1577,3142,1612,1751,3363,1634,1791,3425,1779,1887,3666,7966,8449,16415,1819,1965,3784,1667,1799,3466,1707,1804,3511,1638,1799,3437,1607,1781,3388,8438,9148,17586,1701,1823,3524,1774,1740,3514,1876,2029,3905,1905,2050,3955,1967,2018,3985,9223,9660,18883,1873,2090,3963,1924,2012,3936,1843,2143,3986,1898,2029,3927,1930,2007,3937,9468,10281,19749,1888,1949
SOSR114,1499,1366,2865,1519,1495,3014,1584,1522,3106,1547,1503,3050,1597,1494,3091,7746,7380,15126,1505,1465,2970,1450,1409,2859,1489,1355,2844,1425,1379,2804,1404,1398,2802,7273,7006,14279,1424,1428,2852,1514,1488,3002,1462,1435,2897,1545,1445,2990,1541,1484,3025,7486,7280,14766,1446,1475,2921,1557,1412,2969,1510,1462,2972,1363,1274,2637,1235,1128,2363,7111,6751,13862,1184,1098,2282,1159,1107,2266,1063,1064,2127,1079,1094,2173,1029,1126,2155,5514,5489,11003,1061,1108,2169,1064,1117,2181,1065,1131,2196,1015,1152,2167,1062,1200,2262,5267,5708,10975,1074,1205,2279,1072,1071,2143,1074,1135,2209,1073,1179,2252,1153,1194,2347,5446,5784,11230,1086,1255,2341,1179,1254,2433,1265,1314,2579,1292,1432,2724,1395,1461,2856,6217,6716,12933,1363,1587,2950,1255,1370,2625,1257,1436,2693,1245,1328,2573,1230,1331,2561,6350,7052,13402,1228,1304,2532,1230,1298,2528,1369,1451,2820,1507,1486,2993,1485,1499,2984,6819,7038,13857,1471,1547,3018,1446,1498,2944,1433,1460,2893,1355,1461,2816,1309,1430,2739,7014,7396,14410,1343,1348
SOSR115,2145,2040,4185,2268,2193,4461,2334,2218,4552,2304,2226,4530,2494,2345,4839,11545,11022,22567,2477,2299,4776,2435,2155,4590,2189,2172,4361,2224,2177,4401,2329,2275,4604,11654,11078,22732,2341,2297,4638,2469,2261,4730,2508,2341,4849,2376,2234,4610,2551,2277,4828,12245,11410,23655,2396,2299,4695,2493,2300,4793,2493,2312,4805,2325,2040,4365,2081,1737,3818,11788,10688,22476,1997,1782,3779,1772,1693,3465,1662,1616,3278,1672,1640,3312,1623,1631,3254,8726,8362,17088,1532,1631,3163,1550,1598,3148,1622,1681,3303,1646,1752,3398,1611,1644,3255,7961,8306,16267,1591,1776,3367,1573,1725,3298,1594,1777,3371,1729,1778,3507,1678,1863,3541,8165,8919,17084,1790,1964,3754,1901,2038,3939,1966,2119,4085,2140,2275,4415,2132,2370,4502,9929,10766,20695,2198,2420,4618,2082,2290,4372,2130,2252,4382,2030,2248,4278,2017,2186,4203,10457,11396,21853,2039,2294,4333,2204,2357,4561,2265,2519,4784,2284,2518,4802,2384,2588,4972,11176,12276,23452,2444,2594,5038,2404,2548,4952,2511,2649,5160,2391,2551,4942,2481,2495,4976,12231,12837,25068,2457,2473
SOSR121,569,548,1117,604,603,1207,647,638,1285,648,613,1261,675,649,1324,3143,3051,6194,657,615,1272,688,637,1325,695,671,1366,690,689,1379,721,642,1363,3451,3254,6705,704,692,1396,697,641,1338,682,699,1381,741,709,1450,774,772,1546,3598,3513,7111,782,667,1449,777,748,1525,761,712,1473,621,573,1194,534,462,996,3475,3162,6637,489,439,928,491,431,922,442,407,849,382,389,771,402,374,776,2206,2040,4246,383,372,755,358,360,718,362,398,760,372,446,818,375,471,846,1850,2047,3897,392,454,846,428,430,858,417,490,907,431,466,897,440,506,946,2108,2346,4454,479,530,1009,472,545,1017,570,599,1169,570,649,1219,635,704,1339,2726,3027,5753,702,731,1433,608,665,1273,583,668,1251,611,683,1294,583,658,1241,3087,3405,6492,627,632,1259,632,691,1323,710,757,1467,713,747,1460,766,738,1504,3448,3565,7013,764,812,1576,699,705,1404,750,788,1538,750,766,1516,734,729,1463,3697,3800,7497,727,707
SOSR122,326,311,637,314,325,639,358,329,687,359,363,722,375,362,737,1732,1690,3422,370,375,745,377,349,726,356,328,684,364,372,736,379,349,728,1846,1773,3619,412,353,765,381,435,816,417,401,818,404,404,808,434,387,821,2048,1980,4028,352,398,750,402,423,825,378,390,768,358,302,660,281,254,535,1771,1767,3538,273,232,505,239,198,437,245,217,462,192,213,405,203,219,422,1152,1079,2231,215,213,428,211,211,422,184,212,396,228,222,450,245,211,456,1083,1069,2152,215,238,453,254,258,512,226,279,505,246,257,503,249,287,536,1190,1319,2509,262,316,578,286,315,601,321,341,662,329,347,676,390,397,787,1588,1716,3304,340,400,740,351,390,741,375,407,782,345,347,692,374,376,750,1785,1920,3705,354,416,770,367,372,739,416,395,811,431,428,859,460,442,902,2028,2053,4081,468,482,950,458,428,886,464,440,904,437,392,829,437,458,895,2264,2200,4464,421,468
