region_id,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR101,35976,33029,69005,102595,95517,198112,33452,32558,66010,19262,18123,37385,155309,146198,301507,69220,67591,136811,34170,32935,67105,23240,22344,45584,126630,122870,249500,9698,9088,18786,6320,10549,16869,14093,7065,21158,14640,21201,35841,666,568,1234,45417,48471,93888,53859,63188,117047,16955,18145,35100,6315,7251,13566,21025,27002,48027,714,781,1495,98868,116367,215235,5988,6946,12934,7972,13749,21721,315,395,710,14275,21090,35365,144847,135146,279993,621322,623171,1244493
SOSR102,6804,6295,13099,20588,19585,40173,4770,4619,9389,2698,2582,5280,28056,26786,54842,15668,15182,30850,4062,4036,8098,2813,2922,5735,22543,22140,44683,1113,1286,2399,540,1159,1699,3311,1797,5108,2611,4036,6647,85,100,185,7660,8378,16038,5497,7327,12824,1993,2797,4790,915,1188,2103,2766,4796,7562,48,66,114,11219,16174,27393,358,509,867,971,1958,2929,24,34,58,1353,2501,3854,21788,22500,44288,99423,104774,204197
SOSR103,2654,2542,5196,7510,6919,14429,1913,1984,3897,834,764,1598,10257,9667,19924,5533,5350,10883,1993,2091,4084,749,704,1453,8275,8145,16420,523,565,1088,281,543,824,1286,696,1982,904,1380,2284,42,32,74,3036,3216,6252,3464,3773,7237,1313,1140,2453,368,391,759,873,1415,2288,27,30,57,6045,6749,12794,156,172,328,302,675,977,7,20,27,465,867,1332,7420,7270,14690,38152,38456,76608
SOSR111,1137,1141,2278,3246,3076,6322,1173,1102,2275,611,568,1179,5030,4746,9776,2464,2507,4971,759,878,1637,535,502,1037,3758,3887,7645,233,275,508,122,212,334,678,370,1048,569,812,1381,16,19,35,1618,1688,3306,548,1132,1680,175,342,517,134,192,326,376,657,1033,8,9,17,1241,2332,3573,81,62,143,137,292,429,3,7,10,221,361,582,3534,3504,7038,16539,17659,34198
SOSR112,4103,3674,7777,10635,10076,20711,4077,3951,8028,1989,1850,3839,16701,15877,32578,8130,7600,15730,3379,3567,6946,1835,2085,3920,13344,13252,26596,778,893,1671,461,1009,1470,1994,1295,3289,1950,3116,5066,71,78,149,5254,6391,11645,1979,3291,5270,758,1232,1990,335,616,951,1489,2643,4132,29,37,66,4590,7819,12409,197,253,450,538,1051,1589,22,30,52,757,1334,2091,14867,13682,28549,59616,62029,121645
SOSR113,2897,2623,5520,8288,7789,16077,2272,2115,4387,1198,1074,2272,11758,10978,22736,6523,6478,13001,1677,1823,3500,1271,1449,2720,9471,9750,19221,425,556,981,277,613,890,1311,887,2198,1135,1933,3068,43,46,89,3191,4035,7226,1382,2053,3435,526,733,1259,235,332,567,805,1503,2308,14,22,36,2962,4643,7605,116,198,314,313,774,1087,12,18,30,441,990,1431,11452,11216,22668,42172,44235,86407
SOSR114,2203,2068,4271,6709,6465,13174,1948,1949,3897,487,472,959,9144,8886,18030,5126,5037,10163,1559,1637,3196,418,427,845,7103,7101,14204,269,378,647,162,419,581,1004,624,1628,912,1758,2670,47,38,85,2394,3217,5611,326,696,1022,157,372,529,113,195,308,450,1062,1512,6,8,14,1052,2333,3385,67,109,176,210,538,748,10,12,22,287,659,946,8032,8369,16401,30215,32633,62848
SOSR115,3649,3299,6948,11166,10498,21664,2564,2481,5045,1129,1098,2227,14859,14077,28936,8748,8373,17121,1704,1905,3609,1171,1154,2325,11623,11432,23055,577,527,1104,273,593,866,1611,911,2522,1336,2564,3900,64,47,111,3861,4642,8503,940,1726,2666,360,817,1177,146,305,451,811,1766,2577,18,30,48,2275,4644,6919,187,205,392,382,890,1272,22,17,39,591,1112,1703,13148,12585,25733,50006,51791,101797
SOSR121,990,913,1903,3285,3130,6415,768,690,1458,446,399,845,4499,4219,8718,2443,2340,4783,636,767,1403,463,465,928,3542,3572,7114,111,153,264,49,119,168,480,265,745,367,664,1031,18,7,25,1025,1208,2233,274,382,656,62,181,243,53,84,137,224,479,703,0,8,8,613,1134,1747,41,51,92,103,251,354,4,7,11,148,309,457,2990,2946,5936,13807,14301,28108
SOSR122,523,502,1025,1899,1806,3705,350,346,696,179,182,361,2428,2334,4762,1427,1417,2844,296,394,690,202,204,406,1925,2015,3940,65,78,143,38,99,137,230,147,377,188,365,553,8,10,18,529,699,1228,132,194,326,44,103,147,32,55,87,129,281,410,3,3,6,340,636,976,21,34,55,68,150,218,3,3,6,92,187,279,1959,1880,3839,7796,8253,16049
