region_id,M_EO_bf1996,M_EO_1996_2000,M_EO_2001_2005,M_E_2006,M_E_2007,M_E_2008,M_E_2009,M_E_2010,M_E_2011,M_EO_arrival_ns,M_E_Tot,M_SOL_SE_V_wll_wll_Bf_1996,M_SOL_SE_VW_W_1996_2000,M_SOL_SE_VW_W_2001_2005,M_SOL_SE_VW_W_2006,M_SOL_SE_VW_W_2007,M_SOL_SE_VW_W_2008,M_SOL_SE_VW_W_2009,M_SOL_SE_VW_W_2010,M_SOL_SE_VW_W_2011,M_SOL_SE_VW_W_Y_a_ns,M_SOL_SE_VW_W_Y_a_Total,M_SOL_SE_NW_NA_bf1996,M_SOL_SE_NW_NA_1996_2000,M_SOL_SE_NW_NA_2001_2005,M_SOL_SE_NW_NA_2006,M_SOL_SE_NW_NA_2007,M_SOL_SE_NW_NA_2008,M_SOL_SE_NW_NA_2009,M_SOL_SE_NW_NA_2010,M_SOL_SE_NW_NA_2011,M_SOL_SE_NW_NA_arrval_ns,M_SOL_SE_NW_NA_Total,M_SOL_SE_PE_ns_bf1996,M_SOL_SE_PE_ns_1996_2000,M_SOL_SE_PE_ns_2001_2005,M_SOL_SE_PE_ns_2006,M_SOL_SE_PE_ns_2007,M_SOL_SE_PE_ns_2008,M_SOL_SE_PE_ns_2009,M_SOL_SE_PE_ns_2010,M_SOL_SE_PE_ns_2011,M_SOL_SE_PE_ns_arrival_ns,M_SOL_SE_PE_ns_arvl_Total,M_SOL_SE_Tot_bf1996,M_SOL_SE_Tot_1996_2000,M_SOL_SE_Tot_2001_2005,M_SOL_SE_Tot_2006,M_SOL_SE_Tot_2007,M_SOL_SE_Tot_2008,M_SOL_SE_Tot_2009,M_SOL_SE_Tot_2010,M_SOL_SE_Tot_2011,M_SOL_SE_Tot_arrival_ns,M_SOL_SE_Tot_Total,M_L_prof_Eng_ns_bf1996,M_L_prof_Eng_ns_1996_2000,M_L_prof_Eng_ns_2001_2005,M_L_prof_Eng_ns_2006,M_L_prof_Eng_ns_2007,M_L_prof_Eng_ns_2008,M_L_prof_Eng_ns_2009,M_L_prof_Eng_ns_2010,M_L_prof_Eng_ns_2011,M_L_prof_Eng_ns_arrival_ns,M_L_prof_Eng_ns_Total,M_Tot_bf1996,M_Tot_1996_2000,M_Tot_2001_2005,M_Tot_2006,M_Tot_2007,M_Tot_2008,M_Tot_2009,M_Tot_2010,M_Tot_2011,M_Tot_Yr_arrival_not_stated,M_Tot_Total,F_EO_bf1996,F_EO_1996_2000,F_EO_2001_2005,F_E_2006,F_E_2007,F_E_2008,F_E_2009,F_E_2010,F_E_2011,F_EO_arrival_ns,F_E_Tot,F_SOL_SE_V_wll_wll_Bf_1996,F_SOL_SE_VW_W_1996_2000,F_SOL_SE_VW_W_2001_2005,F_SOL_SE_VW_W_2006,F_SOL_SE_VW_W_2007,F_SOL_SE_VW_W_2008,F_SOL_SE_VW_W_2009,F_SOL_SE_VW_W_2010,F_SOL_SE_VW_W_2011,F_SOL_SE_VW_W_Y_a_ns,F_SOL_SE_VW_W_Y_a_Total,F_SOL_SE_NW_NA_bf1996,F_SOL_SE_NW_NA_1996_2000,F_SOL_SE_NW_NA_2001_2005,F_SOL_SE_NW_NA_2006,F_SOL_SE_NW_NA_2007,F_SOL_SE_NW_NA_2008,F_SOL_SE_NW_NA_2009,F_SOL_SE_NW_NA_2010,F_SOL_SE_NW_NA_2011,F_SOL_SE_NW_NA_arrval_ns,F_SOL_SE_NW_NA_Total,F_SOL_SE_PE_ns_bf1996,F_SOL_SE_PE_ns_1996_2000,F_SOL_SE_PE_ns_2001_2005,F_SOL_SE_PE_ns_2006,F_SOL_SE_PE_ns_2007,F_SOL_SE_PE_ns_2008,F_SOL_SE_PE_ns_2009,F_SOL_SE_PE_ns_2010,F_SOL_SE_PE_ns_2011,F_SOL_SE_PE_ns_arrival_ns,F_SOL_SE_PE_ns_arvl_Total,F_SOL_SE_Tot_bf1996,F_SOL_SE_Tot_1996_2000,F_SOL_SE_Tot_2001_2005,F_SOL_SE_Tot_2006,F_SOL_SE_Tot_2007,F_SOL_SE_Tot_2008,F_SOL_SE_Tot_2009,F_SOL_SE_Tot_2010,F_SOL_SE_Tot_2011,F_SOL_SE_Tot_arrival_ns,F_SOL_SE_Tot_Total,F_L_prof_Eng_ns_bf1996,F_L_prof_Eng_ns_1996_2000,F_L_prof_Eng_ns_2001_2005,F_L_prof_Eng_ns_2006,F_L_prof_Eng_ns_2007,F_L_prof_Eng_ns_2008,F_L_prof_Eng_ns_2009,F_L_prof_Eng_ns_2010,F_L_prof_Eng_ns_2011,F_L_prof_Eng_ns_arrival_ns,F_L_prof_Eng_ns_Total,F_Tot_bf1996,F_Tot_1996_2000,F_Tot_2001_2005,F_Tot_2006,F_Tot_2007,F_Tot_2008,F_Tot_2009,F_Tot_2010,F_Tot_2011,F_Tot_Yr_arrival_not_stated,F_Tot_Total,P_EO_bf1996,P_EO_1996_2000,P_EO_2001_2005,P_EO_2006,P_EO_2007,P_EO_2008,P_EO_2009,P_EO_2010,P_EO_2011,P_EO_arrival_ns,P_EO_Tot,P_SOL_SE_V_wll_wll_Bf_1996,P_SOL_SE_VW_W_1996_2000,P_SOL_SE_VW_W_2001_2005,P_SOL_SE_VW_W_2006,P_SOL_SE_VW_W_2007,P_SOL_SE_VW_W_2008,P_SOL_SE_VW_W_2009,P_SOL_SE_VW_W_2010,P_SOL_SE_VW_W_2011,P_SOL_SE_VW_W_Y_a_ns,P_SOL_SE_VW_W_Y_a_Total,P_SOL_SE_NW_NA_bf1996,P_SOL_SE_NW_NA_1996_2000,P_SOL_SE_NW_NA_2001_2005,P_SOL_SE_NW_NA_2006,P_SOL_SE_NW_NA_2007,P_SOL_SE_NW_NA_2008,P_SOL_SE_NW_NA_2009,P_SOL_SE_NW_NA_2010,P_SOL_SE_NW_NA_2011,P_SOL_SE_NW_NA_arrval_ns,P_SOL_SE_NW_NA_Total,P_SOL_SE_PE_ns_bf1996,P_SOL_SE_PE_ns_1996_2000,P_SOL_SE_PE_ns_2001_2005,P_SOL_SE_PE_ns_2006,P_SOL_SE_PE_ns_2007,P_SOL_SE_PE_ns_2008,P_SOL_SE_PE_ns_2009,P_SOL_SE_PE_ns_2010,P_SOL_SE_PE_ns_2011,P_SOL_SE_PE_ns_arrival_ns,P_SOL_SE_PE_ns_arvl_Total,P_SOL_SE_Tot_bf1996,P_SOL_SE_Tot_1996_2000
SOSR101,132165,21265,23573,5605,6183,6813,6116,6922,4248,8870,221760,188207,45202,55162,14992,18697,19866,16186,12454,6104,12169,389039,41534,8370,7077,1991,2405,3253,4073,4010,2812,4919,80444,511,81,94,36,36,35,37,44,58,2069,3001,230252,53653,62333,17019,21138,23154,20296,16508,8974,19157,472484,1411,345,443,108,148,260,187,165,96,513,3676,363828,75263,86349,22732,27469,30227,26599,23595,13318,28540,697920,127257,19591,22103,5222,5727,6378,5981,6713,4013,8645,211630,189181,47416,56856,15275,17174,19634,17202,13771,7003,12179,395691,61202,14235,11939,3227,3646,4635,5428,5274,3701,7354,120641,600,96,107,35,24,34,45,62,54,809,1866,250983,61747,68902,18537,20844,24303,22675,19107,10758,20342,518198,1820,466,505,162,123,182,207,147,114,670,4396,380060,81804,91510,23921,26694,30863,28863,25967,14885,29657,734224,259422,40856,45676,10827,11910,13191,12097,13635,8261,17515,433390,377388,92618,112018,30267,35871,39500,33388,26225,13107,24348,784730,102736,22605,19016,5218,6051,7888,9501,9284,6513,12273,201085,1111,177,201,71,60,69,82,106,112,2878,4867,481235,115400
SOSR102,22191,1981,2276,557,571,598,559,555,300,1471,31059,5868,822,1245,430,512,672,593,512,268,402,11324,783,83,89,28,57,51,82,140,85,141,1539,80,6,11,0,0,3,4,3,5,64,176,6731,911,1345,458,569,726,679,655,358,607,13039,69,6,13,3,4,4,6,7,6,18,136,28991,2898,3634,1018,1144,1328,1244,1217,664,2096,44234,22738,1978,2281,585,559,591,531,498,256,1619,31636,6705,1101,1536,455,544,677,706,594,317,478,13113,1110,156,159,48,65,97,128,183,118,188,2252,116,4,4,0,0,0,0,0,3,95,222,7931,1261,1699,503,609,774,834,777,438,761,15587,68,11,10,0,6,7,12,7,7,45,173,30737,3250,3990,1088,1174,1372,1377,1282,701,2425,47396,44929,3959,4557,1142,1130,1189,1090,1053,556,3090,62695,12573,1923,2781,885,1056,1349,1299,1106,585,880,24437,1893,239,248,76,122,148,210,323,203,329,3791,196,10,15,0,0,3,4,3,8,159,398,14662,2172
SOSR103,10049,531,568,158,156,172,155,149,104,558,12600,6325,502,637,187,308,433,570,545,259,323,10089,1526,109,97,20,46,66,152,167,90,148,2421,47,0,0,3,3,0,5,5,3,25,91,7898,611,734,210,357,499,727,717,352,496,12601,63,7,4,3,3,6,3,6,7,7,109,18010,1149,1306,371,516,677,885,872,463,1061,25310,10238,509,596,160,157,172,151,119,118,592,12812,6528,590,762,217,276,380,416,435,219,347,10170,2388,150,120,28,64,74,138,169,77,221,3429,66,0,6,0,0,3,3,7,0,38,123,8982,740,888,245,340,457,557,611,296,606,13722,68,4,10,0,8,5,4,8,4,16,127,19288,1253,1494,405,505,634,712,738,418,1214,26661,20287,1040,1164,318,313,344,306,268,222,1150,25412,12853,1092,1399,404,584,813,986,980,478,670,20259,3914,259,217,48,110,140,290,336,167,369,5850,113,0,6,3,3,3,8,12,3,63,214,16880,1351
SOSR111,2306,180,244,61,68,64,45,66,36,166,3236,512,74,175,134,107,92,114,68,29,34,1339,69,5,18,4,9,11,23,25,36,13,213,8,0,0,3,0,0,0,0,0,7,18,589,79,193,141,116,103,137,93,65,54,1570,7,3,3,0,3,0,3,0,0,6,25,2902,262,440,202,187,167,185,159,101,226,4831,2284,165,186,72,69,74,54,46,37,162,3149,650,118,172,96,83,110,115,77,37,59,1517,110,11,20,9,13,9,29,39,37,22,299,5,0,3,0,0,3,0,0,0,7,18,765,129,195,105,96,122,144,116,74,88,1834,5,0,4,0,0,0,0,0,3,7,19,3054,294,385,177,165,196,198,162,114,257,5002,4590,345,430,133,137,138,99,112,73,328,6385,1162,192,347,230,190,202,229,145,66,93,2856,179,16,38,13,22,20,52,64,73,35,512,13,0,3,3,0,3,0,0,0,14,36,1354,208
SOSR112,9353,715,783,222,246,237,230,205,155,658,12804,1815,314,696,248,264,285,301,233,147,169,4472,196,31,60,23,37,37,80,115,68,47,694,36,0,5,3,0,3,0,0,3,382,432,2047,345,761,274,301,325,381,348,218,598,5598,18,3,10,5,0,6,0,9,3,11,65,11418,1063,1554,501,547,568,611,562,376,1267,18467,9775,718,813,243,214,241,220,202,137,676,13239,2253,437,796,243,285,300,320,236,149,182,5201,248,53,94,49,43,46,92,124,75,84,908,44,0,8,0,0,0,5,0,3,33,93,2545,490,898,292,328,346,417,360,227,299,6202,32,3,7,0,0,7,4,10,3,8,74,12352,1211,1718,535,542,594,641,572,367,983,19515,19128,1433,1596,465,460,478,450,407,292,1334,26043,4068,751,1492,491,549,585,621,469,296,351,9673,444,84,154,72,80,83,172,239,143,131,1602,80,0,13,3,0,3,5,0,6,415,525,4592,835
SOSR113,7642,511,599,147,128,184,160,163,104,561,10199,1727,306,448,153,175,252,231,216,124,174,3806,258,36,45,18,24,39,34,52,49,61,616,29,5,0,0,0,3,0,0,0,130,167,2014,347,493,171,199,294,265,268,173,365,4589,20,0,5,3,0,3,12,6,0,8,57,9676,858,1097,321,327,481,437,437,277,934,14845,8049,509,619,142,147,208,197,176,95,580,10722,1929,345,521,169,195,257,256,227,146,185,4230,367,52,72,23,28,38,48,56,68,65,817,50,0,4,0,0,0,3,0,0,24,81,2346,397,597,192,223,295,307,283,214,274,5128,16,3,6,3,0,7,0,0,3,4,42,10411,909,1222,337,370,510,504,459,312,858,15892,15691,1020,1218,289,275,392,357,339,199,1141,20921,3656,651,969,322,370,509,487,443,270,359,8036,625,88,117,41,52,77,82,108,117,126,1433,79,5,4,0,0,3,3,0,0,154,248,4360,744
SOSR114,5253,289,383,124,97,129,115,106,64,342,6902,902,101,170,42,79,95,97,64,41,73,1664,115,12,26,8,10,18,13,22,25,27,276,21,3,0,0,0,0,0,0,3,38,65,1038,116,196,50,89,113,110,86,69,138,2005,9,0,3,0,0,0,3,3,3,4,25,6300,405,582,174,186,242,228,195,136,484,8932,5492,345,418,132,87,121,107,114,49,370,7235,1099,156,234,56,78,112,113,79,48,96,2071,153,19,30,12,11,18,23,37,29,24,356,28,5,0,3,0,0,3,0,0,22,61,1280,180,264,71,89,130,139,116,77,142,2488,6,3,0,0,0,0,0,3,0,7,19,6778,528,682,203,176,251,246,233,126,519,9742,10745,634,801,256,184,250,222,220,113,712,14137,2001,257,404,98,157,207,210,143,89,169,3735,268,31,56,20,21,36,36,59,54,51,632,49,8,0,3,0,0,3,0,3,60,126,2318,296
SOSR115,10022,652,758,157,170,187,192,139,101,667,13045,1832,195,297,86,116,177,150,109,42,132,3136,187,12,15,6,22,19,31,25,20,40,377,37,3,3,0,0,0,0,0,0,164,207,2056,210,315,92,138,196,181,134,62,336,3720,14,3,0,0,3,0,0,0,4,6,30,12092,865,1073,249,311,383,373,273,167,1009,16795,10466,696,783,187,197,208,163,169,108,676,13653,2132,304,380,101,146,187,182,143,48,174,3797,221,24,42,10,21,25,33,32,28,36,472,36,5,0,0,0,0,0,0,0,20,61,2389,333,422,111,167,212,215,175,76,230,4330,12,3,6,3,0,6,5,0,0,7,42,12867,1032,1211,301,364,426,383,344,184,913,18025,20488,1348,1541,344,367,395,355,308,209,1343,26698,3964,499,677,187,262,364,332,252,90,306,6933,408,36,57,16,43,44,64,57,48,76,849,73,8,3,0,0,0,0,0,0,184,268,4445,543
SOSR121,2787,152,183,38,40,34,32,36,15,171,3488,578,62,49,22,6,26,24,27,11,33,838,45,4,4,3,3,4,3,3,7,10,86,12,0,0,0,0,0,0,0,0,5,17,635,66,53,25,9,30,27,30,18,48,941,4,0,0,0,0,0,0,0,0,3,7,3426,218,236,63,49,64,59,66,33,222,4436,2771,166,185,40,46,32,32,37,27,155,3491,608,70,55,24,17,29,31,31,16,35,916,60,8,7,3,0,3,7,0,5,19,112,3,0,0,0,0,0,0,0,0,0,3,671,78,62,27,17,32,38,31,21,54,1031,7,0,0,0,0,0,0,4,0,4,15,3449,244,247,67,63,64,70,72,48,213,4537,5558,318,368,78,86,66,64,73,42,326,6979,1186,132,104,46,23,55,55,58,27,68,1754,105,12,11,6,3,7,10,3,12,29,198,15,0,0,0,0,0,0,0,0,5,20,1306,144
SOSR122,1818,86,103,35,19,30,29,18,19,105,2262,281,24,29,10,8,7,9,13,3,7,391,21,0,0,3,0,3,3,3,0,0,33,0,0,0,0,0,0,0,0,0,4,4,302,24,29,13,8,10,12,16,3,11,428,0,0,0,0,0,0,0,0,0,0,0,2120,110,132,48,27,40,41,34,22,116,2690,1732,107,97,30,17,19,18,20,13,86,2139,306,34,52,18,10,16,20,17,3,18,494,20,0,7,3,0,5,0,5,4,10,54,5,0,0,0,0,0,0,0,0,31,36,331,34,59,21,10,21,20,22,7,59,584,0,0,0,0,0,0,0,0,0,0,0,2063,141,156,51,27,40,38,42,20,145,2723,3550,193,200,65,36,49,47,38,32,191,4401,587,58,81,28,18,23,29,30,6,25,885,41,0,7,6,0,8,3,8,4,10,87,5,0,0,0,0,0,0,0,0,35,40,633,58
