region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,3198,7520,15560,15232,13855,8491,2109,204,16,66185,2588,5729,12375,10791,9516,5769,1819,531,153,49271,75854,178411,464220,440766,393470,240812,50087,5458,718,1849796
SOSR102,865,1540,2509,2719,2484,1649,330,38,3,12137,531,653,1215,1423,1348,895,276,88,37,6466,20819,30659,60378,69736,72133,44892,7553,803,85,307058
SOSR103,285,595,947,989,873,483,112,16,0,4300,174,251,427,430,465,266,57,34,3,2107,6545,10962,21827,24630,24879,13966,1993,205,23,105030
SOSR111,165,328,561,520,432,281,68,10,0,2365,82,98,214,232,208,128,36,17,5,1020,3762,5506,10960,11752,11466,7189,1105,118,9,51867
SOSR112,488,945,1494,1499,1380,1010,229,40,3,7088,277,330,562,634,575,468,175,75,29,3125,12071,16954,32817,36840,39124,26144,4800,615,74,169439
SOSR113,379,652,947,1001,1012,664,167,26,0,4848,224,247,425,531,485,406,164,48,21,2551,8378,10863,20231,24125,27810,18802,3660,430,57,114356
SOSR114,292,461,727,770,721,514,137,18,0,3640,166,181,281,359,344,294,152,56,21,1854,5917,7295,15455,19390,20680,13767,2918,412,47,85881
SOSR115,459,606,1006,1253,1170,802,203,33,6,5538,277,289,520,698,717,578,175,87,14,3355,9222,11241,23179,31202,35448,24361,4656,637,73,140019
SOSR121,137,188,285,388,386,264,50,3,0,1701,84,83,133,173,211,165,57,18,9,933,2779,2964,5923,9194,11048,7265,1298,186,15,40672
SOSR122,72,86,143,189,194,140,32,6,0,862,41,43,70,129,128,87,39,10,3,550,1328,1441,3187,4991,6091,4153,895,109,7,22202
SOSR131,822,966,1180,1966,2126,1432,312,25,0,8829,458,411,690,1107,1365,1165,583,233,45,6057,14826,15447,28549,52922,67336,50377,15209,3267,389,248322
SOSR179,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,3,9,9,12,0,0,0,36
SOSR199,3,21,40,22,24,6,3,0,0,119,6,23,58,28,30,15,6,0,0,166,181,561,1185,709,586,372,54,0,6,3654
