region_id,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_Tot_M_EO,C15_17F_O_E_Tot_M_O_EVWW,C15_17F_O_E_Tot_M_O_ENWNA,C15_17F_O_E_Tot_M_O_PENS,C15_17F_O_E_Tot_M_O_E_T,C15_17F_O_E_Tot_M_LPENS,C15_17F_O_E_Tot_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_Tot_M_EO,C15_17F_Tot_M_O_EVWW,C15_17F_Tot_M_O_ENWNA,C15_17F_Tot_M_O_PENS,C15_17F_Tot_M_O_E_T,C15_17F_Tot_M_LPENS,C15_17F_Tot_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_Tot_M_EO,C18_20F_O_E_Tot_M_O_EVWW,C18_20F_O_E_Tot_M_O_ENWNA,C18_20F_O_E_Tot_M_O_PENS,C18_20F_O_E_Tot_M_O_E_T,C18_20F_O_E_Tot_M_LPENS,C18_20F_O_E_Tot_M_Tot,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_Tot_M_EO,C18_20F_Tot_M_O_EVWW,C18_20F_Tot_M_O_ENWNA,C18_20F_Tot_M_O_PENS,C18_20F_Tot_M_O_E_T,C18_20F_Tot_M_LPENS,C18_20F_Tot_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_Tot_M_EO,C21_24F_O_E_Tot_M_O_EVWW,C21_24F_O_E_Tot_M_O_ENWNA,C21_24F_O_E_Tot_M_O_PENS,C21_24F_O_E_Tot_M_O_E_T,C21_24F_O_E_Tot_M_LPENS,C21_24F_O_E_Tot_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_Tot_M_EO,C21_24F_Tot_M_O_EVWW,C21_24F_Tot_M_O_ENWNA,C21_24F_Tot_M_O_PENS,C21_24F_Tot_M_O_E_T,C21_24F_Tot_M_LPENS,C21_24F_Tot_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_Tot_M_EO,TCF_O_E_Tot_M_O_EVWW,TCF_O_E_Tot_M_O_ENWNA,TCF_O_E_Tot_M_O_PENS,TCF_O_E_Tot_M_O_E_T,TCF_O_E_Tot_M_LPENS,TCF_O_E_Tot_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_Tot_M_EO,TCF_Tot_M_O_EVWW,TCF_Tot_M_O_ENWNA,TCF_Tot_M_O_PENS,TCF_Tot_M_O_E_T,TCF_Tot_M_LPENS,TCF_Tot_M_T
SOSR101,1713,15,47457,2755,27744,2081,35,29860,81,32696,66,3597,4574,8,8179,36,8281,45,20,5,19,44,3,92,2866,31361,6660,62,38083,120,41069,24,126,21,0,147,127,298,48619,33120,6716,107,39943,262,88824,22605,728,14,25,767,0,23372,1345,17522,1318,15,18855,48,20248,43,2379,3274,4,5657,21,5721,14,13,0,18,31,0,45,1402,19914,4592,37,24543,69,26014,17,67,14,0,81,65,163,24024,20709,4620,62,25391,134,49549,10380,346,9,11,366,3,10749,582,8579,647,6,9232,21,9835,18,1365,1897,4,3266,9,3293,12,7,0,5,12,0,24,612,9951,2544,15,12510,30,13152,9,46,8,0,54,25,88,11001,10343,2561,26,12930,58,23989,381188,19063,271,480,19814,184,401186,28837,235474,14486,270,250230,657,279724,559,27552,25949,54,53555,174,54288,472,335,46,928,1309,12,1793,29868,263361,40481,1252,305094,843,335805,292,1084,166,18,1268,994,2554,411348,283508,40918,1750,326176,2021,739545
SOSR102,198,4,13590,292,521,31,3,555,0,847,7,39,43,0,82,0,89,16,0,0,14,14,0,30,315,560,74,17,651,0,966,3,3,0,0,3,5,11,13706,736,78,38,852,9,14567,4634,60,4,6,70,0,4704,92,251,16,0,267,0,359,7,16,25,0,41,0,48,0,0,3,0,3,0,3,99,267,44,0,311,0,410,0,3,0,0,3,0,3,4733,330,48,6,384,0,5117,1827,29,3,3,35,0,1862,29,113,10,0,123,0,152,0,5,19,0,24,0,24,0,3,0,3,6,0,6,29,121,29,3,153,0,182,0,0,0,0,0,0,0,1856,150,32,6,188,0,2044,101081,1854,33,159,2046,37,103164,2533,4877,218,15,5110,5,7648,60,386,331,0,717,0,777,143,9,3,140,152,0,295,2736,5272,552,155,5979,5,8720,17,15,0,0,15,22,54,103834,7141,585,314,8040,64,111938
SOSR103,128,0,4582,140,643,39,0,682,3,825,3,54,47,0,101,0,104,4,5,0,0,5,0,9,147,702,86,0,788,3,938,0,3,0,0,3,3,6,4601,822,86,11,919,6,5526,1774,32,0,0,32,0,1806,58,357,14,0,371,0,429,0,35,32,0,67,0,67,6,0,0,0,0,0,6,64,392,46,0,438,0,502,0,3,3,0,6,4,10,1838,427,49,0,476,4,2318,658,19,0,0,19,0,677,20,171,12,0,183,0,203,0,14,26,4,44,0,44,0,0,0,0,0,0,0,20,185,38,4,227,0,247,0,3,0,0,3,0,3,678,207,38,4,249,0,927,34079,1088,9,63,1160,10,35249,1221,5003,244,6,5253,6,6480,27,408,333,4,745,0,772,48,17,0,36,53,0,101,1296,5428,577,46,6051,6,7353,13,23,6,0,29,30,72,35388,6539,592,109,7240,46,42674
SOSR111,20,0,2327,33,85,3,0,88,0,121,0,7,11,0,18,0,18,0,0,0,3,3,0,3,33,92,14,3,109,0,142,0,0,0,0,0,0,0,2340,109,17,3,129,0,2469,659,6,0,0,6,0,665,7,34,0,0,34,0,41,0,4,8,0,12,0,12,3,0,0,0,0,0,3,10,38,8,0,46,0,56,0,0,0,0,0,0,0,669,44,8,0,52,0,721,212,3,0,0,3,3,218,8,3,0,0,3,0,11,0,3,10,0,13,0,13,0,0,0,0,0,0,0,8,6,10,0,16,0,24,0,3,0,0,3,0,3,220,12,10,0,22,3,245,18488,195,3,22,220,3,18711,332,656,15,3,674,0,1006,9,57,89,0,146,6,161,20,4,0,26,30,0,50,361,717,104,29,850,6,1217,3,9,0,0,9,7,19,18852,921,107,51,1079,16,19947
SOSR112,70,3,7350,100,247,9,0,256,0,356,6,18,39,0,57,0,63,7,0,0,4,4,0,11,113,265,48,4,317,0,430,0,0,0,0,0,0,0,7390,321,48,18,387,3,7780,1513,16,0,4,20,0,1533,29,54,4,0,58,0,87,0,10,18,0,28,0,28,4,0,0,0,0,0,4,33,64,22,0,86,0,119,3,0,0,0,0,0,3,1549,80,22,4,106,0,1655,423,3,0,0,3,0,426,5,25,0,0,25,0,30,0,4,8,0,12,0,12,0,0,0,0,0,0,0,5,29,8,0,37,0,42,0,0,0,0,0,0,0,428,32,8,0,40,0,468,57021,633,10,94,737,16,57774,892,2090,90,10,2190,6,3088,32,184,272,0,456,3,491,100,17,3,83,103,0,203,1024,2291,365,93,2749,9,3782,17,10,0,0,10,3,30,58062,2934,375,187,3496,28,61586
SOSR113,61,3,5178,120,198,8,3,209,0,329,4,23,18,0,41,0,45,3,0,0,3,3,0,6,127,221,26,6,253,0,380,0,0,0,0,0,0,0,5241,273,26,15,314,3,5558,1142,12,0,7,19,0,1161,31,47,0,0,47,0,78,0,6,5,0,11,0,11,3,0,0,0,0,0,3,34,53,5,0,58,0,92,0,0,0,0,0,0,0,1176,65,5,7,77,0,1253,329,3,0,0,3,0,332,0,15,0,0,15,0,15,3,3,0,0,3,0,6,0,0,0,0,0,0,0,3,18,0,0,18,0,21,0,0,0,0,0,0,0,332,21,0,0,21,0,353,38655,573,0,66,639,9,39303,891,1820,91,9,1920,3,2814,18,186,116,0,302,0,320,53,0,0,96,96,0,149,962,2006,207,105,2318,3,3283,4,3,0,0,3,9,16,39621,2582,207,171,2960,21,42602
SOSR114,44,0,4030,49,62,4,0,66,0,115,0,6,6,0,12,0,12,4,0,0,3,3,0,7,53,68,10,3,81,0,134,0,0,0,0,0,0,0,4039,109,10,6,125,0,4164,672,7,0,0,7,3,682,11,15,0,0,15,0,26,0,3,11,0,14,0,14,0,0,0,0,0,0,0,11,18,11,0,29,0,40,0,0,0,0,0,0,0,683,25,11,0,36,3,722,154,0,0,0,0,0,154,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,3,3,154,4,0,0,4,3,161,31722,322,3,26,351,12,32085,516,713,34,8,755,0,1271,7,56,69,0,125,0,132,57,4,0,58,62,0,119,580,773,103,66,942,0,1522,8,3,0,0,3,6,17,32310,1098,106,92,1296,18,33624
SOSR115,54,0,6656,78,173,6,0,179,0,257,6,8,11,0,19,0,25,9,0,0,3,3,0,12,93,181,17,3,201,0,294,0,0,0,0,0,0,0,6695,231,17,7,255,0,6950,1323,12,0,0,12,0,1335,22,42,0,0,42,0,64,0,0,7,0,7,0,7,3,0,0,0,0,0,3,25,42,7,0,49,0,74,3,0,0,0,0,0,3,1351,54,7,0,61,0,1412,348,3,0,0,3,0,351,5,28,0,0,28,0,33,0,4,0,0,4,0,4,0,0,0,0,0,0,0,5,32,0,0,32,0,37,0,0,0,0,0,0,0,353,35,0,0,35,0,388,50647,558,6,52,616,6,51269,907,1404,66,0,1470,0,2377,28,84,93,0,177,0,205,81,0,0,86,86,0,167,1016,1488,159,86,1733,0,2749,19,6,0,0,6,6,31,51682,2052,165,138,2355,12,54049
SOSR121,28,0,2311,43,71,3,0,74,0,117,0,0,0,0,0,0,0,3,0,0,5,5,0,8,46,71,3,5,79,0,125,0,0,0,0,0,0,0,2329,99,3,5,107,0,2436,452,4,0,0,4,0,456,3,19,0,0,19,0,22,0,0,0,0,0,0,0,3,3,0,0,3,0,6,6,22,0,0,22,0,28,0,0,0,0,0,0,0,458,26,0,0,26,0,484,125,3,0,0,3,0,128,3,11,0,0,11,0,14,0,3,3,0,6,0,6,0,0,0,0,0,0,0,3,14,3,0,17,0,20,0,0,0,0,0,0,0,128,17,3,0,20,0,148,16040,231,0,23,254,3,16297,258,533,9,0,542,3,803,3,11,6,0,17,0,20,24,3,0,22,25,0,49,285,547,15,22,584,3,872,0,0,0,0,0,0,0,16325,778,15,45,838,6,17169
SOSR122,3,0,1170,21,17,0,3,20,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,3,24,17,0,3,20,0,44,0,0,0,0,0,0,0,1191,20,0,3,23,0,1214,247,3,0,0,3,0,250,4,8,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,8,0,12,0,0,0,0,0,0,0,251,11,0,0,11,0,262,50,4,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,53,4,0,0,4,0,57,8521,96,0,12,108,0,8629,171,154,6,3,163,0,334,0,12,6,0,18,0,18,12,3,0,7,10,3,25,183,169,12,10,191,3,377,0,0,0,0,0,3,3,8704,265,12,22,299,6,9009
